,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,407,Гидроксид бария,407,2,26,1511.666666666853,Q407605
1,579,Людвиг II (король Баварии),579,4,17,6723.041472969541,Q44039
2,580,"Бернстайн, Леонард",580,2,17,9072.0,Q152505
3,655,Лабиринт,655,4,13,23230.229759238813,Q606777
4,754,"Доницетти, Гаэтано",754,9,17,29009.27381488333,Q101698
5,764,Карл IV (император Священной Римской империи),764,3,18,0.0,Q155669
6,1093,"Пикколи, Мишель",1093,4,0,5132.116739100076,Q295257
7,1182,"Стриженов, Глеб Александрович",1182,1,1,0.0,Q4443978
8,1640,"Черкасов, Николай Константинович",1640,9,1,104452.80387815576,Q713014
9,1644,"Чирков, Борис Петрович",1644,6,1,13146.95742509795,Q584450
10,2560,Хорватия,2560,31,13,469975.460301931,Q224
11,2676,Письменность,2676,15,13,93078.12903941193,Q8192
12,2680,Национальный парк,2680,3,12,7922.475260131479,Q46169
13,2768,Коморы,2768,7,13,54558.319368429504,Q970
14,2841,Федеративные Штаты Микронезии,2841,4,18,16318.097502803672,Q702
15,3132,Гипатия,3132,1,0,0.0,Q11903
16,3199,Юрий Данилович,3199,1,20,0.0,Q297295
17,3338,"Львов, Георгий Евгеньевич",3338,1,16,0.0,Q297032
18,3447,Зрительная система,3447,4,26,23860.045334134786,Q558363
19,3472,Уксусный ангидрид,3472,4,26,6787.0,Q407775
20,3986,Машина времени,3986,6,1,16392.48722284026,Q1195697
21,4438,Берингово море,4438,5,20,15597.92148580812,Q44725
22,4675,Квантовая теория поля,4675,3,26,3672.7085661274878,Q54505
23,5191,Тайга (город),5191,2,1,4537.0,Q196592
24,6040,"Бондарчук, Сергей Фёдорович",6040,20,1,229006.76800838087,Q55190
25,6263,Авель,6263,2,8,4537.0,Q313421
26,6395,"Быковский, Валерий Фёдорович",6395,3,5,4538.0,Q159681
27,6605,"Гречко, Георгий Михайлович",6605,1,5,0.0,Q434555
28,7581,Герб,7581,7,12,92463.57214587988,Q14659
29,8120,Копейка,8120,3,1,9073.0,Q1415602
30,8420,Термитная смесь,8420,1,29,0.0,Q337192
31,8591,Предложение (лингвистика),8591,5,13,19719.351641484813,Q41796
32,8605,Морфема,8605,5,13,7944.960608752718,Q43249
33,9031,Числа с собственными именами,9031,4,2,4537.5,Q540917
34,9162,"Лоллобриджида, Джина",9162,7,0,121568.44805154935,Q56009
35,9310,Революция гвоздик,9310,4,18,9635.584685156216,Q193245
36,9629,Геология,9629,15,3,226334.21947022394,Q1069
37,9649,Хайле Селассие,9649,3,9,9037.070056718696,Q41178
