Index,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y,Views,Count,Total,Degree Ratio,Subtopic,Main topic,Weight
11270,3.0,2192507.0,"Штраус, Исидор",20.0,0.8311530351638794,Q707974,History_and_Society.Politics_and_government,234.0,0.0,159.0,29.0,0.0,13.838384,2192507.0,-2961.7305,-2174.3757,647.0,13.0,599.0,0.021702838063439065,Politics_and_government,History_and_Society,647.0
11272,3.0,2192507.0,"Штраус, Исидор",20.0,0.14805719256401062,Q707974,History_and_Society.History,234.0,0.0,159.0,29.0,0.0,13.838384,2192507.0,-2961.7305,-2174.3757,647.0,30.0,599.0,0.05008347245409015,History,History_and_Society,647.0
6970,1.0,737933.0,Мароккано-алжирская операция,20.0,0.8558611869812012,Q194132,History_and_Society.Military_and_warfare,234.0,0.0,159.0,29.0,0.0,10.0,737933.0,-3176.8179,-1388.4154,633.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,633.0
6978,1.0,737933.0,Мароккано-алжирская операция,20.0,0.24509501457214355,Q194132,History_and_Society.Society,234.0,0.0,159.0,29.0,0.0,10.0,737933.0,-3176.8179,-1388.4154,633.0,22.0,599.0,0.03672787979966611,Society,History_and_Society,633.0
6980,1.0,737933.0,Мароккано-алжирская операция,20.0,0.21734751760959625,Q194132,History_and_Society.History,234.0,0.0,159.0,29.0,0.0,10.0,737933.0,-3176.8179,-1388.4154,633.0,30.0,599.0,0.05008347245409015,History,History_and_Society,633.0
6982,1.0,737933.0,Мароккано-алжирская операция,20.0,0.20182321965694427,Q194132,History_and_Society.Politics_and_government,234.0,0.0,159.0,29.0,0.0,10.0,737933.0,-3176.8179,-1388.4154,633.0,13.0,599.0,0.021702838063439065,Politics_and_government,History_and_Society,633.0
8949,2.0,1325577.0,"Сагалевич, Анатолий Михайлович",20.0,0.9416641592979432,Q3182047,History_and_Society.Society,234.0,0.0,159.0,29.0,0.0,11.919192,1325577.0,-2803.5376,-1800.759,625.0,22.0,599.0,0.03672787979966611,Society,History_and_Society,625.0
8950,2.0,1325577.0,"Сагалевич, Анатолий Михайлович",20.0,0.19194278120994568,Q3182047,History_and_Society.Military_and_warfare,234.0,0.0,159.0,29.0,0.0,11.919192,1325577.0,-2803.5376,-1800.759,625.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,625.0
10046,19.0,1680195.0,"Лайтоллер, Чарльз",20.0,0.5775054097175598,Q287044,History_and_Society.Military_and_warfare,234.0,40.68097090597091,159.0,29.0,0.0,44.545456,1680195.0,-2633.3977,-2079.0295,581.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,581.0
2037,5.0,116454.0,Манон с источника (фильм),2.0,0.9905974268913268,Q603092,Culture.Media.Films,167.0,4151.778938191119,127.0,29.0,0.0,17.676767,116454.0,-2199.7627,709.99475,571.0,24.0,599.0,0.04006677796327212,Films,Culture,571.0
2038,5.0,116454.0,Манон с источника (фильм),2.0,0.9841036200523376,Q603092,Culture.Media.Media*,167.0,4151.778938191119,127.0,29.0,0.0,17.676767,116454.0,-2199.7627,709.99475,571.0,42.0,599.0,0.07011686143572621,Media*,Culture,571.0
11239,17.0,2185289.0,Титаник (мини-сериал),20.0,0.9715740084648132,Q1426605,Culture.Media.Media*,234.0,697.6076299223657,159.0,29.0,0.0,40.70707,2185289.0,-3570.7415,-1317.9403,558.0,42.0,599.0,0.07011686143572621,Media*,Culture,558.0
11240,17.0,2185289.0,Титаник (мини-сериал),20.0,0.8903042674064636,Q1426605,Culture.Media.Films,234.0,697.6076299223657,159.0,29.0,0.0,40.70707,2185289.0,-3570.7415,-1317.9403,558.0,24.0,599.0,0.04006677796327212,Films,Culture,558.0
11241,17.0,2185289.0,Титаник (мини-сериал),20.0,0.6001983880996704,Q1426605,Culture.Media.Television,234.0,697.6076299223657,159.0,29.0,0.0,40.70707,2185289.0,-3570.7415,-1317.9403,558.0,8.0,599.0,0.01335559265442404,Television,Culture,558.0
2033,7.0,116430.0,Жан де Флоретт,2.0,0.9937201142311096,Q1315577,Culture.Media.Films,167.0,26207.94499617725,127.0,29.0,0.0,21.515152,116430.0,-2620.6487,463.3426,546.0,24.0,599.0,0.04006677796327212,Films,Culture,546.0
2034,7.0,116430.0,Жан де Флоретт,2.0,0.9871888160705566,Q1315577,Culture.Media.Media*,167.0,26207.94499617725,127.0,29.0,0.0,21.515152,116430.0,-2620.6487,463.3426,546.0,42.0,599.0,0.07011686143572621,Media*,Culture,546.0
11543,1.0,2381403.0,"Рукавишников, Филипп Александрович",20.0,0.6442351341247559,Q4399910,Culture.Visual_arts.Visual_arts*,234.0,0.0,159.0,29.0,0.0,10.0,2381403.0,-3268.1643,-1111.1451,527.0,8.0,599.0,0.01335559265442404,Visual_arts*,Culture,527.0
11544,1.0,2381403.0,"Рукавишников, Филипп Александрович",20.0,0.4455395638942719,Q4399910,History_and_Society.Society,234.0,0.0,159.0,29.0,0.0,10.0,2381403.0,-3268.1643,-1111.1451,527.0,22.0,599.0,0.03672787979966611,Society,History_and_Society,527.0
12433,7.0,3070649.0,Калифорниэн,20.0,0.9850529432296752,Q286221,History_and_Society.Transportation,234.0,216.91370592834755,159.0,29.0,0.0,21.515152,3070649.0,-3199.1768,-1361.7384,509.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,509.0
12436,7.0,3070649.0,Калифорниэн,20.0,0.2069040536880493,Q286221,History_and_Society.History,234.0,216.91370592834755,159.0,29.0,0.0,21.515152,3070649.0,-3199.1768,-1361.7384,509.0,30.0,599.0,0.05008347245409015,History,History_and_Society,509.0
12437,7.0,3070649.0,Калифорниэн,20.0,0.1824355274438858,Q286221,History_and_Society.Military_and_warfare,234.0,216.91370592834755,159.0,29.0,0.0,21.515152,3070649.0,-3199.1768,-1361.7384,509.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,509.0
12414,2.0,3063828.0,"Стед, Уильям Томас",20.0,0.2689514458179474,Q288301,History_and_Society.Politics_and_government,234.0,0.0,159.0,29.0,0.0,11.919192,3063828.0,-3292.7937,-1148.955,501.0,13.0,599.0,0.021702838063439065,Politics_and_government,History_and_Society,501.0
12415,2.0,3063828.0,"Стед, Уильям Томас",20.0,0.22816647589206696,Q288301,Culture.Media.Media*,234.0,0.0,159.0,29.0,0.0,11.919192,3063828.0,-3292.7937,-1148.955,501.0,42.0,599.0,0.07011686143572621,Media*,Culture,501.0
12416,2.0,3063828.0,"Стед, Уильям Томас",20.0,0.19194278120994568,Q288301,Culture.Philosophy_and_religion,234.0,0.0,159.0,29.0,0.0,11.919192,3063828.0,-3292.7937,-1148.955,501.0,4.0,599.0,0.00667779632721202,Philosophy_and_religion,Culture,501.0
12417,2.0,3063828.0,"Стед, Уильям Томас",20.0,0.1732981950044632,Q288301,History_and_Society.Military_and_warfare,234.0,0.0,159.0,29.0,0.0,11.919192,3063828.0,-3292.7937,-1148.955,501.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,501.0
12418,2.0,3063828.0,"Стед, Уильям Томас",20.0,0.13661839067935946,Q288301,History_and_Society.History,234.0,0.0,159.0,29.0,0.0,11.919192,3063828.0,-3292.7937,-1148.955,501.0,30.0,599.0,0.05008347245409015,History,History_and_Society,501.0
12154,17.0,2827968.0,"Лоу, Гарольд",20.0,0.6513648629188538,Q466171,History_and_Society.Military_and_warfare,234.0,1620.78095195906,159.0,29.0,0.0,40.70707,2827968.0,-2941.6372,-2267.3313,492.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,492.0
4801,1.0,322093.0,Михаил Лермонтов (теплоход),20.0,0.9983615279197692,Q1143472,History_and_Society.Transportation,234.0,0.0,159.0,29.0,0.0,10.0,322093.0,-2707.509,-1463.0735,491.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,491.0
4802,1.0,322093.0,Михаил Лермонтов (теплоход),20.0,0.7879412174224854,Q1143472,History_and_Society.Military_and_warfare,234.0,0.0,159.0,29.0,0.0,10.0,322093.0,-2707.509,-1463.0735,491.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,491.0
4805,1.0,322093.0,Михаил Лермонтов (теплоход),20.0,0.1824355274438858,Q1143472,History_and_Society.Society,234.0,0.0,159.0,29.0,0.0,10.0,322093.0,-2707.509,-1463.0735,491.0,22.0,599.0,0.03672787979966611,Society,History_and_Society,491.0
4806,1.0,322093.0,Михаил Лермонтов (теплоход),20.0,0.15611489117145538,Q1143472,History_and_Society.History,234.0,0.0,159.0,29.0,0.0,10.0,322093.0,-2707.509,-1463.0735,491.0,30.0,599.0,0.05008347245409015,History,History_and_Society,491.0
12512,6.0,3136504.0,"Грейси IV, Арчибальд",20.0,0.2568419873714447,Q633168,History_and_Society.History,234.0,542.0703942471516,159.0,29.0,0.0,19.595959,3136504.0,-2977.738,-2115.17,481.0,30.0,599.0,0.05008347245409015,History,History_and_Society,481.0
13552,6.0,4110673.0,Сначала женщины и дети,20.0,0.8840492963790894,Q2113136,History_and_Society.Transportation,234.0,66.66276253941922,159.0,29.0,0.0,19.595959,4110673.0,-2673.1416,-1994.1841,465.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,465.0
13553,6.0,4110673.0,Сначала женщины и дети,20.0,0.1097157895565033,Q2113136,History_and_Society.History,234.0,66.66276253941922,159.0,29.0,0.0,19.595959,4110673.0,-2673.1416,-1994.1841,465.0,30.0,599.0,0.05008347245409015,History,History_and_Society,465.0
11298,2.0,2227457.0,"Депардьё, Элизабет",2.0,0.16452647745609286,Q240153,History_and_Society.History,167.0,0.0,127.0,29.0,0.0,11.919192,2227457.0,-2620.1833,853.24774,447.0,30.0,599.0,0.05008347245409015,History,History_and_Society,447.0
13163,18.0,3703348.0,"Титаник (фильм, 1943)",20.0,0.9871888160705566,Q679670,Culture.Media.Films,234.0,612.859817033799,159.0,29.0,0.0,42.626263,3703348.0,-3188.212,-2044.7213,446.0,24.0,599.0,0.04006677796327212,Films,Culture,446.0
13164,18.0,3703348.0,"Титаник (фильм, 1943)",20.0,0.9777238368988036,Q679670,Culture.Media.Media*,234.0,612.859817033799,159.0,29.0,0.0,42.626263,3703348.0,-3188.212,-2044.7213,446.0,42.0,599.0,0.07011686143572621,Media*,Culture,446.0
13165,18.0,3703348.0,"Титаник (фильм, 1943)",20.0,0.1259327530860901,Q679670,History_and_Society.Military_and_warfare,234.0,612.859817033799,159.0,29.0,0.0,42.626263,3703348.0,-3188.212,-2044.7213,446.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,446.0
12394,9.0,3055124.0,"Флит, Фредерик",20.0,0.10375863313674928,Q714361,History_and_Society.Transportation,234.0,3869.5029687542174,159.0,29.0,0.0,25.353535,3055124.0,-3651.3787,-1152.7992,441.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,441.0
8092,8.0,1027856.0,Harland and Wolff,20.0,0.546748161315918,Q848977,History_and_Society.Business_and_economics,234.0,10985.78598907423,159.0,29.0,0.0,23.434343,1027856.0,-3134.6462,-1236.8339999999996,426.0,8.0,599.0,0.01335559265442404,Business_and_economics,History_and_Society,426.0
8096,8.0,1027856.0,Harland and Wolff,20.0,0.1968362182378769,Q848977,History_and_Society.Transportation,234.0,10985.78598907423,159.0,29.0,0.0,23.434343,1027856.0,-3134.6462,-1236.8339999999996,426.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,426.0
12993,2.0,3536502.0,"Доусон, Джозеф",20.0,0.14034625887870789,Q4167329,History_and_Society.History,234.0,0.0,159.0,29.0,0.0,11.919192,3536502.0,-3579.8774,-1599.1337,419.0,30.0,599.0,0.05008347245409015,History,History_and_Society,419.0
12376,18.0,3042006.0,"Муди, Джеймс Пол",20.0,0.11597072333097458,Q545805,History_and_Society.Transportation,234.0,311.44215086441005,159.0,29.0,0.0,42.626263,3042006.0,-2757.022,-1596.0363,401.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,401.0
12377,18.0,3042006.0,"Муди, Джеймс Пол",20.0,0.1067005917429924,Q545805,History_and_Society.Military_and_warfare,234.0,311.44215086441005,159.0,29.0,0.0,42.626263,3042006.0,-2757.022,-1596.0363,401.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,401.0
9274,5.0,1403294.0,"Брайд, Гарольд Сидни",20.0,0.20182321965694427,Q972647,History_and_Society.History,234.0,2.924887556221889,159.0,29.0,0.0,17.676767,1403294.0,-2694.865,-1553.5057,396.0,30.0,599.0,0.05008347245409015,History,History_and_Society,396.0
9275,5.0,1403294.0,"Брайд, Гарольд Сидни",20.0,0.10088862478733064,Q972647,History_and_Society.Military_and_warfare,234.0,2.924887556221889,159.0,29.0,0.0,17.676767,1403294.0,-2694.865,-1553.5057,396.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,396.0
12095,1.0,2770701.0,Рейд на Сен-Назер,20.0,0.9241518378257751,Q572676,History_and_Society.Military_and_warfare,234.0,0.0,159.0,29.0,0.0,10.0,2770701.0,-3161.1873,-1853.3239,393.0,27.0,599.0,0.045075125208681135,Military_and_warfare,History_and_Society,393.0
12096,1.0,2770701.0,Рейд на Сен-Назер,20.0,0.1824355274438858,Q572676,History_and_Society.Transportation,234.0,0.0,159.0,29.0,0.0,10.0,2770701.0,-3161.1873,-1853.3239,393.0,24.0,599.0,0.04006677796327212,Transportation,History_and_Society,393.0
11989,4.0,2700384.0,"Баллард, Роберт",20.0,0.1520422399044037,Q312867,History_and_Society.Education,234.0,8.033333333333333,159.0,29.0,0.0,15.757576,2700384.0,-3116.4382,-2228.3027,392.0,1.0,599.0,0.001669449081803005,Education,History_and_Society,392.0
13066,10.0,3592336.0,"Титаник (фильм, 1953)",20.0,0.994455099105835,Q1197729,Culture.Media.Films,234.0,2.0347105508870214,159.0,29.0,0.0,27.272728000000004,3592336.0,-2854.005,-1271.1445,377.0,24.0,599.0,0.04006677796327212,Films,Culture,377.0
13067,10.0,3592336.0,"Титаник (фильм, 1953)",20.0,0.9875783920288086,Q1197729,Culture.Media.Media*,234.0,2.0347105508870214,159.0,29.0,0.0,27.272728000000004,3592336.0,-2854.005,-1271.1445,377.0,42.0,599.0,0.07011686143572621,Media*,Culture,377.0
3780,1.0,229923.0,Остров Путятина,20.0,0.8221991658210754,Q2373838,History_and_Society.Society,234.0,0.0,159.0,29.0,0.0,10.0,229923.0,-3414.2388,-1849.2694,366.0,22.0,599.0,0.03672787979966611,Society,History_and_Society,366.0
12121,17.0,2792577.0,"Уайлд, Генри",20.0,0.16886694729328156,Q561474,Culture.Media.Films,234.0,1983.1683575605593,159.0,29.0,0.0,40.70707,2792577.0,-3300.9417,-1001.0242,350.0,24.0,599.0,0.04006677796327212,Films,Culture,350.0
10797,3.0,1969311.0,"Паньоль, Марсель",2.0,0.13661839067935946,Q236630,Culture.Literature,167.0,11174.265987142424,127.0,29.0,0.0,13.838384,1969311.0,-2748.9622,1225.2173,341.0,11.0,599.0,0.018363939899833055,Literature,Culture,341.0
10798,3.0,1969311.0,"Паньоль, Марсель",2.0,0.1067005917429924,Q236630,Culture.Performing_arts,167.0,11174.265987142424,127.0,29.0,0.0,13.838384,1969311.0,-2748.9622,1225.2173,341.0,7.0,599.0,0.011686143572621035,Performing_arts,Culture,341.0
10419,3.0,1801974.0,"Уорнер, Дэвид",20.0,0.5156299471855164,Q363271,Culture.Media.Media*,234.0,73077.020707961,159.0,29.0,0.0,13.838384,1801974.0,-3056.0916,-1836.4019,326.0,42.0,599.0,0.07011686143572621,Media*,Culture,326.0
10420,3.0,1801974.0,"Уорнер, Дэвид",20.0,0.2814156115055084,Q363271,Culture.Media.Television,234.0,73077.020707961,159.0,29.0,0.0,13.838384,1801974.0,-3056.0916,-1836.4019,326.0,8.0,599.0,0.01335559265442404,Television,Culture,326.0
12399,2.0,3056876.0,"Кэнди, Хелен Черчилль",20.0,0.3923468291759491,Q458686,History_and_Society.History,234.0,0.25,159.0,29.0,0.0,11.919192,3056876.0,-3207.0609999999997,-1410.8838,305.0,30.0,599.0,0.05008347245409015,History,History_and_Society,305.0
12400,2.0,3056876.0,"Кэнди, Хелен Черчилль",20.0,0.3702353835105896,Q458686,History_and_Society.Society,234.0,0.25,159.0,29.0,0.0,11.919192,3056876.0,-3207.0609999999997,-1410.8838,305.0,22.0,599.0,0.03672787979966611,Society,History_and_Society,305.0
12402,2.0,3056876.0,"Кэнди, Хелен Черчилль",20.0,0.1097157895565033,Q458686,Culture.Literature,234.0,0.25,159.0,29.0,0.0,11.919192,3056876.0,-3207.0609999999997,-1410.8838,305.0,11.0,599.0,0.018363939899833055,Literature,Culture,305.0
15172,1.0,6456690.0,"Барнхилл, Руби",20.0,0.11921291798353195,Q20867700,Culture.Media.Media*,234.0,0.0,159.0,29.0,0.0,10.0,6456690.0,-3620.8347,-1760.6002,166.0,42.0,599.0,0.07011686143572621,Media*,Culture,166.0
11914,1.0,2652650.0,Пожар в Салониках (1917),2.0,0.3415925204753876,Q897779,History_and_Society.Politics_and_government,167.0,0.0,127.0,29.0,0.0,10.0,2652650.0,-2547.4976,490.86237,123.0,13.0,599.0,0.021702838063439065,Politics_and_government,History_and_Society,123.0
11916,1.0,2652650.0,Пожар в Салониках (1917),2.0,0.1294127255678177,Q897779,History_and_Society.History,167.0,0.0,127.0,29.0,0.0,10.0,2652650.0,-2547.4976,490.86237,123.0,30.0,599.0,0.05008347245409015,History,History_and_Society,123.0
247,2.0,10891.0,Газ,2.0,0.8962613940238953,Q11432,STEM.STEM*,167.0,2910.384096245123,127.0,29.0,0.0,11.919192,10891.0,-2593.5776,903.18286,4354.0,20.0,599.0,0.0333889816360601,STEM*,STEM,0.0
272,2.0,12520.0,Тайфун,20.0,0.4301573634147644,Q140588,STEM.STEM*,234.0,3099.0,159.0,29.0,0.0,11.919192,12520.0,-3611.2415,-1542.6802,7463.0,20.0,599.0,0.0333889816360601,STEM*,STEM,0.0
277,2.0,12520.0,Тайфун,20.0,0.0,Q140588,Geography.Regions.Asia.Asia*,234.0,3099.0,159.0,29.0,0.0,11.919192,12520.0,-3611.2415,-1542.6802,7463.0,13.0,599.0,0.021702838063439065,Asia*,Geography,0.0
278,2.0,12520.0,Тайфун,20.0,0.0,Q140588,Geography.Regions.Asia.East_Asia,234.0,3099.0,159.0,29.0,0.0,11.919192,12520.0,-3611.2415,-1542.6802,7463.0,4.0,599.0,0.00667779632721202,East_Asia,Geography,0.0
279,2.0,12520.0,Тайфун,20.0,0.0,Q140588,Geography.Regions.Americas.North_America,234.0,3099.0,159.0,29.0,0.0,11.919192,12520.0,-3611.2415,-1542.6802,7463.0,49.0,599.0,0.08180300500834725,North_America,Geography,0.0
436,11.0,23003.0,Айсберг,20.0,0.4688006341457367,Q47568,STEM.STEM*,234.0,3821.8047657512293,159.0,29.0,0.0,29.19192,23003.0,-3090.817,-1057.9604,1602.0,20.0,599.0,0.0333889816360601,STEM*,STEM,0.0
439,11.0,23003.0,Айсберг,20.0,0.0,Q47568,Geography.Geographical,234.0,3821.8047657512293,159.0,29.0,0.0,29.19192,23003.0,-3090.817,-1057.9604,1602.0,6.0,599.0,0.01001669449081803,Geographical,Geography,0.0
722,3.0,41444.0,Сирокко,2.0,0.5156299471855164,Q180372,STEM.STEM*,167.0,13910.087346419785,127.0,29.0,0.0,13.838384,41444.0,-2311.6445,734.26385,849.0,20.0,599.0,0.0333889816360601,STEM*,STEM,0.0
725,3.0,41444.0,Сирокко,2.0,0.0,Q180372,Geography.Regions.Europe.Europe*,167.0,13910.087346419785,127.0,29.0,0.0,13.838384,41444.0,-2311.6445,734.26385,849.0,71.0,599.0,0.11853088480801335,Europe*,Geography,0.0
726,3.0,41444.0,Сирокко,2.0,0.0,Q180372,Geography.Regions.Europe.Southern_Europe,167.0,13910.087346419785,127.0,29.0,0.0,13.838384,41444.0,-2311.6445,734.26385,849.0,3.0,599.0,0.005008347245409015,Southern_Europe,Geography,0.0
727,3.0,41444.0,Сирокко,2.0,0.0,Q180372,Geography.Regions.Asia.Asia*,167.0,13910.087346419785,127.0,29.0,0.0,13.838384,41444.0,-2311.6445,734.26385,849.0,13.0,599.0,0.021702838063439065,Asia*,Geography,0.0
728,3.0,41444.0,Сирокко,2.0,0.0,Q180372,Geography.Regions.Asia.West_Asia,167.0,13910.087346419785,127.0,29.0,0.0,13.838384,41444.0,-2311.6445,734.26385,849.0,2.0,599.0,0.00333889816360601,West_Asia,Geography,0.0
