,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y,Views,Weight,Main topic,Subtopic
1580,14.0,1279388.0,Ф91 Дюделанж,26.0,0.9836069941520692,Q221752,Culture.Sports,0.0,5636.182381257794,65.0,2.0,253.0,34.949493,1279388.0,-802.99634,-1554.8077,1914.0,13.770497918128969,Culture,Sports
1581,2.0,1279460.0,"Разумовский, Дмитрий Александрович (Герой России)",18.0,0.9770326614379884,Q4388804,History_and_Society.Society,233.0,5119.811640428221,111.0,7.0,132.0,11.919192,1279460.0,-109.96345,2523.4695,7238.0,1.9540653228759768,History_and_Society,Society
1582,2.0,1279486.0,Бой на 12-й заставе Московского погранотряда,18.0,0.9875783920288086,Q4090300,History_and_Society.Military_and_warfare,233.0,3071.585574174496,111.0,7.0,132.0,11.919192,1279486.0,-350.38135,3093.1409,2567.0,1.9751567840576172,History_and_Society,Military_and_warfare
1583,1.0,1280616.0,"Сент-Джон, Генри, 1-й виконт Болингброк",0.0,0.9883227348327636,Q332470,Culture.Biography.Biography*,0.0,0.0,105.0,11.0,208.0,10.0,1280616.0,-1768.0454,1438.385,299.0,0.9883227348327636,Culture,Biography*
1584,2.0,1281196.0,Силезские войны,31.0,0.9715740084648132,Q699849,History_and_Society.Military_and_warfare,77.0,0.0,0.0,1.0,255.0,11.919192,1281196.0,730.7919999999997,-749.3359,283.0,1.9431480169296265,History_and_Society,Military_and_warfare
1585,1.0,1281420.0,"Люмет, Сидни",17.0,0.9966334104537964,Q51559,Culture.Biography.Biography*,233.0,0.0,134.0,22.0,0.0,10.0,1281420.0,-1281.0546,-2906.5227,1194.0,0.9966334104537964,Culture,Biography*
1586,8.0,1283098.0,"Маррей, Энди",30.0,0.9919480085372924,Q10125,Culture.Biography.Biography*,208.0,7680.514635560949,65.0,27.0,227.0,23.434343,1283098.0,-2023.0463,72.40272,3430.0,7.935584068298339,Culture,Biography*
1587,2.0,1285187.0,"Шатилова, Анна Николаевна",18.0,0.9959398508071899,Q4520883,Culture.Biography.Biography*,233.0,3099.0,111.0,10.0,132.0,11.919192,1285187.0,-283.19599999999997,3901.8513,1513.0,1.9918797016143799,Culture,Biography*
1588,1.0,1287518.0,Дрянные девчонки,9.0,0.9972090721130372,Q631103,Culture.Media.Media*,0.0,0.0,127.0,13.0,150.0,10.0,1287518.0,2925.3716,877.3375,2473.0,0.9972090721130372,Culture,Media*
1589,4.0,1287708.0,Погром,33.0,0.8933194279670715,Q177716,Culture.Philosophy_and_religion,23.0,9409.092514470552,140.0,1.0,0.0,15.757576,1287708.0,-572.80444,1501.6864,853.0,3.573277711868286,Culture,Philosophy_and_religion
1590,4.0,1289182.0,"Романов, Алексей Дмитриевич",18.0,0.994455099105835,Q4397120,Culture.Biography.Biography*,233.0,977.1287238938572,111.0,10.0,132.0,15.757576,1289182.0,-424.3236,2742.7903,2143.0,3.97782039642334,Culture,Biography*
1591,1.0,1290447.0,Медаль «200 лет МВД России»,18.0,0.9916942119598388,Q4286712,History_and_Society.Society,233.0,0.0,111.0,10.0,132.0,10.0,1290447.0,-995.62085,2656.4475,2403.0,0.9916942119598388,History_and_Society,Society
1592,2.0,1290542.0,"Исаев, Андрей Константинович",18.0,0.9648651480674744,Q4203535,Culture.Biography.Biography*,233.0,3676.0010475544627,111.0,27.0,132.0,11.919192,1290542.0,-1257.4167,2915.8804,1036.0,1.9297302961349487,Culture,Biography*
1593,2.0,1292068.0,Медаль «За трудовую доблесть» (Минобороны),18.0,0.9755869507789612,Q4287068,History_and_Society.Society,233.0,153.056754154165,111.0,10.0,132.0,11.919192,1292068.0,-1216.8893,2687.5503,780.0,1.9511739015579224,History_and_Society,Society
1594,1.0,1294159.0,Тачки 2,15.0,0.9951046109199524,Q192212,Culture.Media.Films,192.0,0.0,192.0,11.0,192.0,10.0,1294159.0,990.1456,-1895.4141,2738.0,0.9951046109199524,Culture,Films
1595,3.0,1294271.0,"Говорухин, Сергей Станиславович",18.0,0.9871888160705566,Q4140923,Culture.Biography.Biography*,233.0,3166.8129093842012,111.0,10.0,132.0,13.838384,1294271.0,-25.741684,3238.1672,3239.0,2.96156644821167,Culture,Biography*
1596,2.0,1296241.0,"Шу, Элизабет",20.0,1.0000100135803225,Q207852,Culture.Biography.Biography*,234.0,6196.0,159.0,29.0,0.0,11.919192,1296241.0,-3623.216,-1899.5573,2316.0,2.000020027160645,Culture,Biography*
