,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
1973122,"Мулерман, Вадим Иосифович",18,1973122,25.353535,132,111,233,-770.6242,2624.6345,1973122,9,10,1050.4492688150865,Q4306877
1974755,"Политковский, Александр Владимирович",30,1974755,11.919192,227,65,208,-1553.2892,396.44928,1974755,2,10,1048.481283147895,Q4370150
1976331,Ним (футбольный клуб),24,1976331,10.0,0,172,0,-61.325645,625.5084,1976331,1,0,0.0,Q730809
1976492,"Бибиков, Борис Владимирович",2,1976492,17.676767,0,127,167,-3273.8918,991.1469,1976492,5,3,11222.290354183184,Q4086232
1976709,"Корецкий, Владимир Иванович",39,1976709,10.0,236,36,133,1003.47833,2015.8188,1976709,1,3,0.0,Q4232956
1986781,Яндекс.Видео,39,1986781,10.0,236,36,133,756.9039,1713.2,1986781,1,31,0.0,Q4537974
1986911,"Шоулз, Лэтем Кристофер",28,1986911,19.595959,192,192,192,711.95056,-596.2614,1986911,6,18,26825.42902661909,Q453351
1986991,Феодоровская икона Божией Матери,12,1986991,13.838384,192,192,192,1020.6162,793.36633,1986991,3,34,0.0,Q2661742
1989997,Покушения на Ленина,10,1989997,11.919192,195,78,71,371.32516,-2015.1625,1989997,2,9,3099.0,Q4369499
1994907,Фонарь,33,1994907,11.919192,0,140,23,-538.9261,1619.3107,1994907,2,21,0.0,Q862454
1995648,Эротический видеочат,30,1995648,10.0,227,65,208,-1300.4954,146.2365,1995648,1,10,0.0,Q1027930
1997676,Манжетка обыкновенная,34,1997676,10.0,192,192,192,714.92456,-1787.0881,1997676,1,39,0.0,Q160189
1999192,С чего начинается Родина,18,1999192,10.0,132,111,233,-561.86035,3168.7402,1999192,1,10,0.0,Q4402960
2015759,Мина (долина),16,2015759,19.595959,98,125,18,2278.8982,-1867.6997,2015759,6,33,742.0049643468353,Q753276
2018736,"Лотар-Шевченко, Вера Августовна",16,2018736,10.0,98,125,18,1888.4423,-1353.5316,2018736,1,0,0.0,Q4267358
2021452,"Серков, Сергей Васильевич",21,2021452,11.919192,0,136,132,-3453.8032,-420.5891,2021452,2,3,0.0,Q4417673
2026480,Ми-35М,13,2026480,17.676767,192,192,192,-424.50558,-2058.48,2026480,5,15,18573.0,Q4292645
2026631,Юго-Восточная Украинская Автономная Республика,41,2026631,13.838384,155,95,153,-2802.2063,-2866.1304,2026631,3,8,0.0,Q4533648
2031556,"Фурман, Изабель",15,2031556,10.0,192,192,192,857.54736,-1801.2191,2031556,1,13,0.0,Q237053
2046766,Донья Пас,20,2046766,19.595959,0,159,234,-3320.4246,-1535.3716,2046766,6,29,27481.273037846437,Q1253637
2047016,Среднее образование,8,2047016,10.0,163,102,15,1846.0674,-2613.2708,2047016,1,21,0.0,Q14623204
2047548,Ласковый май (фильм),21,2047548,13.838384,0,136,132,-3040.6377,-569.6239,2047548,3,3,6196.0,Q4254781
2047825,Мозаики М. В. Ломоносова,8,2047825,10.0,163,102,15,1820.6692,-2929.5662,2047825,1,11,0.0,Q4299577
2047833,Предки и потомки М. В. Ломоносова,8,2047833,13.838384,163,102,15,2311.8105,-2555.321,2047833,3,11,6197.0,Q4376590
2049345,Великий пенсионарий,0,2049345,11.919192,208,105,0,-2069.3862,1275.7101,2049345,2,11,3099.0,Q699660
2050470,"Уилсон, Люк",28,2050470,11.919192,192,192,192,489.26364,-284.2624,2050470,2,18,0.0,Q107769
2050489,Марфино (усадьба),0,2050489,10.0,208,105,0,-1961.7904,999.3027,2050489,1,11,0.0,Q12121611
2053072,СПАЛ,24,2053072,13.838384,0,172,0,771.9071,555.0373,2053072,3,0,1661.335610763977,Q13385
2053673,День подразделений специального назначения,14,2053673,13.838384,0,134,82,-2249.4407,-320.29373,2053673,3,7,17137.683279851168,Q4158316
2053885,День спецназа,14,2053885,11.919192,0,134,82,-2845.4495,146.9689,2053885,2,7,3099.0,Q4158452
2054596,Пытки американских военнопленных в Северном Вьетнаме,1,2054596,21.515152,89,153,0,1770.4857,869.8075,2054596,7,6,6421.2050072284155,Q4385372
2055554,"Кадочникова, Лариса Валентиновна",41,2055554,13.838384,155,95,153,-2928.9866,-2849.984,2055554,3,10,23518.057127376484,Q4207332
2055816,Принцесса на бобах,30,2055816,11.919192,227,65,208,-1392.5873,130.78848,2055816,2,10,0.0,Q4378848
2056915,Ремингтон 1,28,2056915,15.757576,192,192,192,556.32263,-572.1714,2056915,4,18,0.0,Q2064618
2057429,Убийство Анны Бешновой,18,2057429,10.0,132,111,233,-1351.7266,2528.5994,2057429,1,10,0.0,Q16335674
2057499,"Бойко, Денис Александрович",24,2057499,15.757576,0,172,0,234.43137,902.3275,2057499,4,4,6942.099051401088,Q2425800
2058996,Военно-воздушные силы и противовоздушная оборона Таджикистана,1,2058996,10.0,89,153,0,2214.5996,1595.7871,2058996,1,6,0.0,Q17146761
2063833,"Милнер, Джеймс",24,2063833,17.676767,0,172,0,750.2332,1118.5444,2063833,5,0,4509.528099418756,Q191136
2066873,"Литвинов, Павел Михайлович",27,2066873,23.434343,192,192,192,-411.79892,-9.932021,2066873,8,22,0.6,Q4263645
2068169,Пинг-понговая дипломатия,14,2068169,10.0,0,134,82,-2230.2542,-338.44852,2068169,1,7,0.0,Q1048465
2069452,Х-22,7,2069452,11.919192,192,192,192,2449.3198,-226.35828,2069452,2,31,0.0,Q297099
