,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
37,Столыпинская_аграрная_реформа,16,37,11.919192,98,125,18,2321.4563,-1719.6124,37,2,10,13851.468991332948
105,Урбанизация,11,105,13.838384,192,192,192,1891.7004,-882.51227,105,3,5,3635.359522386846
189,Аллитерация,17,189,11.919192,0,134,233,-954.6224,-2429.5686,189,2,22,11493.54439536591
193,Литература,39,193,11.919192,236,36,133,870.30786,1706.2705,193,2,3,3099.0
447,Оксид_титана(IV),41,447,11.919192,155,95,153,-2012.9697,-3158.2908,447,2,8,0.0
578,"Хонеккер,_Эрих",30,578,17.676767,227,65,208,-1061.3914,200.45667,578,5,10,42500.52067797921
580,"Бернстайн,_Леонард",9,580,11.919192,150,127,0,2507.4246,626.60876,580,2,13,3099.0
604,День_России,21,604,11.919192,0,136,132,-3413.3333,-645.0188,604,2,12,0.0
758,Кардинал,12,758,15.757576,192,192,192,1090.547,866.6161,758,4,34,10535.814696786085
911,Вычислительная_сеть,14,911,10.0,0,134,82,-2239.245,-98.58005,911,1,7,0.0
1179,"Филозов,_Альберт_Леонидович",16,1179,21.515152,98,125,18,1966.0159,-1545.8068,1179,7,10,131414.5149270299
1420,Путч,14,1420,11.919192,0,134,82,-2158.3938,-174.96922,1420,2,7,9291.0
1671,"Гамзатов,_Расул_Гамзатович",18,1671,10.0,132,111,233,-1150.4856,3264.8357,1671,1,10,0.0
2490,Термодинамика,5,2490,13.838384,192,192,192,3391.974,-1254.4481,2490,3,17,126045.81756938098
2747,"Полтавченко,_Георгий_Сергеевич",18,2747,21.515152,132,111,233,976.37854,2986.544,2747,7,10,33365.952333869594
2768,Коморы,26,2768,11.919192,253,65,0,-1604.0149,-570.27124,2768,2,2,9291.0
2854,Ниуэ,6,2854,15.757576,192,192,192,-1446.3511,1916.7488,2854,4,23,431.1666666666667
3490,"Бирон,_Эрнст_Иоганн",10,3490,10.0,195,78,71,101.96458,-1792.6553,3490,1,9,0.0
3693,Государственные_символы_России,11,3693,15.757576,192,192,192,1451.5343,-1084.6196,3693,4,5,47800.20446685256
3812,Ле_Корбюзье,18,3812,10.0,132,111,233,11.308062,2398.349,3812,1,10,0.0
4557,Роберт_Лэнгдон,4,4557,17.676767,192,192,192,-2423.711,-917.933,4557,5,14,3099.0
4605,Академгородок_(Новосибирск),16,4605,11.919192,98,125,18,1898.862,-1902.0256,4605,2,0,3099.0
4675,Квантовая_теория_поля,19,4675,10.0,192,192,192,2185.7874,-499.59152,4675,1,17,0.0
4734,Стандартная_модель,19,4734,11.919192,192,192,192,2317.013,-743.952,4734,2,17,3099.0
4840,Греческий_язык,19,4840,31.11111,192,192,192,2388.07,-627.08875,4840,12,17,118174.02144475127
5192,Новый_год,16,5192,25.353535,98,125,18,1782.749,-1942.1752,5192,9,10,118787.92356323451
5236,Фундаментальные_взаимодействия,19,5236,13.838384,192,192,192,1991.2928,-845.75073,5236,3,17,9291.0
5380,"Яковлев,_Владимир_Анатольевич",18,5380,19.595959,132,111,233,-601.0754,2953.696,5380,6,10,25283.898030700264
7139,"Савицкая,_Светлана_Евгеньевна",31,7139,13.838384,255,0,77,1103.4734,-876.6875,7139,3,10,123357.31615185404
7885,Закон_Гука,5,7885,10.0,192,192,192,3211.3132,-1284.8254,7885,1,17,0.0
8270,Глюон,19,8270,11.919192,192,192,192,2214.8708,-917.991,8270,2,17,0.0
8556,Флаг,10,8556,23.434343,195,78,71,376.19083,-1535.1302,8556,8,9,77384.71613564955
8724,Блог,2,8724,25.353535,0,127,167,-2950.7048,541.64496,8724,9,5,151680.539004455
8937,"Беринг,_Витус_Ионассен",11,8937,11.919192,192,192,192,1884.4182,-997.31714,8937,2,5,3098.9999999999995
9134,Противоракетная_оборона_США,30,9134,10.0,227,65,208,-2105.9922,207.56673,9134,1,18,0.0
9490,"Шрёдер,_Герхард",3,9490,13.838384,0,158,94,2115.0774,2368.2053,9490,3,16,9049.932764556714
9790,Кин-дза-дза!,0,9790,25.353535,208,105,0,-1786.4458,976.90497,9790,9,12,95193.64697805105
9791,Пепелац,0,9791,15.757576,208,105,0,-2117.4612,1250.4922,9791,4,12,9291.0
9998,РЖД_Арена,29,9998,13.838384,0,168,182,1462.1643,388.6379,9998,3,4,3864.4515861485806
10638,Жуковский_(город),29,10638,17.676767,0,168,182,1023.60565,-158.93294,10638,5,7,126046.53474832592
10750,Беслан,18,10750,19.595959,132,111,233,-683.7864,3150.7817,10750,6,10,13761.121809542003
10811,Евразийство,33,10811,13.838384,0,140,23,-673.23804,1403.8236,10811,3,21,0.0
10884,"Ковпак,_Сидор_Артемьевич",10,10884,15.757576,195,78,71,18.8732,-1466.7236,10884,4,9,14401.833333333978
10891,Газ,2,10891,11.919192,0,127,167,-2593.5776,903.18286,10891,2,29,2910.3840962451222
11107,"Рыбалко,_Павел_Семёнович",11,11107,10.0,192,192,192,1472.7313,-1008.88336,11107,1,1,0.0
11596,Полномочный_представитель_президента_Российской_Федерации_в_федеральном_округе,7,11596,23.434343,192,192,192,3429.4766,42.44711,11596,8,31,18793.07719920714
11659,Федеральный_президент_ФРГ,3,11659,11.919192,0,158,94,2150.8982,2160.4487,11659,2,16,0.0
11756,"Козак,_Дмитрий_Николаевич",7,11756,27.272728,192,192,192,2921.174,-326.26257,11756,10,31,26431.06718793702
11840,Снайперская_винтовка,14,11840,15.757576,0,134,82,-2810.417,222.11557,11840,4,15,2066.499999999977
12520,Тайфун,20,12520,11.919192,0,159,234,-3611.2415,-1542.6802,12520,2,29,3099.0
12556,Торин_Дубощит,38,12556,73.333336,192,192,192,772.0193,-3937.669,12556,34,32,21658.5276903459
13016,Символ,28,13016,10.0,192,192,192,607.00854,-241.96437,13016,1,18,0.0
13209,Веб-форум,16,13209,11.919192,98,125,18,1913.133,-1612.7983,13209,2,18,3099.0
13490,Солнцево_(район_Москвы),5,13490,13.838384,192,192,192,3589.7705,-1597.9481,13490,3,30,1.1
13499,Изоляционизм,31,13499,13.838384,255,0,77,1083.6188,-899.9839,13499,3,1,4370.04147065822
13913,Осмий,19,13913,10.0,192,192,192,2291.8909,-498.3091,13913,1,17,0.0
14000,Люксембургский_язык,26,14000,13.838384,253,65,0,-1941.3693,-702.62134,14000,3,2,255.2627467753977
14880,"Френкель,_Ян_Абрамович",18,14880,27.272728,132,111,233,612.7983,2660.2314,14880,10,10,59494.24751284573
14922,"Добро_пожаловать,_или_Посторонним_вход_воспрещён",10,14922,13.838384,195,78,71,78.54921,-1490.327,14922,3,9,4185.354696236003
14957,Фидонет,14,14957,11.919192,0,134,82,-2450.3518,-292.02612,14957,2,7,3099.0
15130,"Абдул-Джаббар,_Карим",17,15130,15.757576,0,134,233,-1306.7979,-2655.772,15130,4,22,102067.79609428038
16080,Украинская_грекокатолическая_церковь,12,16080,10.0,192,192,192,1006.7234,933.5182,16080,1,34,0.0
16609,"Арафат,_Ясир",14,16609,11.919192,0,134,82,-2307.4695,250.5112,16609,2,7,3099.0
16627,"Рубо,_Франц_Алексеевич",21,16627,13.838384,0,136,132,-3067.9917,-717.4198,16627,3,12,42445.4102925767
16678,Флаг_Франции,10,16678,21.515152,195,78,71,-97.25907,-1375.611,16678,7,9,17690.62795826525
17680,"Медведева,_Наталия_Георгиевна",33,17680,13.838384,0,140,23,-771.51794,1507.0619,17680,3,21,3099.0
18305,Референдум,41,18305,19.595959,155,95,153,-1790.8849,-2824.5015,18305,6,8,21625.106165097422
18668,Междуреченск,30,18668,13.838384,227,65,208,-1652.4567,301.72592,18668,3,18,27003.66759477023
19050,Совет_Безопасности_ООН,31,19050,13.838384,255,0,77,878.8101,-767.7091,19050,3,1,28813.126059223072
19075,Саксония_(земля),8,19075,19.595959,163,102,15,1665.7601,-2592.4233,19075,6,21,51394.8130786803
19424,Адам_и_Хавва,16,19424,17.676767,98,125,18,2012.991,-1633.4426,19424,5,33,334.5461309763843
19866,Федеральный_канцлер_Германии,3,19866,21.515152,0,158,94,1884.6843,2343.4985,19866,7,16,35153.138409878244
20477,Кузбасс_(значения),30,20477,10.0,227,65,208,-1986.4717,332.81168,20477,1,18,0.0
20932,Оккупация,10,20932,11.919192,195,78,71,218.79218,-1909.3292,20932,2,9,6196.0
21496,Муса_Джалиль,18,21496,11.919192,132,111,233,-144.63821,2143.2205,21496,2,10,3099.0
21786,"Ищите_женщину_(фильм,_1982)",16,21786,15.757576,98,125,18,1977.1797,-1738.6486,21786,4,3,13390.921272900147
21822,"Разумовский,_Алексей_Григорьевич",8,21822,13.838384,163,102,15,1950.7422,-2724.8928,21822,3,11,20347.395330015614
22117,Гимн_Республики_Беларусь,10,22117,10.0,195,78,71,13.273195,-1710.4019,22117,1,9,0.0
22454,Донецкая_область,41,22454,56.060608,155,95,153,-1972.8099,-2340.2083,22454,25,8,108439.45912725783
22512,Партия_регионов,31,22512,13.838384,255,0,77,807.0733,-1079.1725,22512,3,31,7744.0
22732,"Ван_Сент,_Гас",4,22732,13.838384,192,192,192,-2531.3801,-708.00226,22732,3,14,9293.0
23003,Айсберг,20,23003,29.19192,0,159,234,-3090.817,-1057.9604,23003,11,29,3821.8047657512293
23267,"Канарис,_Вильгельм_Франц",24,23267,10.0,0,172,0,490.07248,457.92413,23267,1,0,0.0
23499,Арда,38,23499,67.57576,192,192,192,-292.08774,-3243.7063,23499,31,32,750.5544249502266
23937,Р-7,31,23937,11.919192,255,0,77,701.55426,-931.36975,23937,2,1,23984.61230833274
24029,Хемниц,24,24029,19.595959,0,172,0,-141.26772,687.5031,24029,6,0,81078.54824274009
24396,Прогрессивное_налогообложение,33,24396,13.838384,0,140,23,-1030.9438,1377.0248,24396,3,21,3099.0
24506,Карс,16,24506,13.838384,98,125,18,2149.3364,-1709.2821,24506,3,33,6197.0
24606,Кукушка_(фильм),2,24606,13.838384,0,127,167,-2790.5562,488.08044,24606,3,3,11086.856818523582
24797,Педиатрия,19,24797,13.838384,192,192,192,2295.7112,-908.90375,24797,3,17,15481.0
24810,Солт-Лейк-Сити,28,24810,19.595959,192,192,192,584.8134,-348.22473,24810,6,18,158828.97760118303
25114,Крекинг,1,25114,10.0,89,153,0,1962.8407,1414.4265,25114,1,6,0.0
25115,"Шухов,_Владимир_Григорьевич",1,25115,11.919192,89,153,0,1838.2908,1312.2478,25115,2,6,3099.0
25355,Битва_при_Азенкуре,25,25355,11.919192,192,192,192,-103.25311,-802.33276,25355,2,4,0.0
25530,Сержант,11,25530,25.353535,192,192,192,1213.4928,-844.52344,25530,9,1,119278.25862808897
25979,Апатрид,41,25979,15.757576,155,95,153,-2170.9863,-3011.4111,25979,4,8,10949.891465038192
26445,"Червоненко,_Евгений_Альфредович",41,26445,19.595959,155,95,153,-2300.4622,-2866.4844,26445,6,8,33947.535986661
26569,Демографический_кризис_в_Российской_Федерации,11,26569,17.676767,192,192,192,2060.6108,-1098.9469,26569,5,5,25662.6318170862
27422,"Бахтин,_Михаил_Михайлович",39,27422,10.0,236,36,133,421.9466,1635.2834,27422,1,3,0.0
28040,Чисто_английское_убийство_(фильм),0,28040,13.838384,208,105,0,-2177.9502,1107.8883,28040,3,12,6197.0
30671,Соломоновы_Острова,6,30671,19.595959,192,192,192,-1176.1648,2344.0354,30671,6,23,54615.19062129187
31320,"Кургинян,_Сергей_Ервандович",30,31320,19.595959,227,65,208,-1381.8387,-85.80758,31320,6,18,24682.044556765126
32192,"Дежнёв,_Семён_Иванович",30,32192,11.919192,227,65,208,-1463.8689,494.71527,32192,2,18,9291.0
32268,"Антонов,_Олег_Константинович",27,32268,10.0,192,192,192,-576.8569,195.80824,32268,1,22,0.0
32271,Антонов_(компания),27,32271,13.838384,192,192,192,-863.805,-90.89262,32271,3,22,6197.0
32280,"Радищев,_Александр_Николаевич",8,32280,13.838384,163,102,15,2296.255,-2598.9475,32280,3,21,11061.587841186927
32721,"Гоголь,_Николай_Васильевич",21,32721,50.303032,0,136,132,-4015.5356,-355.40576,32721,22,3,292494.11818061967
33460,Исаак,16,33460,13.838384,98,125,18,1577.267,-1731.5693,33460,3,33,1.3472222222222223
33540,Сан-Томе_и_Принсипи,21,33540,11.919192,0,136,132,-3050.1926,-227.99936,33540,2,12,9291.0
33639,Автожир,13,33639,10.0,192,192,192,-196.2345,-1958.1177,33639,1,15,0.0
33881,Мегион,16,33881,15.757576,98,125,18,1855.1764,-1462.2106,33881,4,18,10862.701570367864
33882,Лангепас,16,33882,13.838384,98,125,18,1785.3065,-1573.5682,33882,3,18,790.1310811737279
35197,Армянск,41,35197,11.919192,155,95,153,-2373.753,-2972.7598,35197,2,8,0.0
35341,Благовещение_Пресвятой_Богородицы,12,35341,33.030304,192,192,192,953.50775,1244.236,35341,13,34,28542.44024322522
35695,"Кафельников,_Евгений_Александрович",30,35695,15.757576,227,65,208,-1455.5985,43.123962,35695,4,27,63402.32748090382
35700,Организация_по_безопасности_и_сотрудничеству_в_Европе,41,35700,27.272728,155,95,153,-1623.4373,-2883.722,35700,10,8,20474.144947400906
36017,Конклав,12,36017,11.919192,192,192,192,977.7906,1017.9262,36017,2,34,0.0
36313,"Паршев,_Андрей_Петрович",33,36313,10.0,0,140,23,-811.09436,1251.2443,36313,1,21,0.0
36550,Женевские_конвенции,10,36550,11.919192,195,78,71,-62.996414,-1580.8481,36550,2,9,3099.0
36992,PlayStation,2,36992,17.676767,0,127,167,-2558.5518,883.53613,36992,5,5,0.0
37838,Московский_физико-технический_институт,5,37838,23.434343,192,192,192,3351.5803,-1335.1821,37838,8,10,184490.73363288288
39253,"Стругацкий,_Борис_Натанович",3,39253,10.0,0,158,94,1914.3169,2314.67,39253,1,16,0.0
39378,Межконтинентальная_баллистическая_ракета,31,39378,13.838384,255,0,77,796.1589,-1480.1572,39378,3,1,27385.506736074058
39668,"Прокудин-Горский,_Сергей_Михайлович",19,39668,33.030304,192,192,192,1644.4741,-682.2718,39668,13,17,27845.0
39731,ИжАвто,14,39731,17.676767,0,134,82,-2256.2434,-34.296513,39731,5,15,2062.6666666665824
39782,"Девятаев,_Михаил_Петрович",39,39782,10.0,236,36,133,589.8298,1649.0458,39782,1,31,0.0
40365,Мотор_Сич,7,40365,11.919192,192,192,192,2498.695,-260.0408,40365,2,31,0.0
41444,Сирокко,2,41444,13.838384,0,127,167,-2311.6445,734.26385,41444,3,29,13910.087346419783
41859,Герб_Российской_империи,11,41859,10.0,192,192,192,1500.7146,-1136.1857,41859,1,1,0.0
42003,"Хаузер,_Каспар",34,42003,10.0,192,192,192,635.78406,-1694.6125,42003,1,39,0.0
42488,Эбботт_и_Костелло,3,42488,10.0,0,158,94,1793.1495,2212.4739,42488,1,16,0.0
43258,Парад,27,43258,10.0,192,192,192,-746.4464,126.44479,43258,1,22,0.0
43259,"Никонов,_Вячеслав_Алексеевич",30,43259,21.515152,227,65,208,-1408.8232,420.79303,43259,7,27,26477.639405160022
43705,Эффект_Казимира,19,43705,10.0,192,192,192,1943.7039,-499.16583,43705,1,17,0.0
44173,Кабул,6,44173,13.838384,192,192,192,-1244.0723,1964.8848,44173,3,23,9261.060731986323
44388,"Боливар,_Симон",10,44388,10.0,195,78,71,112.95557,-1637.0972,44388,1,9,0.0
44496,Монтевидео,25,44496,19.595959,192,192,192,-59.677727,-660.8737,44496,6,25,20529.077958266236
44690,Совет_народных_комиссаров_СССР,11,44690,17.676767,192,192,192,1400.0212,-1039.1962,44690,5,1,71254.31731168811
44867,Каракас,10,44867,19.595959,195,78,71,-75.747185,-1535.2007,44867,6,9,18576.0
45042,Нуменор,38,45042,69.49495,192,192,192,1463.8304,-3787.3496,45042,32,32,811.3793597331211
45422,"Фарадей,_Майкл",19,45422,15.757576,192,192,192,2154.609,-594.6294,45422,4,17,9293.0
45625,Титаник,20,45625,98.28283,0,159,234,-2647.8076,-1706.0581,45625,47,29,149830.49954054493
45818,"Гиппиус,_Зинаида_Николаевна",9,45818,11.919192,150,127,0,3576.1604,801.65985,45818,2,3,10018.07090369907
45859,"Вознесенский,_Андрей_Андреевич",18,45859,17.676767,132,111,233,-884.9222,2979.9106,45859,5,10,13567.175726303953
46118,Могадишо,31,46118,15.757576,255,0,77,681.13776,-1022.1224,46118,4,1,9293.0
46151,Синдарин,38,46151,46.464645,192,192,192,759.41785,-2211.816,46151,20,32,326.3110081763466
46298,Огни_святого_Эльма,20,46298,10.0,0,159,234,-3270.388,-2246.715,46298,1,29,0.0
47035,Святой_Грааль,4,47035,11.919192,192,192,192,-2601.317,-912.62775,47035,2,14,0.0
47145,0_(число),28,47145,11.919192,192,192,192,500.31046,-231.3755,47145,2,18,0.0
47378,Опус_Деи,4,47378,10.0,192,192,192,-2492.5247,-756.51355,47378,1,14,0.0
47388,"Сервантес,_Мигель_де",8,47388,10.0,163,102,15,2347.0786,-2641.7173,47388,1,10,0.0
48082,"Каррагер,_Джейми",24,48082,10.0,0,172,0,-129.42924,236.38794,48082,1,0,0.0
48270,Ханой,1,48270,21.515152,89,153,0,2527.247,1215.2479,48270,7,6,37787.19684948927
48314,Двунадесятые_праздники,12,48314,23.434343,192,192,192,969.6999,1092.0466,48314,8,34,708.3216214146225
51100,"Черенков,_Фёдор_Фёдорович",25,51100,10.0,192,192,192,273.76932,-577.29034,51100,1,2,0.0
51796,"Аслаханов,_Асламбек_Ахмедович",18,51796,17.676767,132,111,233,-296.91733,2630.7305,51796,5,10,12034.760307509741
52226,"Загалло,_Марио",24,52226,10.0,0,172,0,-69.818504,771.1638,52226,1,0,0.0
52377,Генк_(футбольный_клуб),26,52377,19.595959,253,65,0,-249.20879,-1512.1593,52377,6,2,355.9896417857373
52379,Брюгге_(футбольный_клуб),26,52379,44.545456,253,65,0,-1281.8978,-472.0098,52379,19,2,31886.088544890565
52543,Фальшфейер,33,52543,15.757576,0,140,23,-466.60495,1429.1732,52543,4,21,6353.395371063585
52613,"Максвелл,_Джеймс_Клерк",19,52613,25.353535,192,192,192,1986.4905,-648.3039,52613,9,17,135206.6796075922
52615,Государственный_музей_изобразительных_искусств_имени_А._С._Пушкина,3,52615,17.676767,0,158,94,2467.4402,2139.424,52615,5,16,31184.679731666638
52691,"Мамонтов,_Савва_Иванович",3,52691,15.757576,0,158,94,1493.2648,2189.9363,52691,4,9,16459.558614479793
52939,Туман,2,52939,11.919192,0,127,167,-2561.195,574.3308,52939,2,29,1306.502395045809
53095,Кочевники,19,53095,10.0,192,192,192,2082.6165,-899.93524,53095,1,17,0.0
53457,Московский_Художественный_театр_имени_А._П._Чехова,39,53457,23.434343,236,36,133,1346.593,1518.981,53457,8,3,28670.67724952112
53468,Московский_Художественный_театр,39,53468,36.868687,236,36,133,870.15137,1321.1849,53468,15,3,48269.879368195296
53539,Капитан_1-го_ранга,11,53539,19.595959,192,192,192,1912.6296,-1066.4475,53539,6,5,143730.13248672243
53597,"Аннан,_Кофи",3,53597,31.11111,0,158,94,1638.8091,1916.2004,53597,12,25,43935.055169033476
53708,Первое_русское_кругосветное_плавание,6,53708,17.676767,192,192,192,-1674.5792,2034.4316,53708,5,23,24737.666666666664
53986,"Паскевич,_Иван_Фёдорович",21,53986,17.676767,0,136,132,-3314.7568,-317.78305,53986,5,11,19279.222802088134
54530,Вознесение_Девы_Марии,12,54530,19.595959,192,192,192,991.7136,986.10986,54530,6,34,8241.220828574731
54657,Гороховец,16,54657,11.919192,98,125,18,1802.3812,-1417.9171,54657,2,18,3099.0
54796,"Бобров,_Всеволод_Михайлович",29,54796,17.676767,0,168,182,906.48474,295.83554,54796,5,4,4027.2416402768936
54814,Памятник_Минину_и_Пожарскому,18,54814,13.838384,132,111,233,-92.90848,3070.8843,54814,3,10,6679.785217183464
54939,Кубинка,14,54939,17.676767,0,134,82,-2681.1897,-295.57278,54939,5,15,58716.240599994
54962,"Клаузевиц,_Карл_фон",8,54962,10.0,163,102,15,2044.5297,-2489.3855,54962,1,21,0.0
55183,"Бестужев-Рюмин,_Алексей_Петрович",8,55183,21.515152,163,102,15,2319.7656,-2451.2993,55183,7,11,39835.04309064879
55251,"Тухманов,_Давид_Фёдорович",18,55251,48.38384,132,111,233,100.74568,3581.9792,55251,21,10,67949.64787714879
55461,"Платини,_Мишель",26,55461,25.353535,253,65,0,-1123.5988,-812.28125,55461,9,2,439302.3922449437
56159,"Серов,_Валентин_Александрович",3,56159,15.757576,0,158,94,2073.7815,2204.6963,56159,4,9,19372.227371979825
56325,Генеральный_секретарь_ООН,3,56325,27.272728,0,158,94,1513.1027,2477.2012,56325,10,25,3099.0
56528,Союз_(космический_корабль),18,56528,11.919192,132,111,233,-1378.7059,2551.9688,56528,2,10,3099.0
56575,Рождество_Пресвятой_Богородицы,12,56575,27.272728,192,192,192,1230.6136,762.5498,56575,10,34,5032.084367110313
56858,Вознесение_Господне,12,56858,15.757576,192,192,192,1280.645,1121.4364,56858,4,34,1.1428571428571428
57287,Сретение_Господне,12,57287,25.353535,192,192,192,1346.4485,909.33215,57287,9,34,5692.500101618237
57373,Компакт-кассета,32,57373,15.757576,192,192,192,-649.35974,669.2107,57373,4,38,83165.0
57920,Сенатор_США,1,57920,25.353535,89,153,0,2478.6367,1287.4888,57920,9,6,70828.11324786325
58197,Осень,16,58197,11.919192,98,125,18,1863.8542,-1778.5227,58197,2,10,6109.861817016963
58248,"Локомотив_(хоккейный_клуб,_Ярославль)",31,58248,13.838384,255,0,77,621.8489,-1421.1986,58248,3,1,41752.01960979179
58729,"Задорнов,_Михаил_Михайлович",14,58729,10.0,0,134,82,-2725.0173,-15.232192,58729,1,7,0.0
58908,Имам,16,58908,17.676767,98,125,18,2366.197,-1753.9393,58908,5,33,29057.867400040443
59085,"Маккейн,_Джон",1,59085,96.36364,89,153,0,2364.2812,960.63873,59085,46,6,281734.84100321383
59099,"Грэм,_Линдси",1,59099,15.757576,89,153,0,1812.0453,1208.9099,59099,4,6,10266.201399072175
59114,"Кеннеди,_Эдвард",1,59114,13.838384,89,153,0,2183.5134,1650.9597,59114,3,6,14771.957230408403
59216,Приштина,30,59216,11.919192,227,65,208,-1450.78,114.392296,59216,2,10,3099.0
59428,"Розенталь,_Дитмар_Эльяшевич",18,59428,11.919192,132,111,233,-1058.3667,2471.3865,59428,2,10,679.1687228393514
59858,Константин_Константинович,20,59858,10.0,0,159,234,-3141.9944,-2188.6318,59858,1,1,0.0
60262,Ирина_(византийская_императрица),19,60262,10.0,192,192,192,2417.9993,-946.09686,60262,1,17,0.0
60656,"Никитин,_Сергей_Яковлевич",9,60656,11.919192,150,127,0,3167.5195,689.52844,60656,2,3,3099.0
61281,"Термен,_Лев_Сергеевич",17,61281,15.757576,0,134,233,-1153.1667,-2749.4429,61281,4,22,49602.507905916034
61307,Терменвокс,17,61307,10.0,0,134,233,-872.82513,-2525.7048,61307,1,22,0.0
61396,Московский_комсомолец,10,61396,23.434343,195,78,71,588.67957,-1873.0884,61396,8,9,83714.21790453223
61529,"Карпов,_Александр_Сергеевич",18,61529,11.919192,132,111,233,-1433.0562,2726.4546,61529,2,10,0.0
62116,"Олеша,_Юрий_Карлович",18,62116,10.0,132,111,233,55.37137,2696.7068,62116,1,28,0.0
62128,Орден_«Достык»,18,62128,27.272728,132,111,233,-818.3285,2500.4822,62128,10,10,8272.3423314499
62293,"Вермеер,_Ян",3,62293,11.919192,0,158,94,1907.249,2141.646,62293,2,16,6196.0
63156,Флаг_Германии,10,63156,10.0,195,78,71,199.65138,-1963.6857,63156,1,9,0.0
63277,Пу_И,21,63277,10.0,0,136,132,-3171.5737,-552.6682,63277,1,12,0.0
63427,Казахская_Советская_Социалистическая_Республика,39,63427,25.353535,236,36,133,710.1001,1423.196,63427,9,31,146933.90864811235
63463,"Сафин,_Марат_Мубинович",30,63463,21.515152,227,65,208,-1620.6177,274.67773,63463,7,27,18694.733114104183
63466,"Кузнецова,_Светлана_Александровна",30,63466,21.515152,227,65,208,-1278.4229,325.2832,63466,7,27,1095.5574027266175
66369,Стоматология,19,66369,11.919192,192,192,192,2043.8878,-512.87805,66369,2,17,6196.0
66899,PlayStation_Portable,2,66899,17.676767,0,127,167,-3149.3218,1035.987,66899,5,5,0.0
67980,Сахарный_диабет,34,67980,19.595959,192,192,192,749.7511,-1715.5663,67980,6,39,21669.0
69863,Windows_95,2,69863,13.838384,0,127,167,-2914.273,629.54346,69863,3,3,9291.0
69906,Петровск-Забайкальский,24,69906,11.919192,0,172,0,94.56055,1116.451,69906,2,0,3099.0
70007,"Никулин,_Валентин_Юрьевич",2,70007,15.757576,0,127,167,-2965.0735,1246.6233,70007,4,1,46587.268323560216
71423,День_независимости_США,9,71423,10.0,150,127,0,2953.536,775.12396,71423,1,18,0.0
71835,Ив_Монтан,2,71835,13.838384,0,127,167,-2595.4114,528.66986,71835,3,29,9664.529067656027
72164,Ньюфаундленд,6,72164,15.757576,192,192,192,-1207.9108,2091.9824,72164,4,23,33979.0
72717,Кандагар,31,72717,11.919192,255,0,77,1214.3817,-1223.1122,72717,2,1,3099.0
72742,"Белохвостикова,_Наталия_Николаевна",0,72742,10.0,208,105,0,-2296.6926,1287.47,72742,1,11,0.0
72935,"Швыдкой,_Михаил_Ефимович",18,72935,23.434343,132,111,233,46.714333,2560.877,72935,8,10,35319.55548655405
73068,Айнур,38,73068,65.65657,192,192,192,548.9833,-2998.4812,73068,30,32,693.7379003517035
73200,Саксония_(курфюршество),8,73200,17.676767,163,102,15,1657.9293,-2494.692,73200,5,21,37498.19290841511
73253,"Пуликовский,_Константин_Борисович",18,73253,15.757576,132,111,233,-131.28743,2482.4502,73253,4,10,0.0
73446,Таймыр,39,73446,11.919192,236,36,133,668.63715,1664.0596,73446,2,3,3099.0
73693,"Ястржембский,_Сергей_Владимирович",30,73693,21.515152,227,65,208,-1623.7202,787.4893,73693,7,10,42800.3150691772
73715,"Таривердиев,_Микаэл_Леонович",8,73715,21.515152,163,102,15,1796.77,-2559.1306,73715,7,10,131224.99685406775
73898,Маяк_(радиостанция),16,73898,27.272728,98,125,18,1847.5536,-2138.5088,73898,10,10,57023.15991987719
74089,Сахарный_диабет_1-го_типа,34,74089,11.919192,192,192,192,728.98676,-1603.2781,74089,2,39,0.0
74101,Сахарный_диабет_2-го_типа,34,74101,11.919192,192,192,192,665.9704,-1737.2246,74101,2,39,0.0
74242,Не_могу_сказать_«прощай»,0,74242,15.757576,208,105,0,-1717.725,1089.8027,74242,4,11,21662.0
75378,Ансамбль_песни_и_пляски_Российской_армии_имени_А._В._Александрова,18,75378,21.515152,132,111,233,-1310.1572,3697.9026,75378,7,10,3642.831734602336
75474,Человек_умелый,0,75474,10.0,208,105,0,-1959.7885,943.2563,75474,1,12,0.0
75773,Брацлав,8,75773,13.838384,163,102,15,1736.508,-2708.4258,75773,3,37,18572.0
76304,Острова_Диомида,6,76304,10.0,192,192,192,-1375.568,2069.1262,76304,1,23,0.0
76540,Паром,20,76540,21.515152,0,159,234,-2889.5056,-1539.0527,76540,7,29,43252.25
76749,"Коршунов,_Александр_Викторович",0,76749,11.919192,208,105,0,-1819.0746,1327.472,76749,2,11,12384.0
77645,"Женщины_(фильм,_1966)",10,77645,11.919192,195,78,71,400.47208,-1721.6177,77645,2,9,3099.0
78672,Гвадалахара,10,78672,11.919192,195,78,71,390.67813,-1602.2166,78672,2,9,0.0
78812,Братья_Люмьер,19,78812,11.919192,192,192,192,2438.195,-726.6727,78812,2,17,0.0
79515,Теракт_на_Дубровке,18,79515,34.949493,132,111,233,-336.08688,3986.9463,79515,14,10,19517.85974090024
79685,Открытый_чемпионат_США_по_теннису,30,79685,61.818184,227,65,208,-1868.8954,487.7034,79685,28,27,79635.19423572448
79775,"Козырев,_Андрей_Владимирович",8,79775,10.0,163,102,15,2036.258,-2625.1665,79775,1,11,0.0
