,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
2727336,Хронология_гибели_«Титаника»,20,2727336,48.38384,0,159,234,-4085.9045,-2033.2438,2727336,21,29,815.1722257651869
2743700,"Яма,_Владислав_Николаевич",1,2743700,11.919192,89,153,0,1952.7057,1034.9855,2743700,2,6,0.0
2744696,"Девушка,_которая_играла_с_огнём_(фильм)",35,2744696,21.515152,192,192,192,-1207.2651,1216.6031,2744696,7,36,0.16666666666666666
2746217,Сидни_Прескотт,9,2746217,31.11111,150,127,0,3151.0164,746.1198,2746217,12,13,2398.181545907688
2746400,"Оздоев,_Магомед_Мустафаевич",26,2746400,17.676767,253,65,0,-754.2235,-802.95325,2746400,5,2,814.3913526245943
2748136,"Калас,_Томаш",26,2748136,10.0,253,65,0,-1423.876,-411.8189,2748136,1,2,0.0
2749507,"Семашко,_Владимир_Ильич",6,2749507,11.919192,192,192,192,-1698.7015,1995.1458,2749507,2,23,0.5
2750498,Вице-президент_Российской_Федерации,14,2750498,13.838384,0,134,82,-2743.9487,-139.20184,2750498,3,7,12285.71090819856
2756361,Чемпионат_Шотландии_по_футболу,26,2756361,19.595959,253,65,0,-1487.0721,-1150.6981,2756361,6,2,3336.4822980223435
2756572,ТНТ4,21,2756572,11.919192,0,136,132,-3119.5127,-334.55603,2756572,2,10,183.8961762941799
2758937,"Фишер,_Фрэнсис",20,2758937,10.0,0,159,234,-2880.1077,-1463.2891,2758937,1,29,0.0
2760346,"Файнберг,_Виктор_Исаакович",27,2760346,21.515152,192,192,192,-398.7063,302.1446,2760346,7,22,0.0
2760870,"Азаров,_Дмитрий_Игоревич",18,2760870,17.676767,132,111,233,-961.04474,3409.199,2760870,5,10,8037.259981378471
2770701,Рейд_на_Сен-Назер,20,2770701,10.0,0,159,234,-3161.1873,-1853.3239,2770701,1,29,0.0
2773050,Тру_Джексон,23,2773050,10.0,192,192,192,325.4583,-207.19687,2773050,1,40,0.0
2773782,Гусль,16,2773782,17.676767,98,125,18,2007.1287,-1709.9419,2773782,5,33,0.0
2775899,"Фоли,_Скотт",9,2775899,13.838384,150,127,0,2799.8499,815.3247,2775899,3,13,0.0
2784596,"Маурьелло,_Джулианна_Роуз",23,2784596,11.919192,192,192,192,328.63864,-257.8302,2784596,2,40,0.0
2792577,"Уайлд,_Генри",20,2792577,40.70707,0,159,234,-3300.9417,-1001.0242,2792577,17,29,1983.1683575605591
2801666,Титаник_2_(фильм),20,2801666,33.030304,0,159,234,-3066.204,-1498.2406,2801666,13,29,0.16025641025641024
2812028,"Голицын,_Михаил_Алексеевич",8,2812028,10.0,163,102,15,2432.8125,-2655.4138,2812028,1,21,0.0
2813932,"Романова,_Ольга_Евгеньевна",30,2813932,13.838384,227,65,208,-1544.028,230.58186,2813932,3,10,4234.7913113145405
2815869,Движение_чаепития,1,2815869,11.919192,89,153,0,2093.7725,1212.4744,2815869,2,6,0.5
2816335,"Рохо,_Маркос",24,2816335,11.919192,0,172,0,386.34912,1105.7534,2816335,2,2,41.610848879849286
2816935,"Рауш,_Константин_Викторович",29,2816935,19.595959,0,168,182,1539.842,660.2138,2816935,6,4,43639.42763438779
2825198,"Исмей,_Джозеф_Брюс",20,2825198,38.78788,0,159,234,-3226.038,-1764.8716,2825198,16,29,96329.38484035434
2827968,"Лоу,_Гарольд",20,2827968,40.70707,0,159,234,-2941.6372,-2267.3313,2827968,17,29,1620.78095195906
