,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,1.0,178.0,Ядерный магнитный резонанс,0.233716368675232,Q209402,STEM.Medicine_&_Health,178.0,0.0,8.0,2944.0,0.233716368675232,STEM,Medicine_&_Health
1,12.0,206.0,Аэропорт,0.21734751760959625,Q1248784,STEM.Engineering,206.0,156817.08755173392,8.0,3567.0,2.608170211315155,STEM,Engineering
2,1.0,325.0,Муассанит,1.0000100135803225,Q418215,STEM.Earth_and_environment,325.0,0.0,0.0,2900.0,1.0000100135803225,STEM,Earth_and_environment
3,2.0,330.0,Жидкое стекло,0.6224693655967712,Q1636041,STEM.Technology,330.0,4591.0,13.0,3318.0,1.2449387311935425,STEM,Technology
4,2.0,578.0,"Хонеккер, Эрих",0.546748161315918,Q2607,History_and_Society.Politics_and_government,578.0,17601.51944958294,11.0,3413.0,1.093496322631836,History_and_Society,Politics_and_government
5,2.0,1094.0,"Нуаре, Филипп",0.2069040536880493,Q106482,Culture.Media.Media*,1094.0,18352.0,2.0,1329.0,0.4138081073760986,Culture,Media*
6,2.0,1182.0,"Стриженов, Глеб Александрович",0.3140605390071869,Q4443978,History_and_Society.Military_and_warfare,1182.0,3363.094386145131,1.0,2572.0,0.6281210780143738,History_and_Society,Military_and_warfare
7,6.0,1219.0,Анаксимандр,0.9706977605819702,Q42458,Culture.Philosophy_and_religion,1219.0,35358.97229527477,8.0,2674.0,5.824186563491821,Culture,Philosophy_and_religion
8,3.0,1227.0,Парменид,0.994455099105835,Q125551,Culture.Philosophy_and_religion,1227.0,8584.262322699433,8.0,3065.0,2.983365297317505,Culture,Philosophy_and_religion
9,3.0,1644.0,"Чирков, Борис Петрович",0.6224693655967712,Q584450,History_and_Society.Military_and_warfare,1644.0,13722.492261606816,1.0,3649.0,1.8674080967903137,History_and_Society,Military_and_warfare
10,8.0,1765.0,"Маринеско, Александр Иванович",0.9790457487106324,Q162676,History_and_Society.Military_and_warfare,1765.0,29139.0760303996,8.0,18441.0,7.8323659896850595,History_and_Society,Military_and_warfare
11,1.0,1767.0,Эрдельтерьер,0.996837317943573,Q37617,STEM.Biology,1767.0,0.0,14.0,2585.0,0.996837317943573,STEM,Biology
12,3.0,2496.0,Оптика,0.4532718360424042,Q14620,STEM.Physics,2496.0,8203.672572667514,8.0,3232.0,1.3598155081272125,STEM,Physics
