,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
1876,1.0,3295189.0,Karl Henry,0.998876452445984,Q19350,Culture.Sports,65.0,0.0,15.0,18.0,255.0,10.0,20.354511,8.434165,2787.0,0.998876452445984,Culture,Sports
1877,1.0,3296981.0,Hugo Rifkind,0.9980222582817078,Q5934402,Culture.Biography.Biography*,225.0,0.0,71.0,6.0,228.0,10.0,9.7086735,5.88855,3139.0,0.9980222582817078,Culture,Biography*
1878,12.0,3298917.0,William V. Campbell Trophy,0.7663036584854126,Q8019640,Culture.Sports,240.0,161.60340581390878,174.0,23.0,0.0,17.06081,21.295545999999998,-19.821417,2750.0,9.195643901824951,Culture,Sports
1879,1.0,3303622.0,Father of the Bride Part II,0.9976868629455566,Q1304560,Culture.Media.Films,190.0,0.0,119.0,0.0,60.0,10.0,0.76773983,1.3539449,9147.0,0.9976868629455566,Culture,Films
1880,2.0,3305883.0,Scottie Montgomery,0.9995371699333192,Q7437594,Culture.Biography.Biography*,65.0,639.6167671761856,15.0,3.0,255.0,10.6418915,-24.724154000000002,24.354076,3392.0,1.9990743398666384,Culture,Biography*
1881,47.0,3311574.0,European Centre for Disease Prevention and Control,0.2069040536880493,Q918501,History_and_Society.Politics_and_government,192.0,18487.479071768423,192.0,36.0,192.0,39.527027000000004,-21.729886999999998,18.063747,2531.0,9.724490523338316,History_and_Society,Politics_and_government
1882,1.0,3312671.0,Jimmy Briand,0.9982553720474244,Q342312,Culture.Biography.Biography*,145.0,0.0,163.0,9.0,0.0,10.0,-14.188201000000001,-21.252825,3047.0,0.9982553720474244,Culture,Biography*
1883,1.0,3320508.0,Garth Crooks,0.9995927214622498,Q737899,Culture.Sports,145.0,0.0,163.0,9.0,0.0,10.0,5.675553,-0.6004189,5597.0,0.9995927214622498,Culture,Sports
1884,2.0,3322647.0,Panzer Dragoon Saga,1.0000100135803225,Q81777,Culture.Media.Video_games,175.0,0.0,145.0,32.0,0.0,10.6418915,-13.028534,-14.521308,3392.0,2.000020027160645,Culture,Video_games
1885,5.0,3323289.0,"Bear Down, Chicago Bears",0.8991314172744751,Q4876433,Culture.Media.Music,65.0,1832.333333333624,15.0,38.0,255.0,12.567568,-13.045776,10.788033,2013.0,4.4956570863723755,Culture,Music
1886,5.0,3328890.0,List of Phillips Academy alumni,0.26285186409950256,Q6594084,Culture.Biography.Biography*,190.0,11033.06823681133,119.0,0.0,60.0,12.567568,3.8191485000000003,16.952084,4939.0,1.3142593204975128,Culture,Biography*
1887,25.0,3333144.0,Terry Baker,1.0000100135803225,Q7704079,Culture.Sports,97.0,7257.2256038095475,136.0,34.0,0.0,25.405405,-15.113332999999999,20.369375,2464.0,25.000250339508064,Culture,Sports
