,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
47,7.0,1114.0,超文本传输协议,0.974052667617798,Q8777,STEM.STEM*,1114.0,18809.760672421544,5.0,2541.0
48,7.0,1114.0,超文本传输协议,0.8933194279670715,Q8777,STEM.Computing,1114.0,18809.760672421544,5.0,2541.0
49,7.0,1114.0,超文本传输协议,0.8439050912857056,Q8777,STEM.Technology,1114.0,18809.760672421544,5.0,2541.0
50,7.0,1114.0,超文本传输协议,0.839743971824646,Q8777,Culture.Media.Software,1114.0,18809.760672421544,5.0,2541.0
51,7.0,1114.0,超文本传输协议,0.7490972280502319,Q8777,Culture.Internet_culture,1114.0,18809.760672421544,5.0,2541.0
52,7.0,1114.0,超文本传输协议,0.7431780099868774,Q8777,Culture.Media.Media*,1114.0,18809.760672421544,5.0,2541.0
53,1.0,1134.0,吴起,0.974052667617798,Q698899,Culture.Biography.Biography*,1134.0,0.0,8.0,2684.0
54,1.0,1134.0,吴起,0.5775054097175598,Q698899,Culture.Philosophy_and_religion,1134.0,0.0,8.0,2684.0
55,1.0,1134.0,吴起,0.4515841474533081,Q698899,Geography.Regions.Asia.East_Asia,1134.0,0.0,8.0,2684.0
56,1.0,1134.0,吴起,0.4352950325012207,Q698899,Geography.Regions.Asia.Asia*,1134.0,0.0,8.0,2684.0
57,16.0,1175.0,T细胞,0.999506652355194,Q193529,STEM.STEM*,1175.0,7726.580740568315,3.0,3666.0
58,16.0,1175.0,T细胞,0.9931061863899232,Q193529,STEM.Medicine_&_Health,1175.0,7726.580740568315,3.0,3666.0
59,16.0,1175.0,T细胞,0.2814156115055084,Q193529,STEM.Biology,1175.0,7726.580740568315,3.0,3666.0
60,10.0,1228.0,黄鹤楼,0.9783946871757508,Q462372,Geography.Regions.Asia.East_Asia,1228.0,3875.918346014954,8.0,10805.0
61,10.0,1228.0,黄鹤楼,0.9732507467269896,Q462372,Geography.Regions.Asia.Asia*,1228.0,3875.918346014954,8.0,10805.0
62,10.0,1228.0,黄鹤楼,0.7773098945617676,Q462372,Culture.Philosophy_and_religion,1228.0,3875.918346014954,8.0,10805.0
63,10.0,1228.0,黄鹤楼,0.10088862478733064,Q462372,Culture.Visual_arts.Visual_arts*,1228.0,3875.918346014954,8.0,10805.0
64,10.0,1228.0,黄鹤楼,0.10088862478733064,Q462372,Culture.Visual_arts.Architecture,1228.0,3875.918346014954,8.0,10805.0
65,27.0,1279.0,全国重点文物保护单位,0.5234303474426271,Q1188574,STEM.STEM*,1279.0,33078.2066242215,8.0,1895.0
66,27.0,1279.0,全国重点文物保护单位,0.2047950496673584,Q1188574,Geography.Regions.Asia.East_Asia,1279.0,33078.2066242215,8.0,1895.0
67,27.0,1279.0,全国重点文物保护单位,0.13297423720359802,Q1188574,STEM.Technology,1279.0,33078.2066242215,8.0,1895.0
68,27.0,1279.0,全国重点文物保护单位,0.0,Q1188574,Geography.Regions.Asia.Asia*,1279.0,33078.2066242215,8.0,1895.0
69,5.0,1401.0,活性炭,0.9841036200523376,Q190878,STEM.STEM*,1401.0,4841.23364394283,3.0,2960.0
70,5.0,1401.0,活性炭,0.6001983880996704,Q190878,STEM.Chemistry,1401.0,4841.23364394283,3.0,2960.0
