Id,Label,modularity_class,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
45340726,Bush_shoeing_incident,10,2,18,0.146944,0.171147,435438
571374,SMS_Baden,30,8,24,0.094089,0.103402,0.47619
1030100,Wiener_Neustadt,31,2,30,0.058763,0.062643,4370
49041456,Ajay_Manikrao_Khanwilkar,21,1,23,0.086969,0.092915,0
52621190,Nico_Siragusa,37,2,23,0.111528,0.12793,4370
1756934,Roosevelt_Roads_Naval_Station,2,1,23,0.097015,0.106063,0
36377324,Ricardo_Liborio,29,1,24,0.095866,0.104996,0
432380,HMAS_AE2,30,2,25,0.086003,0.092493,0
19625900,James_Hanlon,5,1,22,0.094099,0.101887,0
38779662,Tom_Lockyer_(footballer),46,1,26,0.081816,0.089828,0
43339144,Wuhan_Open,32,3,27,0.07256,0.078425,4868.477535
56834956,Nathan_Shepherd_(American_football),15,9,22,0.126707,0.150917,0.111111
53748336,Jonnu_Smith,15,2,22,0.123325,0.143489,0.815591
70964,Loretta_Sanchez,35,1,24,0.082233,0.089728,0
43556936,Faces_(mixtape),42,28,20,0.124822,0.144883,46722.367296
30152110,Maria_do_Ros?rio,31,1,26,0.076514,0.081806,0
21243980,Disappearance_of_Sneha_Anne_Philip,5,29,19,0.130295,0.15486,2584.994095
35710074,Johnathan_Hankins,15,1,22,0.115853,0.132003,0
711264,Marc_Bergevin,34,4,29,0.064566,0.071143,16.07316
9704012,Tropical_cyclone_basins,3,15,21,0.125524,0.150013,484.69393
25229116,Gary_Rohan,8,3,25,0.089352,0.099523,8739
28057466,Mediterranean_tropical-like_cyclone,3,20,22,0.125838,0.151306,6727.271113
1126798,"Goodbye,_Mr._Chips_(1939_film)",28,1,28,0.073642,0.077989,0
46603496,Jair_Bolsonaro,31,14,25,0.082852,0.090999,242365.333333
3610288,Mumbai_Marathon,32,2,25,0.082601,0.088264,21830
223988,Orchidometer,21,1,20,0.1166,0.129259,0
53417054,Noel_Francisco,35,6,22,0.100303,0.112525,23189.727366
48416582,2016_Oakland_Raiders_season,15,21,20,0.149191,0.186942,79842.028236
185586,Baedeker_Blitz,12,2,26,0.081635,0.087758,0
39338836,Spiez_Laboratory,48,1,21,0.105679,0.115582,0
1997332,The_Prince_and_the_Showgirl,12,1,32,0.054979,0.057577,0
17571858,Never_Let_Go,1,2,28,0.071432,0.075741,4370
1461470,Great_Lakes_Storm_of_1913,3,1,23,0.107166,0.120739,0
48420062,2016_New_York_Jets_season,15,31,20,0.151566,0.190572,167077.223084
8526396,Golden_Age_of_Porn,9,1,23,0.115132,0.129793,0
34440702,Reginald_Ho,19,1,22,0.115403,0.135683,0
47609260,Colleen_Quigley,19,3,22,0.129938,0.161195,8738
8916164,Voina,41,4,22,0.099592,0.108856,2183
21188846,Jeremy_Bates_(American_football),15,5,21,0.131451,0.158423,5920.48422
37274702,Nintendo_Direct,47,3,24,0.095608,0.104691,39266
26323292,Cedric_Richmond,35,6,24,0.082244,0.090376,0
1291826,The_NFL_Today,15,27,19,0.16364,0.201903,474697.783821
58410236,Christian_Offenberg,17,18,28,0.070872,0.079178,7797.43547
53220616,2017_Big_Ten_Football_Championship_Game,19,9,20,0.141392,0.175509,34863.183612
44316528,Michigan_IMG_Sports_Network,15,2,21,0.133043,0.158598,542.483147
469314,"Basil_Feldman,_Baron_Feldman",1,2,30,0.062528,0.065718,0
11205710,Amnesty_law,35,1,23,0.087515,0.095018,0
7015794,Zelda_Spellman,28,3,29,0.068665,0.073012,0
4785476,DIY_SOS,48,2,22,0.089837,0.097535,4370
12807298,Jack_Collison,46,1,26,0.081816,0.089828,0
47983398,2016_WNBA_draft,6,3,22,0.107161,0.121435,1653.275247
28564928,Nico_Schulz,29,1,23,0.104151,0.115774,0
4416340,Richard_Drew_(photographer),5,2,21,0.10475,0.117431,0.333333
6984940,Valley_Stream_Central_High_School,22,1,23,0.107756,0.117822,0
3459152,Aircraft_Nuclear_Propulsion,44,6,24,0.092106,0.100331,4366
2466072,Fannie_Hurst,18,5,25,0.093732,0.102142,5.5
49751550,2016_Appalachian_State_Mountaineers_football_team,19,9,21,0.127747,0.153558,375.364329
38487950,Audie_Murphy_honors_and_awards,12,5,24,0.104762,0.116797,129885.730043
27070384,Appaloosa_Management,2,1,24,0.095175,0.103519,0
438070,Guilford_College,3,2,21,0.12045,0.137523,0
44671052,Doug_DeVos,38,7,24,0.108989,0.122736,230.004199
51707192,"Brian_Price_(American_football,_born_1994)",19,1,22,0.118655,0.136434,0
2243106,Ryan_Howard,11,2,24,0.099817,0.108633,21830
5831454,John_Lupton,9,1,25,0.094036,0.101972,0
40580014,Molly_McGrath,19,9,20,0.144238,0.179047,7780.182054
34620096,The_Man_from_Jupiter,9,7,22,0.131569,0.156188,601.334876
16884964,Claudia_McNeil,9,2,24,0.104215,0.114223,0
49550066,Dominic_Thiem_career_statistics,32,1,25,0.08269,0.089533,0
31744838,List_of_dates_predicted_for_apocalyptic_events,45,3,23,0.110206,0.126037,96884.707993
36987128,Melissa_Doi,5,1,20,0.114966,0.129263,0
41205444,Aliir_Aliir,8,1,24,0.101174,0.116125,0
10602046,List_of_Atlanta_Falcons_starting_quarterbacks,15,1,21,0.117969,0.131459,0
57065704,Jack_Higgins_(Australian_footballer),8,11,23,0.104946,0.123435,2449.096458
45117360,Rafael_Gaglianone,19,2,21,0.129212,0.152184,0
1891492,Charleston_Southern_University,19,4,22,0.129977,0.161488,3.142857
1450138,Liz_Fraser,1,5,26,0.083256,0.089739,26201
6587294,Hamida_al-Attas,41,4,20,0.117163,0.129307,0
5082938,Wales_national_under-21_football_team,46,8,25,0.089104,0.100868,14248.432901
659782,List_of_New_York_State_Senators,2,13,23,0.092751,0.102766,7772.22981
5447420,Unsportsmanlike_conduct,15,5,22,0.11695,0.136215,8881.52813
57015176,2018_Hawaii_Rainbow_Warriors_football_team,19,5,21,0.128088,0.152603,505.74849
36135294,National_Suicide_Prevention_Week,21,2,18,0.147241,0.172077,297985.901436
168778,Jonathan_Lynn,9,2,25,0.094361,0.103284,890.237381
8827552,Kevin_Wilson_(American_football),19,6,21,0.134762,0.161611,179237.187561
35881194,Sierra_(film),12,1,24,0.104258,0.114894,0
6080850,Miss_Mississippi,4,33,21,0.124946,0.146878,5.246978
2424650,The_Super_Bowl_Shuffle,15,15,21,0.142699,0.179467,398.595571
151024,"Goose_Creek,_South_Carolina",3,13,21,0.134253,0.161349,137682.327541
38603560,1960_New_Zealand_rugby_union_tour_of_Australia_and_South_Africa,26,2,24,0.079057,0.084931,0
7289942,William_M._Feehan,5,1,21,0.103468,0.113682,0
24476540,Norman_D._Golden_II,9,2,22,0.130043,0.153351,0
52802528,Cam_Akers,19,1,21,0.12876,0.153668,0
426458,New_York_State_Legislature,2,11,21,0.105264,0.116527,41433.387148
53930886,Tanner_Vallejo,37,2,22,0.116869,0.13616,0
55471940,Alex_Lewington,26,3,29,0.056754,0.059551,2184.5
15582906,Luzia,31,1,29,0.062407,0.066651,0
43826982,Kira_Kazantsev,4,24,22,0.11123,0.127983,2410.37248
355718,David_Stockman,35,1,25,0.075986,0.081494,0
35809660,Anjali_Gopalan,21,3,22,0.094974,0.102902,0
46344546,MyCole_Pruitt,15,9,21,0.137112,0.168289,9221.471056
32668306,Conor_Hourihane,46,1,26,0.08045,0.087071,0
6311052,United_States_Davis_Cup_team,32,7,23,0.098079,0.109609,2182
2699662,Napoleon_Kaufman,19,5,21,0.127811,0.152946,2450.662051
8812582,Richard_Jones_(The_Feeling),25,1,25,0.086337,0.091856,0
13727424,Monday_Night_Miracle_(American_football),15,19,19,0.149938,0.182405,19088.864465
361388,"List_of_people_who_have_won_Academy,_Emmy,_Grammy,_and_Tony_Awards",22,15,21,0.128684,0.145291,100571.704729
5806110,White_Lightning_(1973_film),9,7,22,0.13012,0.154214,3522.090776
41853326,Inter_Miami_CF,11,5,23,0.110846,0.123322,21838
3454180,Hurricane_Charley_(1986),3,22,21,0.126692,0.153299,18436.581684
43495438,List_of_Formula_One_race_records,14,3,25,0.087042,0.095153,13114.75
41962586,Some_Came_Running_(film),9,3,24,0.10399,0.115614,8739
12449916,LGBT_rights_in_Sri_Lanka,21,6,21,0.104908,0.115755,35.769048
50926542,WNBA_Top_20@20,6,10,21,0.119146,0.139899,11850.050517
31757952,James_Vincent_McMorrow,22,1,24,0.102033,0.112764,0
6947166,The_Nifty_Nineties,24,3,24,0.093587,0.102295,52319
46389968,John_Hussey_(American_football_official),29,1,22,0.121464,0.138152,0
1263594,Seychelles_national_football_team,45,19,23,0.110045,0.128009,8738
4634230,Emmaline_Henry,9,1,25,0.096157,0.105602,0
49252552,Chidozie_Awaziem,45,2,24,0.09914,0.11078,0
1148654,Battle_of_Rabaul_(1942),40,1,25,0.084173,0.089871,0
42429912,Arina_Averina,13,7,25,0.083123,0.09062,1092.283333
34911226,James_Tedesco,10,3,22,0.09364,0.103039,30548
