,Main_Topics,Higher_Weighted_Article
0,Sports (0.27) / Military_and_warfare (0.02) / History (0.01) ,George Burgess (rugby league) (505)
1,Military_and_warfare (0.17) / Transportation (0.14) / History (0.1) ,Battle of Jutland (194)
2,Architecture (0.05) / Visual_arts* (0.05) / History (0.06) ,Paço de São Cristóvão (244)
3,Society (0.06) / Politics_and_government (0.05) / Military_and_warfare (0.04) ,Transgender (401)
4,Sports (0.28) / Education (0.02) / Media* (0.04) ,NCAA Division I (49506)
5,Politics_and_government (0.18) / Business_and_economics (0.04) / Society (0.02) ,Popular Democratic Party (Puerto Rico) (113)
6,Visual_arts* (0.06) / Media* (0.05) / Fashion (0.05) ,Laura Bennett (222)
7,Politics_and_government (0.07) / Media* (0.05) / Military_and_warfare (0.05) ,Opinion polls about 9/11 conspiracy theories (1735)
8,Sports (0.2) / Politics_and_government (0.02) / Media* (0.02) ,2019 UEFA European Under-21 Championship qualification Group 8 (1595)
9,Sports (0.23) / Food_and_drink (0.01) / Society (0.01) ,Don Nelson (835)
10,Sports (0.26) / Media* (0.05) / Television (0.01) ,2016 Chicago Bears season (19759)
11,Politics_and_government (0.17) / Education (0.02) / Military_and_warfare (0.02) ,United States Senate Committee on the Judiciary (1915)
12,Media* (0.21) / Music (0.17) / Television (0.01) ,Mac Miller (2788)
13,Sports (0.21) / Society (0.05) / Politics_and_government (0.03) ,Erik Karlsson (1026)
14,Earth_and_environment (0.09) / Media* (0.02) / Technology (0.02) ,Hurricane Florence (5999)
15,Sports (0.09) / Media* (0.04) / Society (0.02) ,Luke Hodge (502)
16,Media* (0.14) / Literature (0.06) / Visual_arts* (0.05) ,Chilling Adventures of Sabrina (TV series) (183)
17,Media* (0.09) / Military_and_warfare (0.08) / Films (0.05) ,The Ghost Train (1941 film) (577)
18,Media* (0.02) / Politics_and_government (0.09) / Medicine_&_Health (0.03) ,List of Question Time episodes (301)
19,Media* (0.18) / Films (0.1) / Entertainment (0.07) ,Carry On Cruising (118)
20,Media* (0.19) / Films (0.11) / Television (0.05) ,Burt Reynolds filmography (17731)
21,Earth_and_environment (0.05) / Media* (0.09) / Video_games (0.07) ,2018 Hokkaido Eastern Iburi earthquake (75)
22,Sports (0.27) / Biography* (0.19) / Northern_Europe (0.27) ,Christian Offenberg (437)
23,Sports (0.23) / Education (0.01) / Politics_and_government (0.01) ,2018 WNBA Finals (508)
24,Sports (0.34) / Society (0.01) / History (0.0) ,Madagascar national football team (1689)
25,Media* (0.19) / Music (0.12) / Society (0.06) ,Dua Lipa (922)
26,Transportation (0.18) / Military_and_warfare (0.18) / Engineering (0.15) ,Convair NB-36H (42)
27,Media* (0.14) / Films (0.05) / History (0.14) ,Imitation of Life (1934 film) (80)
28,Politics_and_government (0.08) / Media* (0.09) / Society (0.02) ,Barack Obama (2347)
29,Visual_arts* (0.21) / Fashion (0.21) / Sports (0.02) ,Miss America 2013 (3051)
30,Sports (0.28) / Media* (0.01) / Music (0.01) ,2017 Rugby Championship (608)
31,Sports (0.26) / Visual_arts* (0.01) / Society (0.0) ,France men's national basketball team (851)
32,Media* (0.12) / Television (0.11) / Entertainment (0.11) ,Impact Wrestling Lockdown (178)
33,Sports (0.25) / Media* (0.03) / Business_and_economics (0.01) ,Lewis Hamilton (596)
34,Politics_and_government (0.13) / Transportation (0.11) / Media* (0.05) ,2008 Chatsworth train collision (23)
35,Military_and_warfare (0.08) / History (0.04) / Earth_and_environment (0.06) ,Battle of Bita Paka (15)
36,Sports (0.25) / Society (0.02) / Literature (0.01) ,Rhythmic Gymnastics World Championships (340)
37,Sports (0.04) / Visual_arts* (0.04) / Architecture (0.03) ,1968 Detroit Tigers season (129)
38,Performing_arts (0.09) / Media* (0.09) / Sports (0.08) ,Strictly Come Dancing (series 11) (612)
39,Sports (0.21) / Transportation (0.08) / Engineering (0.06) ,NHRA U.S. Nationals (85)
40,Sports (0.31) / Western_Europe (0.03) / Europe* (0.15) ,The Evian Championship (242)
41,Politics_and_government (0.1) / History (0.09) / Philosophy_and_religion (0.04) ,Mark Hanna (163)
42,Business_and_economics (0.13) / Technology (0.13) / Media* (0.07) ,Ruth Porat (21)
43,Sports (0.33) / Education (0.02) / Media* (0.01) ,Timmy Jernigan (1018)
44,Literature (0.16) / Comics_and_Anime (0.13) / Visual_arts* (0.12) ,Miles Morales (307)
45,Sports (0.25) / History (0.02) / Politics_and_government (0.01) ,Mahmudullah (253)
46,Media* (0.12) / Transportation (0.06) / Television (0.06) ,The Cheever Letters (1)
47,Media* (0.14) / Music (0.09) / Sports (0.04) ,Isyana Sarasvati (27)
48,Media* (0.33) / Television (0.17) / Music (0.17) ,The End (American Horror Story) (35)
49,Sports (0.28) / Society (0.04) / Architecture (0.04) ,Circuit Zandvoort (19)
