Id,Label,timeset,modularity_class,wID,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
3438500,Travis_Green,,13,3438500,2,28,0.081776,0.088489,13932
6025204,Cristian_S?punaru,,7,6025204,6,22,0.1053,0.120734,49249.461056
40944836,2017_UEFA_European_Under-21_Championship,,7,40944836,7,22,0.10087,0.115371,31550.529135
53080768,2017_United_States_Grand_Prix,,24,53080768,3,26,0.090771,0.099594,0
1780756,Mishaal_bint_Fahd_bin_Mohammed_Al_Saud,,18,1780756,6,22,0.108967,0.122504,4957.805124
27421172,Scotland_at_the_FIFA_World_Cup,,23,27421172,5,25,0.086467,0.097031,32726.233135
694468,Wilma_Mankiller,,5,694468,2,23,0.106605,0.119329,0
7404478,Rick_Spielman,,25,7404478,1,26,0.09422,0.103233,0
1257708,Jos?_Cardozo,,7,1257708,2,25,0.079403,0.085405,13932
8177054,Immigration_New_Zealand,,45,8177054,28,20,0.120839,0.139816,410408.64726
6805198,Kevin_Barker,,5,6805198,1,26,0.095429,0.10325,0
47912420,Matt_Canada,,25,47912420,1,27,0.093563,0.10575,0
903002,Hurricane_Iniki,,6,903002,5,21,0.101799,0.120868,2597.154219
16712654,Dar?o_Lopilato,,2,16712654,1,26,0.073996,0.077798,0
28935060,Faouzi_Ghoulam,,38,28935060,2,24,0.095025,0.107114,7227.082999
5032618,RDS_Arena,,32,5032618,3,27,0.081091,0.087669,2.365079
33066644,Brock_Osweiler,,1,33066644,10,23,0.112882,0.140892,43097.776238
44459730,Kevin_Lasagna,,7,44459730,1,24,0.082653,0.090076,0
15146430,J?nior_Moraes,,38,15146430,2,24,0.09132,0.100208,13932
39567744,H?ctor_Barrantes,,43,39567744,3,21,0.111061,0.122616,0
48227962,Jamilu_Collins,,11,48227962,4,24,0.093145,0.105468,2.916667
25951276,List_of_natural_disasters_in_Haiti,,6,25951276,7,20,0.104242,0.123898,18800.656076
628266,Williams?Brice_Stadium,,25,628266,4,27,0.089582,0.099949,670.411483
1263594,Seychelles_national_football_team,,11,1263594,21,24,0.094848,0.111597,6930.985286
55362964,Abdul_Latif_Jameel,,29,55362964,1,29,0.072268,0.07669,0
34911226,James_Tedesco,,32,34911226,7,24,0.11059,0.123508,6603.400512
39080538,Colorado_Rockies_Radio_Network,,8,39080538,13,24,0.119889,0.141532,24160.810981
245794,Salyut_1,,0,245794,8,25,0.089643,0.102391,299.640934
41994482,DICE_model,,29,41994482,1,27,0.085341,0.092262,0
8576918,Blood_and_Sand_(1941_film),,33,8576918,3,31,0.04986,0.052648,23210
1266602,List_of_NASCAR_teams,,9,1266602,6,25,0.100348,0.112052,2764.558825
39475408,Madison_Bowey,,13,39475408,2,28,0.076069,0.081509,0
42526094,Belgium_national_football_team_records_and_statistics,,7,42526094,1,26,0.070685,0.074533,0
26608934,Eyewall_replacement_cycle,,6,26608934,11,20,0.108226,0.129923,10245.735611
43444048,Alan_Patrick_(fighter),,4,43444048,1,27,0.085068,0.095294,0
11699060,Southwest_Georgia,,6,11699060,2,21,0.093113,0.105859,1.42037
21576782,List_of_winners_of_the_Chicago_Marathon,,29,21576782,4,26,0.089314,0.097699,27851
23685324,Gill_Marcus,,10,23685324,4,31,0.054785,0.058729,2321.833333
23498576,Raymore_Drive,,6,23498576,2,22,0.089705,0.101585,0
25978550,Visa_requirements_for_Bruneian_citizens,,45,25978550,11,21,0.109986,0.124813,13665.197126
1969800,ASVEL_Basket,,26,1969800,7,27,0.076205,0.082723,6193
40019242,Mayweather_Promotions,,4,40019242,2,27,0.085069,0.095377,4646
26363008,Helen_Grant_(politician),,19,26363008,2,27,0.069465,0.072671,0
57263836,2018?19_European_Rugby_Challenge_Cup,,32,57263836,6,26,0.088217,0.096754,9806.928968
10636962,Sean_Fletcher,,22,10636962,2,21,0.108783,0.118648,66687.444777
611614,Linda_Cohn,,8,611614,1,25,0.10133,0.113324,0
3291454,Laser_acronyms,,36,3291454,1,26,0.077884,0.084412,0
26256606,Ed_Henry,,5,26256606,6,22,0.110706,0.121294,62186.710311
24225006,Aleksandar_Trajkovski,,7,24225006,1,21,0.104688,0.119021,0
51312078,Trump_Village,,0,51312078,4,21,0.096054,0.104332,16321.728304
35623176,Memphis_Depay,,23,35623176,5,24,0.094147,0.107714,53231.496043
47594836,2015?16_stock_market_selloff,,31,47594836,5,23,0.092096,0.099505,150070.05479
109174,"Greensboro,_Florida",,6,109174,3,20,0.099599,0.11561,1.075
2075100,Stary_Oskol,,4,2075100,1,27,0.086657,0.097275,0
725692,The_Will_Rogers_Follies,,34,725692,2,23,0.089875,0.096547,0
57466588,Aziza_al-Yousef,,18,57466588,4,22,0.108296,0.120865,0
25575800,Sarah_Thomas_(American_football_official),,2,25575800,1,25,0.093046,0.100952,0
47940150,1842_Atlantic_hurricane_season,,6,47940150,3,21,0.098443,0.115183,0
33708602,"Valerian_Wellesley,_8th_Duke_of_Wellington",,43,33708602,2,21,0.11292,0.125926,0
40459936,Randall_Cunningham_II,,1,40459936,2,26,0.088692,0.100098,0
3948394,Randy_Lerner,,22,3948394,2,23,0.095099,0.103931,0.333333
2670688,Le_Touquet,,15,2670688,1,25,0.086764,0.092922,0
168562,New_Kids_on_the_Block,,41,168562,4,30,0.058274,0.063001,37125
51352314,A._J._Minter,,8,51352314,7,26,0.098539,0.110082,0
21365294,Daniel_Stendel,,22,21365294,4,23,0.089813,0.097796,11600
56358490,Great_Britain_at_the_2018_Summer_Youth_Olympics,,30,56358490,29,26,0.078086,0.091701,44.354786
1864848,Leopold_Joseph_von_Daun,,7,1864848,5,24,0.083363,0.092614,32.351347
5656536,Halloween_Massacre,,29,5656536,2,23,0.09513,0.103416,0
12965984,Super2_Series,,24,12965984,9,28,0.07714,0.086084,662.758168
1204876,Madagascar_national_football_team,,11,1204876,21,23,0.099559,0.118096,48760.058053
4463232,Heavy_cavalry,,7,4463232,1,25,0.07696,0.083788,0
39040,Ernest_Lawrence,,22,39040,8,25,0.099648,0.109441,12139.208316
19053812,Zhang_Shuai_(tennis),,37,19053812,2,28,0.070842,0.07762,0
1623636,Alexandre_Pr?mat,,24,1623636,13,28,0.077152,0.086633,1.235458
80678,Jeeves,,16,80678,3,25,0.078649,0.08354,0
16671402,Seattle_SuperSonics,,25,16671402,11,25,0.094759,0.107431,46388.666667
47262048,Votive_offering,,33,47262048,1,23,0.081883,0.087467,0
12801854,Saturday_Night_Live_(season_2),,2,12801854,5,23,0.104104,0.11473,56001.441142
109368,"Bristol,_Florida",,6,109368,4,20,0.10215,0.120814,296.81806
45287906,Dylan_Floro,,8,45287906,4,26,0.09475,0.104662,0
22004388,Enda_Stevens,,7,22004388,5,21,0.104827,0.120029,66867.348795
48058766,Dor_Peretz,,15,48058766,1,25,0.084241,0.090688,0
2478476,Johnnie_Morton,,1,2478476,2,26,0.09426,0.109514,398.937133
53994990,2017?18_European_Rugby_Champions_Cup,,32,53994990,7,27,0.081101,0.088207,29.916667
4387450,Johnston_Press,,31,4387450,1,28,0.065832,0.069783,0
9986116,Rich_Garcia,,8,9986116,2,26,0.100967,0.112795,769.513456
38686320,George_Saville,,38,38686320,1,25,0.076456,0.081244,0
30304580,2011_New_Orleans_Saints_season,,1,30304580,20,22,0.113024,0.137848,79176.926301
1615666,Mons_Meg,,45,1615666,1,27,0.066026,0.068852,0
16203462,Kieran_Powell,,21,16203462,4,31,0.060116,0.066161,7053.59921
1203364,Larry_Perkins,,24,1203364,18,27,0.083534,0.094899,139.14086
1224672,Mark_Mulder,,8,1224672,10,24,0.118043,0.138666,40926.371369
48283064,Desmond_King_(American_football),,1,48283064,8,23,0.10912,0.136956,10482.484496
18525460,Lars_Stindl,,23,18525460,2,27,0.071985,0.077736,0
528452,Bob_Mortimer,,44,528452,1,24,0.084482,0.090874,0
1198098,Aruba_national_football_team,,11,1198098,10,23,0.097116,0.111315,9899.342663
57168544,Joice_Hasselmann,,35,57168544,1,26,0.087706,0.0956,0
6278370,"Alligator_Point,_Florida",,6,6278370,9,20,0.102051,0.121752,78.761566
4505790,Christian_Labour_Party,,35,4505790,20,25,0.091141,0.101839,99.96947
21201816,List_of_federal_judges_appointed_by_Gerald_Ford,,29,21201816,1,26,0.074071,0.077978,0
2886998,1988_Notre_Dame_vs._Miami_football_game,,25,2886998,9,24,0.114707,0.13739,79372.35751
16224308,Ryan_Lizza,,5,16224308,1,22,0.098524,0.104831,0
33455292,Tyler_Eifert,,1,33455292,4,25,0.100654,0.123358,4654.886742
51894226,Billboard_Music_Award_for_Top_Social_Artist,,41,51894226,1,31,0.055059,0.058169,0
34902618,Linton_Vassell,,4,34902618,3,26,0.093003,0.108983,645.347269
20818110,Roman_Neust?dter,,23,20818110,3,24,0.088172,0.097026,10640.383794
9742232,None_Shall_Escape,,14,9742232,3,31,0.060985,0.064352,9291
52055972,Lulu_Wilson,,43,52055972,1,23,0.089293,0.096141,0
35547176,Pamela_Austin,,33,35547176,1,27,0.061703,0.064128,0
49379350,Misha_Cirkunov,,4,49379350,2,26,0.09297,0.108598,0
50374792,Eric_Murray_(American_football),,1,50374792,5,24,0.103654,0.126793,3994.596397
37288774,Yuki_Kawauchi,,29,37288774,1,27,0.081992,0.087986,0
419350,Felipe_Alou,,8,419350,1,27,0.085876,0.093774,0
449020,Maxim_restaurant_suicide_bombing,,16,449020,1,25,0.092525,0.100746,0
13055518,Hurricane_Felix,,6,13055518,28,20,0.104481,0.128662,432.941307
82792,Susan_Barrantes,,43,82792,4,21,0.11416,0.126961,260.005779
45094264,Melo_Trimble,,26,45094264,5,24,0.096261,0.106144,27492.739582
13816250,Meteorological_history_of_Hurricane_Ivan,,6,13816250,7,20,0.104298,0.124676,1534.312307
17970,Leon_M._Lederman,,36,17970,7,25,0.084469,0.094244,9291
21294296,Scott_Pye,,24,21294296,24,28,0.077176,0.087995,6.103097
27426478,List_of_prizes_known_as_the_Nobel_of_a_field,,36,27426478,7,23,0.09493,0.107151,1093.397151
32143200,List_of_LSU_Tigers_head_football_coaches,,25,32143200,4,26,0.094756,0.106252,13917.791284
49513486,Rafa?_Kurzawa,,17,49513486,1,23,0.087843,0.096552,0
58692244,Kim_Jong_Yang,,28,58692244,3,24,0.071378,0.07786,0
23248364,Meteorological_history_of_Hurricane_Andrew,,6,23248364,14,20,0.110069,0.13424,171164.464151
21463690,Peaches_Geldof,,43,21463690,1,21,0.105753,0.115066,0
228432,Open_Vlaamse_Liberalen_en_Democraten,,28,228432,9,22,0.081193,0.089964,4647.4
374530,Ventnor,,22,374530,4,23,0.098978,0.107282,66167.019053
129090,Scoliosis,,15,129090,4,20,0.135201,0.155959,1955472.606534
3526196,Red_Star_(comics),,40,3526196,3,23,0.091152,0.098024,0
593854,Susan_Peters,,14,593854,2,29,0.069444,0.0741,18572
55657668,Thailand_motorcycle_Grand_Prix,,3,55657668,4,30,0.066837,0.071817,3097.166667
12173324,Big-footed_mouse,,45,12173324,5,23,0.088854,0.096836,0
1077798,Shawn_Kemp,,25,1077798,2,25,0.09474,0.106426,0
1398300,Independent_Commission_Against_Corruption_(New_South_Wales),,18,1398300,3,20,0.113791,0.125344,0
38326,United_Nations_Interim_Administration_Mission_in_Kosovo,,45,38326,3,23,0.088826,0.096305,9291
30209218,Tony_Jefferson,,1,30209218,14,24,0.107649,0.13488,4250.13881
8957610,Indian_cricket_team_in_Sri_Lanka_in_1997,,21,8957610,1,34,0.050977,0.05428,0
624986,Jimmy_Johnstone,,23,624986,3,26,0.079867,0.087853,6162.986707
18700480,Griff_Jenkins,,8,18700480,6,23,0.125748,0.144131,33136.918186
16885650,Show_Boat_(1951_film),,16,16885650,8,22,0.101006,0.111408,84128.66594
53586010,Keith_Palmer_(police_officer),,19,53586010,1,24,0.083153,0.087938,0
49934024,?ukasz_Parobiec,,4,49934024,3,26,0.092975,0.10876,1175.078569
17404848,Stefan_Ratchford,,32,17404848,12,24,0.115479,0.130843,103988.125028
1847160,Frenchie_Davis,,2,1847160,2,23,0.094227,0.101629,0
25526560,Mario_Gavranovi?,,7,25526560,1,23,0.08978,0.098767,0
6031338,Tuck_rule_(American_football),,1,6031338,1,25,0.101574,0.11417,0
9534194,Antonella_Barba,,2,9534194,2,23,0.094227,0.101629,0
491056,Province_of_North_Carolina,,5,491056,8,21,0.102899,0.117536,45235.844061
38847674,La_mamma_(song),,34,38847674,11,22,0.086038,0.094138,0.1
50744336,Soyuz_MS-08,,0,50744336,26,24,0.093546,0.108595,1632.234383
34977316,Suguru_Osako,,29,34977316,1,28,0.075789,0.080533,0
3010,Alan_Jay_Lerner,,16,3010,10,22,0.102434,0.113407,87924.255249
44290392,Lesetja_Kganyago,,10,44290392,2,32,0.051943,0.055039,0
