Id,Label,timeset,modularity_class,wID,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
45340726,Bush_shoeing_incident,,33,45340726,2,19,0.140757,0.158483,7324.87129
53327602,Steven_Engel,,26,53327602,2,20,0.124083,0.139283,6241
47384600,Salud_Carbajal,,18,47384600,165,17,0.178231,0.236527,389937.213071
22964860,2009?10_Australian_region_cyclone_season,,30,22964860,1,19,0.10992,0.116147,0
1086750,LaMar_Baker,,44,1086750,3,19,0.147241,0.179253,1.705391
53664544,Ivan_Ili?_(footballer),,22,53664544,2,24,0.081105,0.08692,0
3782138,Slipknot_discography,,13,3782138,7,17,0.162862,0.189871,8314.666667
30736752,Bob_Adelman,,44,30736752,1,19,0.1392,0.162283,0
126724,"Hewlett_Harbor,_New_York",,6,126724,4,17,0.163236,0.187236,141533.92907
57435678,Matheus_Cunha,,22,57435678,2,22,0.08303,0.086786,0
36000462,Lance_McCullers_Jr.,,43,36000462,2,22,0.096546,0.103131,12480
43963356,Tim_Frazier,,16,43963356,3,18,0.135208,0.144665,18717
2927366,Wheat_weevil,,36,2927366,1,19,0.124058,0.134861,0
6215228,"David_Pannick,_Baron_Pannick",,12,6215228,2,18,0.129467,0.14017,471.017107
2273518,Debra_Stephenson,,11,2273518,2,21,0.110145,0.119246,0
31254090,Lois_Frankel,,18,31254090,165,18,0.166894,0.218613,2348.996612
343782,Parliamentary_Labour_Party,,12,343782,3,17,0.152919,0.170874,6768.494912
1221238,Constitution_of_Alabama,,44,1221238,2,19,0.144094,0.171049,0
1067318,Brian_Dennehy,,13,1067318,2,18,0.140043,0.155897,6241
53748336,Jonnu_Smith,,46,53748336,13,20,0.133166,0.149312,433.92131
2287298,Ulster_Banner,,24,2287298,3,19,0.118662,0.12884,5909.994999
264920,List_of_Wimbledon_Open_Era_champions,,29,264920,1,22,0.085959,0.08908,0
35658844,Ashes_Remain,,37,35658844,1,18,0.128151,0.136539,0
1357586,WOOD-TV,,40,1357586,1,21,0.103165,0.111559,0
41924876,Brandon_Darner,,13,41924876,6,18,0.140071,0.156343,0
46798328,Tom_Rogan,,37,46798328,1,19,0.125558,0.135284,0
35710074,Johnathan_Hankins,,46,35710074,2,22,0.101718,0.10793,0
58671840,Barbara_Mikli?_T?rk,,38,58671840,1,17,0.146988,0.16209,0
21282484,Electoral_history_of_Nancy_Pelosi,,44,21282484,8,19,0.150207,0.182905,14842.793724
5069630,Split-ticket_voting,,31,5069630,7,18,0.156347,0.194247,44273.672049
955460,Marvel_Mystery_Comics,,6,955460,15,16,0.162768,0.186631,59.749976
19956546,Dante_Falconeri,,38,19956546,3,20,0.110178,0.117382,1.5
40078632,Milo?_Degenek,,22,40078632,13,22,0.092046,0.100865,12749.676197
50645684,Richard_Bleier,,43,50645684,5,19,0.123753,0.130786,6636.32665
1916550,Clan_MacDougall,,30,1916550,16,18,0.137277,0.15776,302.059244
5650988,Neil_Danns,,21,5650988,4,19,0.119129,0.128579,171090.088816
11088878,Lou_Correa,,18,11088878,160,18,0.172732,0.229959,6356.152195
575140,John_Cox,,44,575140,1,20,0.128375,0.147215,0
16560990,Forbes_Galleries,,6,16560990,2,17,0.140311,0.154635,0
1529042,Peter_F._Paul,,6,1529042,5,17,0.162666,0.186128,14.920523
30861790,Jill_Wine-Banks,,44,30861790,3,19,0.139789,0.162718,499.131219
11447948,Michael_O._Freeman,,44,11447948,1,18,0.152456,0.190349,0
32226790,Battle_of_Haifa_(1918),,24,32226790,7,19,0.127022,0.142494,4.483333
5984234,Gallic_rooster,,24,5984234,7,19,0.1267,0.142246,350.156633
27708330,Cody_McKenzie,,40,27708330,1,20,0.112953,0.120176,0
2163452,Panel_(comics),,36,2163452,2,17,0.147943,0.166193,128022.174865
5062006,Joshua_ben_Perachiah,,37,5062006,4,17,0.147012,0.160604,9855.962996
52154470,Josh_Reynolds_(American_football),,46,52154470,2,20,0.119985,0.128725,0
1548538,Monarda,,36,1548538,2,19,0.124063,0.134968,6241
1377544,Hurd_Hatfield,,38,1377544,1,16,0.168885,0.194211,0
15536512,Hotel_Polski,,38,15536512,6,22,0.088776,0.093136,0
47609260,Colleen_Quigley,,29,47609260,4,21,0.094064,0.09876,0
1997332,The_Prince_and_the_Showgirl,,38,1997332,3,17,0.149713,0.166777,12481
18881518,Brian_Flores,,46,18881518,13,20,0.120027,0.131461,2956.20973
58829006,Susie_Lee,,18,58829006,137,18,0.167297,0.220912,1818.632444
562410,Pete_Murray_(DJ),,13,562410,2,19,0.122949,0.133747,24952
1669640,England_national_football_team_records_and_statistics,,21,1669640,5,20,0.105653,0.111963,79854.585328
44316528,Michigan_IMG_Sports_Network,,46,44316528,3,20,0.131532,0.142025,2690.69071
28394154,Wallace_Loh,,46,28394154,2,23,0.095197,0.099642,0
4411320,Chaunsa,,36,4411320,1,21,0.099673,0.105845,0
9079802,Jay_Carney,,26,9079802,7,18,0.149327,0.169842,9640.403949
43659046,Florent_Hadergjonaj,,21,43659046,8,20,0.100681,0.108812,0
4785476,DIY_SOS,,35,4785476,1,18,0.131322,0.14173,0
192296,Resignation_from_the_British_House_of_Commons,,12,192296,2,17,0.152192,0.172066,982.020098
709012,Kasey_Chambers,,38,709012,1,16,0.168885,0.194211,0
13535138,Habsburg_Netherlands,,38,13535138,4,17,0.150084,0.166951,0.645833
38919454,Jon_Cooper_(ice_hockey),,33,38919454,6,21,0.108287,0.11752,0
11174556,Paul_Bucha,,38,11174556,1,19,0.125251,0.132906,0
7818844,Indian_Human_Spaceflight_Programme,,32,7818844,6,23,0.088294,0.092757,15614
6605664,List_of_African-American_Medal_of_Honor_recipients,,6,6605664,2,18,0.122244,0.130761,18717
2306292,The_Spectacular_Spider-Man,,6,2306292,19,17,0.163497,0.188979,32.55778
9823364,Belfast_East_(Assembly_constituency),,30,9823364,1,18,0.132597,0.144991,0
58785816,Elaine_Luria,,18,58785816,157,18,0.16668,0.217077,754.868677
56213390,Arn?r_Sigur?sson,,22,56213390,4,24,0.072883,0.076853,8.75
2504428,Mike_Elizondo,,13,2504428,3,18,0.126808,0.137104,12481
47692588,Kim_Davis,,44,47692588,5,19,0.149789,0.179387,14150.282753
51449510,Joslyn_Davis,,34,51449510,1,20,0.102597,0.108465,0
44281314,Tian_Tao,,22,44281314,1,26,0.06636,0.069018,0
45229828,Joint_List,,37,45229828,7,20,0.1099,0.117283,0
37200096,Pro-Life_(politician),,44,37200096,3,18,0.163356,0.204183,0
34945862,John_Lineker,,40,34945862,1,19,0.120719,0.128005,0
6351910,Kansas_House_of_Representatives,,44,6351910,65,18,0.164441,0.212846,2834.620437
17349934,Rocky_Adkins,,44,17349934,1,19,0.141935,0.168055,0
4461320,Douglas_Brinkley,,19,4461320,1,20,0.123182,0.132036,0
28098592,Firing_of_Shirley_Sherrod,,26,28098592,1,22,0.101953,0.109798,0
22811726,Thepchaiya_Un-Nooh,,20,22811726,9,19,0.116436,0.125559,2910.547619
1616356,Orsk,,13,1616356,1,17,0.162819,0.189284,0
4178734,Bill_Brown_(American_football),,46,4178734,2,20,0.13479,0.147363,2548.107572
4710978,Jeremy_Colliton,,33,4710978,11,21,0.1083,0.117961,11436.783333
18562090,El?as_Hern?ndez,,39,18562090,5,22,0.099087,0.104593,24952
1840488,Martha_Henry,,24,1840488,3,18,0.126241,0.137526,7621.136417
4839138,Warwolf,,30,4839138,4,17,0.14485,0.164162,0
414448,Hal_Rogers,,18,414448,162,17,0.181032,0.235466,155965.893143
15205260,Anthony_B._Richmond,,38,15205260,1,17,0.149312,0.165095,0
8980772,Jenniffer_Gonz?lez,,18,8980772,169,18,0.171484,0.225943,8589.833243
4483626,Laguna_Pueblo,,44,4483626,2,18,0.147394,0.17524,0
25154686,The_Official_BBC_Children_in_Need_Medley,,6,25154686,3,17,0.145082,0.16196,12480
26465526,Fantastic_Four_(comic_book),,6,26465526,37,16,0.168844,0.197337,519.827437
816566,Poilu,,24,816566,11,19,0.133425,0.15056,9305.869076
31141228,Katharine_Viner,,35,31141228,1,19,0.128223,0.138148,0
597862,Israeli_disengagement_from_Gaza,,37,597862,8,18,0.132484,0.145654,14201.686232
16785614,Derry_Mathews,,29,16785614,2,23,0.08758,0.091961,0
20713710,John_Carter_(Texas_politician),,18,20713710,134,18,0.170012,0.221614,4242.88151
26694626,PlayStation_Vita,,34,26694626,3,18,0.12704,0.137813,11706.626355
167446,German_auxiliary_cruiser_Atlantis,,24,167446,3,20,0.106666,0.113946,31189
21128296,United_States_Ambassador-at-Large_for_International_Religious_Freedom,,44,21128296,1,18,0.152456,0.190349,0
6914082,Sampoorna_Grameen_Rozgar_Yojana,,37,6914082,3,22,0.086435,0.090184,0
12701804,Tomi_Ameobi,,21,12701804,1,21,0.092475,0.095886,0
537682,Chris_Bosh,,11,537682,1,21,0.110094,0.118956,0
129312,Hope_and_Glory_(film),,38,129312,4,17,0.14976,0.167111,23114.237548
416770,Nigel_Dodds,,12,416770,6,17,0.156716,0.177964,7773.792151
99504,Archie_Andrews,,6,99504,7,17,0.147096,0.165286,79.354494
253074,Governor_of_Kentucky,,44,253074,31,18,0.162853,0.207565,41172.708491
25037328,MTV_Europe_Music_Award_for_Best_Song,,13,25037328,5,20,0.100294,0.105196,0
9927094,Musa_Aman,,11,9927094,2,19,0.141158,0.161444,12480
4210112,Thad_Matta,,11,4210112,1,20,0.123695,0.136535,0
55273636,List_of_songs_recorded_by_the_Spice_Girls,,13,55273636,6,18,0.144722,0.161501,15859.147312
43524956,Dana_Boente,,44,43524956,8,18,0.157742,0.197287,407.842078
20598060,Pando_(tree),,19,20598060,1,20,0.122966,0.13293,0
2806210,Tales_of_Rebirth,,38,2806210,3,18,0.125183,0.13513,0
355718,David_Stockman,,44,355718,6,19,0.151796,0.185277,3765.620713
2673912,Susan_Bysiewicz,,44,2673912,43,18,0.155285,0.199779,4131.361147
37107872,Robert_Sprague,,44,37107872,10,19,0.144584,0.174254,870.909467
47993740,Joan_Larsen,,44,47993740,2,19,0.132823,0.154944,0
1397588,Raja_Bell,,16,1397588,1,19,0.119721,0.126273,0
25895112,Sheena_Iyengar,,16,25895112,1,18,0.152144,0.171633,0
15146430,J?nior_Moraes,,22,15146430,3,22,0.089152,0.096368,14267.584872
54738050,RAISE_Act,,26,54738050,2,18,0.157178,0.19565,4757.70394
1350052,Adrian_Vandenberg,,13,1350052,1,17,0.162819,0.189284,0
7294634,Brian_Snitker,,43,7294634,3,21,0.107913,0.113324,0
46644858,Jo_Cox,,37,46644858,2,16,0.169142,0.194808,41233.844501
53921236,Adrian_Colbert,,46,53921236,3,21,0.107076,0.113892,0
38825672,Arlissa,,13,38825672,2,17,0.16403,0.190504,45087.909572
2323176,Simeon_ben_Shetach,,37,2323176,2,18,0.131924,0.141697,0
27359524,Slave_contract,,13,27359524,1,20,0.111544,0.119149,0
19336402,Secretary_of_State_of_Louisiana,,44,19336402,19,18,0.153163,0.195372,5771.564512
31757952,James_Vincent_McMorrow,,38,31757952,1,16,0.168885,0.194211,0
27339088,Torture_Memos,,26,27339088,1,21,0.110388,0.120633,0
3498526,Forest_of_Compi?gne,,24,3498526,4,20,0.112258,0.122613,13127.935703
38023950,Eduardo_Ferrer,,18,38023950,1,20,0.128637,0.14652,0
58984886,Who_Are_You_Now?_(The_Walking_Dead),,30,58984886,3,22,0.093322,0.098039,6238.5
1251524,Folivore,,36,1251524,4,22,0.090661,0.095579,0
370354,Clacton-on-Sea,,12,370354,3,18,0.128831,0.138886,22.114308
53214,North_West_England,,12,53214,11,16,0.16024,0.179865,67319.232106
5116930,NHS_Scotland,,30,5116930,6,18,0.141796,0.155924,12171.808015
230366,Pommel_horse,,29,230366,4,22,0.085929,0.08913,12482
21099348,Darren_Soto,,18,21099348,158,18,0.165382,0.215608,854.25961
1691624,Club_Olimpia,,39,1691624,8,20,0.122787,0.13197,31548.532028
47469008,Richarlison,,21,47469008,3,20,0.101185,0.108798,16597.036093
32878560,List_of_Argentine_football_champions,,39,32878560,1,21,0.108265,0.113757,0
58982940,Dean_Phillips,,18,58982940,156,18,0.170845,0.224469,14274.570309
56053904,Reina_Hispanoamericana_2017,,11,56053904,1,22,0.099221,0.105822,0
358244,Dumbarton,,30,358244,6,18,0.135061,0.154073,58081.458111
26726196,Charles_B._Gatewood,,38,26726196,1,19,0.114203,0.120873,0
1439152,British_Rail_Class_91,,35,1439152,2,18,0.135401,0.147053,293.134315
47576652,Cannabis_in_Wisconsin,,40,47576652,7,19,0.129969,0.148449,0
21761074,The_Hexer_(TV_series),,13,21761074,1,18,0.140031,0.155769,0
789386,Fernando_Ricksen,,21,789386,3,22,0.086823,0.09171,10760.25884
27275520,Alison_McGovern,,12,27275520,1,19,0.115434,0.123314,0
31755604,Heng_Swee_Keat,,12,31755604,3,19,0.119744,0.128645,18717
54263674,"James_Ryan_(rugby_union,_born_1996)",,42,54263674,5,22,0.088538,0.093485,8320.333333
26605906,Somerset_de_Chair,,12,26605906,4,17,0.161225,0.183913,19302.554062
30325024,Lions?Vikings_rivalry,,46,30325024,3,21,0.115999,0.125053,536.358044
23883204,K._Shanmugam,,12,23883204,3,20,0.106946,0.113253,6241
3930374,Political_positions_of_Noam_Chomsky,,33,3930374,2,20,0.127175,0.144235,6241
1690888,Never_Gone,,13,1690888,5,17,0.151208,0.165547,26181.554807
21580576,Electoral_history_of_Abraham_Lincoln,,38,21580576,4,18,0.161605,0.198509,59288.424547
57959364,Ferguson_Fire,,19,57959364,23,19,0.146536,0.164073,186.968946
29194432,Tom_Marino,,18,29194432,10,18,0.163866,0.206741,103.34467
28062054,Slip_of_the_Tongue,,44,28062054,1,18,0.147673,0.169911,0
