,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
52803409,Hunter Johnson (American football),13.653847,60,119,190,-3.7575548,0.8787848,52803409,4,4,0.0,Q28228759
52820853,Chip Long,10.0,60,119,190,24.792048,24.308502,52820853,1,4,0.0,Q28162693
52824784,Hunter Renfrow,39.23077,60,119,190,6.197805,-21.610973,52824784,25,4,17805.142151252658,Q28167135
52825383,Riley Meredith,11.217949,234,89,0,20.111248,-14.023323,52825383,2,21,0.0,Q28167145
52825398,Will Sutherland,17.307693,234,89,0,-17.50941,-19.674107,52825398,7,21,1691.0666438203234,Q28167149
52850951,Matt Burke (American football),11.217949,69,155,0,-22.892511,-22.852114,52850951,2,6,0.0,Q28228764
52869860,2017 Notre Dame Fighting Irish football team,48.974358,60,119,190,-7.0515127,-19.381104,52869860,33,4,39124.29202658301,Q28450524
52879640,Wonderland Live,14.871795,192,192,192,22.01657,-10.418447,52879640,5,17,14662.393546033356,Q28450630
52888623,Rayan Yaslam,13.653847,192,192,192,10.461931,-22.633192,52888623,4,44,0.0,Q28363954
52906314,Extremis (Doctor Who),18.525642,192,192,192,23.548916,-14.370772,52906314,8,29,1090.8030547181615,Q29719425
53016129,Sean Longstaff,11.217949,0,163,145,-10.14309,-18.484406,53016129,2,22,5296.0,Q28542599
53020238,Riyan Parag,10.0,234,89,0,0.8547593,4.6271567,53020238,1,21,0.0,Q28549840
53035862,Chris Ballard (American football),20.961538,69,155,0,-1.6943858,-22.565443,53035862,10,6,2642.0602755064347,Q28561876
53040432,Chris Grier,17.307693,69,155,0,-19.21906,7.8968954,53040432,7,6,72.16408791575888,Q28823195
53057158,2017 Clemson Tigers football team,50.192307,60,119,190,-11.597242,24.786766,53057158,34,4,6009.52140196421,Q28864509
53075494,Dominic Parker,10.0,89,127,28,-13.517711,19.21152,53075494,1,2,0.0,Q28839654
53079482,Janet Sawbridge,12.435898,255,15,65,-22.09605,-22.460598,53079482,3,0,34909.06507376736,Q1682668
53084939,Raquel Pélissier,16.089745,0,159,54,-8.522785,24.85454,53084939,6,18,2178.384237765473,Q28599765
53140171,Mark Godbeer,10.0,0,145,175,14.856389,13.090913,53140171,1,17,0.0,Q28740197
53153170,Lina Länsberg,14.871795,0,145,175,17.632244,-22.643097,53153170,5,17,1.9086078769656865,Q4964487
53225726,2017 SEC Championship Game,14.871795,60,119,190,24.744781,22.74434,53225726,5,4,106.07753346851244,Q28864553
53232704,Miss International 2017,34.35898,0,159,54,18.248018,-2.3571808,53232704,21,18,1637.918977801042,Q28799832
53236775,2017 Wisconsin Badgers football team,36.794872,60,119,190,-18.948051,19.103119,53236775,23,4,10018.567788493332,Q29101151
53239645,2017 Miami Hurricanes football team,27.051283,60,119,190,17.159758,-19.802563,53239645,15,4,4389.1218522452755,Q29101152
53282782,Johannes Høsflot Klæbo,16.089745,192,192,192,9.476479,-8.638776,53282782,6,36,28.390476190476313,Q19376368
53292602,Megan Olivi,10.0,0,145,175,21.113443,-19.094137,53292602,1,17,0.0,Q28840334
53306429,List of Seventeen concert tours,10.0,154,122,0,10.894722,21.416927,53306429,1,11,0.0,Q28848914
53330484,Cyclone Althea,16.089745,154,122,0,14.421984,-11.777701,53330484,6,11,5959.2665120496,Q28942759
53416320,Adam Shaheen (American football),16.089745,69,155,0,0.18721922,24.198452,53416320,6,6,527.1557421120849,Q30122018
53416705,Tarell Basham,11.217949,69,155,0,-23.208448,-10.702496,53416705,2,6,0.0,Q28925002
53430284,David Teymur,13.653847,0,145,175,-7.963404,-10.756222,53430284,4,17,1791.2195539905529,Q28871382
53507164,Patrick M. Shanahan,17.307693,228,71,225,-23.459656,-22.881403,53507164,7,3,21187.68181884533,Q28967998
53526733,Marc Diakiese,12.435898,0,145,175,17.59481,-1.8620661,53526733,3,17,796.5081875149004,Q26250955
53527640,Ana Cabrera,16.089745,228,71,225,-22.866598,-13.31204,53527640,6,3,2.0358197859624876,Q28966676
53540376,Forced conversions of Muslims in Spain,13.653847,192,192,192,17.455742,4.1105914,53540376,4,26,50140.5,Q29045045
53594292,Gregor Gillespie,11.217949,0,145,175,-17.505959,20.363432,53594292,2,17,4.153953473427685,Q29578485
53637758,Fire Island (TV series),10.0,0,174,240,-4.073536,1.4265497,53637758,1,17,0.0,Q30602486
53642886,Jamaal Williams,13.653847,60,119,190,5.984087,8.906543,53642886,4,4,1168.263810169963,Q29052440
53643066,Derek Rivers,10.0,60,119,190,5.6992373,-8.097458,53643066,1,4,0.0,Q29052470
53666445,Han Kwang-song,10.0,0,163,145,4.5565696,16.434978,53666445,1,22,0.0,Q29100085
53692334,Jake Bentley,13.653847,60,119,190,12.782027,-10.1080065,53692334,4,4,31.57848621619791,Q29167478
53694630,The Pyramid at the End of the World,17.307693,192,192,192,-21.399357,14.757644,53694630,7,29,496.0088399882683,Q29892572
53694631,The Lie of the Land,17.307693,192,192,192,-11.832946,-19.623653,53694631,7,29,0.7,Q29972511
53698573,The Pilot (Doctor Who),30.705128,192,192,192,9.099869,-14.948297,53698573,18,29,7513.251347592592,Q26700313
53718201,Alexa & Katie,14.871795,89,127,28,-16.104717,-21.042356,53718201,5,9,15885.0,Q30633884
53734682,Luke Sanders,13.653847,0,174,240,-8.4594555,9.801525,53734682,4,17,47551.11949695959,Q29330401
53738649,World Enough and Time (Doctor Who),27.051283,192,192,192,-23.561459,-4.15923,53738649,15,29,4966.451057705417,Q30133234
53753174,Samson Ebukam,13.653847,69,155,0,-4.1653132,-19.72959,53753174,4,6,3501.878790643232,Q29353445
53755184,Jaret Anderson-Dolan,10.0,187,77,156,-20.288967,11.126256,53755184,1,8,0.0,Q29355469
53791150,Sherfane Rutherford,16.089745,234,89,0,8.907068,24.728956,53791150,6,21,6210.0993923531205,Q29420893
53893961,Sean Mackie,13.653847,0,163,145,-22.922653,-5.0565014,53893961,4,22,209.64917700590797,Q29578885
53909984,John Johnson (safety),12.435898,69,155,0,-2.8950381,-2.0083027,53909984,3,6,0.0,Q30122525
53910025,Lano Hill,14.871795,69,155,0,22.01866,-20.974009,53910025,5,6,10591.840909090906,Q30122528
53914069,Montae Nicholson,10.0,60,119,190,21.95643,-11.871579,53914069,1,4,0.0,Q29791584
53914682,Jayon Brown,20.961538,69,155,0,-14.325545,22.4821,53914682,10,6,6072.33861849806,Q29913251
53917703,Harrison Butker,19.74359,192,192,192,-11.87476,-7.7444286,53917703,9,6,68.5198885122578,Q29618209
53921268,Anthony Schwartz (athlete),10.0,60,119,190,24.356937,2.6928687,53921268,1,4,0.0,Q29628342
53928178,Rachel Peters,19.74359,0,159,54,14.746434,-0.46738055,53928178,9,18,2754.5029046629907,Q29639932
53930025,Matt Haack,11.217949,60,119,190,-20.55664,13.929473,53930025,2,6,1920.7702268001258,Q29641048
53930801,Tim Patrick,14.871795,69,155,0,-22.259409,0.55794114,53930801,5,6,0.0,Q29642024
