,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1902152,Ladd?Peebles_Stadium,13.653847,0,127,149,-12.960511,17.944485,1902152,4,15,24031.83969276223
1909649,Anson_Williams,12.435898,192,192,192,9.674141,11.558539,1909649,3,16,2.276666666666667
1910313,Level_(video_gaming),12.435898,0,136,97,1.3792071,-15.546169,1910313,3,32,5296.0
1913729,Skiff,11.217949,199,73,95,-17.404661,9.390238,1913729,2,1,152772.0
1915099,Pat_Haden,17.307693,60,119,190,-12.8280525,-1.4459007,1915099,7,4,4403.024863119319
1918350,Oberstdorf,25.833334,192,192,192,20.938122,8.575667,1918350,14,36,216684.67457915607
1924012,Who_Dares_Wins_(film),10.0,192,192,192,-4.05226,-7.213088,1924012,1,9,0.0
1926125,Tony_Jackson_(bass_player),16.089745,192,192,192,17.055838,21.65495,1926125,6,35,0.2
1929553,Jack_Llewelyn_Davies,14.871795,0,127,149,13.774376,-15.027824,1929553,5,0,3970.5000000000005
1929565,Nicholas_Llewelyn_Davies,13.653847,0,127,149,-4.750947,-22.12955,1929565,4,0,1323.0000000000002
1933141,Imber,12.435898,176,94,34,8.235385,-10.908666,1933141,3,13,13013.931029711597
1948695,Regenerative_cooling_(rocket),11.217949,0,135,255,-5.5107517,-11.012418,1948695,2,13,2610.2499999999995
1954457,Wilfred_Pickles,12.435898,255,15,65,-6.6034427,23.551937,1954457,3,0,19841.142346613207
1958287,Nov?_M?sto_na_Morav?,16.089745,0,136,97,-11.225358,3.2924187,1958287,6,32,21542.41454299622
1959330,Peter_Hill-Wood,12.435898,255,15,65,1.8624253,5.0761213,1959330,3,0,10590.000000000002
1959863,Donald_Houston,10.0,199,73,95,-19.964527,-11.467619,1959863,1,0,0.0
1962249,Vanderbilt_Commodores,16.089745,60,119,190,-19.99042,-22.682646,1962249,6,4,26353.51213229429
1966150,Night_and_Day_(song),10.0,192,192,192,-9.341481,19.78719,1966150,1,38,0.0
1967308,Mestalla_Stadium,11.217949,192,192,192,-22.42325,24.033747,1967308,2,44,5296.0
1970748,The_First_Nudie_Musical,11.217949,192,192,192,16.761066,-2.168422,1970748,2,16,0.0
1971804,Mick_Channon,12.435898,199,73,95,4.306099,-20.072714,1971804,3,9,34481.82031207729
1979286,Billina,10.0,176,94,34,-10.32358,-21.46089,1979286,1,38,0.0
1985477,Laila_Morse,13.653847,199,73,95,3.150265,-24.548046,1985477,4,9,33467.03075102678
1986758,Herschel_Greer_Stadium,27.051283,0,174,240,-9.15483,12.308461,1986758,15,17,95509.48007426383
1987977,Dustin_Colquitt,22.17949,192,192,192,-2.060039,-22.986622,1987977,11,6,3229.184099286311
1987995,Baseball_park,16.089745,0,174,240,-3.9504583,0.08603119,1987995,6,17,761.4100346365929
1989264,Ian_Harvey,10.0,234,89,0,16.341705,2.5437248,1989264,1,21,0.0
1993577,Denis_Walter,10.0,192,192,192,-9.697164,-10.512684,1993577,1,23,0.0
1994198,Bandersnatch_(disambiguation),11.217949,0,136,97,-20.336945,5.960638,1994198,2,0,0.0
1997184,Gene_Littler,20.961538,0,127,149,-1.3194662,19.609951,1997184,10,15,226448.07729842924
1997332,The_Prince_and_the_Showgirl,14.871795,255,15,65,-10.197294,-20.35774,1997332,5,0,14852.667642088965
1998138,Albania_in_the_Eurovision_Song_Contest,14.871795,192,192,192,-3.6290627,-23.529892,1998138,5,23,4.166666666666666
2002109,Joe_Cribbs,10.0,69,155,0,4.926779,11.010702,2002109,1,6,0.0
2005010,Annihilus,11.217949,0,174,240,-18.511654,-13.689516,2005010,2,17,0.0
2006361,Mike_Mazurki,11.217949,0,146,232,24.86182,6.0401983,2006361,2,14,0.0
2011842,UR-100N,12.435898,0,135,255,12.415012,21.683655,2011842,3,13,0.0
2013108,"Worcester,_Western_Cape",10.0,192,192,192,9.935777,11.600192,2013108,1,42,0.0
2014301,Mudanjiang,11.217949,154,122,0,-15.5856695,9.910224,2014301,2,11,10590.0
2018928,Dave_Flemming,39.23077,60,119,190,-2.7340662,1.2837656,2018928,25,4,3495.946724640481
2023486,Singapore_Stone,11.217949,0,136,97,-17.678596,-17.722881,2023486,2,32,5296.0
2026264,Once_Upon_a_Time_(The_Twilight_Zone),45.320515,192,192,192,12.967106,1.0520236,2026264,30,10,3.4949802371541505
2036840,Dominic_Cork,11.217949,234,89,0,23.495806,2.864111,2036840,2,21,5296.0
2044745,Went_the_Day_Well?,13.653847,192,192,192,-2.0092926,-16.049162,2044745,4,0,11610.528464951438
2054078,Thom_Brennaman,35.576927,69,155,0,22.803904,14.550561,2054078,22,6,5047.179604292997
2054915,B?rbara_Palacios,56.28205,0,159,54,-24.671194,5.5912747,2054915,39,18,12.74685254101915
2060664,Cornered_(1945_film),13.653847,0,146,232,-21.242073,-16.610445,2060664,4,14,14249.43863967147
2066029,Tim_Shadbolt,10.0,255,15,65,-3.782389,-20.350185,2066029,1,0,0.0
2067235,"Masahito,_Prince_Hitachi",12.435898,154,122,0,-24.679455,-6.7735615,2067235,3,11,10591.000000000002
2072357,Manuka_Oval,12.435898,234,89,0,2.5987742,-17.078693,2072357,3,21,0.0
2072466,Barton_MacLane,10.0,176,94,34,8.697527,-2.7308848,2072466,1,38,0.0
2073557,Bobby_Fischer,14.871795,192,192,192,-11.370723,-8.832855,2073557,5,24,13237.5
2076851,Chan_Parker,11.217949,192,192,192,3.6939733,-13.328682,2076851,2,34,0.0
2077098,Carry_On_Abroad,41.666668,255,15,65,23.794855,11.31501,2077098,27,0,31074.223361044107
2079943,Jack_Ramsay,25.833334,60,119,190,-23.96594,11.045769,2079943,14,6,1092367.1327020852
2082663,McClymonds_High_School,10.0,69,155,0,-3.8027856,-21.580273,2082663,1,6,0.0
2084436,Elephants_Can_Remember,17.307693,199,73,95,12.51123,10.027356,2084436,7,9,0.0
2087595,First_Night,20.961538,192,192,192,19.36167,-19.96947,2087595,10,36,0.0
2095602,Mosler_MT900,10.0,89,127,28,-5.0910645,-14.1851225,2095602,1,9,0.0
2097535,Rick_Jeanneret,11.217949,69,155,0,-6.424209,1.0274662,2097535,2,6,1894.877374246899
2105540,Peter_Swinnerton-Dyer,11.217949,255,15,65,3.2123954,4.890247,2105540,2,0,5296.0
2113568,Lizo_Mzimba,12.435898,192,192,192,10.8879,22.956364,2113568,3,29,5297.262301587301
2118902,Adriano_Espaillat,16.089745,228,71,225,-18.446957,15.285531,2118902,6,3,75.64216988264839
2120491,Milltown_Cemetery_attack,12.435898,255,15,65,-24.133469,-1.1709199,2120491,3,0,0.0
2135871,Luz_Marina_Zuluaga,55.064102,0,159,54,18.913113,24.478552,2135871,38,18,916.6518119581336
2139891,Janelle_Commissiong,55.064102,0,159,54,9.653873,-22.129604,2139891,38,18,11.401817844220384
2139949,Countryfile,17.307693,0,174,240,-21.665377,-13.961061,2139949,7,17,31761.000000000004
2141852,Howard_Da_Silva,16.089745,192,192,192,-1.7800633,7.404223,2141852,6,38,119368.59217225236
2142819,Norma_Nolan,52.628204,0,159,54,12.291631,14.629872,2142819,36,18,0.10180225737104578
2148973,Niecy_Nash,11.217949,0,146,232,-6.074428,-17.78304,2148973,2,14,5296.0
2149343,I?da_Maria_Vargas,53.846153,0,159,54,10.029779,-13.006856,2149343,37,18,10.75391155105942
2155358,Mark_Nicholas,12.435898,89,127,28,-21.773558,8.557993,2155358,3,2,29170.30494205864
2155452,Michael_Bidwill,13.653847,69,155,0,1.4514537,20.595177,2155452,4,6,0.0
2155642,Martha_Vasconcellos,55.064102,0,159,54,11.83734,14.456027,2155642,38,18,14.212350525452893
2156412,Terence_Alexander,16.089745,199,73,95,-6.7804627,-9.511718,2156412,6,0,21962.69509496959
2160908,Division_of_Mallee,10.0,228,71,225,-23.789593,-4.335768,2160908,1,3,0.0
2161798,Jason_Orange,14.871795,192,192,192,17.359463,2.161464,2161798,5,17,33.50865470659521
2165207,Limestone_College,11.217949,60,119,190,17.00379,6.0247774,2165207,2,4,5296.0
2165760,The_Far_Country,12.435898,176,94,34,-16.833506,22.402124,2165760,3,13,37030.0
2166214,Don_Black_(lyricist),16.089745,0,174,240,0.18505384,-14.311419,2166214,6,17,1441239.7364496707
2173029,Amparo_Mu?oz,55.064102,0,159,54,-0.4770038,-17.776928,2173029,38,18,8.972238781602162
2174253,Jeff_Fisher,24.615385,69,155,0,19.064932,-13.56687,2174253,13,6,20519.219825468685
2175578,Danny_Gabbidon,16.089745,0,163,145,-23.36633,4.014001,2175578,6,22,24175.587020085335
2175661,Little_Women_(1933_film),11.217949,176,94,34,1.6470574,-12.397248,2175661,2,38,5296.0
2176312,University_of_Alabama_traditions,23.397436,60,119,190,-15.956653,1.9878381,2176312,12,4,139.46244479551834
2179507,Sister_My_Sister,10.0,255,15,65,-8.187186,-7.0215135,2179507,1,0,0.0
2181335,Dattu_Phadkar,11.217949,234,89,0,16.816565,22.02741,2181335,2,21,15882.0
2184689,Rich_Kotite,13.653847,69,155,0,-8.706829,0.5992129,2184689,4,6,21.01572180399355
2186184,Zell_am_See,13.653847,192,192,192,-23.409647,-2.7238684,2186184,4,8,52886.0
2195445,Frank_Beamer,48.974358,60,119,190,7.193357,16.393219,2195445,33,4,24182.00470576129
2196087,Anton_Diffring,11.217949,176,94,34,0.40305096,9.172989,2196087,2,13,5296.0
2196275,Fopp_(retailer),12.435898,192,192,192,9.014333,21.587856,2196275,3,17,113298.11014720253
2211988,Matthew_Corbett,11.217949,255,15,65,6.870749,-19.503027,2211988,2,0,0.0
2213207,The_Fugitive_(The_Twilight_Zone),46.538464,192,192,192,21.343193,-23.743206,2213207,31,10,5299.494980237153
2213886,Out_of_the_Blue_(1979_TV_series),12.435898,192,192,192,18.773043,21.800644,2213886,3,16,0.0
2215098,Colmar_Pocket,11.217949,176,94,34,-10.057412,15.538203,2215098,2,13,10590.0
2217128,Phantom_Corsair,11.217949,176,94,34,1.3441089,3.3826609,2217128,2,38,2402.15122522614
2217702,Consecrated_virgin,11.217949,134,102,154,-6.910742,-7.4703326,2217702,2,2,6448.865670198686
2218925,Stellar_engine,10.0,192,192,192,10.50761,21.95726,2218925,1,26,0.0
2223432,Epiphany_season,10.0,192,192,192,-10.777098,9.776956,2223432,1,36,0.0
2228424,Steve_Claridge,10.0,254,0,145,15.815527,-15.208261,2228424,1,22,0.0
2231346,Monterey_Pop,12.435898,192,192,192,6.6992564,5.883612,2231346,3,35,78408.61059285805
