,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
4351,5.0,45468175.0,Chris Conley (American football),0.9566442370414734,Q19865927,Culture.Sports,190.0,469.1356828073304,119.0,6.0,60.0,14.871795,-0.049189805999999996,10.493936999999999,459.0,1572.0,0.2919847328244275,Sports,Culture,2195.4985240101814,1803406.2095849141,0.0012174176357724275
4352,5.0,45468182.0,Rafael Santos Borré,0.991162657737732,Q18719633,Culture.Sports,192.0,42516.91794531882,192.0,44.0,192.0,14.871795,-11.77391,13.50424,44.0,158.0,0.27848101265822783,Sports,Culture,218.05578470230103,7450.650723539293,0.029266676535162787
4353,2.0,45482170.0,Norazo,0.22816647589206696,Q9050614,Culture.Media.Media*,0.0,1.5,122.0,11.0,154.0,11.217949,-1.8066765,0.81538033,80.0,745.0,0.10738255033557048,Media*,Culture,36.50663614273071,25408.32394988835,0.0014367982797578874
4354,6.0,45488910.0,Marion Reneau,0.9954004287719728,Q19668704,Culture.Sports,175.0,2301.699479313878,145.0,17.0,0.0,16.089745,-4.000885500000001,22.607437,157.0,1415.0,0.11095406360424027,Sports,Culture,937.6672039031984,214134.4482901916,0.004378871365117708
4355,3.0,45515914.0,Mirsad Bektić,0.9992545843124392,Q19609701,Culture.Sports,175.0,59.72393536405809,145.0,17.0,0.0,12.435898,-0.14143188,8.718919,157.0,1415.0,0.11095406360424027,Sports,Culture,470.6489092111589,214134.4482901916,0.0021979131007139174
4356,3.0,45562656.0,Jayantilal Gada,0.9841036200523376,Q20090742,Culture.Biography.Biography*,192.0,0.0,192.0,35.0,192.0,12.435898,-10.113787,8.728067,38.0,267.0,0.14232209737827714,Biography*,Culture,0.0,6084.3186881542215,0.0
4357,1.0,45601344.0,Matt Polster,0.9947898983955384,Q19665964,Culture.Sports,145.0,0.0,163.0,22.0,0.0,10.0,-3.7555796999999997,23.052599,353.0,1382.0,0.25542691751085383,Sports,Culture,351.1608341336251,619966.7926466167,0.0005664187796809758
4358,7.0,45601667.0,Kaori Sakamoto,0.9808859825134276,Q19467646,Culture.Sports,0.0,27800.709392635254,122.0,11.0,154.0,17.307693,-15.121986999999999,13.28629,34.0,745.0,0.04563758389261745,Sports,Culture,233.45086383819572,25408.32394988835,0.009187967860399607
4359,3.0,45603416.0,Marte Olsbu Røiseland,0.7826725244522095,Q1902948,Culture.Sports,97.0,0.0,136.0,32.0,0.0,12.435898,19.136589999999998,3.381467,19.0,533.0,0.035647279549718566,Sports,Culture,44.61233389377594,11764.587132044137,0.00379208665744519
4360,5.0,45642016.0,Chris Ikonomidis,0.9591643214225768,Q19594154,Culture.Sports,145.0,0.0,163.0,37.0,0.0,14.871795,-19.292929,16.326923,33.0,232.0,0.14224137931034486,Sports,Culture,158.26211303472516,3607.921084344387,0.043865181453513896
