,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Weight,Total Weight,Ratio Weight
18802,4.0,27.0,183051.0,Sumner Redstone,0.6723417043685913,Q725940,History_and_Society.Business_and_economics,15884.0,0.084645,0.091,0.0,5.0,21.0,0.23809523809523808,Business_and_economics,13.446834087371826,80.1861332654953,0.1676952552737457
6628,3.0,26.0,28028946.0,Charles Dolan,0.8840492963790894,Q11963448,History_and_Society.Business_and_economics,21172.0,0.092461,0.100616,0.0,5.0,21.0,0.23809523809523808,Business_and_economics,13.26073944568634,80.1861332654953,0.1653744719399325
12288,3.0,25.0,7285671.0,Larry Dolan,0.7773098945617676,Q3218044,Culture.Sports,42312.0,0.101858,0.11268900000000001,0.0,4.0,21.0,0.19047619047619047,Sports,9.327718734741211,80.1861332654953,0.11632583284515352
153,4.0,26.0,1104310.0,James L. Dolan,0.320831298828125,Q6137546,History_and_Society.Business_and_economics,10591.0,0.092458,0.100616,0.0,5.0,21.0,0.23809523809523808,Business_and_economics,6.4166259765625,80.1861332654953,0.08002164108995168
152,4.0,26.0,1104310.0,James L. Dolan,0.3276783227920532,Q6137546,Culture.Sports,10591.0,0.092458,0.100616,0.0,4.0,21.0,0.19047619047619047,Sports,5.242853164672852,80.1861332654953,0.06538353891331597
18647,1.0,28.0,13950959.0,Shutter Island (film),0.996837317943573,Q210364,Culture.Media.Media*,0.0,0.078041,0.08277799999999999,0.0,5.0,21.0,0.23809523809523808,Media*,4.984186589717865,80.1861332654953,0.06215771214725225
18804,4.0,27.0,183051.0,Sumner Redstone,0.2120788097381592,Q725940,Culture.Media.Media*,15884.0,0.084645,0.091,0.0,5.0,21.0,0.23809523809523808,Media*,4.2415761947631845,80.1861332654953,0.052896629654398945
15322,2.0,28.0,15091023.0,Michael Redstone,0.41490885615348816,Q6833788,History_and_Society.Business_and_economics,0.0,0.078042,0.082873,0.0,5.0,21.0,0.23809523809523808,Business_and_economics,4.149088561534882,80.1861332654953,0.05174321784288189
6630,3.0,26.0,28028946.0,Charles Dolan,0.320831298828125,Q11963448,Culture.Sports,21172.0,0.092461,0.100616,0.0,4.0,21.0,0.19047619047619047,Sports,3.8499755859375,80.1861332654953,0.04801298465397101
12498,1.0,27.0,3849967.0,Anucha Browne Sanders,0.8903042674064636,Q4777724,Culture.Sports,0.0,0.084634,0.09060700000000001,0.0,4.0,21.0,0.19047619047619047,Sports,3.5612170696258545,80.1861332654953,0.044411881763081265
7355,2.0,28.0,15090712.0,Brent Redstone,0.348655104637146,Q4961521,History_and_Society.Business_and_economics,0.0,0.078042,0.082873,0.0,5.0,21.0,0.23809523809523808,Business_and_economics,3.48655104637146,80.1861332654953,0.04348072296774222
4209,1.0,27.0,42765926.0,JD & The Straight Shot,0.33459946513175964,Q6107995,Culture.Media.Media*,0.0,0.084634,0.09060700000000001,0.0,5.0,21.0,0.23809523809523808,Media*,1.6729973256587982,80.1861332654953,0.020863923193796173
7356,2.0,28.0,15090712.0,Brent Redstone,0.14415885508060455,Q4961521,Culture.Media.Media*,0.0,0.078042,0.082873,0.0,5.0,21.0,0.23809523809523808,Media*,1.4415885508060455,80.1861332654953,0.017978028021789796
