,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Weight,Total Weight,Ratio Weight
22397,4.0,18.0,3497139.0,Japan national baseball team,0.9724247455596924,Q962145,Culture.Sports,37417.333332999995,0.132383,0.14420999999999998,0.0,8.0,9.0,0.8888888888888888,Sports,31.117591857910156,177.80822521448135,0.17500648139519154
1048,4.0,19.0,57344442.0,Takuya Kai,0.9715740084648132,Q11577891,Culture.Sports,9358.5,0.116924,0.125133,0.0,8.0,9.0,0.8888888888888888,Sports,31.090368270874023,177.80822521448135,0.1748533749401707
25100,4.0,20.0,57690615.0,2018 Japan Series,0.9688661694526672,Q48764701,Culture.Sports,6241.333333,0.10469500000000001,0.1107,0.0,8.0,9.0,0.8888888888888888,Sports,31.00371742248535,177.80822521448135,0.17436604738103137
9170,3.0,20.0,27279020.0,Japan Series Most Valuable Player Award,0.9899964332580566,Q6157830,Culture.Sports,0.333333,0.10469300000000001,0.11062000000000001,0.0,8.0,9.0,0.8888888888888888,Sports,23.75991439819336,177.80822521448135,0.13362663267986022
14224,3.0,19.0,30873845.0,Hiroshima Toyo Carp,0.8774868249893188,Q247577,Culture.Sports,9355.5,0.116922,0.125053,0.0,8.0,9.0,0.8888888888888888,Sports,21.059683799743652,177.80822521448135,0.11844043645528989
16523,2.0,17.0,397113.0,Kazuhiro Sasaki,0.98678719997406,Q1045357,Culture.Sports,43645.0,0.152534,0.170793,0.0,8.0,9.0,0.8888888888888888,Sports,15.78859519958496,177.80822521448135,0.08879564024971258
22718,2.0,19.0,41537199.0,Yuki Yanagita,0.9836069941520692,Q11534568,Culture.Sports,0.0,0.11691800000000001,0.124946,0.0,8.0,9.0,0.8888888888888888,Sports,15.737711906433107,177.80822521448135,0.0885094707370791
4640,1.0,21.0,105392.0,Squeeze play (baseball),0.9808859825134276,Q1052968,Culture.Sports,0.0,0.094774,0.099088,0.0,8.0,9.0,0.8888888888888888,Sports,7.847087860107421,177.80822521448135,0.04413231081206656
22400,4.0,18.0,3497139.0,Japan national baseball team,0.10088862478733064,Q962145,Culture.Biography.Women,37417.333332999995,0.132383,0.14420999999999998,0.0,1.0,9.0,0.1111111111111111,Women,0.40355449914932257,177.80822521448135,0.0022696053495980546
1450,2.0,20.0,9867130.0,Cosby High School,0.880807101726532,Q5173854,History_and_Society.Education,0.0,0.128579,0.14638900000000002,1.0,2.0,2.0,1.0,Education,3.523228406906128,6.8478405475616455,0.5145021094512293
13658,2.0,20.0,10697873.0,Clover Hill High School,0.8311530351638794,Q5135893,History_and_Society.Education,0.0,0.128579,0.14638900000000002,1.0,2.0,2.0,1.0,Education,3.3246121406555176,6.8478405475616455,0.4854978905487707
16032,5.0,19.0,6118105.0,Nuclear triad,0.8175845146179199,Q2731619,History_and_Society.Military_and_warfare,24952.333333000002,0.14635399999999998,0.175136,2.0,5.0,12.0,0.4166666666666667,Military_and_warfare,20.439612865447998,130.56056880950928,0.1565527253122636
1933,4.0,20.0,6153160.0,Sagarika (missile),0.99567848443985,Q932044,History_and_Society.Military_and_warfare,0.333333,0.12768,0.14514000000000002,2.0,5.0,12.0,0.4166666666666667,Military_and_warfare,19.913569688797,130.56056880950928,0.1525236131427348
22388,4.0,20.0,23632191.0,INS Arihant,0.9905974268913268,Q1360725,History_and_Society.Military_and_warfare,0.333333,0.12768,0.14514000000000002,2.0,5.0,12.0,0.4166666666666667,Military_and_warfare,19.811948537826535,130.56056880950928,0.15174526825731435
18730,3.0,20.0,39193609.0,INS Arighat,0.9990094900131226,Q17056580,History_and_Society.Military_and_warfare,0.0,0.12767699999999998,0.14506,2.0,5.0,12.0,0.4166666666666667,Military_and_warfare,14.985142350196838,130.56056880950928,0.1147754064403663
3810,3.0,20.0,34683290.0,K Missile family,0.99219411611557,Q14401834,History_and_Society.Military_and_warfare,0.0,0.12767699999999998,0.14506,2.0,5.0,12.0,0.4166666666666667,Military_and_warfare,14.882911741733547,130.56056880950928,0.113992393549143
22387,4.0,20.0,23632191.0,INS Arihant,0.9981998205184937,Q1360725,History_and_Society.Transportation,0.333333,0.12768,0.14514000000000002,2.0,2.0,12.0,0.16666666666666666,Transportation,7.985598564147949,130.56056880950928,0.06116393821628575
1934,4.0,20.0,6153160.0,Sagarika (missile),0.9046605229377748,Q932044,STEM.Technology,0.333333,0.12768,0.14514000000000002,2.0,2.0,12.0,0.16666666666666666,Technology,7.237284183502198,130.56056880950928,0.055432388580211794
1935,4.0,20.0,6153160.0,Sagarika (missile),0.8080772161483765,Q932044,STEM.STEM*,0.333333,0.12768,0.14514000000000002,2.0,2.0,12.0,0.16666666666666666,STEM*,6.464617729187012,130.56056880950928,0.04951431958464451
18731,3.0,20.0,39193609.0,INS Arighat,0.9989112615585328,Q17056580,History_and_Society.Transportation,0.0,0.12767699999999998,0.14506,2.0,2.0,12.0,0.16666666666666666,Transportation,5.993467569351197,130.56056880950928,0.04590564842051046
3811,3.0,20.0,34683290.0,K Missile family,0.9539760947227478,Q14401834,STEM.Technology,0.0,0.12767699999999998,0.14506,2.0,2.0,12.0,0.16666666666666666,Technology,5.723856568336487,130.56056880950928,0.04384062217657552
3812,3.0,20.0,34683290.0,K Missile family,0.7186043858528137,Q14401834,STEM.STEM*,0.0,0.12767699999999998,0.14506,2.0,2.0,12.0,0.16666666666666666,STEM*,4.311626315116882,130.56056880950928,0.03302395473941017
16033,5.0,19.0,6118105.0,Nuclear triad,0.5621865391731262,Q2731619,History_and_Society.Politics_and_government,24952.333333000002,0.14635399999999998,0.175136,2.0,1.0,12.0,0.08333333333333333,Politics_and_government,2.810932695865631,130.56056880950928,0.021529721580539705
7557,3.0,19.0,38091594.0,Sharon Quirk-Silva,0.1824355274438858,Q16734822,History_and_Society.Politics_and_government,12480.0,0.147897,0.17663399999999999,3.0,1.0,2.0,0.5,Politics_and_government,0.5473065823316574,0.9914781600236893,0.5520107294330928
7558,3.0,19.0,38091594.0,Sharon Quirk-Silva,0.14805719256401062,Q16734822,Culture.Biography.Women,12480.0,0.147897,0.17663399999999999,3.0,1.0,2.0,0.5,Women,0.44417157769203186,0.9914781600236893,0.44798927056690724
25247,4.0,19.0,50477.0,Martial law,0.3923468291759491,Q715625,STEM.STEM*,14753.610391999999,0.141369,0.165305,4.0,3.0,15.0,0.2,STEM*,4.708161950111389,26.523790821433067,0.17750712866830737
25246,4.0,19.0,50477.0,Martial law,0.41490885615348816,Q715625,History_and_Society.Politics_and_government,14753.610391999999,0.141369,0.165305,4.0,2.0,15.0,0.13333333333333333,Politics_and_government,3.3192708492279053,26.523790821433067,0.12514315436938614
17036,2.0,20.0,30876395.0,Bahraini uprising of 2011,0.5234303474426271,Q242864,History_and_Society.Society,7.3766979999999975,0.128603,0.146378,4.0,3.0,15.0,0.2,Society,3.1405820846557626,26.523790821433067,0.11840623030845025
25702,1.0,20.0,2409969.0,Azerbaijan Democratic Republic,0.9697954058647156,Q206411,History_and_Society.Society,0.0,0.12386099999999994,0.138799,4.0,3.0,15.0,0.2,Society,2.9093862175941467,26.523790821433067,0.1096896833933391
19241,2.0,19.0,33434311.0,Bank Transfer Day,0.40734341740608215,Q46901,STEM.STEM*,3969.7663060000004,0.14428,0.172583,4.0,3.0,15.0,0.2,STEM*,2.444060504436493,26.523790821433067,0.09214597268130775
