,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
800,Cable News Network,21,25.157894,60,163,0,2.3236747,4.5467668,800,17,0,13047.866058133475,Q48340
819,Chanson,10,20.421053,54,124,233,18.918,-11.734865,819,12,0,2462.260190754661,Q7366
1328,Genre musical,10,47.894737,54,124,233,-5.8847466,-0.91086686,1328,41,0,1114.5467423983087,Q188451
2335,Prix Nobel de physiologie ou médecine,18,11.894737,193,77,88,7.70993,-22.049393,2335,3,1,8473.756567930763,Q80061
2516,Philippe Pétain,6,40.31579,0,168,183,17.314072,9.912496,2516,33,2,32593.397835756365,Q5721
2898,Musique soul,10,36.526314,54,124,233,8.653236,-9.598515,2898,29,0,143.47316785786782,Q131272
3998,Éphéméride,3,19.473684,0,164,49,-6.7202773,-18.644184,3998,11,12,697.25,Q19355137
5069,Charles Maurras,1,11.894737,235,94,0,-15.925111,3.3685935,5069,3,3,8221.937463965494,Q3048
7018,Kilomètre carré,18,12.842105,193,77,88,9.267817,-12.195305,7018,4,1,380.6222635207928,Q712226
7483,Caroline du Sud,18,21.36842,193,77,88,-0.8881242,17.677925,7483,13,1,4154.418471650451,Q1456
7538,Rhode Island,14,16.631578,235,44,170,5.514793,-24.925016,7538,8,4,1176.4096407347258,Q1387
7568,New Hampshire,14,24.210526,235,44,170,22.221537,-19.480247,7568,16,4,17467.88884152419,Q759
8089,Lapin domestique,18,11.894737,193,77,88,12.222589,22.285429,8089,3,1,1838.5276073202367,Q149017
8749,Année (calendrier),3,21.36842,0,164,49,-0.092814095,-12.727085,8749,13,12,10207.802513106139,Q577
9405,Asie centrale,18,19.473684,193,77,88,3.9155638,4.059838,9405,11,1,4164.131894256559,Q27275
9544,Classe (biologie),18,14.736842,193,77,88,22.80209,6.9542365,9544,6,1,721.7237490410744,Q37517
9566,Ordre (biologie),18,16.631578,193,77,88,7.524335,24.605333,9566,8,1,2065.9106204877553,Q36602
9679,À la claire fontaine,10,10.0,54,124,233,1.2677534,-19.545097,9679,1,0,0.0,Q3576761
9985,Jacques Lafleur,19,28.0,153,96,160,-6.3069134,-4.3676014,9985,20,6,8.869215267491128,Q3159243
10182,Victoires de la musique,10,27.052631,54,124,233,0.79851985,14.278881,10182,19,0,8594.046299583226,Q2445029
10293,Paul Quilès,6,12.842105,0,168,183,15.354486,-16.134901,10293,4,2,29.411248081456822,Q3372063
11960,Arthur C. Clarke,18,11.894737,193,77,88,-16.505716,-22.989069,11960,3,1,1021.7920476582241,Q47087
12202,Robert A. Heinlein,18,10.947369,193,77,88,-1.1348221,-3.2342997,12202,2,1,0.0,Q123078
12621,Sacramento,4,17.578947,152,129,0,22.716986,-9.607686,12621,9,1,1038.074595056568,Q18013
13821,Maurice Genevoix,5,13.789474,185,97,239,14.80127,4.2349854,13821,5,13,10419.564519794829,Q22750
14406,Europe centrale,18,14.736842,193,77,88,20.297659,-6.514302,14406,6,1,1764.6905464618785,Q27509
15795,Collège de France,7,11.894737,0,134,135,-5.873955,10.727414,15795,3,14,4157.0,Q202660
17156,Suédois,18,11.894737,193,77,88,22.079502,1.2670137,17156,3,1,0.5,Q9027
18655,Joseph Joffre,6,28.947369,0,168,183,10.398792,10.006294,18655,21,2,15792.579138465222,Q207958
19119,Le Croisic,18,10.0,193,77,88,-13.7441845,5.132232,19119,1,3,0.0,Q840597
19546,Vitry-le-François,18,10.0,193,77,88,23.27894,4.131824,19546,1,1,0.0,Q623374
20033,Patriotisme,1,17.578947,235,94,0,4.0929656,14.722697,20033,9,3,38675.48714017418,Q6241
22550,Prix Médicis,12,11.894737,175,95,13,-8.892649,15.615364,22550,3,7,0.5,Q58352
23364,Maréchal de France,6,21.36842,0,168,183,11.113634,-23.188583,23364,13,2,1133.6347448100119,Q474485
24581,Arc de triomphe,20,11.894737,0,148,245,-17.627474,17.599987,24581,3,8,5532.0,Q143912
24630,Ganymède (lune),18,11.894737,193,77,88,-4.1117125,3.9320135,24630,3,1,7.292929292929292,Q3169
26491,John Keats,18,10.947369,193,77,88,-7.7027736,-11.743931,26491,2,1,737.9257038683943,Q82083
27878,Irène Jacob,8,12.842105,255,42,47,23.614868,-22.204212,27878,4,10,2217.16549107509,Q230659
29559,United States Air Force,13,13.789474,0,126,172,7.5443215,-6.1241093,29559,5,3,3226.4214340390363,Q11223
30380,Calendrier perpétuel,3,13.789474,0,164,49,-2.223467,-18.85091,30380,5,12,0.0,Q1383171
30413,Prix Femina,12,10.947369,175,95,13,5.028232,-23.738365,30413,2,7,0.0,Q18945
30989,Chronologie de la Première Guerre mondiale,6,26.105263,0,168,183,13.542203,-2.53733,30989,18,2,6327.507591025698,Q74978
31928,Dani (artiste),10,10.0,54,124,233,23.615425,18.79083,31928,1,0,0.0,Q548211
32051,Bengale,4,10.947369,152,129,0,-19.808084,-12.30849,32051,2,11,0.0,Q80338
32106,Stan Lee,13,15.68421,0,126,172,11.072901,1.6589897,32106,7,3,3402.166447697993,Q181900
34389,Human Rights Watch,21,14.736842,60,163,0,-21.435886,-22.58461,34389,6,1,582.0655523374496,Q187052
36272,État indépendant du Congo,18,10.0,193,77,88,-6.0302005,-3.2004411,36272,1,1,0.0,Q76048
37475,Liste des codes pays du CIO,18,11.894737,193,77,88,-12.207341,22.922344,37475,3,1,0.0,Q180672
39401,Province romaine,20,10.947369,0,148,245,-20.996859,-20.14013,39401,2,8,697.0000000000001,Q182547
41303,Fantômas,16,10.947369,0,157,116,-12.207627,-7.4075446,41303,2,15,0.0,Q1162210
41304,Pierre Brasseur,11,10.947369,0,134,74,15.11489,8.271289,41304,2,5,3353.2773732895607,Q945890
41680,Ornella Muti,11,11.894737,0,134,74,0.90891343,-5.9197707,41680,3,5,4157.0,Q166562
41888,"Le Fugitif (série télévisée, 1963)",8,11.894737,255,42,47,23.81191,-12.603305,41888,3,0,6735.741178130739,Q137034
42713,"Germinal (film, 1993)",8,11.894737,255,42,47,3.7442138,-15.759386,42713,3,10,2779.0,Q1479633
42828,Deuxième guerre punique,20,10.0,0,148,245,0.10891405,-14.739408,42828,1,8,0.0,Q6271
42990,Montserrat (Antilles),18,15.68421,193,77,88,13.829799,8.684909,42990,7,1,868.4502901095337,Q13353
44028,Robert Dalban,16,10.947369,0,157,116,1.3470377,-8.889625,44028,2,15,0.0,Q722412
44544,Médine,21,10.947369,60,163,0,-21.758545,12.599247,44544,2,1,0.0,Q35484
46187,"La Ligne rouge (film, 1998)",18,10.0,193,77,88,6.0978336,-18.563957,46187,1,1,0.0,Q221491
46542,Columbia Broadcasting System,4,22.315788,152,129,0,17.788137,-23.344692,46542,14,0,5042.154777371962,Q43380
47656,Frédéric III (empereur allemand),6,10.0,0,168,183,10.404549,-4.4577026,47656,1,2,0.0,Q58600
47766,Alexandre Grothendieck,7,10.947369,0,134,135,16.937538,-11.927142,47766,2,14,4837.0,Q77141
48490,Guerre mondiale,13,10.947369,0,126,172,-19.130993,-23.105732,48490,2,3,2034.4987416613803,Q103495
50277,Grammy Awards,10,49.789474,54,124,233,13.341164,20.947443,50277,43,0,7461.300495105006,Q41254
50333,Jack Kirby,13,14.736842,0,126,172,-17.790005,-12.917139,50333,6,3,5989.643989386667,Q311607
