,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
5830689,Vincent Macaigne,12.903226,0,134,74,-5.6440287,13.449889,5830689,2,19,0.0,Q3559719
5833994,Op-ed,10.0,152,129,0,7.517608,0.17332666,5833994,1,6,0.0,Q2602337
5837899,Conestoga (fusée),10.0,185,97,239,15.514958,8.0235195,5837899,1,10,0.0,Q248551
5844906,Wiaz,15.806452,193,77,88,4.0271606,-21.016413,5844906,3,9,0.0,Q3567898
5850962,PubMed Central,18.709677,0,134,74,-7.160626,-23.078552,5850962,4,19,5573.0,Q229883
5877258,Ina Mihalache,12.903226,0,168,183,-6.221138,-24.71367,5877258,2,21,17105.06971635216,Q3149763
5890895,Système de réduction de la traînée,10.0,192,192,192,9.272826,-5.7093997,5890895,1,17,0.0,Q173604
5891462,Big Four (tennis),12.903226,0,164,49,-21.145187,21.75443,5891462,2,14,0.0,Q2902229
5892186,Patrick Kanner,12.903226,193,77,88,20.847784,-7.751665,5892186,2,9,4.141414141414141,Q3369559
5932382,"Pizzi (football, 1989)",21.612904,54,124,233,24.635612,-1.5004385,5932382,5,7,23.47331780538302,Q611923
5957535,Tombstone (comics),12.903226,185,97,239,12.987475,3.0441937,5957535,2,10,0.0,Q59643
5964395,Blue Slide Park,18.709677,185,97,239,15.275883,-24.601221,5964395,4,10,64.66666666666669,Q2907249
6018970,"Borgen, une femme au pouvoir",10.0,192,192,192,2.8309495,18.999603,6018970,1,12,0.0,Q250111
6038534,Stefan Löfven,27.419353,175,95,13,0.95347726,-5.612216,6038534,7,13,13273.666666666666,Q2740012
6046896,Jack Sock,27.419353,0,164,49,-24.07161,9.145786,6046896,7,14,5343.816968839045,Q54663
6090870,Kate Upton,12.903226,0,168,183,14.257289,-4.298785,6090870,2,5,0.0,Q231536
6091564,Taken 2,10.0,114,121,10,16.45428,-0.9808472,6091564,1,1,0.0,Q1057015
6104317,Jérôme Guedj,15.806452,193,77,88,14.477945,-6.023168,6104317,3,9,1.0,Q3190925
6106546,Tímea Babos,27.419353,0,164,49,-16.984568,11.693931,6106546,7,14,627.3306777487846,Q239765
6138885,Mohamed Lahyani,10.0,0,164,49,13.493755,18.359472,6138885,1,14,0.0,Q16579155
6247164,Caroline Vigneaux,10.0,235,44,170,-6.955773,12.967289,6247164,1,20,0.0,Q2940075
6272252,Zanké Diarra,10.0,0,148,245,18.402239,-4.7811127,6272252,1,15,0.0,Q3574761
6308680,Matthias Ginter,21.612904,235,94,0,-21.639727,13.201522,6308680,5,3,0.0,Q129109
