,Id,Label,modularity_class,Cluster,Degree,clustering,Qid
1102,1784700,Saskia Sassen,30,6,6,0.533333,Q239419
1103,55072,Puyi,23,7,10,0.288889,Q185152
1104,24300246,Taleb Tawatha,11,1,1,0.0,Q531233
1105,435384,Deep Space 2,17,3,26,0.7569229999999999,Q575934
1106,58353146,Bruno Lage,15,3,3,0.0,Q56434101
1107,15532276,John Barclay (rugby union),12,1,8,0.714286,Q3180995
1108,22050,North American Free Trade Agreement,21,2,10,0.088889,Q181574
1109,1345390,Daisuke Ohata,12,1,2,0.0,Q1081019
1110,412632,Mike Rogers (Michigan politician),3,2,5,0.4,Q970515
1111,42325754,Kevin Keatts,9,12,1,0.0,Q16227749
1112,1439488,Marcus Trufant,19,0,1,0.0,Q3846713
1113,46363764,Dan Leavy,12,1,10,0.8888889999999999,Q19818628
1114,50375094,David Onyemata,19,0,3,1.0,Q24053582
1115,58882952,Ted Hill (rugby union),12,1,1,0.0,Q60734577
1116,49689794,Joel Bolomboy,22,21,3,0.333333,Q23302736
1117,55125766,Donovan Peoples-Jones,19,0,2,1.0,Q38411917
1118,145326,Penda of Mercia,27,14,14,0.791209,Q332123
1119,1030512,Commonwealth Edison,3,2,1,0.0,Q2986833
1120,1829658,Christchurch (UK Parliament constituency),1,2,1,0.0,Q3334655
1121,47638,Kerch,15,3,9,0.611111,Q157065
1122,791788,Scottish Rugby Union,12,1,9,0.194444,Q594917
1123,31870876,Ketti Gallian,6,5,1,0.0,Q511043
1124,3658602,Lon Kruger,9,12,2,0.0,Q3836556
1125,59089286,Ocean Infinity,26,8,5,0.5,Q58823492
1126,37784602,Ørjan Nyland,0,1,2,0.0,Q869214
1127,332996,State highway,10,10,4,0.166667,Q1788582
1128,4232588,Dennis Morgan,6,5,3,0.0,Q956920
1129,4414372,List of Northern Exposure episodes,4,4,1,0.0,Q838977
1130,8109440,Dallas Turkey Trot,6,5,11,0.745455,Q5211440
1131,54004386,NBC Sports Gold,19,0,2,0.0,Q30693432
1132,32267930,2011–12 York City F.C. season,11,1,13,0.602564,Q4624440
1133,326716,Li Shuxian,23,7,1,0.0,Q698749
1134,56759668,2018 United States Senate special election in Mississippi,3,2,10,0.666667,Q55316095
1135,1345866,Middle Andaman Island,5,9,13,0.5897439999999999,Q222853
1136,9736086,Jean Carroll,3,2,1,0.0,Q2467858
1137,10986172,Tracy Brabin,1,2,2,1.0,Q7831699
1138,1621292,Mighty Joe Young (1949 film),6,5,2,0.0,Q1640553
1139,852564,List of monarchs of Mercia,27,14,19,0.526316,Q508942
1140,915092,Ed Nelson,23,7,1,0.0,Q543693
1141,1202988,Darrell Evans,28,2,2,0.0,Q5224622
1142,39783886,Warlimpirrnga Tjapaltjarri,5,9,5,0.8,Q12860109
1143,14365142,Bobby Bentley,19,0,1,0.0,Q4934768
1144,2079248,Jerome Cowan,6,5,2,0.0,Q3177416
1145,18918414,Devon Kennard,19,0,1,0.0,Q5267730
1146,58290232,2018–19 UEFA Youth League group stage,15,3,5,0.4,Q56283956
1147,2546696,Stade de Suisse,15,3,1,0.0,Q194479
1148,1991300,Peter Stringer,12,1,7,0.52381,Q1445873
1149,34583062,Independent Albania,15,3,7,0.714286,Q582781
1150,1206534,Steve Ogrizovic,11,1,2,1.0,Q1893231
1151,31570840,Jessica Aguilar,20,4,1,0.0,Q3808131
1152,4311394,New York State Route 9G,10,10,8,0.785714,Q2485910
1153,2674324,Jake Humphrey,15,3,3,0.0,Q2856679
1154,1488626,The Denver Post,3,2,20,0.005263,Q2668654
1155,34577002,Michy Batshuayi,11,1,1,0.0,Q2301910
1156,13698502,Football rivalries in Argentina,20,4,4,0.166667,Q509483
1157,1234272,Derek J. de Solla Price,17,3,1,0.0,Q764747
1158,1708722,Cambodian–Vietnamese War,11,6,12,0.818182,Q635533
1159,59049658,The Last Empress (TV series),3,2,1,0.0,Q56255232
1160,2120070,Calbert Cheaney,9,12,2,0.0,Q1628310
1161,47529866,Park Jeong-hwa,3,2,1,0.0,Q20819890
1162,51504532,"Jordan Jones (footballer, born 1994)",11,1,3,0.333333,Q27830873
1163,57470636,Admiral Schofield,9,12,3,0.333333,Q53846950
