Id,Label,modularity_class,Cluster,Degree,clustering
52118306,DC4_(mixtape),1,11,4,1
1590930,Nat_Lofthouse,11,1,4,0.666667
9847202,Vincent_Waller,28,2,7,0.952381
475840,Coat_of_arms_of_Bulgaria,15,3,3,0.666667
30810460,Luke_Harding,3,2,8,0.25
52232058,2018_United_States_House_of_Representatives_elections,3,2,21,0.357143
550334,Riftia_pachyptila,15,3,1,0
21700790,Janina_Faye,17,3,1,0
24060996,Harvard_Beats_Yale_29-29,19,0,6,0.533333
12181006,List_of_Major_League_Baseball_career_stolen_bases_leaders,21,2,5,0.3
56342938,Jeannie_Rhee,3,2,1,0
55970072,Vegetarian_and_vegan_dog_diet,6,5,1,0
57024858,List_of_footballers_with_100_or_more_UEFA_Champions_League_appearances,15,3,3,0
12066850,Muriel_Pavlow,2,7,2,1
2637230,Kenji_Kamiyama,25,19,3,0.666667
57266492,Foyesade_Oluokun,19,0,3,0.666667
19543180,VEB_Arena,15,3,3,0.333333
27346,Slovenian_Armed_Forces,15,3,2,0
35007392,Tom_Compton,19,0,1,0
47769706,Lys_Mousset,0,1,2,1
56536344,Battle_of_Khasham,15,3,1,0
478744,Rostov_Oblast,15,3,4,0.166667
54327068,Delicious_(TV_series),2,4,1,0
358818,United_States_Mint,16,8,3,0.333333
9988680,India_Davis_Cup_team,20,4,3,0.333333
33504922,Mina_Caputo,23,7,1,0
14660182,Jerry_Kill,19,0,3,0.333333
54454,"Putnam_County,_New_York",10,10,5,0.7
31964490,Shaun_Johnson,12,1,3,0.333333
25147802,List_of_Texas_Tech_Red_Raiders_football_seasons,19,0,6,0.4
13673534,?nge_language,5,9,13,0.602564
11993966,Submarine_snorkel,26,8,3,0.333333
1436312,Deborah_Norville,16,8,1,0
39159694,Traveling_Saleslady,6,5,4,0.833333
51877638,Andrew_Porter_(rugby_union),12,1,9,1
43177432,Ethan_Westbrooks,19,0,2,1
1200202,List_of_United_Airlines_destinations,16,8,2,0
15179510,Albert_Adomah,0,1,1,0
2018294,The_Man_Who_Came_to_Dinner,4,4,3,0
38729076,2000_UEFA_Cup_semi-final_violence,0,1,1,0
42209908,Ultraman_(manga),25,19,7,0.285714
