,Main_Topics,Higher_Weighted_Article
0,Media* (0.1) / Television (0.03) / Films (0.01) ,Paris Première (310)
1,History (0.08) / Society (0.06) / Military_and_warfare (0.05) ,Mandchoukouo (52)
2,Media* (0.18) / Television (0.09) / Performing_arts (0.07) ,Danse avec les stars (158)
3,Politics_and_government (0.12) / Media* (0.03) / Military_and_warfare (0.04) ,Sophie Cluzel (185)
4,Visual_arts* (0.16) / Fashion (0.15) / Society (0.01) ,Miss France 2006 (2687)
5,Media* (0.1) / Films (0.05) / History (0.03) ,Borsalino and Co. (539)
6,Sports (0.31) / Visual_arts* (0.02) / Business_and_economics (0.01) ,Club Atlético Peñarol (660)
7,Sports (0.19) / Politics_and_government (0.04) / Society (0.02) ,Ligue Europa 2017-2018 (775)
8,Sports (0.36) / North_America (0.36) / Biography* (0.29) ,Luke Walton (50)
9,Media* (0.11) / Films (0.03) / Literature (0.05) ,World War Z (film) (120)
10,Politics_and_government (0.1) / Military_and_warfare (0.08) / Philosophy_and_religion (0.05) ,Attentats du 13 novembre 2015 en France (1126)
11,Politics_and_government (0.04) / History (0.03) / Media* (0.05) ,Catherine Trautmann (42)
12,Politics_and_government (0.13) / Military_and_warfare (0.09) / History (0.04) ,Présidence de George H. W. Bush (603)
13,Media* (0.13) / Music (0.07) / Society (0.05) ,Grammy Awards (147)
14,Sports (0.23) / Media* (0.03) / Television (0.02) ,Younousse Sankharé (148)
15,Sports (0.17) / Media* (0.03) / Television (0.02) ,Coupe des clubs champions européens 1990-1991 (65)
16,Transportation (0.12) / Space (0.09) / Technology (0.07) ,Voyager 2 (88)
17,History (0.11) / Philosophy_and_religion (0.06) / Music (0.06) ,Quercy (2)
