,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
845,Opération Tempête du désert,1,11.836735,153,96,160,-0.051336214,22.154621,845,2,12,0.0,Q2349281
2894,Strasbourg,15,61.428574,152,129,0,2.552858,-10.812111,2894,29,11,68772.99321553732,Q6602
8667,Saint-Christophe-et-Niévès,3,13.67347,54,124,233,18.324478,-4.393455,8667,3,10,1561.0,Q763
9519,Georges Fenech,3,15.510204,54,124,233,-14.483621,11.640202,9519,4,10,4.072727272727272,Q12937
9968,Objet volant non identifié,9,17.34694,255,42,47,14.499231,-8.421227,9968,5,16,13840.0,Q421
10151,Marie-Anne Montchamp,17,17.34694,0,168,183,12.432577,-17.282381,10151,5,3,6753.038725933393,Q3291527
10182,Victoires de la musique,15,15.510204,152,129,0,8.372112,9.44837,10182,4,11,6205.0,Q2445029
10605,Alain Suguenot,17,10.0,0,168,183,-17.04055,-21.769571,10605,1,3,0.0,Q2830299
11019,George H. W. Bush,1,59.591835,153,96,160,-2.2947385,24.512808,11019,28,12,7342.607900432816,Q23505
13315,Maurice Druon,8,13.67347,60,163,0,-7.7246847,-24.054771,13315,3,0,2000.0930429106334,Q223949
14304,Programme Voyager,9,17.34694,255,42,47,-13.772227,-23.019968,14304,5,16,4.0,Q155311
14400,Mandchourie,6,17.34694,114,121,10,-4.6394405,12.08626,14400,5,1,9375.666666666713,Q81126
14598,Président des États-Unis mexicains,1,10.0,153,96,160,-11.817503,10.836565,14598,1,12,0.0,Q628004
15793,Bill Clinton,1,41.22449,153,96,160,-22.436535,7.6720076,15793,18,12,40.007178932178924,Q1124
15803,Huesca,8,11.836735,60,163,0,-16.14027,-17.382574,15803,2,0,781.0,Q11967
17097,Voyager 2,9,19.183674,255,42,47,11.606899,-12.745008,17097,6,16,7724.0,Q48475
19389,Serments de Strasbourg,15,13.67347,152,129,0,2.2136428,15.682176,19389,3,11,0.0,Q157082
19751,Prescott Bush,1,28.367348,153,96,160,-7.994854,-2.6090672,19751,11,12,0.5357142857142857,Q324742
20890,Vaison-la-Romaine,7,13.67347,0,148,245,-24.237427,14.003024,20890,3,5,3115.0,Q504887
24712,Milieu interstellaire,9,15.510204,255,42,47,-11.264368,0.1909442,24712,4,16,0.0,Q41872
26355,Kehl,15,13.67347,152,129,0,-21.565626,18.919529,26355,3,11,0.5,Q15979
26446,Édouard Molinaro,8,21.020409,60,163,0,-13.337723,-16.338724,26446,7,0,19207.510243737397,Q274411
32864,Ronald Reagan,1,39.387756,153,96,160,15.50719,-3.2799928,32864,17,12,5447.240115440072,Q9960
33341,Nuage de Oort,9,11.836735,255,42,47,4.0456996,-18.59067,33341,2,16,0.0,Q40864
33473,Héliopause,9,17.34694,255,42,47,2.9423323,-5.559194,33473,5,16,388.0,Q1137936
35929,Ieoh Ming Pei,6,11.836735,114,121,10,-3.7387545,12.239246,35929,2,1,1367.8166666666596,Q46868
38928,Micheline Presle,5,10.0,193,77,88,23.941643,-11.186106,38928,1,5,0.0,Q446235
41303,Fantômas,5,19.183674,193,77,88,-7.6527314,-17.393871,41303,6,5,1382.607359307357,Q1162210
41790,Odile de Hohenbourg,15,11.836735,152,129,0,14.891899,-12.064572,41790,2,11,1560.0,Q269867
41794,Jean de la Croix,18,11.836735,0,160,220,-18.585491,-11.765893,41794,2,17,781.0,Q190388
42497,Jean-Louis Barrault,8,11.836735,60,163,0,13.235344,11.529979,42497,2,0,114.33333333333333,Q309898
43170,Patrice Chéreau,8,21.020409,60,163,0,3.8376088,-3.7729824,43170,7,0,22328.770139453736,Q366057
43570,Dominique Sanda,8,11.836735,60,163,0,16.6777,-13.655026,43570,2,0,2030.2937537268906,Q179152
43889,Caroline Cellier,5,17.34694,193,77,88,-3.2003415,-22.169392,43889,5,5,1906.1141192799935,Q273292
43897,Danièle Delorme,5,10.0,193,77,88,23.033339,-17.929653,43897,1,5,0.0,Q290517
43911,Poulet au vinaigre,5,15.510204,193,77,88,6.777479,23.62663,43911,4,5,904.4955752103615,Q255812
43912,Jean Poiret,5,21.020409,193,77,88,4.5943675,17.010687,43912,7,5,5340.4295528721295,Q1685772
44063,Révisions constitutionnelles sous la Cinquième République,17,11.836735,0,168,183,22.352726,-13.974186,44063,2,3,781.0,Q2379161
44109,Marie Dubois,5,11.836735,193,77,88,1.7821914,18.418787,44109,2,5,51.300000000000004,Q128820
44308,Maurice Ronet,5,17.34694,193,77,88,1.3375759,8.129464,44308,5,5,27742.8632282645,Q965584
44543,Firmine Richard,8,11.836735,60,163,0,-8.031114,4.4076176,44543,2,0,0.0,Q447709
44797,Hara-Kiri (journal),17,11.836735,0,168,183,19.338718,-21.80797,44797,2,3,781.0,Q3127234
44807,Cercle de culture,9,10.0,255,42,47,0.93927795,-5.641569,44807,1,16,0.0,Q193330
45555,Paris Première,14,22.857143,0,126,172,9.445131,9.76716,45555,8,0,4803.267345426612,Q2459910
