,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
845,Opération_Tempête_du_désert,1,11.836735,153,96,160,-0.051336214,22.154621,845,2,12,0.0
2894,Strasbourg,15,61.428574,152,129,0,2.552858,-10.812111,2894,29,11,68772.99321553732
8667,Saint-Christophe-et-Niévès,3,13.67347,54,124,233,18.324478,-4.393455,8667,3,10,1561.0
9519,Georges_Fenech,3,15.510204,54,124,233,-14.483621,11.640202,9519,4,10,4.072727272727272
9968,Objet_volant_non_identifié,9,17.34694,255,42,47,14.499231,-8.421227,9968,5,16,13840.0
10151,Marie-Anne_Montchamp,17,17.34694,0,168,183,12.432577,-17.282381,10151,5,3,6753.038725933393
10182,Victoires_de_la_musique,15,15.510204,152,129,0,8.372112,9.44837,10182,4,11,6205.0
10605,Alain_Suguenot,17,10.0,0,168,183,-17.04055,-21.769571,10605,1,3,0.0
11019,George_H._W._Bush,1,59.591835,153,96,160,-2.2947385,24.512808,11019,28,12,7342.607900432816
13315,Maurice_Druon,8,13.67347,60,163,0,-7.7246847,-24.054771,13315,3,0,2000.0930429106334
14304,Programme_Voyager,9,17.34694,255,42,47,-13.772227,-23.019968,14304,5,16,4.0
14400,Mandchourie,6,17.34694,114,121,10,-4.6394405,12.08626,14400,5,1,9375.666666666713
14598,Président_des_États-Unis_mexicains,1,10.0,153,96,160,-11.817503,10.836565,14598,1,12,0.0
15793,Bill_Clinton,1,41.22449,153,96,160,-22.436535,7.6720076,15793,18,12,40.007178932178924
15803,Huesca,8,11.836735,60,163,0,-16.14027,-17.382574,15803,2,0,781.0
17097,Voyager_2,9,19.183674,255,42,47,11.606899,-12.745008,17097,6,16,7724.0
19389,Serments_de_Strasbourg,15,13.67347,152,129,0,2.2136428,15.682176,19389,3,11,0.0
19751,Prescott_Bush,1,28.367348,153,96,160,-7.994854,-2.6090672,19751,11,12,0.5357142857142857
20890,Vaison-la-Romaine,7,13.67347,0,148,245,-24.237427,14.003024,20890,3,5,3115.0
24712,Milieu_interstellaire,9,15.510204,255,42,47,-11.264368,0.1909442,24712,4,16,0.0
26355,Kehl,15,13.67347,152,129,0,-21.565626,18.919529,26355,3,11,0.5
26446,Édouard_Molinaro,8,21.020409,60,163,0,-13.337723,-16.338724,26446,7,0,19207.510243737397
32864,Ronald_Reagan,1,39.387756,153,96,160,15.50719,-3.2799928,32864,17,12,5447.240115440072
33341,Nuage_de_Oort,9,11.836735,255,42,47,4.0456996,-18.59067,33341,2,16,0.0
33473,Héliopause,9,17.34694,255,42,47,2.9423323,-5.559194,33473,5,16,388.0
35929,Ieoh_Ming_Pei,6,11.836735,114,121,10,-3.7387545,12.239246,35929,2,1,1367.8166666666596
38928,Micheline_Presle,5,10.0,193,77,88,23.941643,-11.186106,38928,1,5,0.0
41303,Fantômas,5,19.183674,193,77,88,-7.6527314,-17.393871,41303,6,5,1382.607359307357
41790,Odile_de_Hohenbourg,15,11.836735,152,129,0,14.891899,-12.064572,41790,2,11,1560.0
41794,Jean_de_la_Croix,18,11.836735,0,160,220,-18.585491,-11.765893,41794,2,17,781.0
42497,Jean-Louis_Barrault,8,11.836735,60,163,0,13.235344,11.529979,42497,2,0,114.33333333333333
43170,Patrice_Chéreau,8,21.020409,60,163,0,3.8376088,-3.7729824,43170,7,0,22328.770139453736
43570,Dominique_Sanda,8,11.836735,60,163,0,16.6777,-13.655026,43570,2,0,2030.2937537268906
43889,Caroline_Cellier,5,17.34694,193,77,88,-3.2003415,-22.169392,43889,5,5,1906.1141192799935
43897,Danièle_Delorme,5,10.0,193,77,88,23.033339,-17.929653,43897,1,5,0.0
43911,Poulet_au_vinaigre,5,15.510204,193,77,88,6.777479,23.62663,43911,4,5,904.4955752103615
43912,Jean_Poiret,5,21.020409,193,77,88,4.5943675,17.010687,43912,7,5,5340.4295528721295
44063,Révisions_constitutionnelles_sous_la_Cinquième_République,17,11.836735,0,168,183,22.352726,-13.974186,44063,2,3,781.0
44109,Marie_Dubois,5,11.836735,193,77,88,1.7821914,18.418787,44109,2,5,51.300000000000004
44308,Maurice_Ronet,5,17.34694,193,77,88,1.3375759,8.129464,44308,5,5,27742.8632282645
44543,Firmine_Richard,8,11.836735,60,163,0,-8.031114,4.4076176,44543,2,0,0.0
