,Label,Id,Degree,modularity_class,betweenesscentrality
22447,瑪格麗特二世_(丹麥),22447,2,5,0.0
22793,流星雨,22793,4,16,8820.047745995034
22852,能量,22852,6,9,21268.713486827342
23053,天琴座,23053,3,16,1349.462239565618
23128,南海诸岛,23128,12,16,14715.428235738851
23207,王实味,23207,1,6,0.0
23245,李肇星,23245,2,6,407.1287711757863
23367,奥丁,23367,3,23,0.0
23550,秀兰·邓波儿,23550,1,4,0.0
23678,鲁班,23678,3,18,3369.487813734785
23761,达卡,23761,3,1,6745.762727697001
23832,史蒂芬·沃爾夫勒姆,23832,1,5,0.0
23870,大汶口文化,23870,5,18,899.389151384212
24151,唐昭陵,24151,2,18,1303.4917599083803
24546,大卫·芬奇,24546,8,4,10322.2885577522
24611,热带雨林,24611,1,1,0.0
24871,商鞅变法,24871,4,18,2143.5213799358753
25061,龙山文化,25061,5,18,899.389151384212
25065,黃金週_(中國),25065,1,7,0.0
25075,干草市场事件,25075,3,3,8022.1776102686845
25277,中國時報,25277,28,10,208445.22619215955
25286,江南,25286,9,1,36779.64935706028
25616,徐有庠,25616,2,20,0.0
25618,元智大學,25618,12,20,12847.411950369402
25973,蝉,25973,2,3,2423.967114878817
26061,节肢动物,26061,6,9,8947.575766380454
26467,呂秀蓮,26467,5,6,5334.155553517499
29876,环境保护,29876,18,13,152225.519145957
30047,張榮發,30047,2,6,363.65131599397205
30728,相声,30728,10,7,48785.84525613927
30892,阿美族,30892,9,7,24568.469514878154
30893,布農族,30893,2,14,770.2299984558366
30898,鄒族,30898,3,7,1083.2084833936897
30909,糖类,30909,9,9,41743.58587991898
30955,相撲,30955,4,14,13085.947239682147
31057,中華民國軍事,31057,64,12,208057.79576037647
31141,主体思想,31141,32,14,45308.90949276466
31348,北回归线,31348,2,1,2042.2076953818118
31357,赵国,31357,12,18,21688.42121693706
31396,不明飞行物,31396,11,5,48845.26306781988
31557,星等,31557,2,12,3914.0000000000005
32003,赤道,32003,7,1,16390.082265601603
32008,謝長廷,32008,20,12,81522.33673758428
32545,毛人凤,32545,4,12,3631.864851972867
32972,D日,32972,1,14,0.0
33062,酱油,33062,4,6,12208.904311955486
33140,臺灣電視公司,33140,94,7,378163.3890374427
33507,第二次中东战争,33507,3,14,891.9903667652208
33564,自卫队,33564,9,12,35166.34908876371
33568,九三〇事件,33568,13,6,62715.17880547177
33616,香港特別行政區政務司司長,33616,29,13,16260.106127430583
33666,戰爭與和平,33666,3,4,4194.545601157279
33707,图瓦共和国,33707,1,5,0.0
34145,坪,34145,2,14,316.52233526863984
34366,公共图书馆,34366,1,12,0.0
34445,马赫,34445,2,4,70.21353090440468
34578,西点军校,34578,3,1,3914.0
35488,尉迟敬德,35488,3,18,2827.7187590860567
35529,马嵬驿之变,35529,2,7,0.0
35707,德国总理,35707,7,11,23056.686704832184
35744,礼记,35744,6,18,12303.477882913217
35873,臭氧层,35873,2,1,0.0
36144,徐庶,36144,4,18,9772.5
36203,梁錦松,36203,10,13,502.7775498086459
36902,诺贝尔生理学或医学奖,36902,6,5,17394.320057136843
36964,司徒華,36964,20,13,26027.021242335173
37038,卡拉OK,37038,8,7,5973.305185674448
37092,杰拉尔德·福特,37092,5,5,10127.122984772108
37103,齐白石,37103,3,18,7013.206987956855
37391,中華民國大陸委員會,37391,21,6,57680.15024043315
37469,李佩材家族,37469,2,13,3912.0
37617,英雄_(电影),37617,5,3,3258.724665399469
37648,森喜朗,37648,1,6,0.0
37741,新罗,37741,10,14,23869.481871271037
37774,格林尼治標準時間,37774,3,20,9714.531438386419
37855,中華大學,37855,11,20,8498.942707902379
37941,林则徐,37941,2,12,3914.0
37997,李明依,37997,4,7,2197.216581219087
38022,虎门销烟,38022,4,14,4282.355432762545
38194,三星堆遗址,38194,5,18,2547.7930001845866
38215,摩天大樓,38215,4,1,7567.634584375419
38678,日内瓦,38678,7,13,10832.459701783288
38951,密蘇里州,38951,7,17,30681.38106023913
38956,班禅额尔德尼,38956,4,3,2507.887665611484
39226,無國界醫生,39226,4,3,5472.648111798348
39315,尼米茲號航空母艦,39315,2,1,3914.0
39808,眼压,39808,2,9,3914.0
40237,客家话,40237,23,7,142585.76633007007
40398,中国东方航空,40398,14,1,51070.598593231196
40498,虫虫危机,40498,4,4,2473.687529934297
40568,肯塔基州,40568,7,5,12821.556185092008
40802,豆浆,40802,2,9,4744.272857831212
40944,超人特攻隊_(電影),40944,7,4,31030.760119976978
40946,熱狗,40946,4,16,8102.182607882084
41030,北京条约,41030,4,14,833.7420943584694
41409,鎌倉時代,41409,4,19,20001.293990376584
41419,吉野家,41419,3,17,1411.5943206101701
41636,地產大亨,41636,2,5,2821.2876271092155
41940,勁歌金曲頒獎典禮,41940,5,13,6772.0890001235675
42237,綠黨_(臺灣),42237,11,0,24874.92857975521
42254,丹东市,42254,14,14,49924.889067012475
42278,2004年香港立法會選舉,42278,1,13,0.0
42288,武汉大学,42288,7,5,31398.468976429736
42392,别斯兰人质危机,42392,4,5,14408.918892422214
42537,捷克斯洛伐克,42537,13,6,33744.165977224235
42869,何秀蘭,42869,25,13,28672.217795418448
43263,秦桧,43263,1,14,0.0
43297,吳靄儀,43297,22,13,5173.048528730734
44096,佛得角,44096,13,5,18871.03018814724
45299,愛德華·馬奈,45299,1,16,0.0
45324,斯巴达克斯起义,45324,3,18,9726.56579609202
45479,爱娃·勃劳恩,45479,2,11,0.0
45549,蔡萬霖,45549,3,9,1319.6378453511484
45568,LMF,45568,2,13,417.39196497192194
46023,中華民國教育部,46023,29,12,146967.41168012272
46029,中華民國政黨列表,46029,17,6,30037.579879959867
46099,朝鲜半岛,46099,50,14,348900.13360246376
46102,2046_(電影),46102,4,3,2976.5137432228194
46213,蒙哥,46213,1,5,0.0
46215,元成宗,46215,2,5,7826.0
46693,司法院,46693,8,0,33981.50959948475
46752,馬賽曲,46752,1,4,0.0
47118,東吳大學,47118,12,20,36314.18230873025
47655,陳日君,47655,7,13,19000.73435376917
47679,鄭芝龍,47679,4,3,26184.996343225626
47712,國立高雄大學,47712,10,20,11187.43758363
47724,F-14雄貓式戰鬥機,47724,4,4,3813.3949330792884
47862,輕小說,47862,19,2,109056.18164861752
48013,磁懸浮列車,48013,4,5,8987.110142693935
48017,警察,48017,29,3,257078.8202680202
48087,魔方,48087,4,10,12016.50971782216
48247,七十七国集团,48247,7,5,6326.905285500407
49744,澳門教育,49744,1,3,0.0
49814,任仲夷,49814,1,7,0.0
50366,楊森_(香港),50366,14,13,593.9117000205381
50521,盎司,50521,4,3,8285.576050238984
50523,毫升,50523,1,3,0.0
51314,楼兰,51314,1,18,0.0
51565,梁思成,51565,5,18,10475.011807119754
51589,火災,51589,10,1,15007.448437351193
51593,世界大戰,51593,7,5,17027.2409690999
51742,儒艮,51742,1,9,0.0
51915,詹姆斯·庫克,51915,3,12,4247.74177591412
52672,香港市民支援愛國民主運動聯合會,52672,3,13,2169.524648999524
52682,民主党派,52682,13,6,10399.578218412395
52690,一夫多妻制,52690,2,9,108.82043654426566
