,Main_Topics,Higher_Weighted_Article
0,Sports (0.26) / Media* (0.05) / STEM* (0.02) ,Grey Cup (4678)
1,Media* (0.18) / Films (0.06) / Literature (0.05) ,The Lion King (4939)
2,Sports (0.29) / Media* (0.03) / Music (0.01) ,2015 Chicago Bears season (7156)
3,History (0.14) / Politics_and_government (0.05) / Military_and_warfare (0.09) ,Kingdom of Kent (602)
4,Society (0.04) / Military_and_warfare (0.06) / Sports (0.08) ,Ukraine (4358)
5,Transportation (0.11) / Military_and_warfare (0.1) / STEM* (0.08) ,ARA San Juan (S-42) (474)
6,Media* (0.17) / Films (0.12) / Sports (0.04) ,Drama (film and television) (2946)
7,Politics_and_government (0.1) / Media* (0.08) / STEM* (0.05) ,2016 United States presidential election (6476)
8,Media* (0.16) / Television (0.08) / Films (0.03) ,SpongeBob SquarePants (1662)
9,STEM* (0.08) / History (0.07) / Biology (0.05) ,He Jiankui (105)
10,Sports (0.27) / Media* (0.04) / Education (0.02) ,Coaches Poll (20343)
11,Media* (0.22) / Music (0.22) / Society (0.03) ,Jimi Hendrix (502)
12,STEM* (0.07) / Society (0.12) / Philosophy_and_religion (0.08) ,Lester Frank Ward (639)
13,Sports (0.21) / Media* (0.05) / Television (0.02) ,2017 Davis Cup (1199)
14,Sports (0.23) / Media* (0.03) / Society (0.01) ,Association football (43344)
15,STEM* (0.17) / Technology (0.1) / Space (0.1) ,Mars Express (3490)
16,Media* (0.17) / Films (0.08) / Television (0.03) ,The X-Files (1871)
17,Society (0.1) / Politics_and_government (0.1) / History (0.01) ,Su Tseng-chang (306)
18,Media* (0.12) / Films (0.1) / STEM* (0.04) ,The Last Emperor (1028)
19,STEM* (0.05) / Philosophy_and_religion (0.06) / Architecture (0.03) ,Cama Hospital (115)
20,Military_and_warfare (0.15) / Transportation (0.09) / History (0.06) ,Battle of Tassafaronga (302)
21,Sports (0.24) / Media* (0.02) / Music (0.02) ,Michael Parkhurst (2254)
22,Society (0.07) / Linguistics (0.03) / History (0.04) ,Andamanese (548)
23,Media* (0.12) / Sports (0.12) / Films (0.07) ,Little Giants (55)
24,Media* (0.08) / Politics_and_government (0.05) / Sports (0.03) ,Broadway Danny Rose (139)
25,STEM* (0.08) / Military_and_warfare (0.04) / Politics_and_government (0.07) ,1992 Landers earthquake (56)
26,Politics_and_government (0.15) / Philosophy_and_religion (0.03) / History (0.03) ,2017 United Kingdom general election (1822)
27,Sports (0.28) / Military_and_warfare (0.0) / Society (0.0) ,2017 Six Nations Championship (3291)
28,STEM* (0.09) / Business_and_economics (0.08) / Politics_and_government (0.07) ,General Motors Canada (374)
29,Films (0.15) / Media* (0.15) / Politics_and_government (0.01) ,Ambareesh filmography (594)
30,Literature (0.13) / Comics_and_Anime (0.12) / Visual_arts* (0.11) ,Neon Genesis Evangelion (175)
31,Visual_arts* (0.2) / Society (0.08) / Media* (0.04) ,David Hockney (91)
32,Sports (0.31) / Education (0.05) / Media* (0.01) ,2019 NBA draft (1074)
33,History (0.06) / Politics_and_government (0.04) / STEM* (0.06) ,History of Manchester (101)
34,Politics_and_government (0.13) / Society (0.03) / Media* (0.03) ,Australian Greens Victoria (423)
35,Media* (0.21) / Music (0.17) / Visual_arts* (0.04) ,We Appreciate Power (377)
36,Sports (0.28) / Education (0.01) / Society (0.01) ,James Paxton (baseball) (714)
37,Media* (0.19) / Television (0.16) / Music (0.03) ,Anyone I Want to Be (805)
38,Media* (0.15) / Films (0.07) / Military_and_warfare (0.05) ,Reach for the Sky (354)
39,Media* (0.22) / Music (0.2) / Television (0.03) ,Sean Combs (215)
40,STEM* (0.18) / Space (0.1) / Technology (0.05) ,Arecibo message (284)
41,Sports (0.2) / Media* (0.05) / Television (0.03) ,ART Grand Prix (377)
42,Sports (0.23) / Politics_and_government (0.04) / History (0.04) ,Edmonton Oilers (268)
43,History (0.06) / Sports (0.07) / Military_and_warfare (0.01) ,Independent Albania (27)
44,Military_and_warfare (0.09) / Politics_and_government (0.1) / Society (0.05) ,Cambodian genocide (229)
45,Sports (0.33) / Society (0.03) / Biography* (0.27) ,Sergio Rodríguez (33)
