,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
1051,Alexis Carrel,11.25,0,146,232,-9.195307,-9.707448,1051,2,12,4602.0,Q185777
1200,Atomic physics,16.25,0,136,97,-16.363468,-0.8956069,1200,6,15,8103.408768368337,Q26383
1750,Andaman Islands,55.0,0,135,255,-1.2021897,20.81984,1750,37,22,40864.8905530973,Q186233
1791,Anti-ballistic missile,17.5,69,155,0,16.646498,13.823251,1791,7,4,64294.99999999999,Q574594
2238,Antipope John XXIII,11.25,192,192,192,15.534996,-8.61799,2238,2,26,0.0,Q294599
2340,Antipope Felix II,11.25,192,192,192,-11.043402,-22.291103,2340,2,26,0.0,Q299410
4754,Blue Streak (missile),13.75,69,155,0,18.808428,-0.480191,4754,4,4,2.5,Q885899
5574,History of Croatia,10.0,192,192,192,0.25860718,-15.788147,5574,1,4,0.0,Q210726
6446,Camouflage,13.75,0,159,54,-18.332634,22.744215,6446,4,18,19019.606789788668,Q196113
6696,Chain mail,12.5,192,192,192,-17.178188,9.937805,6696,3,4,27587.0,Q659631
7034,Cruiser,32.5,192,192,192,-5.0319533,6.4245243,7034,19,20,125715.25797115425,Q104843
7131,Charles Evers,10.0,192,192,192,1.856142,-4.847801,7131,1,17,0.0,Q5077458
7341,Cowboy Bebop,15.0,192,192,192,20.764416,12.940931,7341,5,30,91714.0,Q232246
8912,Drake equation,25.0,192,192,192,-17.976023,1.9043835,8912,13,40,3111.583333333559,Q180316
9093,De Havilland Mosquito,15.0,192,192,192,-16.918804,-1.5330373,9093,5,38,18401.0,Q221344
9937,Kingdom of Essex,22.5,192,192,192,14.862984,19.420717,9937,11,3,31966.89285714286,Q110888
10568,Association football,193.75,0,163,145,-13.618437,-11.885574,10568,148,14,2505614.871842162,Q2736
10573,Fox Film,12.5,0,174,240,15.661828,-0.7114051,10573,3,6,12042.03609920799,Q2644123
12664,General-purpose machine gun,11.25,69,155,0,-0.3501101,5.425149,12664,2,4,4602.0,Q1060532
13967,Habakkuk,11.25,192,192,192,21.051104,11.259492,13967,2,26,0.0,Q135106
14097,History of Asia,12.5,192,192,192,8.627955,15.5564,14097,3,9,30400.529580748786,Q627531
15579,Communications in Japan,10.0,192,192,192,20.400091,16.111795,15579,1,20,0.0,Q16000062
16095,Jimi Hendrix,33.75,192,192,192,-24.649689,5.7045503,16095,20,11,262538.9568429516,Q5928
17049,Khmer Rouge,35.0,192,192,192,21.581102,-0.81853133,17049,21,44,12405.535380993204,Q191764
18109,Lennon Wall,10.0,192,192,192,-11.502509,14.008208,18109,1,34,0.0,Q1630131
19027,My Fair Lady,15.0,192,192,192,20.207033,-11.153071,19027,5,1,361655.2213455713,Q591943
19211,Mayotte,12.5,192,192,192,20.642246,16.815434,19211,3,41,27190.03825095744,Q17063
20454,Montreux Convention Regarding the Regime of the Straits,11.25,192,192,192,10.393785,-20.525183,20454,2,4,5114.973088590184,Q869500
21711,Neon Genesis Evangelion,20.0,192,192,192,-18.825878,16.975845,21711,9,30,73420.33333333333,Q662
22050,North American Free Trade Agreement,21.25,192,192,192,-2.7772877,10.190634,22050,10,28,409378.0219133628,Q181574
23241,Telecommunications in China,15.0,192,192,192,24.011927,-22.354517,23241,5,9,121548.81799241772,Q285321
23790,Pope Alexander VIII,18.75,192,192,192,11.743037,9.16163,23790,8,26,112.58208164201349,Q101294
23810,Pope Agapetus I,18.75,192,192,192,0.5988516,-22.466452,23810,8,26,2300.5,Q160900
23825,Pope Adrian II,20.0,192,192,192,17.247808,5.585651,23825,9,26,27680.89693077621,Q173995
23829,Pope Adrian V,18.75,192,192,192,5.668571,-21.622389,23829,8,26,112.58208164201349,Q173000
23834,Pope Anastasius IV,20.0,192,192,192,-21.202082,9.616028,23834,9,26,5107.775123170413,Q179389
23836,Pope Anastasius I,17.5,192,192,192,11.39306,-15.475962,23836,7,26,0.0,Q134682
24008,Pope Benedict I,18.75,192,192,192,15.413926,2.2580981,24008,8,26,112.58208164201349,Q151902
24009,Pope Benedict II,18.75,192,192,192,-1.5508405,-7.944227,24009,8,26,2300.5,Q163787
24033,Percival Lowell,12.5,0,136,97,7.184752,15.63597,24033,3,15,613.8911499491307,Q218575
24326,Pol Pot,35.0,192,192,192,9.91262,-16.98727,24326,21,44,657700.3987343342,Q39464
26211,Racketeer Influenced and Corrupt Organizations Act,10.0,89,127,28,-12.287363,-12.14713,26211,1,24,0.0,Q1418478
26956,Silent film,22.5,0,174,240,9.554382,-3.2032278,26956,11,6,391556.4119732512,Q226730
27346,Slovenian Armed Forces,11.25,69,155,0,8.004711,-3.0129907,27346,2,4,4602.0,Q921208
27608,Science fiction on television,16.25,199,73,95,3.787411,-1.952254,27608,6,16,14308.888888887226,Q336059
28153,Search for extraterrestrial intelligence,26.25,192,192,192,-10.724736,12.845929,28153,14,40,4642.1666666663195,Q484587
28913,Steve Bracks,21.25,192,192,192,-23.505322,23.244915,28913,10,34,6132.673015872915,Q3498865
30057,Tokyo,50.0,154,122,0,-18.759686,8.966994,30057,33,13,1828340.9286044496,Q1490
30304,The X-Files,33.75,199,73,95,-11.956807,-22.238503,30304,20,16,22270.534523807935,Q2744
31491,Theoretical chemistry,16.25,0,136,97,-8.687099,16.957727,31491,6,15,48894.917314626655,Q321150
31750,Ukraine,200.0,69,155,0,19.06235,1.279182,31750,153,4,3722069.850269295,Q212
31833,Foreign relations of Ukraine,22.5,69,155,0,24.5513,17.067108,31833,11,4,2032.714267984028,Q16056631
32117,Upper Peninsula of Michigan,10.0,0,146,232,22.43753,-24.531286,32117,1,12,0.0,Q1338
32235,Ural–Altaic languages,10.0,0,135,255,-23.023457,16.214817,32235,1,22,0.0,Q728651
32714,Vince Foster,11.25,192,192,192,-8.453491,-8.45433,32714,2,28,12660.340719056001,Q2529133
32788,Vivien Leigh,17.5,199,73,95,16.543098,16.919678,32788,7,16,56847.23222203536,Q129429
33093,Eddie Chapman,11.25,0,159,54,0.27677062,-6.189371,33093,2,18,7369.390444648778,Q951385
34361,York,21.25,0,163,145,3.2108502,-18.313107,34361,10,14,101518.40373878884,Q42462
34527,Zodiacal light,11.25,0,136,97,19.622507,9.082434,34527,2,15,0.0,Q204079
37449,Mariner 9,40.0,0,136,97,4.8563943,10.368766,37449,25,15,2346.70785768315,Q203801
38420,Johns Hopkins University,17.5,192,192,192,-23.37756,-20.438408,38420,7,28,124636.82132576173,Q193727
38828,Michael Bloomberg,18.75,192,192,192,18.110237,3.1512237,38828,8,28,98585.02157641578,Q607
39353,Operetta,12.5,0,174,240,17.87437,-18.834274,39353,3,6,262028.11277214458,Q170384
39562,Geochemistry,21.25,0,136,97,2.4543989,-14.628545,39562,10,15,13332.107205858058,Q161764
39608,Walter Winterbottom,12.5,0,163,145,-6.7650824,-7.8912306,39608,3,14,31.233509003074218,Q531168
42106,Crossfire (film),15.0,199,73,95,-1.3551089,10.438721,42106,5,16,18401.0,Q632718
44057,Galactic astronomy,12.5,0,136,97,11.472184,13.308676,44057,3,15,0.0,Q58908
44433,Danish West Indies,13.75,0,135,255,10.730147,13.951549,44433,4,22,13802.0,Q829655
45352,Richard Barthelmess,12.5,0,174,240,-4.844181,16.001972,45352,3,6,40090.990655439986,Q457293
45378,Bactria,11.25,192,192,192,-13.218803,-0.9262258,45378,2,19,4602.0,Q132646
47638,Kerch,20.0,69,155,0,-13.053821,21.945183,47638,9,4,4206.238149906303,Q157065
47791,Mars program,32.5,0,136,97,-19.278524,4.759124,47791,19,15,2.069886385781283,Q31316
47792,Martian,28.75,0,136,97,-8.868884,-8.166407,47792,16,15,17732.32826354867,Q913850
47898,Andaman and Nicobar Islands,45.0,0,135,255,7.7339783,-8.143326,47898,29,22,27019.679934870022,Q40888
47911,Hudson River,22.5,254,0,145,5.4976163,-5.007589,47911,11,19,7126.460257816707,Q3140
48570,"Ecgberht, King of Wessex",28.75,192,192,192,14.135706,-13.455975,48570,16,3,2310.2766233766233,Q154934
48757,Great Northern War,16.25,192,192,192,-16.542503,-23.593094,48757,6,3,20633.5,Q151616
50089,Otto Neurath,12.5,0,146,232,11.782559,14.789784,50089,3,12,303440.5881434701,Q78570
50422,Bernardo Bertolucci,50.0,192,192,192,14.107256,-20.63995,50422,33,18,65461.95434587131,Q53009
50477,Martial law,18.75,192,192,192,0.99671894,-24.117762,50477,8,17,207341.38836107266,Q715625
50528,"Dutchess County, New York",23.75,254,0,145,-8.830849,-16.831043,50528,12,19,81913.91836522812,Q115148
52015,Proper motion,10.0,192,192,192,-3.5637548,-1.898402,52015,1,40,0.0,Q193223
54088,Harry Palmer,11.25,0,174,240,8.720321,6.2334404,54088,2,1,0.0,Q1749168
54360,Frank Drake,23.75,192,192,192,-19.702492,-5.5226645,54360,12,40,0.3333333333333333,Q299149
54434,The Wizard of Oz,11.25,199,73,95,-7.331187,23.414541,54434,2,16,0.0,Q18159725
54454,"Putnam County, New York",15.0,254,0,145,20.993176,6.3615217,54454,5,19,662.0480625699633,Q115266
55072,Puyi,21.25,192,192,192,-2.2603157,-17.470621,55072,10,18,28351.05120924027,Q185152
56506,"Saratoga County, New York",12.5,254,0,145,13.768449,14.590624,56506,3,19,1229.6522641754525,Q487605
57559,Predation,18.75,0,159,54,16.537601,-7.064369,57559,8,18,35245.97940490977,Q170430
57604,Max Reinhardt,11.25,0,174,240,15.290747,-13.334907,57604,2,1,59670.0,Q78639
58301,List of counties in Mississippi,31.25,192,192,192,10.512499,24.325626,58301,18,17,11115.434443351118,Q1334227
58719,Judy Garland,27.5,199,73,95,8.543979,-2.20473,58719,15,16,418425.05298042233,Q11637
60280,Margaret Atwood,12.5,228,71,225,22.136515,1.5075514,60280,3,7,18399.0,Q183492
60356,"Albany, California",12.5,228,71,225,-21.61221,-4.566109,60356,3,7,4602.0,Q671480
61071,Lady for a Day,17.5,0,174,240,-12.835509,22.859085,61071,7,6,135554.05127406516,Q301649
61480,Broadway Melody of 1936,13.75,0,174,240,-24.814747,-16.009737,61480,4,16,4751.954788105214,Q1619460
63594,Joan Kirner,17.5,192,192,192,5.852812,7.955425,63594,7,34,1504.9158730158576,Q3179594
65504,John Poindexter,13.75,228,71,225,-14.3369055,-11.179518,65504,4,7,13800.0,Q348163
65534,Long Island Ducks,11.25,254,0,145,-5.906678,8.254386,65534,2,36,9202.0,Q6672679
67344,Armed Forces of the Argentine Republic,11.25,192,192,192,20.352406,-1.9448522,67344,2,5,0.0,Q628021
