,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Weight,Total Weight,Ratio Weight
421,18.0,19.0,518436.0,The Scotsman,0.6584275364875793,Q1049657,Culture.Media.Media*,262710.273125,0.12203399999999999,0.146177,0.0,77.0,215.0,0.3581395348837209,Media*,912.580565571785,19196.33927988261,0.0475393017526082
551,7.0,25.0,59172384.0,We Appreciate Power,0.9991804361343384,Q59779835,Culture.Media.Media*,4604.0,0.074848,0.079651,0.0,77.0,215.0,0.3581395348837209,Media*,538.5582550764084,19196.33927988261,0.028055258204401867
12497,7.0,24.0,47178967.0,Grimes discography,0.99567848443985,Q21625695,Culture.Media.Media*,32174.0,0.08089199999999999,0.086762,0.0,77.0,215.0,0.3581395348837209,Media*,536.6707031130792,19196.33927988261,0.027956929458706724
6225,6.0,22.0,16619622.0,Paper (magazine),0.94500470161438,Q7132584,Culture.Media.Media*,148181.88986,0.09644,0.105868,0.0,77.0,215.0,0.3581395348837209,Media*,436.5921721458436,19196.33927988261,0.022743511967585596
552,7.0,25.0,59172384.0,We Appreciate Power,0.9990094900131226,Q59779835,Culture.Media.Music,4604.0,0.074848,0.079651,0.0,55.0,215.0,0.2558139534883721,Music,384.6186536550522,19196.33927988261,0.020036041666450698
12496,7.0,24.0,47178967.0,Grimes discography,0.998876452445984,Q21625695,Culture.Media.Music,32174.0,0.08089199999999999,0.086762,0.0,55.0,215.0,0.2558139534883721,Music,384.56743419170385,19196.33927988261,0.02003337347734435
5518,5.0,22.0,57839650.0,Legends of the Summer (EP),0.9777238368988036,Q55616728,Culture.Media.Media*,18396.0,0.09592200000000001,0.104371,0.0,77.0,215.0,0.3581395348837209,Media*,376.4236772060394,19196.33927988261,0.019609138581985996
6211,5.0,25.0,48291870.0,Art Angels,0.9724247455596924,Q21198126,Culture.Media.Media*,0.0,0.07484600000000001,0.079434,0.0,77.0,215.0,0.3581395348837209,Media*,374.38352704048157,19196.33927988261,0.019502860497617285
1750,5.0,25.0,34808370.0,Halfaxa,0.966924011707306,Q2371551,Culture.Media.Media*,0.0,0.07484600000000001,0.079434,0.0,77.0,215.0,0.3581395348837209,Media*,372.26574450731283,19196.33927988261,0.019392538289706104
9505,5.0,25.0,34808209.0,Geidi Primes,0.9344051480293274,Q2498611,Culture.Media.Media*,0.0,0.07484600000000001,0.079434,0.0,77.0,215.0,0.3581395348837209,Media*,359.74598199129105,19196.33927988261,0.018740342976137008
