,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,10.0,3010.0,Alan Jay Lerner,0.585111141204834,Q961893,Culture.Media.Media*,87924.25524925707,8.0,89.0,441.0,0.2018140589569161,Media*,Culture,520.7489156723021,34510.00311822444,0.015089796250910772
1,26.0,4887.0,British Army,0.9219318628311156,Q222595,History_and_Society.Military_and_warfare,1071247.477990389,27.0,33.0,521.0,0.06333973128598848,Military_and_warfare,History_and_Society,791.0175383090973,11904.828829459846,0.06644509968523317
2,1.0,5285.0,STS-51-F,0.9996179938316344,Q827094,History_and_Society.Transportation,0.0,26.0,91.0,837.0,0.1087216248506571,Transportation,History_and_Society,90.96523743867873,295332.9668220952,0.0003080090868875977
3,11.0,6984.0,Colin Powell,0.4843900501728058,Q150851,History_and_Society.Politics_and_government,914286.878671036,25.0,74.0,742.0,0.09973045822102426,Politics_and_government,History_and_Society,394.2935008406639,23811.750096201893,0.016558778722591913
4,4.0,7279.0,"Chapter 11, Title 11, United States Code",0.12253321707248688,Q1062835,Culture.Sports,18575.0,33.0,66.0,375.0,0.17600000000000002,Sports,Culture,32.348769307136536,10139.715721696617,0.0031903033768410053
5,11.0,11982.0,Gemini 10,0.9994397163391112,Q752799,History_and_Society.Transportation,354.2045702861319,26.0,91.0,837.0,0.1087216248506571,Transportation,History_and_Society,1000.4391560554504,295332.9668220952,0.003387495702970749
6,10.0,13075.0,Gosford,0.9219318628311156,Q605113,Geography.Regions.Oceania,12027.223751512784,3.0,24.0,503.0,0.047713717693836984,Oceania,Geography,0.0,53840.81349351257,0.0
7,3.0,13411.0,Transport in Hong Kong,0.10088862478733064,Q1073811,History_and_Society.Politics_and_government,9291.0,24.0,12.0,181.0,0.06629834254143646,Politics_and_government,History_and_Society,3.631990492343904,713.6887770071627,0.005089039661762052
8,7.0,13743.0,Harry Connick Jr.,0.9219318628311156,Q313755,Culture.Media.Media*,368482.4080056193,30.0,118.0,684.0,0.17251461988304093,Media*,Culture,761.5157186985015,47750.223407790065,0.01594789855107288
9,3.0,14380.0,Helium-3,0.9770326614379884,Q533498,STEM.Chemistry,0.0,22.0,1.0,352.0,0.002840909090909091,Chemistry,STEM,2.9310979843139653,2837.14933090657,0.0010331137499122668
10,3.0,15531.0,Isaac Stern,0.8080772161483765,Q311317,Culture.Media.Media*,13934.0,8.0,89.0,441.0,0.2018140589569161,Media*,Culture,215.7566167116165,34510.00311822444,0.006252002237510007
11,2.0,16207.0,Joseph Gurney Cannon,0.9659096002578736,Q984248,History_and_Society.Politics_and_government,0.0,1.0,39.0,296.0,0.13175675675675674,Politics_and_government,History_and_Society,75.34094882011415,5072.355539351703,0.014853246826965028
12,7.0,16227.0,Jerome Kern,0.6859594583511353,Q313270,Culture.Media.Media*,26159.38252966751,8.0,89.0,441.0,0.2018140589569161,Media*,Culture,427.35274255275726,34510.00311822444,0.012383445492274554
13,6.0,16380.0,James Tobin,0.7663036584854126,Q211776,History_and_Society.Business_and_economics,8453.257126163651,25.0,43.0,742.0,0.057951482479784364,Business_and_economics,History_and_Society,197.70634388923645,23811.750096201893,0.008302890089576897
14,7.0,17878.0,Laser science,1.0000100135803225,Q4252992,STEM.Physics,4647.075,16.0,20.0,497.0,0.04024144869215292,Physics,STEM,140.00140190124515,6478.166289411485,0.02161127017225174
15,7.0,17970.0,Leon M. Lederman,0.9362950325012208,Q192695,STEM.Physics,9291.0,16.0,20.0,497.0,0.04024144869215292,Physics,STEM,131.08130455017093,6478.166289411485,0.02023432229030958
16,23.0,18964.0,Madagascar,0.11280541121959685,Q1019,History_and_Society.Society,489223.40703228547,37.0,6.0,357.0,0.01680672268907563,Society,History_and_Society,15.567146748304365,6400.0546790510425,0.002432345898427943
17,1.0,19035.0,Mormon (word),0.6584275364875793,Q17007591,Culture.Philosophy_and_religion,0.0,43.0,15.0,215.0,0.06976744186046513,Philosophy_and_religion,Culture,9.876413047313688,2010.5385933518412,0.004912322041452767
18,3.0,20108.0,Mick Doohan,0.8080772161483765,Q436025,Culture.Sports,2318.0,35.0,56.0,256.0,0.21875,Sports,Culture,135.75697231292722,29450.971630617973,0.004609592308723385
19,2.0,20861.0,Cavity magnetron,0.11597072333097458,Q194154,History_and_Society.Politics_and_government,0.0,22.0,13.0,352.0,0.03693181818181818,Politics_and_government,History_and_Society,3.015238806605339,2837.14933090657,0.0010627705682456493
20,1.0,21344.0,Geography of New Caledonia,0.4946784844398498,Q3098269,Geography.Geographical,0.0,37.0,5.0,357.0,0.014005602240896359,Geographical,Geography,0.0,6400.0546790510425,0.0
21,15.0,21649.0,New Mexico,0.9886782765388488,Q1522,Geography.Geographical,613073.68454047,26.0,15.0,837.0,0.017921146953405017,Geographical,Geography,0.0,295332.9668220952,0.0
22,5.0,23269.0,Physicist,0.4532718360424042,Q169470,History_and_Society.Business_and_economics,36122.68371703627,22.0,4.0,352.0,0.011363636363636364,Business_and_economics,History_and_Society,9.065436720848083,2837.14933090657,0.0031952624495628344
23,2.0,25190.0,Politics of Qatar,0.9688661694526672,Q1155440,History_and_Society.Politics_and_government,0.0,37.0,46.0,357.0,0.12885154061624648,Politics_and_government,History_and_Society,89.13568758964539,6400.0546790510425,0.013927332196302709
24,2.0,25195.0,Foreign relations of Qatar,0.9908843636512756,Q5468532,History_and_Society.Politics_and_government,0.0,37.0,46.0,357.0,0.12885154061624648,Politics_and_government,History_and_Society,91.16136145591736,6400.0546790510425,0.014243841033782257
