,Label,Id,Degree,modularity_class,betweenesscentrality
15507,Afrikaner,15507,10,23,3725.7960946793864
15528,Gioventù_hitleriana,15528,1,17,0.0
15627,Viminale_(colle),15627,2,4,6805.541675390147
15644,Offensiva_del_Têt,15644,5,17,11955.450609615194
16086,Cronologia_della_guerra_del_Vietnam,16086,4,17,49.71445143646489
16319,Fenomenologia,16319,5,8,9192.458721834666
16629,Mogadiscio,16629,3,2,356.5959619327671
16684,Ceglie_Messapica,16684,10,4,129735.45359226798
16686,Compact_disc,16686,26,19,368761.25603637635
17057,Coppa_del_Mondo_di_rugby,17057,24,23,60925.53812345517
17083,Papa_Urbano_VIII,17083,25,4,76287.40510605242
17231,Cucina_giapponese,17231,2,4,14562.0
17312,Larghezza_di_banda,17312,2,11,118.54648599184551
17413,Lega_araba,17413,1,12,0.0
17485,Digitale_(informatica),17485,3,1,24179.732552309946
17554,Blake_Edwards,17554,30,13,205850.0907306457
17562,Konrad_Adenauer,17562,10,10,34328.98472176426
17592,Lubecca,17592,4,4,16303.671767927673
17745,Nevermind_(Nirvana),17745,2,14,1274.7462382624508
17797,Giovine_Italia,17797,2,21,1415.927639657469
18233,Esercito,18233,12,4,124341.0821603425
18359,Assia,18359,11,12,37003.84829472133
18369,Comunità_degli_Stati_Indipendenti,18369,2,12,7282.0
18508,Madame_de_Staël,18508,7,19,55556.61659759584
18554,Onde_radio,18554,12,11,67347.21434121153
18599,Pixel,18599,11,11,153045.62455813962
18686,Turingia,18686,6,12,11861.45839717113
18714,Acqua_pesante,18714,6,11,30503.22809693072
18873,Orbita,18873,7,11,35653.933591527006
19156,Paolo_Uccello,19156,5,4,11463.988122659892
19297,Novalis,19297,5,19,11254.053334404003
19462,Papa_Benedetto_XIV,19462,34,4,218623.7394626743
19590,Ente_Italiano_per_le_Audizioni_Radiofoniche,19590,8,13,109730.4289665836
19681,Trio_Lescano,19681,9,13,69143.61109317857
19746,Repubblica_Ceca,19746,52,10,1200398.386851492
19888,Johannes_Brahms,19888,17,19,90650.55131045122
19929,Evita_(film),19929,1,8,0.0
19952,Locate_di_Triulzi,19952,1,4,0.0
19971,Mediglia,19971,3,4,0.0
19977,Morimondo,19977,4,4,2277.0827477792027
20125,Arsenale_di_Venezia,20125,6,4,5478.314703291673
20211,Castiglia_e_León,20211,2,13,0.0
