,Label,Id,Degree,modularity_class,betweenesscentrality
45813,Marc_Bloch,45813,3,14,0.0
46139,Gaston_Flosse,46139,1,11,0.0
46479,Rufus,46479,2,9,0.0
46931,Chronologie_de_la_Révolution_française,46931,6,2,35009.79608987495
47532,Médecins_de_nuit,47532,5,9,36431.941894762815
48198,Sport_aux_États-Unis,48198,14,18,80404.38126694829
48702,Etterbeek,48702,2,12,7782.0
49809,Bergen-Belsen,49809,9,14,9831.718157923304
50318,Screen_Actors_Guild_Awards,50318,7,19,28110.284353959923
50338,Bratisla_Boys,50338,2,24,0.0
50679,Marc-Vivien_Foé,50679,1,17,0.0
50915,Michael_Jordan,50915,56,18,176897.1053705173
51688,Rabbin,51688,15,14,118969.65515865409
51909,IG_Farben,51909,3,14,7784.0
53192,Mer_Adriatique,53192,9,2,238684.04419764015
53306,Menahem_Begin,53306,9,14,11636.024404064647
53336,Cerbère_(Pyrénées-Orientales),53336,1,9,0.0
53489,Gare_de_Paris-Est,53489,7,14,46648.85264076731
53564,Alains,53564,3,13,822.1663426912182
53702,Thiers,53702,1,24,0.0
54473,Saint-Josse-ten-Noode,54473,3,12,5191.0
54599,Acre_(Israël),54599,4,14,0.0
54652,Conflit_israélo-arabe,54652,16,14,50163.2875715562
55054,Crans-Montana,55054,4,30,2596.3205128205127
55076,Christophe_Gans,55076,2,7,1029.0970385986548
55476,Henri_Giraud_(militaire),55476,4,11,41071.0
56119,Académie_Goncourt,56119,4,1,11288.637328644909
56358,Roland_Emmerich,56358,12,0,88370.88714527246
56733,Barabbas,56733,3,9,97825.31144458172
57373,Paul-Émile_Victor,57373,3,11,21034.326984237803
58511,"La_Planète_des_singes_(film,_1968)",58511,3,0,19505.086930530586
58939,Colin_McRae,58939,5,22,33151.95391913975
59426,Bruno_Gollnisch,59426,4,7,10372.0
59653,Knockout,59653,1,23,0.0
60895,Liste_des_chefs_du_gouvernement_espagnol,60895,2,2,6943.394724733792
61207,Liste_de_périphrases_désignant_des_villes,61207,2,14,2596.0
61439,Ravensbrück,61439,8,14,10797.497000368341
62239,Othon_(empereur_romain),62239,16,13,24905.077383925625
62241,Domitien,62241,15,13,95780.13029751716
62244,Nerva,62244,13,13,10981.02098255964
62266,Antonin_le_Pieux,62266,13,13,79185.1624626169
62286,Septime_Sévère,62286,10,13,4049.006847470513
62295,Héliogabale,62295,9,13,1420.830059044215
62440,Royaume_de_Naples,62440,7,2,18371.89373648773
62517,La_Mort_aux_trousses,62517,5,0,17175.32898250502
62596,Antoine_Rufenacht,62596,5,11,20108.25053436662
63098,Royaume_des_Deux-Siciles,63098,7,2,21887.689860895047
63136,Groupe_Partouche,63136,4,16,19829.56550910482
63353,Rencontre_avec_Joe_Black,63353,2,0,7782.0
63459,Katsuhiro_Ōtomo,63459,7,14,2596.0
63922,Langues_slaves,63922,2,12,2596.0
64434,Liste_des_monarques_de_Navarre,64434,7,2,20714.0
64517,Jean-François_Lamour,64517,6,11,42550.208550530304
64576,Marguerite_de_Navarre_(1492-1549),64576,4,2,0.0
64577,Robert_Badinter,64577,20,14,373156.3231954167
65514,Record_de_vitesse_sur_rail,65514,5,16,10375.5
65557,Citroën_GS_et_GSA,65557,1,14,0.0
66019,Karen_Blixen,66019,1,16,0.0
66146,Geneviève_Bujold,66146,4,0,3212.909829212076
66820,Joseph_Bonaparte,66820,14,2,85063.69830565562
67159,Yves_Boisset,67159,6,9,87867.66416831374
67820,Aérotrain,67820,3,16,0.5
67994,Jean_Bertin_(ingénieur),67994,2,16,0.0
68661,Varègues,68661,1,12,0.0
68854,Mike_Marshall,68854,1,1,0.0
69670,Vénétie,69670,14,10,96285.77186288885
70174,Superordinateur,70174,1,6,0.0
70543,Paul_Meurisse,70543,2,11,19444.120926118263
71395,Matthias_Ier_de_Hongrie,71395,1,13,0.0
71590,Wim_Wenders,71590,5,7,32031.844999410074
72019,Bianca_Castafiore,72019,1,0,0.0
72374,Frank_Miller,72374,1,1,0.0
72376,Hémisphère_nord,72376,2,17,2596.0
72386,Duel_(téléfilm),72386,3,0,15834.930342096024
72593,Îles_Marshall,72593,1,22,0.0
73559,Sonde_spatiale,73559,4,11,7785.0
73868,Hugues_de_Payns,73868,1,14,0.0
74751,Léon_Ier_(empereur_byzantin),74751,7,13,5003.398842512958
75342,Aspar,75342,3,13,94.97227880721992
76480,Megadeth,76480,3,13,5191.0
76569,Ilse_Koch,76569,1,14,0.0
76571,Camp_de_Majdanek,76571,8,14,7867.67111357268
76852,Bataille_de_Teutobourg,76852,11,13,29777.58197754782
77098,Belfast,77098,6,4,61541.31074301543
77384,La_Main_au_collet,77384,2,1,2596.0
78027,Académie_des_arts_et_techniques_du_cinéma,78027,3,9,4370.518047868546
79026,Air_(groupe),79026,4,5,31041.0
79336,La_Jetée,79336,2,1,18130.0
79416,Borg_(Star_Trek),79416,2,28,0.0
79507,Martina_Navrátilová,79507,29,6,149506.72474741456
80511,Istrie,80511,2,13,7782.0
80781,Kim_Clijsters,80781,22,6,56881.55885144281
81062,Plateau_du_Golan,81062,6,14,2.742649572649573
81131,Jean-Claude_Carrière,81131,5,1,16557.994485598494
81325,Pierre_Joxe,81325,4,21,10112.722479479673
82285,Roland_Blanche,82285,4,9,12939.318980962707
82290,Maurice_Jarre,82290,2,7,2596.0
83679,Elie_Wiesel,83679,12,14,102040.40886626502
83700,Split,83700,4,2,72118.27865687739
84745,Crime_organisé,84745,3,12,23306.0
85763,Décapitation,85763,3,9,12595.570752030007
85996,Neil_Gaiman,85996,3,1,10375.0
86104,Pantouflage,86104,1,21,0.0
86606,Ulysse_(roman),86606,1,19,0.0
86935,Bois-le-Duc,86935,12,6,1492.2042304370063
86997,Ari_Vatanen,86997,2,22,0.0
87420,Pierre_Mazeaud,87420,3,11,15911.326631029962
88247,Dalton_Trumbo,88247,1,0,0.0
88578,"La_Horde_sauvage_(film,_1969)",88578,4,0,9281.98669809435
89174,4e_arrondissement_de_Paris,89174,5,14,1805.6714428048333
89206,Fête_de_la_Fédération,89206,5,2,5190.0
89336,Histoire_du_sionisme,89336,14,14,22005.88744403756
89559,Erquy,89559,1,14,0.0
89779,François_Patriat,89779,4,11,35754.45308871338
89808,Georges-Alain_Jones,89808,3,24,115.05829283936023
90481,Histoire_de_la_Palestine,90481,18,14,90079.06204133005
90564,Jean-Louis_Murat,90564,2,21,6782.753632192812
90580,Pascale_Petit_(actrice),90580,3,1,265.8127786598032
90779,Liste_des_maires_de_Lyon,90779,8,11,32765.80964404564
90963,Jean-Marie_Poiré,90963,9,9,39221.880751115925
91251,Condom_(Gers),91251,2,1,0.0
91791,Ernst_Kaltenbrunner,91791,6,14,24482.233447829123
92299,Marius_Trésor,92299,2,24,2596.0
93049,Anti-Flag,93049,2,14,5190.0
93404,9e_arrondissement_de_Paris,93404,12,14,97192.27066092112
94034,La_Bonne_Année,94034,1,9,0.0
94555,Salut_les_Musclés,94555,13,25,1297.5
94694,Michel_VI,94694,6,13,6516.409991829978
94720,Petchénègues,94720,3,13,812.3077742959791
95258,Hubert_Védrine,95258,3,11,17180.138299180417
97428,Kraftwerk,97428,2,5,23292.0
97694,Permien,97694,7,16,1.3333333333333333
97861,Carbonifère,97861,8,16,2596.3333333333335
97884,Dévonien,97884,6,16,0.0
98132,Ordovicien,98132,6,16,0.0
98270,Reggie_Miller,98270,16,18,1466.6129501147682
98517,Martin_Landau,98517,4,0,4166.982728743714
98644,Data_(Star_Trek),98644,4,28,2596.0
98697,Bogie,98697,1,16,0.0
100518,Laura_Pausini,100518,3,24,2597.5
100792,Germanicus,100792,18,13,4880.595587315506
101229,Jean-Pierre_François,101229,1,25,0.0
101482,Dave_Mustaine,101482,1,13,0.0
102349,Pigeon_voyageur,102349,2,0,7871.537721607558
103048,Handball_aux_Jeux_olympiques,103048,5,29,20716.666666666664
103786,Houcine_Camara,103786,4,24,860.7151785407235
104508,Îles_Caïmans,104508,2,22,1851.0240103950064
105455,Calvi,105455,2,15,5190.0
105580,Otto_Preminger,105580,17,0,115590.02320845217
105889,Quartiers_asiatiques_de_Paris,105889,1,9,0.0
106520,Îles_Mariannes_du_Nord,106520,4,20,379.48521613436236
106910,Lac_de_Garde,106910,3,5,39637.34755273476
107152,Église_du_Saint-Sépulcre_(Jérusalem),107152,8,14,11105.693792144035
107165,Îles_Vierges_des_États-Unis,107165,4,20,10376.0
107508,Décret_Crémieux,107508,5,14,19010.74601381604
108705,William_Bouguereau,108705,3,0,4751.893824927349
109397,Jean-Luc_Lagardère,109397,2,16,17394.199359817667
111044,Christian_Lacroix,111044,2,16,2596.0
111577,Brouillard,111577,3,9,18530.54420478501
111998,Otto_Skorzeny,111998,1,11,0.0
112190,Nicolas_Escudé,112190,5,6,1.3796149829600042
112684,Manimal,112684,1,0,0.0
113528,Îles_Vierges_britanniques,113528,2,20,0.0
114298,Comic_book,114298,2,8,0.0
116339,Aude_(fleuve),116339,8,9,21774.905789798588
117595,Gorilles_dans_la_brume_(film),117595,8,0,25908.5
117912,Jean_Cau,117912,1,1,0.0
118039,Françoise_Chandernagor,118039,1,1,0.0
118350,Tianjin,118350,10,6,22581.379033467736
118377,Messaline,118377,14,13,168.0908705814608
118484,Bièvre_(affluent_de_la_Seine),118484,2,2,34502.2258786946
119274,Taux_de_chômage,119274,1,7,0.0
120496,Louis_Leakey,120496,2,0,2596.0
120670,Ferdinand_Ier_(roi_des_Deux-Siciles),120670,6,2,18129.626634564058
121043,Château_de_Pau,121043,8,2,2599.5
122476,Diomedeidae,122476,1,22,0.0
122777,James_Brown,122777,6,5,51638.5
123910,Territoires_palestiniens_occupés,123910,10,14,3267.5386625772367
124361,Îles_Vierges,124361,2,20,0.0
124782,Jeu_décisif,124782,18,6,2608.018093192799
125323,Antonio_Salieri,125323,3,19,242.362973747385
126333,Jean-Honoré_Fragonard,126333,1,14,0.0
126707,Bernard_Dimey,126707,1,1,0.0
127796,Bakou,127796,9,22,72112.86135323999
127971,Système_de_marquage_nazi_des_prisonniers,127971,2,14,608.0140558743708
128485,Île_Christmas_(Australie),128485,3,22,23900.90413319048
129548,Le_Choix_des_armes,129548,1,9,0.0
129915,Football_Club_de_Gueugnon,129915,8,17,166520.97854540977
130891,Cabaret,130891,6,9,5944.4167588434
131120,Union_nationale_inter-universitaire,131120,1,11,0.0
131231,John_Cleese,131231,11,28,59226.99999999999
131238,Shōhei_Imamura,131238,3,9,2596.0
131242,"La_Ballade_de_Narayama_(film,_1983)",131242,3,9,7782.0
