,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
9188681,Bataille_du_Qalamoun,10,36.086956,114,121,10,17.162945,-3.3413825,9188681,21,13,36.37764574675122
9190026,Bataille_de_Hassaké_(mai-juin_2015),10,49.130432,114,121,10,4.5022564,-0.4150771,9190026,31,13,201.46746686316374
9195452,Bataille_de_Sourane,10,49.130432,114,121,10,24.842478,-10.960477,9195452,31,13,201.46746686316374
9202337,Bataille_de_la_Brigade_52,17,11.304348,235,94,0,-23.16385,-4.3142834,9202337,2,7,0.0
9203473,Massacres_de_Barouda,17,89.565216,235,94,0,-21.26919,-2.202014,9203473,62,7,838.3499457552367
9207906,Bataille_du_Régiment_46,10,49.130432,114,121,10,-15.865286,-5.7098675,9207906,31,13,201.46746686316374
9210473,Bataille_de_Tall_Abyad,10,46.52174,114,121,10,8.41057,12.065421,9210473,29,13,7.632371880607252
9221529,Bataille_de_Bousra_al-Harir,10,49.130432,114,121,10,2.8032455,15.961626,9221529,31,13,201.46746686316374
9223886,Saison_6_de_Danse_avec_les_stars,13,12.608696,0,134,74,-24.323809,-9.262729,9223886,3,17,2097.0
9239175,Bataille_de_Hassaké_(juin-juillet_2015),17,93.478264,235,94,0,-8.085261,10.041378,9239175,65,7,225.86543102974716
9241258,Massacre_de_Kobané,17,94.78261,235,94,0,9.217963,11.872442,9241258,66,7,750.3654310297454
9251705,Antoine_Dupont,6,36.086956,0,126,172,1.891605,-4.0330367,9251705,21,11,367.1591445019763
9263538,Benoît_Dubois,13,10.0,0,134,74,17.927933,19.370857,9263538,1,17,0.0
9264022,Bataille_de_Zabadani_(2015),17,93.478264,235,94,0,-16.490868,21.690453,9264022,65,7,2583.6009646226175
9314676,Floride_(film),3,16.52174,152,129,0,11.504027,-12.994106,9314676,6,9,3139.5
9316526,Bataille_de_Sahl_al-Ghab,17,58.260868,235,94,0,-2.0047898,22.171581,9316526,38,7,1.321798858867824
9319775,Bataille_de_Sarrine,17,92.17391,235,94,0,11.7811165,10.403169,9319775,64,7,205.56831639115825
