,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views
0,2.0,800.0,"Стам, Яп",1.0000100135803225,Q216917,Culture.Biography.Biography*,5.876623376623376,9.0,2036.0
1,2.0,800.0,"Стам, Яп",0.9986850023269652,Q216917,Culture.Sports,5.876623376623376,9.0,2036.0
2,2.0,800.0,"Стам, Яп",0.4705740084648132,Q216917,Geography.Regions.Europe.Western_Europe,5.876623376623376,9.0,2036.0
3,2.0,800.0,"Стам, Яп",0.4705740084648132,Q216917,Geography.Regions.Europe.Europe*,5.876623376623376,9.0,2036.0
4,2.0,1182.0,"Стриженов, Глеб Александрович",0.9939124584197998,Q4443978,Culture.Biography.Biography*,3200.0,0.0,2238.0
5,2.0,1182.0,"Стриженов, Глеб Александрович",0.3140605390071869,Q4443978,History_and_Society.Military_and_warfare,3200.0,0.0,2238.0
6,2.0,1182.0,"Стриженов, Глеб Александрович",0.1824355274438858,Q4443978,History_and_Society.Society,3200.0,0.0,2238.0
7,2.0,1182.0,"Стриженов, Глеб Александрович",0.16452647745609286,Q4443978,History_and_Society.History,3200.0,0.0,2238.0
8,2.0,1182.0,"Стриженов, Глеб Александрович",0.07650540971755981,Q4443978,Geography.Regions.Asia.North_Asia,3200.0,0.0,2238.0
9,2.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Europe.Eastern_Europe,3200.0,0.0,2238.0
10,2.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Europe.Europe*,3200.0,0.0,2238.0
11,2.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Asia.Asia*,3200.0,0.0,2238.0
12,2.0,3202.0,Можайск,0.9947898983955384,Q159139,History_and_Society.Society,1444.5567094498815,0.0,20800.0
13,2.0,3202.0,Можайск,0.59267657995224,Q159139,Geography.Geographical,1444.5567094498815,0.0,20800.0
14,2.0,3202.0,Можайск,0.320831298828125,Q159139,History_and_Society.Military_and_warfare,1444.5567094498815,0.0,20800.0
15,2.0,3202.0,Можайск,0.22816647589206696,Q159139,Geography.Regions.Europe.Eastern_Europe,1444.5567094498815,0.0,20800.0
16,2.0,3202.0,Можайск,0.22816647589206696,Q159139,Geography.Regions.Asia.North_Asia,1444.5567094498815,0.0,20800.0
17,2.0,3202.0,Можайск,0.15611489117145538,Q159139,Geography.Regions.Asia.Asia*,1444.5567094498815,0.0,20800.0
18,2.0,3202.0,Можайск,0.14415885508060455,Q159139,Geography.Regions.Europe.Europe*,1444.5567094498815,0.0,20800.0
19,1.0,3532.0,Клингонский язык,0.9808859825134276,Q10134,Culture.Linguistics,0.0,15.0,2713.0
20,1.0,3532.0,Клингонский язык,0.13661839067935946,Q10134,Culture.Media.Television,0.0,15.0,2713.0
21,15.0,3546.0,Квенья,0.9724247455596924,Q56383,Culture.Linguistics,1602.2550787079251,15.0,3946.0
22,1.0,9055.0,Антропософия,0.9591643214225768,Q184719,Culture.Philosophy_and_religion,0.0,4.0,2746.0
23,1.0,9055.0,Антропософия,0.5775054097175598,Q184719,History_and_Society.Society,0.0,4.0,2746.0
24,1.0,9055.0,Антропософия,0.5621865391731262,Q184719,STEM.STEM*,0.0,4.0,2746.0
25,1.0,9055.0,Антропософия,0.20182321965694427,Q184719,History_and_Society.Politics_and_government,0.0,4.0,2746.0
26,1.0,9055.0,Антропософия,0.14805719256401062,Q184719,STEM.Medicine_&_Health,0.0,4.0,2746.0
27,11.0,9158.0,Алсу,0.9763205647468568,Q270951,Culture.Biography.Biography*,18062.997652265545,7.0,26628.0
28,11.0,9158.0,Алсу,0.4225146472454071,Q270951,Culture.Biography.Women,18062.997652265545,7.0,26628.0
29,11.0,9158.0,Алсу,0.33459946513175964,Q270951,Culture.Media.Media*,18062.997652265545,7.0,26628.0
30,11.0,9158.0,Алсу,0.2120788097381592,Q270951,History_and_Society.Society,18062.997652265545,7.0,26628.0
31,11.0,9158.0,Алсу,0.1259327530860901,Q270951,Culture.Media.Music,18062.997652265545,7.0,26628.0
