,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1668,Kanji,13,12.307693,253,0,107,15.64217,5.252995,1668,3,17,4399.999999999998
2175,Noël_Mamère,16,10.0,153,96,160,19.00013,-14.803636,2175,1,12,0.0
4813,Kirghizistan,7,11.153846,255,42,47,-23.728676,-2.896586,4813,2,2,1103.0
5073,Paul_VI,6,15.769232,152,129,0,3.840822,0.071065396,5073,6,16,1469.10000000002
5074,Jean_XXIII,6,18.076923,152,129,0,-9.019573,-10.458631,5074,8,16,16762.749999999927
7490,Dakota_du_Sud,6,18.076923,152,129,0,15.040584,-8.50398,7490,8,16,27438.096249960352
7559,Nebraska,6,16.923077,152,129,0,-19.003548,-9.080069,7559,7,16,25619.199653606986
9218,Polynésie_française,7,25.0,255,42,47,10.265318,0.07560781,9218,14,14,8209.239431401324
9969,Chambéry,8,20.384617,0,126,172,-13.583294,3.0749226,9969,10,7,130234.28377304271
11932,"Aliens,_le_retour",11,13.461538,175,95,13,-1.6582731,-11.7952385,11932,4,3,7500.005209602819
11934,"Alien,_la_résurrection",11,12.307693,175,95,13,-15.37631,8.9959,11934,3,3,4931.6921773280665
12799,Catalan,6,11.153846,152,129,0,4.6878605,-14.534206,12799,2,16,1103.0
13984,Drapeau_du_Japon,13,12.307693,253,0,107,-17.333494,24.950773,13984,3,17,6592.999999999998
15213,Étienne_(martyr),6,13.461538,152,129,0,1.7976437,14.057723,15213,4,16,5495.5
15404,Richard_III,12,11.153846,0,134,74,-14.850497,-5.7137766,15404,2,3,1136.085872679322
15836,Bratislava,19,16.923077,235,44,170,-4.7696586,-16.06467,15836,7,11,7726.633146435485
20955,Jan_Ullrich,8,13.461538,0,126,172,-8.956904,4.176023,20955,4,10,0.0
22453,Expédition_du_Mexique,0,13.461538,193,77,88,2.9485788,12.23157,22453,4,11,9190.240026465088
23504,Total_Recall,11,10.0,175,95,13,9.074565,10.682243,23504,1,3,0.0
24488,Miguel_Indurain,8,21.538464,0,126,172,23.458378,8.600461,24488,11,10,1111.2873737373739
24702,Tolochenaz,0,10.0,193,77,88,-4.2558494,-22.331831,24702,1,5,0.0
25125,Tournoi_de_Wimbledon,17,16.923077,54,124,233,-17.70343,17.004705,25125,7,6,3116.7333333332626
25639,Horemheb,0,12.307693,193,77,88,19.31785,-15.076349,25639,3,5,551.0
25641,Ptolémée_XV,0,12.307693,193,77,88,23.607498,14.336206,25641,3,5,3303.0
28013,Emmanuelle_Béart,14,13.461538,60,163,0,0.46292648,9.165388,28013,4,4,2204.0
29203,Marie-France_Pisier,3,12.307693,0,134,135,17.570848,-9.751512,29203,3,8,4403.0
29233,Saint-Sylvestre,6,10.0,152,129,0,-16.568428,-15.250283,29233,1,16,0.0
30251,Le_Pacte_des_loups,10,12.307693,114,121,10,18.40141,0.32302794,30251,3,15,1100.0
30327,À_bout_de_souffle,14,11.153846,60,163,0,-22.081392,2.4053383,30327,2,0,2204.0
31928,Dani_(artiste),14,12.307693,60,163,0,4.128742,-1.4228812,31928,3,4,7770.824543101544
32338,Aÿ,0,12.307693,193,77,88,17.978592,0.22231211,32338,3,5,551.0
32680,Duché_de_Lorraine,19,15.769232,235,44,170,21.973312,-20.042452,32680,6,11,0.45
34212,Laurent_Fignon,8,22.692308,0,126,172,20.130589,-4.730186,34212,12,10,129845.18269334717
37847,Enola_Gay,6,11.153846,152,129,0,-12.9728155,-14.247463,37847,2,16,1068.4441551274015
40464,Paul_Touvier,18,12.307693,0,148,245,-22.721317,-8.254825,40464,3,7,20615.0
40699,Rosaire,6,15.769232,152,129,0,21.882505,0.8014149,40699,6,16,3357.199999999999
40941,Rhodes,18,12.307693,0,148,245,6.7160115,-5.329472,40941,3,7,2205.0
41436,Les_Enfants_du_paradis,4,10.0,235,94,0,22.421236,-23.594894,41436,1,1,0.0
41595,Christophe_Malavoy,14,11.153846,60,163,0,1.0893345,1.7029748,41595,2,4,4400.0
41879,Alexandre_Ier_(empereur_de_Russie),0,20.384617,193,77,88,-12.485318,-1.4574505,41879,10,5,12035.362471378006
43226,Maximilien_Ier_(empereur_du_Mexique),19,26.153847,235,44,170,-6.3696547,-9.334575,43226,15,11,23075.373919499405
43265,Apollo_8,6,12.307693,152,129,0,0.48388132,-0.9119157,43265,3,16,551.0
43560,Sylvestre_Ier,6,12.307693,152,129,0,23.032534,-14.463621,43560,3,16,4403.0
44100,Geneviève_Grad,0,10.0,193,77,88,-5.011361,-14.795656,44100,1,5,0.0
44502,Hibernatus,12,12.307693,0,134,74,-9.428886,-22.81555,44502,3,5,1103.0
45555,Paris_Première,7,19.23077,255,42,47,19.116514,7.394718,45555,9,2,50518.39864887512
46179,Le_Pont_de_la_rivière_Kwaï_(film),0,18.076923,193,77,88,12.578637,-23.554499,46179,8,5,4522.312106159422
46397,Oscar_(film),12,13.461538,0,134,74,-23.171654,-18.984812,46397,4,5,23273.908249785607
46450,Bulle_Ogier,14,14.615385,60,163,0,-16.819202,-5.041086,46450,5,0,4631.897709965468
46479,Rufus,14,14.615385,60,163,0,0.6328416,13.7735815,46479,5,2,6164.288558983314
46546,Anna_Karina,14,11.153846,60,163,0,20.044739,-14.141737,46546,2,0,1103.0
46594,Gisèle_Casadesus,15,13.461538,185,97,239,12.423079,-0.47016296,46594,4,8,59679.0
47519,Fátima,6,12.307693,152,129,0,-7.1825023,21.32382,47519,3,16,0.0
