,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
53,Arménie,18,35.714287,193,77,88,11.572415,18.158169,53,31,3,146366.182971155
273,Arménien,18,23.714287,193,77,88,-3.3540545,22.663908,273,17,3,32075.642562115783
2346,Prix_Nobel_de_chimie,15,19.428572,0,134,135,5.092757,-6.174616,2346,12,9,3418.356219118096
2442,Phosphore,15,10.857142,0,134,135,-10.072848,12.752747,2442,2,9,1345.0
3120,Var_(département),1,17.714287,235,94,0,-22.743174,-8.5528345,3120,10,8,53838.1632375769
7489,Dakota_du_Nord,4,11.714286,0,126,172,-3.5856812,1.3066876,7489,3,2,49149.068985435246
7490,Dakota_du_Sud,4,15.142857,0,126,172,-5.875222,12.687117,7490,7,2,125547.20178578961
7545,Maryland,4,15.142857,0,126,172,2.929907,23.397373,7545,7,2,135251.4873036269
7583,Oklahoma,4,14.285714,0,126,172,7.0809546,-14.483159,7583,6,2,15702.269918771957
9366,Julien_Dray,10,10.857142,114,121,10,20.230482,15.64888,9366,2,14,4029.0
9989,François_Lamy,1,10.0,235,94,0,12.178045,-24.557272,9989,1,8,0.0
10182,Victoires_de_la_musique,18,16.0,193,77,88,2.3886483,9.314033,10182,8,3,6142.917761678325
12059,Étienne_Chatiliez,12,12.571428,60,163,0,-0.33479583,13.57632,12059,4,5,2016.5
12123,Georges_Lautner,6,18.571428,255,42,47,13.885867,-17.518656,12123,11,13,97909.77140707539
12587,Magdebourg,4,10.857142,0,126,172,20.537458,-9.810476,12587,2,2,1345.0
13138,Carcassonne,1,20.285713,235,94,0,2.141964,-13.9439945,13138,13,8,16755.48957446054
13939,Simetierre_(roman),16,10.0,152,129,0,-7.70285,12.020119,13939,1,6,0.0
14268,Lanceur_(astronautique),11,14.285714,175,95,13,22.584124,-12.169388,14268,6,11,10919.357366501325
14397,Gibraltar,14,14.285714,0,134,74,5.593043,24.183039,14397,6,4,9392.0
14837,Partis_politiques_belges,8,24.57143,153,96,160,13.404213,7.796676,14837,18,7,2767.4940085803373
14839,Ecolo,8,31.428572,153,96,160,-22.740725,-3.0057395,14839,26,7,12175.491861796381
15327,Édouard_III,1,12.571428,235,94,0,15.65085,16.592882,15327,4,8,24658.371955053022
16934,Moruroa,5,12.571428,235,44,170,13.939285,-22.51979,16934,4,5,1.0
17270,Politique_en_Allemagne,8,13.428572,153,96,160,-2.354007,-12.246191,17270,5,7,0.0
17424,IIe_concile_œcuménique_du_Vatican,1,13.428572,235,94,0,13.360811,0.28572288,17424,5,8,6075.813336703092
17791,Robert_Guédiguian,18,13.428572,193,77,88,-10.301871,6.6010165,17791,5,3,3458.1329216702593
17824,Alliance_90_/_Les_Verts,8,15.142857,153,96,160,-16.456638,20.317877,17824,7,7,5863.589832776107
18718,Spectre,16,10.857142,152,129,0,-18.05848,-1.1234121,18718,2,6,0.0
19250,Schaerbeek,8,23.714287,153,96,160,22.979555,15.935137,19250,17,7,23920.130380081766
20890,Vaison-la-Romaine,1,10.0,235,94,0,19.917362,-4.198742,20890,1,8,0.0
22205,Ergot_du_seigle,5,10.857142,235,44,170,14.078005,20.432549,22205,2,13,0.0
23504,Total_Recall,5,10.0,235,44,170,-19.69437,-0.62274307,23504,1,5,0.0
24701,Saint-Sulpice_(Vaud),18,10.0,193,77,88,-15.636911,12.041547,24701,1,3,0.0
24935,Louis_Pasteur,3,12.571428,0,160,220,22.521667,-4.538189,24935,4,12,2688.9999999999995
25538,César_du_meilleur_film,18,13.428572,193,77,88,11.45229,20.746023,25538,5,3,4036.0
28189,Laurent_Jalabert,10,16.0,114,121,10,0.8185024,-16.008867,28189,8,14,8047.91666666667
