,Main_Topics,Higher_Weighted_Article
0,Politics_and_government (0.33) / Radio (0.04) / Media* (0.05) ,Circonscription électorale du Québec (9705)
1,Media* (0.07) / Films (0.02) / Television (0.02) ,Un taxi pour Tobrouk (160)
2,Media* (0.08) / Literature (0.04) / Politics_and_government (0.03) ,The Washington Post (773)
3,Media* (0.12) / Music (0.06) / Films (0.03) ,Charles Aznavour (3638)
4,Sports (0.19) / Media* (0.01) / Architecture (0.01) ,Équipe de Pologne de football (837)
5,Media* (0.1) / Films (0.04) / Television (0.03) ,Da Vinci Code (film) (348)
6,Media* (0.13) / Films (0.08) / Literature (0.03) ,007 Spectre (2026)
7,Politics_and_government (0.21) / Sports (0.01) / Society (0.01) ,Centre démocrate humaniste (1346)
8,Media* (0.04) / Society (0.02) / History (0.05) ,Saison 5 de The Voice Kids (67)
9,Physics (0.08) / Society (0.03) / Medicine_&_Health (0.06) ,Donna Strickland (52)
10,Sports (0.17) / Media* (0.03) / Society (0.03) ,Camille Abily (1049)
11,Transportation (0.07) / Media* (0.07) / Technology (0.06) ,Soyouz MS-10 (136)
12,Politics_and_government (0.07) / Sports (0.01) / Media* (0.03) ,Élections fédérales canadiennes de 2015 (164)
13,Sports (0.08) / Media* (0.06) / Films (0.03) ,WTA Tour (260)
14,Sports (0.15) / Politics_and_government (0.02) / Media* (0.02) ,Tour de Lombardie 2018 (308)
15,Politics_and_government (0.13) / Business_and_economics (0.06) / Society (0.06) ,Joseph McCarthy (38)
16,Sports (0.16) / Media* (0.02) / Engineering (0.02) ,Championnat du monde de Formule 1 2017 (105)
