,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
8062421,Tournoi de tennis de Tianjin,5,12.571428,235,44,170,21.645815,13.044317,8062421,4,13,0.0,Q16079746
8066939,Pierre Kompany,8,12.571428,153,96,160,-15.870559,-7.203056,8066939,4,7,154.9121036999572,Q17350697
8067569,Pedro Henrique (football),7,10.0,54,124,233,10.804528,2.1480012,8067569,1,10,0.0,Q7159635
8109343,Liste des artistes français ayant vendu le plus de disques,18,10.0,193,77,88,-24.75191,-2.5088825,8109343,1,3,0.0,Q17633559
8181032,Hershel Greene,9,10.857142,0,157,116,-10.544198,10.12582,8181032,2,5,14040.25279933505,Q5744440
8193289,Résultats électoraux de Rimouski,19,21.142857,0,168,183,-24.349554,-7.882416,8193289,14,0,0.8510201054966549,Q17638784
8208126,Amal Clooney,18,11.714286,193,77,88,19.568115,14.530062,8208126,3,3,0.0,Q16769592
8231306,Max Verstappen,2,13.428572,0,148,245,-5.2942243,4.6879535,8231306,5,16,3002.5,Q2239218
8260704,Guillaume Thévenot,10,10.0,114,121,10,-3.481079,-20.610199,8260704,1,14,0.0,Q17649628
8320128,Bernardo Silva,14,11.714286,0,134,74,-9.465542,-20.295649,8320128,3,4,5.333333333333333,Q15521306
8341566,Hannes Halldórsson,14,13.428572,0,134,74,-3.26889,21.043016,8341566,5,4,0.25,Q2067320
8366143,Rúnar Alex Rúnarsson,14,13.428572,0,134,74,-6.129575,7.5507035,8366143,5,4,0.25,Q17482506
8447034,Pierre Roche (compositeur),18,11.714286,193,77,88,-21.023884,-6.1150074,8447034,3,3,0.0,Q4398771
8448535,Wang Qiang,5,10.0,235,44,170,-17.374212,-20.695417,8448535,1,13,0.0,Q4800760
8517125,Arthur Ashkin,15,15.142857,0,134,135,13.92395,-24.248821,8517125,7,9,0.8,Q708472
8550124,Aston Martin DB10,16,14.285714,152,129,0,4.44252,-15.8646145,8550124,6,6,247.93362716891312,Q18605920
8615226,Juliette Méadel,6,10.0,255,42,47,5.2576337,-10.795767,8615226,1,13,0.0,Q19629275
8630208,Ils sont tombés,18,13.428572,193,77,88,-17.054932,21.416761,8630208,5,3,483.9374336479955,Q6001148
8672852,Toute Première Fois (film),6,10.857142,255,42,47,12.459834,4.481618,8672852,2,13,2688.0,Q18920927
8702727,Benoît Michel (acteur),0,10.0,0,164,49,-13.464765,-6.6693974,8702727,1,1,0.0,Q19629636
8703327,Occasions à saisir,2,11.714286,0,148,245,-22.875422,20.723467,8703327,3,16,2688.0,Q782654
8749498,Marc Zinga,16,11.714286,152,129,0,-20.455494,22.853514,8749498,3,6,6705.0,Q19629963
8774988,Anne-Sophie Girard,12,13.428572,60,163,0,-23.432907,20.696995,8774988,5,5,6818.757681764341,Q19956036
8778339,"Inferno (film, 2016)",12,11.714286,60,163,0,18.918869,-3.3273978,8778339,3,5,1343.0,Q18192306
8794586,Hommage national,18,11.714286,193,77,88,-3.5493546,-10.012894,8794586,3,12,49859.1463167798,Q30748066
8863092,Stephanie Sigman,16,11.714286,152,129,0,1.881084,17.39983,8863092,3,6,49.45389027709804,Q19561785
8979295,Garonnette,1,10.0,235,94,0,-2.3040411,-15.338846,8979295,1,8,0.0,Q19951443
9073307,Serge Atlaoui,11,10.857142,175,95,13,-14.253196,0.14181693,9073307,2,3,0.0,Q19832212
9205255,Ramy Bensebaini,14,12.571428,0,134,74,-13.867657,-6.2513947,9205255,4,4,4790.368245899984,Q17484446
9266123,Friend zone,12,10.0,60,163,0,5.373337,18.515503,9266123,1,2,0.0,Q625853
9298319,Chantal Poupaud,0,10.0,0,164,49,8.424358,1.8344553,9298319,1,1,0.0,Q20732254
9304624,Sully (film),12,14.285714,60,163,0,-20.727757,-11.996945,9304624,6,5,52795.346203440415,Q21062112
9313089,Finale de la Coupe des clubs champions européens 1990-1991,7,10.0,54,124,233,-0.25082427,10.409533,9313089,1,10,0.0,Q597541
9319030,Jeff Reine-Adélaïde,14,10.0,0,134,74,21.178421,-16.854094,9319030,1,4,0.0,Q20738815
9324247,Michael Woods (cyclisme),10,10.0,114,121,10,-13.147325,3.7154958,9324247,1,14,0.0,Q18211822
9328146,Fool for Love,18,10.857142,193,77,88,-24.307787,3.2336059,9328146,2,3,0.0,Q1435973
9352823,Retiens la nuit (chanson),18,12.571428,193,77,88,12.13897,-11.845839,9352823,4,3,910.9326686203539,Q21427877
9357718,Camping 3,6,10.0,255,42,47,4.5985684,17.253231,9357718,1,13,0.0,Q21008082
9413853,Une chance de trop,0,11.714286,0,164,49,-12.723267,4.506397,9413853,3,1,2689.0,Q21055495
9471795,Mehdi Tahrat,14,11.714286,0,134,74,-8.861383,15.832094,9471795,3,4,0.0,Q21091624
9504784,Peyton Royce,5,10.0,235,44,170,20.372417,-3.2427232,9504784,1,5,0.0,Q20354314
9546155,Meurtres en Bourgogne,12,13.428572,60,163,0,7.228066,-10.555907,9546155,5,5,5076.850474086067,Q21427631
9574300,Moussa Dembélé (football),14,10.857142,0,134,74,22.295954,-24.220732,9574300,2,4,1345.0,Q15358470
9610904,La Petite Histoire de France,12,11.714286,60,163,0,-18.263496,-24.323492,9610904,3,5,6493.897610463094,Q21715195
9627709,Adam Ounas,14,10.0,0,134,74,22.120981,-21.906994,9627709,1,4,0.0,Q21403452
9803973,Gaël Tchakaloff,1,10.0,235,94,0,19.692764,-5.591625,9803973,1,8,0.0,Q22970527
9850443,Jonathan Cafu,7,10.0,54,124,233,-1.284605,7.1366453,9850443,1,10,0.0,Q18719321
