,Main_Topics,Higher_Weighted_Article
0,Sports (0.23) / Media* (0.01) / Society (0.01) ,Ligue Europa 2015-2016 (27206)
1,Media* (0.1) / Films (0.04) / Military_and_warfare (0.03) ,Paris brûle-t-il ? (film) (4441)
2,Sports (0.1) / Politics_and_government (0.03) / STEM* (0.03) ,Tournoi de tennis de Miami (306)
3,Sports (0.22) / Visual_arts* (0.01) / Architecture (0.01) ,Rugby à XV (5376)
4,Media* (0.11) / Television (0.05) / Films (0.02) ,Les Cinq Dernières Minutes (2585)
5,Media* (0.15) / Music (0.1) / Society (0.02) ,Pop (musique) (12200)
6,Politics_and_government (0.08) / Society (0.07) / Business_and_economics (0.04) ,Organisation des Nations unies (1831)
7,Sports (0.21) / Society (0.02) / Business_and_economics (0.0) ,Nicolas Mahut (3142)
8,Politics_and_government (0.07) / Media* (0.05) / STEM* (0.06) ,Élection présidentielle française de 2012 (15616)
9,Sports (0.04) / Media* (0.03) / STEM* (0.04) ,Championnats du monde de cyclisme sur route (178)
10,Media* (0.13) / Television (0.04) / Music (0.06) ,Les Enfants de la télé (France) (1001)
11,Media* (0.08) / Films (0.03) / History (0.03) ,Cinéma français (1982)
12,Media* (0.11) / Literature (0.04) / Films (0.05) ,Lieux de Harry Potter (1110)
13,History (0.14) / Military_and_warfare (0.04) / Philosophy_and_religion (0.03) ,Thèbes (Égypte) (772)
14,Media* (0.14) / Films (0.07) / Society (0.03) ,American Pie 4 (386)
15,STEM* (0.08) / Media* (0.04) / Visual_arts* (0.03) ,Astronome (803)
16,STEM* (0.16) / Physics (0.08) / Chemistry (0.06) ,Luminescence (1564)
17,Politics_and_government (0.06) / Media* (0.07) / Military_and_warfare (0.06) ,John McCain (3153)
18,Politics_and_government (0.05) / Military_and_warfare (0.05) / Visual_arts* (0.02) ,Camp de concentration (33)
19,Philosophy_and_religion (0.06) / History (0.06) / Media* (0.07) ,Samaritains (123)
20,STEM* (0.1) / History (0.03) / Society (0.04) ,Choléra (667)
21,Media* (0.17) / Films (0.07) / Literature (0.07) ,Dark Shadows (film) (681)
22,Sports (0.22) / Business_and_economics (0.03) / Media* (0.01) ,Williams F1 Team (2862)
23,STEM* (0.14) / Biology (0.08) / Military_and_warfare (0.05) ,Gidran (240)
24,STEM* (0.09) / Earth_and_environment (0.07) / Sports (0.05) ,Ceinture de feu du Pacifique (47)
25,History (0.06) / Media* (0.05) / Politics_and_government (0.04) ,Histoire de la Norvège (143)
26,Politics_and_government (0.19) / History (0.07) / Military_and_warfare (0.04) ,Carles Puigdemont (9)
27,Media* (0.17) / Television (0.15) / Entertainment (0.15) ,WWE Raw (1077)
28,Sports (0.24) / Society (0.05) / Military_and_warfare (0.02) ,Kawhi Leonard (69)
29,Media* (0.25) / Music (0.19) / Television (0.03) ,Lynyrd Skynyrd (294)
30,STEM* (0.13) / Visual_arts* (0.05) / History (0.05) ,Nombre réel (327)
31,History (0.12) / Military_and_warfare (0.11) / Politics_and_government (0.04) ,Anne (reine de Grande-Bretagne) (162)
32,Media* (0.14) / Television (0.04) / Radio (0.01) ,On a tout essayé (58)
33,Performing_arts (0.05) / Military_and_warfare (0.05) / Comics_and_Anime (0.02) ,Famille Bouglione (23)
34,Sports (0.27) / Biography* (0.15) / Europe* (0.25) ,Saison 2011-2012 du Real Madrid (38)
35,STEM* (0.19) / Medicine_&_Health (0.06) / Society (0.03) ,Handicap (17)
36,Media* (0.2) / Video_games (0.18) / Internet_culture (0.18) ,Shinji Mikami (190)
37,Media* (0.02) / STEM* (0.05) / Transportation (0.02) ,Raphaëlle Bacqué (1)
38,Politics_and_government (0.13) / Philosophy_and_religion (0.03) / Military_and_warfare (0.03) ,Affaire Dutroux (5)
39,Media* (0.14) / Literature (0.09) / Films (0.05) ,Les Veuves (2)
40,Military_and_warfare (0.17) / Society (0.08) / History (0.12) ,Lothar von Trotha (10)
