,Label,Id,Degree,modularity_class,betweenesscentrality
32,Aisne_(département),32,12,16,186228.11497744278
103,Aton,103,4,0,0.825
130,Amemet,130,1,0,0.0
141,Alain_Madelin,141,19,16,16102.135699186832
266,Arvo_Pärt,266,1,10,0.0
341,Amenhotep_III,341,7,0,3804.0267621955927
431,Bille_August,431,4,3,5614.528924662805
464,Beffroi,464,4,8,7357.739423486129
527,Carl_Sagan,527,3,8,14755.598668192939
638,Corinne_Lepage,638,7,16,36705.933737343934
796,Choisy-le-Roi,796,11,16,23800.159630887443
1066,Enki_Bilal,1066,14,24,22692.198622058833
1281,Gaule_romaine,1281,14,16,101943.50718325586
1360,Hauts-de-Seine,1360,69,16,1237551.58676269
1676,Kyoto,1676,9,10,40190.81074674449
1802,Las_Vegas_Parano,1802,4,20,5761.223201573646
1957,Mario_Vargas_Llosa,1957,6,16,16004.627025325892
2113,Marcel_Aymé,2113,29,3,210772.3708395975
2135,Madness,2135,1,25,0.0
2152,Numismatique,2152,2,28,22187.410654683823
2301,Physique_des_particules,2301,2,8,3987.0
2467,Panoramix,2467,36,24,11473.05928931998
2469,Pierre_Boulle,2469,5,6,6187.713009292462
2685,René_Goscinny,2685,62,24,75120.15599054367
3031,Tokugawa_Ieyasu,3031,6,10,1992.5
5118,Nationalisation,5118,1,22,0.0
5425,Jean-Jacques_Goldman,5425,16,24,74533.05577370679
5726,Guy_Bedos,5726,12,3,62634.66011866757
5730,Daniel_Cohn-Bendit,5730,19,16,130087.52437304055
6362,Louis_Blériot,6362,2,4,3987.0
6556,Château-Thierry,6556,2,16,0.0
6866,Louise_de_Vilmorin,6866,2,16,787.267275419869
6976,Glenn_Gould,6976,6,10,26554.100600370788
6986,Sud-Aviation_SE_210_Caravelle,6986,2,1,2166.714185610791
7228,Thèbes_(Égypte),7228,11,0,25227.54507401336
7490,Dakota_du_Sud,7490,16,17,147650.63958236406
7568,New_Hampshire,7568,9,17,81900.79749636826
7684,Éponymie,7684,6,20,33758.128921591786
7760,Puy_de_Dôme,7760,1,7,0.0
7806,Thierry_la_Fronde,7806,5,3,99827.60725235118
7908,Liste_des_communes_des_Hauts-de-Seine,7908,9,16,29527.287600625248
8008,Liste_des_communes_de_la_Haute-Garonne,8008,2,16,3987.0
8755,Gontran_(roi),8755,1,16,0.0
8883,Marne_(rivière),8883,6,16,24224.59222352064
8982,Ptolémée_Ier,8982,5,0,64949.816994073924
9048,Manuel_Aeschlimann,9048,1,15,0.0
9142,Pierre-Christophe_Baguet,9142,9,21,24121.405066014027
9275,Laurent_Cathala,9275,1,16,0.0
9284,Joëlle_Ceccaldi-Raynaud,9284,4,16,5717.780734724842
9365,Philippe_Douste-Blazy,9365,21,16,86658.02923980283
9447,Îles_Salomon,9447,3,27,9261.10983499683
9593,François_Grosdidier,9593,1,21,0.0
9786,Maryse_Joissains-Masini,9786,7,21,0.0
10017,Pierre_Lellouche,10017,10,16,22533.81830062055
10082,Vincent_Delerm,10082,8,3,27327.15308454506
10122,Thierry_Mariani,10122,2,21,3489.71897441671
10254,Hervé_Novelli,10254,16,16,71984.84748942751
10257,Patrick_Ollier,10257,7,16,70031.78505604767
10335,Éric_Raoult,10335,10,16,13749.529567071084
10366,Frédéric_de_Saint-Sernin,10366,1,22,0.0
10581,Jules_II,10581,14,2,29752.720226713453
10594,Georges_Siffredi,10594,7,16,900.5759599090023
10941,Keren_Ann,10941,5,26,10673.515926826954
