,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
800,Cable_News_Network,21,25.157894,60,163,0,2.3236747,4.5467668,800,17,0,13047.866058133475
819,Chanson,10,20.421053,54,124,233,18.918,-11.734865,819,12,0,2462.260190754661
1328,Genre_musical,10,47.894737,54,124,233,-5.8847466,-0.91086686,1328,41,0,1114.5467423983087
2335,Prix_Nobel_de_physiologie_ou_médecine,18,11.894737,193,77,88,7.70993,-22.049393,2335,3,1,8473.756567930763
2516,Philippe_Pétain,6,40.31579,0,168,183,17.314072,9.912496,2516,33,2,32593.397835756365
2898,Musique_soul,10,36.526314,54,124,233,8.653236,-9.598515,2898,29,0,143.47316785786782
3998,Éphéméride,3,19.473684,0,164,49,-6.7202773,-18.644184,3998,11,12,697.25
5069,Charles_Maurras,1,11.894737,235,94,0,-15.925111,3.3685935,5069,3,3,8221.937463965494
7018,Kilomètre_carré,18,12.842105,193,77,88,9.267817,-12.195305,7018,4,1,380.6222635207928
7483,Caroline_du_Sud,18,21.36842,193,77,88,-0.8881242,17.677925,7483,13,1,4154.418471650451
7538,Rhode_Island,14,16.631578,235,44,170,5.514793,-24.925016,7538,8,4,1176.4096407347258
7568,New_Hampshire,14,24.210526,235,44,170,22.221537,-19.480247,7568,16,4,17467.88884152419
8089,Lapin_domestique,18,11.894737,193,77,88,12.222589,22.285429,8089,3,1,1838.5276073202367
8749,Année_(calendrier),3,21.36842,0,164,49,-0.092814095,-12.727085,8749,13,12,10207.802513106139
9405,Asie_centrale,18,19.473684,193,77,88,3.9155638,4.059838,9405,11,1,4164.131894256559
9544,Classe_(biologie),18,14.736842,193,77,88,22.80209,6.9542365,9544,6,1,721.7237490410744
9566,Ordre_(biologie),18,16.631578,193,77,88,7.524335,24.605333,9566,8,1,2065.9106204877553
9679,À_la_claire_fontaine,10,10.0,54,124,233,1.2677534,-19.545097,9679,1,0,0.0
9985,Jacques_Lafleur,19,28.0,153,96,160,-6.3069134,-4.3676014,9985,20,6,8.869215267491128
10182,Victoires_de_la_musique,10,27.052631,54,124,233,0.79851985,14.278881,10182,19,0,8594.046299583226
10293,Paul_Quilès,6,12.842105,0,168,183,15.354486,-16.134901,10293,4,2,29.411248081456822
11960,Arthur_C._Clarke,18,11.894737,193,77,88,-16.505716,-22.989069,11960,3,1,1021.7920476582241
12202,Robert_A._Heinlein,18,10.947369,193,77,88,-1.1348221,-3.2342997,12202,2,1,0.0
12621,Sacramento,4,17.578947,152,129,0,22.716986,-9.607686,12621,9,1,1038.074595056568
13821,Maurice_Genevoix,5,13.789474,185,97,239,14.80127,4.2349854,13821,5,13,10419.564519794829
14406,Europe_centrale,18,14.736842,193,77,88,20.297659,-6.514302,14406,6,1,1764.6905464618785
15795,Collège_de_France,7,11.894737,0,134,135,-5.873955,10.727414,15795,3,14,4157.0
17156,Suédois,18,11.894737,193,77,88,22.079502,1.2670137,17156,3,1,0.5
