,Main_Topics,Higher_Weighted_Article
0,Media* (0.19) / Music (0.14) / Business_and_economics (0.05) ,Label discographique (2978)
1,Politics_and_government (0.08) / Military_and_warfare (0.06) / Society (0.05) ,Attentats du 22 mars 2016 à Bruxelles (896)
2,Military_and_warfare (0.11) / History (0.05) / Media* (0.02) ,Philippe Pétain (1645)
3,Visual_arts* (0.05) / Literature (0.04) / Politics_and_government (0.06) ,Jack Kirby (86)
4,Politics_and_government (0.23) / Society (0.05) / History (0.03) ,Élections américaines de la Chambre des représentants de 2016 (322)
5,Media* (0.07) / Films (0.03) / History (0.05) ,Police Python 357 (85)
6,Politics_and_government (0.06) / Business_and_economics (0.01) / Society (0.02) ,Élections provinciales néo-calédoniennes de 2014 (163)
7,Media* (0.14) / Literature (0.12) / Books (0.04) ,Leurs enfants après eux (53)
8,History (0.12) / Military_and_warfare (0.1) / Philosophy_and_religion (0.1) ,Domitien (17)
9,Sports (0.2) / Films (0.01) / Media* (0.01) ,Marin Čilić (105)
10,Media* (0.14) / Films (0.06) / Television (0.03) ,"Le Fugitif (film, 1993) (67)"
11,Media* (0.11) / Literature (0.05) / History (0.06) ,Nellie Oleson (28)
12,History (0.06) / Biology (0.06) / Medicine_&_Health (0.03) ,Année (calendrier) (39)
13,Media* (0.1) / Literature (0.07) / Films (0.04) ,La Bête humaine (film) (52)
14,Literature (0.08) / Visual_arts* (0.04) / Comics_and_Anime (0.04) ,Valérie Manteau (11)
15,Media* (0.21) / Films (0.15) / Literature (0.03) ,Trilogie Fantômas (40)
16,Sports (0.25) / Society (0.17) / Biography* (0.25) ,Kareem Abdul-Jabbar (8)
17,Media* (0.21) / Music (0.14) / Literature (0.04) ,Will.i.am (26)
