,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,11.0,664.0,Astronaut,0.320831298828125,Q11631,History_and_Society.Transportation,664.0,50026.74166881093,15.0,23424.0,3.529144287109375,History_and_Society,Transportation
1,7.0,752.0,Art,0.3998216390609741,Q735,Culture.Visual_arts.Visual_arts*,752.0,85554.86062341716,9.0,49578.0,2.798751473426819,Culture,Visual_arts*
2,3.0,2594.0,Ant,0.9899964332580566,Q7386,STEM.Biology,2594.0,11052.131163014108,22.0,27404.0,2.96998929977417,STEM,Biology
3,2.0,2598.0,Adversarial system,0.4610267877578736,Q1801315,History_and_Society.Politics_and_government,2598.0,6597.000000000003,32.0,3624.0,0.9220535755157472,History_and_Society,Politics_and_government
4,3.0,3076.0,Antares,0.9980832934379578,Q12166,STEM.Space,3076.0,13192.999999999998,0.0,15308.0,2.9942498803138733,STEM,Space
5,7.0,3080.0,Alexandria,0.4378334879875183,Q87,History_and_Society.History,3080.0,189210.859860834,10.0,92030.0,3.064834415912628,History_and_Society,History
6,4.0,3453.0,Baker Island,0.9073222279548644,Q46879,Geography.Regions.Americas.North_America,3453.0,2123.924134664156,19.0,16096.0,0.0,Geography,North_America
7,2.0,3537.0,Armed Forces of Belarus,0.9992778301239014,Q276318,History_and_Society.Military_and_warfare,3537.0,10756.743919396533,19.0,7695.0,1.9985556602478027,History_and_Society,Military_and_warfare
8,59.0,4246.0,Bollywood,0.99753737449646,Q93196,Culture.Media.Films,4246.0,930150.0960514159,9.0,73825.0,58.85470509529114,Culture,Films
9,13.0,4492.0,Baghdad,0.20182321965694427,Q1530,History_and_Society.Society,4492.0,317507.8637115348,0.0,27070.0,2.6237018555402756,History_and_Society,Society
10,1.0,4601.0,Björn Borg,0.9591643214225768,Q104506,Culture.Sports,4601.0,0.0,14.0,41833.0,0.9591643214225768,Culture,Sports
11,1.0,4975.0,Battle of Abritus,0.9659096002578736,Q1421082,History_and_Society.Military_and_warfare,4975.0,0.0,23.0,2841.0,0.9659096002578736,History_and_Society,Military_and_warfare
12,1.0,5663.0,CFA franc,0.15611489117145538,Q191511,History_and_Society.Business_and_economics,5663.0,0.0,28.0,14065.0,0.15611489117145538,History_and_Society,Business_and_economics
13,1.0,5986.0,Con,0.7431780099868774,Q394206,Culture.Linguistics,5986.0,0.0,9.0,26724.0,0.7431780099868774,Culture,Linguistics
14,4.0,6187.0,Cologne,0.16452647745609286,Q365,History_and_Society.History,6187.0,193017.51416046862,2.0,62099.0,0.6581059098243714,History_and_Society,History
15,6.0,6250.0,"Colorado Springs, Colorado",0.1520422399044037,Q49258,History_and_Society.Society,6250.0,294497.7801657477,26.0,50015.0,0.9122534394264221,History_and_Society,Society
16,5.0,6282.0,Class,0.8031837940216064,Q3679160,Culture.Linguistics,6282.0,29676.0,9.0,7306.0,4.015918970108032,Culture,Linguistics
17,3.0,7165.0,Cartoon,0.3007555902004242,Q627603,Culture.Visual_arts.Visual_arts*,7165.0,18164.26638492756,22.0,31601.0,0.9022667706012726,Culture,Visual_arts*
18,4.0,7906.0,Destry Rides Again,0.997120440006256,Q607524,Culture.Media.Films,7906.0,67027.66713070394,8.0,4981.0,3.988481760025024,Culture,Films
19,4.0,7964.0,Definition,0.320831298828125,Q101072,Culture.Philosophy_and_religion,7964.0,25784.3217842775,22.0,106693.0,1.2833251953125,Culture,Philosophy_and_religion
