,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Weight,Total Weight,Ratio Weight
3158,9.0,25.0,292698.0,Ron Santo,0.9996300339698792,Q934446,Culture.Sports,1546.3104560000006,0.100484,0.11701800000000001,0.0,48.0,68.0,0.7058823529411765,Sports,431.8401746749878,6624.189835369587,0.06519139478298087
1025,12.0,27.0,50831016.0,2017 NHL Expansion Draft,0.6992644667625427,Q24731937,Culture.Sports,102296.25781699999,0.08629099999999999,0.100383,0.0,48.0,68.0,0.7058823529411765,Sports,402.7763328552246,6624.189835369587,0.0608038632444706
92,8.0,25.0,17260462.0,Andrew McCutchen,0.9914325475692748,Q574689,Culture.Sports,51619.416438,0.096927,0.11412699999999999,0.0,48.0,68.0,0.7058823529411765,Sports,380.7100982666015,6624.189835369587,0.05747270348953705
1957,8.0,27.0,4576118.0,Western Conference (NHL),0.8840492963790894,Q834457,Culture.Sports,2143.304042,0.085361,0.099622,0.0,48.0,68.0,0.7058823529411765,Sports,339.4749298095703,6624.189835369587,0.051247765877263665
969,6.0,27.0,51564404.0,UFC 206,1.0000100135803225,Q27894132,Culture.Sports,8230.833333,0.084767,0.09723,0.0,48.0,68.0,0.7058823529411765,Sports,288.0028839111329,6624.189835369587,0.04347745023449562
2906,6.0,23.0,1084636.0,Bret Boone,0.9992545843124391,Q4961922,Culture.Sports,236172.95381900002,0.11549000000000001,0.143922,0.0,48.0,68.0,0.7058823529411765,Sports,287.7853202819825,6624.189835369587,0.04344460642497965
2330,5.0,26.0,18836222.0,Wilson Ramos,0.9990700483322144,Q730395,Culture.Sports,13819.848931,0.089676,0.102556,0.0,48.0,68.0,0.7058823529411765,Sports,239.77681159973145,6624.189835369587,0.036197152792852204
1872,7.0,25.0,1457722.0,FoxTrax,0.6859594583511353,Q5476541,Culture.Sports,62552.093216999994,0.10534400000000001,0.127147,0.0,48.0,68.0,0.7058823529411765,Sports,230.48237800598145,6624.189835369587,0.03479404783590747
3101,4.0,23.0,35851836.0,Yan Gomes,1.0000100135803225,Q3077014,Culture.Sports,103773.04830499999,0.11508,0.143735,0.0,48.0,68.0,0.7058823529411765,Sports,192.00192260742193,6624.189835369587,0.028984966822997074
4024,4.0,27.0,25807172.0,Bobby Green (fighter),0.9991540908813475,Q4935065,Culture.Sports,21952.0,0.084726,0.096339,0.0,48.0,68.0,0.7058823529411765,Sports,191.83758544921872,6624.189835369587,0.02896015818038757
3922,6.0,26.0,334826.0,National Hockey Association,0.6370407938957214,Q641900,Culture.Sports,6358.006965,0.089403,0.104413,0.0,48.0,68.0,0.7058823529411765,Sports,183.46774864196777,6624.189835369587,0.027696632071494892
2996,4.0,28.0,29154786.0,Ryan Reaves,0.7931159734725952,Q2178104,Culture.Sports,16491.0,0.079445,0.089683,0.0,48.0,68.0,0.7058823529411765,Sports,152.27826690673828,6624.189835369587,0.022988209983605058
208,3.0,24.0,1140616.0,Tom Gordon,1.0000100135803225,Q3110725,Culture.Sports,3094.673613,0.10272300000000001,0.1214,0.0,48.0,68.0,0.7058823529411765,Sports,144.00144195556646,6624.189835369587,0.02173872511724781
877,3.0,27.0,14055002.0,Rakhim Chakhkiev,1.0000100135803225,Q556061,Culture.Sports,3471.325361,0.075049,0.08275,0.0,48.0,68.0,0.7058823529411765,Sports,144.00144195556646,6624.189835369587,0.02173872511724781
2380,3.0,24.0,46946424.0,James Pazos,0.999506652355194,Q20936781,Culture.Sports,0.0,0.10206699999999999,0.119617,0.0,48.0,68.0,0.7058823529411765,Sports,143.92895793914792,6624.189835369587,0.02172778279551187
614,3.0,28.0,42518360.0,Chad Laprise,0.9990402460098268,Q16337150,Culture.Sports,1.0,0.078184,0.08804,0.0,48.0,68.0,0.7058823529411765,Sports,143.86179542541507,6624.189835369587,0.021717643817704465
3296,3.0,25.0,47369980.0,Patrick Wisdom,0.9986429810523988,Q56073223,Culture.Sports,5499.0,0.092613,0.10526600000000001,0.0,48.0,68.0,0.7058823529411765,Sports,143.80458927154544,6624.189835369587,0.021709007870472974
258,3.0,27.0,34506988.0,Noah Syndergaard,0.997758150100708,Q15831560,Culture.Sports,6641.513696,0.08230499999999999,0.091816,0.0,48.0,68.0,0.7058823529411765,Sports,143.67717361450195,6624.189835369587,0.02168977296624919
1046,3.0,26.0,44553018.0,Carson Kelly,0.9963027834892272,Q18637556,Culture.Sports,5499.0,0.090189,0.099484,0.0,48.0,68.0,0.7058823529411765,Sports,143.4676008224487,6624.189835369587,0.021658135468342013
2500,3.0,28.0,10705194.0,Gerald Harris (fighter),0.9951046109199524,Q5549222,Culture.Sports,16493.0,0.078187,0.088116,0.0,48.0,68.0,0.7058823529411765,Sports,143.29506397247314,6624.189835369587,0.02163208898503408
1559,3.0,29.0,22711666.0,Sarah Kaufman,0.9879562258720398,Q2060995,Culture.Sports,5499.5,0.072522,0.080011,0.0,48.0,68.0,0.7058823529411765,Sports,142.26569652557373,6624.189835369587,0.021476693763507793
1117,3.0,27.0,27621874.0,Isaac Chilemba,0.9553291201591492,Q4140048,Culture.Sports,5159.981036,0.077424,0.086791,0.0,48.0,68.0,0.7058823529411765,Sports,137.56739330291748,6624.189835369587,0.020767429183321723
874,3.0,27.0,23505048.0,Andrzej Fonfara,0.9481645226478576,Q4491798,Culture.Sports,12409.226984,0.075676,0.08404099999999999,0.0,48.0,68.0,0.7058823529411765,Sports,136.53569126129148,6624.189835369587,0.0206116815270397
4002,3.0,25.0,1546828.0,Lou Savarese,0.9362950325012208,Q707139,Culture.Sports,110.57142900000001,0.088916,0.099775,0.0,48.0,68.0,0.7058823529411765,Sports,134.8264846801758,6624.189835369587,0.02035365652721415
247,2.0,23.0,274330.0,Seattle Pilots,1.0000100135803225,Q7442149,Culture.Sports,49166.082288,0.11325,0.14291700000000002,0.0,48.0,68.0,0.7058823529411765,Sports,96.00096130371097,6624.189835369587,0.014492483411498537
1576,2.0,28.0,54434074.0,Khalil Rountree Jr.,1.0000100135803225,Q31270277,Culture.Sports,0.0,0.078183,0.087949,0.0,48.0,68.0,0.7058823529411765,Sports,96.00096130371097,6624.189835369587,0.014492483411498537
