Id,Label,modularity_class,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
57328398,Paul_J._Schlise,5,4,23,0.114369,0.146231,2132.770072
1384530,John_Wood_(English_actor),49,4,27,0.076825,0.083826,32975
45340726,Bush_shoeing_incident,8,3,27,0.076592,0.093229,5499
1546474,"Pioneertown,_California",4,2,23,0.097766,0.111663,125903.187149
679746,Independence_Stadium_(Shreveport),26,10,25,0.103652,0.128282,34410.555935
42159082,"Serginho_(footballer,_born_1995)",41,4,28,0.081619,0.097712,0
5945948,Zoran_Mami?,41,1,28,0.081389,0.096599,0
5254422,Speech_or_Debate_Clause,5,5,21,0.109253,0.131008,35301.517664
26929382,John_Curtis_(American_politician),21,6,23,0.108724,0.133131,10.308845
343782,Parliamentary_Labour_Party,43,7,22,0.11074,0.131382,32328.167055
2648856,Jane_Eyre_(1943_film),49,1,33,0.048777,0.052121,0
4014302,National_Assembly_(Armenia),54,11,23,0.095231,0.105328,12064.782304
26245190,8mm_French_Ordnance,54,1,24,0.086827,0.094068,0
308842,Robert_Muldoon,43,2,22,0.120529,0.155821,13358.734005
47936800,UEFA_Euro_2020_qualifying,28,31,29,0.072803,0.094758,90301.427697
56085920,Bharatiya_Tribal_Party,8,41,25,0.086692,0.122205,331.18628
199420,Arbusto_Energy,5,3,22,0.122845,0.159745,0.055556
57005490,List_of_Trump_administration_dismissals_and_resignations,21,11,23,0.105977,0.128374,21323.140476
6271722,"John_Coleman_(footballer,_born_1962)",28,2,31,0.066533,0.076868,5499
34879480,Darren_Mattocks,33,10,26,0.092738,0.110912,24560.771927
264920,List_of_Wimbledon_Open_Era_champions,22,3,27,0.082038,0.09162,10996
53091902,Tarana_(Vidhan_Sabha_constituency),8,3,25,0.087809,0.119256,0
5094994,Michelle_Dewberry,43,3,21,0.115036,0.133951,10996
7421180,Hugo_Gatti,41,6,26,0.089312,0.10581,5335.23225
17260462,Andrew_McCutchen,0,8,25,0.096927,0.114127,51619.416438
1754934,Water_polo_at_the_1956_Summer_Olympics,7,3,23,0.109416,0.132601,0
6859154,Jenny_Bradley,49,1,27,0.074764,0.079778,0
41647460,Pilani_(Rajasthan_Assembly_constituency),8,6,25,0.086579,0.117844,0.865095
601718,White_Night_riots,51,6,23,0.10804,0.130606,11550.900132
58594426,Hungary_in_the_Eurovision_Song_Contest_2019,25,2,26,0.083323,0.093536,5499
177326,Rebecca_West,43,2,25,0.08741,0.098363,0
908698,Frank_Leahy,26,2,26,0.091867,0.107178,0
671806,Skrull,11,11,30,0.063423,0.070916,137336.632091
