,Main_Topics,Higher_Weighted_Article
0,Politics_and_government (0.08) / Military_and_warfare (0.06) / History (0.03) ,George H. W. Bush (39524)
1,Media* (0.16) / Sports (0.04) / Music (0.04) ,Nancy Wilson (jazz singer) (1316)
2,Politics_and_government (0.19) / Media* (0.02) / Society (0.01) ,Indian National Congress (73036)
3,Sports (0.28) / Media* (0.04) / Society (0.01) ,Urban Meyer (5698)
4,Sports (0.28) / Society (0.01) / Military_and_warfare (0.01) ,2018 FIFA Club World Cup squads (13707)
5,Politics_and_government (0.17) / Military_and_warfare (0.02) / Society (0.03) ,Steve King (2751)
6,Politics_and_government (0.13) / Media* (0.04) / Education (0.04) ,1922 Committee (5403)
7,Media* (0.2) / Films (0.11) / Literature (0.02) ,The Kennel Murder Case (film) (836)
8,Politics_and_government (0.14) / Philosophy_and_religion (0.03) / Military_and_warfare (0.04) ,2018 Strasbourg attack (640)
9,Sports (0.25) / Media* (0.0) / Society (0.0) ,2017–18 Sunderland A.F.C. season (9307)
10,Sports (0.32) / Education (0.0) / Business_and_economics (0.01) ,MLS Cup (4443)
11,Media* (0.18) / Music (0.13) / Sports (0.06) ,Buzzcocks (1789)
12,Sports (0.27) / Media* (0.02) / Television (0.01) ,Gabe Kapler (2623)
13,Sports (0.25) / Society (0.06) / Military_and_warfare (0.06) ,Blood in the Water match (14)
14,Politics_and_government (0.12) / Military_and_warfare (0.12) / Visual_arts* (0.03) ,George Moscone (7)
15,Television (0.15) / Media* (0.16) / Music (0.02) ,Eurovision Song Contest 2005 (3873)
16,Literature (0.23) / Comics_and_Anime (0.21) / Visual_arts* (0.2) ,Hawkeye (Clint Barton) (1236)
17,Military_and_warfare (0.11) / History (0.09) / Society (0.03) ,Edith Cavell (122)
18,Media* (0.15) / Films (0.08) / Performing_arts (0.03) ,Pah Wongso Pendekar Boediman (912)
19,Media* (0.12) / Music (0.05) / Politics_and_government (0.09) ,Eaten Back to Life (517)
20,Physics (0.04) / Media* (0.06) / Society (0.03) ,Enrico Fermi (294)
21,Sports (0.3) / Education (0.02) / Media* (0.01) ,John Paxson (827)
22,Sports (0.27) / Northern_Europe (0.11) / Europe* (0.22) ,2018–19 European Rugby Champions Cup pool stage (121)
23,Sports (0.29) / Media* (0.03) / Television (0.01) ,2016 San Diego Chargers season (10500)
24,Transportation (0.05) / Architecture (0.04) / Visual_arts* (0.04) ,Caledonian Railway (47)
25,Earth_and_environment (0.1) / Politics_and_government (0.08) / Transportation (0.03) ,2018 Anchorage earthquake (574)
26,Sports (0.16) / Media* (0.03) / Music (0.02) ,Ada Hegerberg (523)
27,Military_and_warfare (0.09) / Transportation (0.04) / Business_and_economics (0.03) ,Imperial Japanese Navy (892)
28,Media* (0.2) / Television (0.08) / Entertainment (0.03) ,F Troop (305)
29,Politics_and_government (0.19) / Military_and_warfare (0.07) / Business_and_economics (0.07) ,2014 G20 Brisbane summit (12)
30,History (0.07) / Biology (0.05) / Earth_and_environment (0.03) ,Kingdom of Kent (499)
31,Media* (0.21) / Society (0.08) / Music (0.07) ,Grammy Award for Album of the Year (1258)
32,Media* (0.19) / Video_games (0.12) / Internet_culture (0.12) ,Mortal Kombat (1220)
33,Sports (0.23) / Media* (0.03) / Literature (0.01) ,Geoff Marsh (263)
34,Sports (0.18) / Military_and_warfare (0.06) / Education (0.02) ,Derrick Henry (2097)
35,Philosophy_and_religion (0.14) / Linguistics (0.02) / Education (0.03) ,Category of being (56)
36,Medicine_&_Health (0.12) / Society (0.08) / Politics_and_government (0.06) ,Vaccine trial (2016)
37,Media* (0.16) / Television (0.09) / Entertainment (0.07) ,Dynamite Kid (640)
38,Sports (0.17) / Music (0.09) / Media* (0.09) ,George McCaskey (33)
39,Visual_arts* (0.14) / Fashion (0.13) / Media* (0.02) ,Catriona Gray (917)
40,Medicine_&_Health (0.07) / Technology (0.08) / Mathematics (0.06) ,Psychometrics (3095)
41,Business_and_economics (0.11) / Politics_and_government (0.03) / Education (0.02) ,Urjit Patel (42)
42,Media* (0.31) / Music (0.27) / Politics_and_government (0.02) ,Gunslinger (album) (1149)
43,Politics_and_government (0.18) / Society (0.05) / Linguistics (0.03) ,2012 Andalusian regional election (20)
44,Military_and_warfare (0.05) / Society (0.03) / Visual_arts* (0.04) ,Fort Dearborn (94)
45,Space (0.13) / Transportation (0.1) / Technology (0.09) ,Sub-orbital spaceflight (1320)
46,Politics_and_government (0.23) / Business_and_economics (0.08) / Education (0.08) ,Kay Hagan (11)
47,Media* (0.2) / Films (0.14) / Literature (0.08) ,Mothra vs. Godzilla (605)
48,Military_and_warfare (0.13) / Transportation (0.07) / Architecture (0.07) ,77th Brigade (United Kingdom) (5)
49,Media* (0.26) / Music (0.22) / Society (0.04) ,Darius Rucker (46)
50,Media* (0.06) / Films (0.06) / Literature (0.06) ,Perumthachan (film) (2)
51,Media* (0.11) / Internet_culture (0.06) / Business_and_economics (0.09) ,Tumblr (36)
52,Visual_arts* (0.1) / Architecture (0.05) / Business_and_economics (0.1) ,San Francisco Mint (9)
53,Television (0.15) / Media* (0.18) / Business_and_economics (0.1) ,News 24 (India) (83)
54,Sports (0.21) / Literature (0.03) / Books (0.03) ,Henrik Stenson (28)
55,Media* (0.25) / Films (0.15) / History (0.1) ,Crime Wave (1954 film) (9)
56,Music (0.24) / Media* (0.24) / Biography* (0.24) ,Double Trouble (band) (10)
