,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,40.0,2101.0,Asterix,0.9324633479118348,Q42490,Culture.Visual_arts.Visual_arts*,2101.0,41436.97360870433,15.0,73473.0,37.298533916473396,Culture,Visual_arts*
1,8.0,2282.0,Alexis Korner,0.7879412174224854,Q455236,Culture.Media.Media*,2282.0,21770.97870331308,1.0,5935.0,6.303529739379883,Culture,Media*
2,8.0,2709.0,"Aberdeen, South Dakota",0.9908843636512756,Q236713,Geography.Regions.Americas.North_America,2709.0,17601.137061383484,6.0,5135.0,0.0,Geography,North_America
3,4.0,3218.0,RUR-5 ASROC,1.0000100135803225,Q76917,History_and_Society.Military_and_warfare,3218.0,18506.951570643305,20.0,3196.0,4.00004005432129,History_and_Society,Military_and_warfare
4,2.0,3537.0,Armed Forces of Belarus,0.9992778301239014,Q276318,History_and_Society.Military_and_warfare,3537.0,361.47382354516196,17.0,4423.0,1.9985556602478027,History_and_Society,Military_and_warfare
5,2.0,4295.0,Batavi (Germanic tribe),0.9496793746948242,Q176825,History_and_Society.History,4295.0,2385.151895758689,1.0,2483.0,1.8993587493896484,History_and_Society,History
6,8.0,4552.0,Bernard of Clairvaux,0.9615437984466552,Q188411,Culture.Philosophy_and_religion,4552.0,42850.77180488879,1.0,12455.0,7.692350387573241,Culture,Philosophy_and_religion
7,8.0,4644.0,Balmoral Castle,0.5698626637458801,Q42049,Culture.Visual_arts.Architecture,4644.0,14628.986335964611,1.0,49688.0,4.558901309967041,Culture,Architecture
8,3.0,4650.0,Black hole,0.7606606483459473,Q589,STEM.Space,4650.0,6470.636271230695,1.0,163929.0,2.281981945037842,STEM,Space
9,2.0,4737.0,Brownie McGhee,0.6150978803634644,Q950313,Culture.Media.Music,4737.0,0.0,1.0,2098.0,1.2301957607269287,Culture,Music
10,42.0,5026.0,Brisbane Lions,0.4063222279548645,Q637601,Geography.Regions.Oceania,5026.0,226929.8709446664,19.0,4567.0,0.0,Geography,Oceania
11,1.0,5676.0,Californium,0.9362950325012208,Q1888,STEM.Chemistry,5676.0,0.0,20.0,10101.0,0.9362950325012208,STEM,Chemistry
12,61.0,5985.0,Canadian Radio-television and Telecommunications Commission,0.2942249774932861,Q2993801,History_and_Society.Politics_and_government,5985.0,104960.41113221193,6.0,3578.0,17.94772362709045,History_and_Society,Politics_and_government
13,2.0,6365.0,Convention of Kanagawa,0.3702353835105896,Q771451,History_and_Society.Politics_and_government,6365.0,0.0,1.0,3362.0,0.7404707670211792,History_and_Society,Politics_and_government
14,7.0,6651.0,"Cedar Falls, Iowa",0.9947898983955384,Q582212,Geography.Regions.Americas.North_America,6651.0,0.0,2.0,2809.0,0.0,Geography,North_America
15,16.0,6719.0,"Columbia, Missouri",0.9496793746948242,Q59670,Geography.Regions.Americas.North_America,6719.0,571059.7824651622,6.0,9324.0,0.0,Geography,North_America
16,7.0,7387.0,Cyril of Jerusalem,0.9399233460426332,Q298654,Culture.Philosophy_and_religion,7387.0,9592.589036390418,1.0,8801.0,6.579463422298432,Culture,Philosophy_and_religion
17,9.0,7592.0,Caldera,0.9046605229377748,Q159954,STEM.Earth_and_environment,7592.0,20047.111936903948,17.0,50489.0,8.141944706439974,STEM,Earth_and_environment
18,3.0,7602.0,The Family International,0.9324633479118348,Q536890,Culture.Philosophy_and_religion,7602.0,9162.0,1.0,30024.0,2.7973900437355046,Culture,Philosophy_and_religion
19,1.0,8206.0,HM Prison Dartmoor,0.9481645226478576,Q5635157,History_and_Society.Politics_and_government,8206.0,0.0,1.0,2900.0,0.9481645226478576,History_and_Society,Politics_and_government
20,1.0,8484.0,Deus Ex (video game),0.9989112615585328,Q644793,Culture.Media.Media*,8484.0,0.0,34.0,43955.0,0.9989112615585328,Culture,Media*
21,78.0,8716.0,Dolly Parton,0.9615437984466552,Q180453,Culture.Media.Music,8716.0,485063.37243527384,21.0,328780.0,75.0004162788391,Culture,Music
22,8.0,8855.0,Dr. Seuss,0.7122421860694885,Q298685,Culture.Literature,8855.0,59442.88072955023,1.0,95047.0,5.697937488555908,Culture,Literature
