Id,Qid,topic,probability,page_title,wiki_db,Modularity Class,Label
10792059,Q7246451,Culture.Media.Media*,1.0,Priya_(1978_film),enwiki,3.0,The Lion King Announcement
18495521,Q5187868,Geography.Regions.Asia.Asia*,0.98,Mandya_(Lok_Sabha_constituency),enwiki,3.0,The Lion King Announcement
18495521,Q5187868,Geography.Regions.Asia.South_Asia,0.98,Mandya_(Lok_Sabha_constituency),enwiki,3.0,The Lion King Announcement
18495521,Q5187868,History_and_Society.Politics_and_government,0.66,Mandya_(Lok_Sabha_constituency),enwiki,3.0,The Lion King Announcement
1283901,Q1150956,Geography.Regions.Asia.Asia*,0.93,Mỹ_Đình_National_Stadium,enwiki,11.0,Football
1283901,Q1150956,Geography.Regions.Asia.Southeast_Asia,0.9,Mỹ_Đình_National_Stadium,enwiki,11.0,Football
1283901,Q1150956,Culture.Sports,0.79,Mỹ_Đình_National_Stadium,enwiki,11.0,Football
238341,Q159907,Culture.Biography.Biography*,0.98,David_Hockney,enwiki,11.0,Football
238341,Q159907,Culture.Visual_arts.Visual_arts*,0.94,David_Hockney,enwiki,11.0,Football
50477,Q715625,History_and_Society.Politics_and_government,0.88,Martial_law,enwiki,9.0,Midterm US election
698391,Q181512,Culture.Sports,1.0,Vivian_Woodward,enwiki,11.0,Football
698391,Q181512,Culture.Biography.Biography*,0.99,Vivian_Woodward,enwiki,11.0,Football
58897899,Q58009209,Culture.Sports,1.0,Kyle_Shurmur,enwiki,2.0,Canadian Football
58897899,Q58009209,Culture.Biography.Biography*,0.99,Kyle_Shurmur,enwiki,2.0,Canadian Football
58897899,Q58009209,Geography.Regions.Americas.North_America,0.5,Kyle_Shurmur,enwiki,2.0,Canadian Football
1071538,Q3487430,Culture.Media.Television,1.0,The_Return_of_the_Archons,enwiki,9.0,Midterm US election
