Id,Qid,topic,probability,page_title,wiki_db,Modularity Class,Label
44401361,Q19875912,Geography.Regions.Americas.North_America,0.9,2015_St._Louis_Rams_season,enwiki,2.0,Canadian Football
30874765,Q17032823,Geography.Regions.Americas.North_America,0.98,Western_Michigan_University_Cooley_Law_School,enwiki,9.0,Midterm US election
30874765,Q17032823,History_and_Society.Politics_and_government,0.94,Western_Michigan_University_Cooley_Law_School,enwiki,9.0,Midterm US election
30874765,Q17032823,History_and_Society.Education,0.92,Western_Michigan_University_Cooley_Law_School,enwiki,9.0,Midterm US election
38341755,Q1148639,Geography.Regions.Americas.North_America,1.0,Joint_Base_Elmendorf–Richardson,enwiki,9.0,Midterm US election
38341755,Q1148639,History_and_Society.Military_and_warfare,0.72,Joint_Base_Elmendorf–Richardson,enwiki,9.0,Midterm US election
10618947,Q2244233,Culture.Biography.Biography*,0.99,Harriet_Hoctor,enwiki,3.0,The Lion King Announcement
10618947,Q2244233,Culture.Performing_arts,0.9,Harriet_Hoctor,enwiki,3.0,The Lion King Announcement
10618947,Q2244233,Culture.Biography.Women,0.62,Harriet_Hoctor,enwiki,3.0,The Lion King Announcement
2396629,Q2645323,Culture.Sports,1.0,Rickey_Jackson,enwiki,2.0,Canadian Football
2396629,Q2645323,Culture.Biography.Biography*,1.0,Rickey_Jackson,enwiki,2.0,Canadian Football
2396629,Q2645323,Geography.Regions.Americas.North_America,0.62,Rickey_Jackson,enwiki,2.0,Canadian Football
178283,Q205672,STEM.Technology,1.0,Mars_Express,enwiki,8.0,Space missions
178283,Q205672,History_and_Society.Transportation,1.0,Mars_Express,enwiki,8.0,Space missions
178283,Q205672,STEM.Space,1.0,Mars_Express,enwiki,8.0,Space missions
178283,Q205672,STEM.STEM*,1.0,Mars_Express,enwiki,8.0,Space missions
178283,Q205672,Geography.Regions.Europe.Europe*,0.67,Mars_Express,enwiki,8.0,Space missions
261343,Q2738,Culture.Literature,0.94,Fox_Mulder,enwiki,3.0,The Lion King Announcement
1076527,Q2281954,Culture.Biography.Biography*,0.98,Edward_Sorin,enwiki,2.0,Canadian Football
51196385,Q28312041,Culture.Media.Media*,0.68,Sick_Note_(TV_series),enwiki,3.0,The Lion King Announcement
3229797,Q8025179,Culture.Literature,1.0,Winged_monkeys,enwiki,3.0,The Lion King Announcement
3229797,Q8025179,Culture.Media.Films,1.0,Winged_monkeys,enwiki,3.0,The Lion King Announcement
3229797,Q8025179,Culture.Media.Media*,0.98,Winged_monkeys,enwiki,3.0,The Lion King Announcement
3229797,Q8025179,Culture.Media.Entertainment,0.54,Winged_monkeys,enwiki,3.0,The Lion King Announcement
11577545,Q561087,Culture.Biography.Biography*,0.99,Mauro_Boselli,enwiki,11.0,Football
11577545,Q561087,Culture.Sports,0.88,Mauro_Boselli,enwiki,11.0,Football
3808165,Q940094,Culture.Media.Television,1.0,Malta_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
3808165,Q940094,Culture.Media.Media*,1.0,Malta_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
3808165,Q940094,Geography.Regions.Europe.Europe*,0.99,Malta_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
3808165,Q940094,Geography.Regions.Europe.Southern_Europe,0.99,Malta_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
864115,Q1051186,History_and_Society.Military_and_warfare,1.0,9K34_Strela-3,enwiki,6.0,Ukraine
54681061,Q27188178,Culture.Media.Films,0.99,Aladdin_(2019_film),enwiki,3.0,The Lion King Announcement
54681061,Q27188178,Culture.Media.Media*,0.98,Aladdin_(2019_film),enwiki,3.0,The Lion King Announcement
1286975,Q500972,Culture.Sports,0.97,Philips_Stadion,enwiki,6.0,Ukraine
1286975,Q500972,Geography.Regions.Europe.Western_Europe,0.87,Philips_Stadion,enwiki,6.0,Ukraine
1286975,Q500972,Geography.Regions.Europe.Europe*,0.65,Philips_Stadion,enwiki,6.0,Ukraine
695557,Q1288004,Culture.Biography.Biography*,0.99,Nat_Pendleton,enwiki,3.0,The Lion King Announcement
695557,Q1288004,Culture.Sports,0.85,Nat_Pendleton,enwiki,3.0,The Lion King Announcement
585176,Q5733187,Culture.Biography.Biography*,0.98,Herb_Sendek,enwiki,1.0,~~News Items~~ 
585176,Q5733187,Culture.Sports,0.94,Herb_Sendek,enwiki,1.0,~~News Items~~ 
585176,Q5733187,Geography.Regions.Americas.North_America,0.73,Herb_Sendek,enwiki,1.0,~~News Items~~ 
2407332,Q782020,Culture.Biography.Biography*,0.99,Sergio_Franchi,enwiki,11.0,Football
2407332,Q782020,Culture.Media.Music,0.96,Sergio_Franchi,enwiki,11.0,Football
2407332,Q782020,Culture.Media.Media*,0.94,Sergio_Franchi,enwiki,11.0,Football
11026396,Q1263921,Culture.Media.Media*,0.99,Annie_Get_Your_Gun_(film),enwiki,3.0,The Lion King Announcement
11026396,Q1263921,Culture.Media.Films,0.97,Annie_Get_Your_Gun_(film),enwiki,3.0,The Lion King Announcement
42210630,Q16148161,Culture.Biography.Biography*,0.99,Albian_Ajeti,enwiki,11.0,Football
42210630,Q16148161,Culture.Sports,0.99,Albian_Ajeti,enwiki,11.0,Football
42210630,Q16148161,Geography.Regions.Europe.Western_Europe,0.94,Albian_Ajeti,enwiki,11.0,Football
42210630,Q16148161,Geography.Regions.Europe.Europe*,0.91,Albian_Ajeti,enwiki,11.0,Football
1143760,Q129478,Culture.Biography.Biography*,1.0,David_Corn,enwiki,9.0,Midterm US election
1143760,Q129478,Culture.Media.Media*,0.97,David_Corn,enwiki,9.0,Midterm US election
36960670,Q3887707,Culture.Biography.Biography*,1.0,Ovidiu_Hațegan,enwiki,11.0,Football
36960670,Q3887707,Culture.Sports,1.0,Ovidiu_Hațegan,enwiki,11.0,Football
36960670,Q3887707,Geography.Regions.Europe.Eastern_Europe,0.91,Ovidiu_Hațegan,enwiki,11.0,Football
36960670,Q3887707,Geography.Regions.Europe.Europe*,0.84,Ovidiu_Hațegan,enwiki,11.0,Football
263040,Q355223,Culture.Biography.Biography*,0.99,Frank_Knight,enwiki,5.0,Cambodian Genocide Sentence
263040,Q355223,Geography.Regions.Americas.North_America,0.91,Frank_Knight,enwiki,5.0,Cambodian Genocide Sentence
263040,Q355223,History_and_Society.Business_and_economics,0.78,Frank_Knight,enwiki,5.0,Cambodian Genocide Sentence
24891124,Q4676510,Culture.Media.Music,1.0,Across_the_Universe_(message),enwiki,8.0,Space missions
24891124,Q4676510,Culture.Media.Media*,1.0,Across_the_Universe_(message),enwiki,8.0,Space missions
58971596,Q58303483,Culture.Biography.Biography*,1.0,River_Cracraft,enwiki,2.0,Canadian Football
52498503,Q58303483,Culture.Biography.Biography*,1.0,River_Cracraft,enwiki,2.0,Canadian Football
58971596,Q58303483,Culture.Sports,0.91,River_Cracraft,enwiki,2.0,Canadian Football
52498503,Q58303483,Culture.Sports,0.91,River_Cracraft,enwiki,2.0,Canadian Football
36473762,Q4626662,Culture.Sports,1.0,2012_SEC_Championship_Game,enwiki,2.0,Canadian Football
14396960,Q7815833,Culture.Biography.Biography*,1.0,Virginia_Admiral,enwiki,1.0,~~News Items~~ 
14396960,Q7815833,Geography.Regions.Americas.North_America,0.81,Virginia_Admiral,enwiki,1.0,~~News Items~~ 
14396960,Q7815833,Culture.Biography.Women,0.7,Virginia_Admiral,enwiki,1.0,~~News Items~~ 
14396960,Q7815833,Culture.Visual_arts.Visual_arts*,0.55,Virginia_Admiral,enwiki,1.0,~~News Items~~ 
28469993,Q1548149,History_and_Society.Society,0.54,Great_Andamanese,enwiki,7.0,Killing in Andaman Islands 
2681222,Q1548149,History_and_Society.Society,0.54,Great_Andamanese,enwiki,7.0,Killing in Andaman Islands 
1145024,Q330148,Geography.Regions.Africa.Africa*,0.91,Sierra_Leone_national_football_team,enwiki,11.0,Football
1145024,Q330148,Culture.Sports,0.84,Sierra_Leone_national_football_team,enwiki,11.0,Football
1357106,Q12292,Geography.Regions.Europe.Europe*,0.99,Villarreal,enwiki,6.0,Ukraine
1357106,Q12292,Geography.Regions.Europe.Southern_Europe,0.99,Villarreal,enwiki,6.0,Ukraine
1357106,Q12292,Geography.Geographical,0.96,Villarreal,enwiki,6.0,Ukraine
8518586,Q1173825,Culture.Biography.Biography*,0.99,David_Brenner_(editor),enwiki,9.0,Midterm US election
39551339,Q16980732,Culture.Sports,0.93,List_of_Nebraska_Cornhuskers_football_seasons,enwiki,2.0,Canadian Football
325489,Q315372,Culture.Biography.Biography*,1.0,Gabriel_Tarde,enwiki,5.0,Cambodian Genocide Sentence
325489,Q315372,Geography.Regions.Europe.Western_Europe,0.58,Gabriel_Tarde,enwiki,5.0,Cambodian Genocide Sentence
325489,Q315372,Geography.Regions.Europe.Europe*,0.57,Gabriel_Tarde,enwiki,5.0,Cambodian Genocide Sentence
14723131,Q4582594,Culture.Sports,1.0,1985_Washington_Redskins_season,enwiki,2.0,Canadian Football
14723131,Q4582594,Geography.Regions.Americas.North_America,1.0,1985_Washington_Redskins_season,enwiki,2.0,Canadian Football
31746851,Q6146928,Culture.Biography.Biography*,1.0,Jamie_George,enwiki,0.0,Irish Rubgy Championship
31746851,Q6146928,Culture.Sports,0.62,Jamie_George,enwiki,0.0,Irish Rubgy Championship
31746851,Q6146928,Geography.Regions.Europe.Northern_Europe,0.59,Jamie_George,enwiki,0.0,Irish Rubgy Championship
48784525,Q22006380,Culture.Biography.Biography*,1.0,Alex_Lozowski,enwiki,0.0,Irish Rubgy Championship
9560579,Q10373699,Culture.Biography.Biography*,1.0,Spencer_Tillman,enwiki,2.0,Canadian Football
9560579,Q10373699,Culture.Sports,0.98,Spencer_Tillman,enwiki,2.0,Canadian Football
9560579,Q10373699,Geography.Regions.Americas.North_America,0.56,Spencer_Tillman,enwiki,2.0,Canadian Football
23939531,Q781167,Culture.Biography.Biography*,1.0,Austin_Scott_(politician),enwiki,8.0,Space missions
23939531,Q781167,Geography.Regions.Americas.North_America,0.93,Austin_Scott_(politician),enwiki,8.0,Space missions
23939531,Q781167,History_and_Society.Politics_and_government,0.9,Austin_Scott_(politician),enwiki,8.0,Space missions
1095457,Q1475243,History_and_Society.Military_and_warfare,1.0,Battle_of_Cape_Esperance,enwiki,6.0,Ukraine
39688531,Q10360270,Geography.Regions.Oceania,0.98,Bougainville_Civil_War,enwiki,6.0,Ukraine
39688531,Q10360270,History_and_Society.Military_and_warfare,0.88,Bougainville_Civil_War,enwiki,6.0,Ukraine
9253081,Q16973280,Culture.Sports,0.98,Iowa–Minnesota_football_rivalry,enwiki,2.0,Canadian Football
9253081,Q16973280,Geography.Regions.Americas.North_America,0.66,Iowa–Minnesota_football_rivalry,enwiki,2.0,Canadian Football
55822287,Q43381136,Culture.Biography.Biography*,0.99,Peter_Schlesinger,enwiki,11.0,Football
55822287,Q43381136,Culture.Visual_arts.Visual_arts*,0.98,Peter_Schlesinger,enwiki,11.0,Football
55822287,Q43381136,History_and_Society.Society,0.53,Peter_Schlesinger,enwiki,11.0,Football
7590753,Q2966030,Culture.Media.Media*,0.99,Christmas_in_Connecticut,enwiki,3.0,The Lion King Announcement
7590753,Q2966030,Culture.Media.Films,0.99,Christmas_in_Connecticut,enwiki,3.0,The Lion King Announcement
5775373,Q725500,Culture.Biography.Biography*,1.0,Ashis_Nandy,enwiki,5.0,Cambodian Genocide Sentence
5775373,Q725500,Geography.Regions.Asia.Asia*,0.58,Ashis_Nandy,enwiki,5.0,Cambodian Genocide Sentence
5775373,Q725500,Geography.Regions.Asia.South_Asia,0.55,Ashis_Nandy,enwiki,5.0,Cambodian Genocide Sentence
34593261,Q5006540,Culture.Biography.Biography*,0.99,C._J._Cron,enwiki,2.0,Canadian Football
34593261,Q5006540,Culture.Sports,0.99,C._J._Cron,enwiki,2.0,Canadian Football
34593261,Q5006540,Geography.Regions.Americas.North_America,0.78,C._J._Cron,enwiki,2.0,Canadian Football
55863411,Q43399591,Culture.Biography.Biography*,0.99,John_Howard_Benson,enwiki,1.0,~~News Items~~ 
840859,Q978918,Culture.Biography.Biography*,0.99,Robert_Mosbacher,enwiki,8.0,Space missions
840859,Q978918,Geography.Regions.Americas.North_America,0.86,Robert_Mosbacher,enwiki,8.0,Space missions
4097469,Q197402,Geography.Regions.Asia.Asia*,1.0,Zhangye,enwiki,10.0,Victoria election (Autralia)
4097469,Q197402,Geography.Regions.Asia.East_Asia,1.0,Zhangye,enwiki,10.0,Victoria election (Autralia)
129249,Q1350503,Culture.Biography.Biography*,1.0,Pan-Blue_Coalition,enwiki,9.0,Midterm US election
