,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
654,1.0,2809138.0,Tour de Toscane,10.0,0.5544804334640503,Q1526871,Culture.Sports,74.0,0.0,134.0,16.0,0.0,10.0,17.885529000000005,15.097716,2097.0,0.5544804334640503,Culture,Sports
655,6.0,2830392.0,Edin Džeko,24.0,0.9980222582817078,Q153786,Culture.Biography.Biography*,116.0,9873.56425054605,157.0,0.0,0.0,24.0625,0.2795707000000001,24.147589,2703.0,5.988133549690247,Culture,Biography*
656,1.0,2843192.0,La Petite Prairie aux bouleaux,0.0,0.9433575868606568,Q865515,Culture.Media.Films,233.0,0.0,124.0,2.0,54.0,10.0,-19.480888,13.913843,2475.0,0.9433575868606568,Culture,Films
657,2.0,2851500.0,Ariane Chemin,0.0,0.992888569831848,Q2861184,Culture.Biography.Biography*,233.0,1236.2141993148634,124.0,2.0,54.0,12.8125,-19.102606,-3.951765,2104.0,1.985777139663696,Culture,Biography*
658,1.0,2853411.0,Affaire Leprince,11.0,0.3923194279670715,Q2825817,Geography.Regions.Europe.Europe*,172.0,0.0,126.0,11.0,0.0,10.0,3.7772799,8.460938,2037.0,0.3923194279670715,Geography,Europe*
659,5.0,2853906.0,Frédéric Pierrot,11.0,0.9996179938316344,Q555428,Culture.Biography.Biography*,172.0,12375.878669704109,126.0,11.0,0.0,21.25,-12.5927725,2.8476493,1579.0,4.998089969158172,Culture,Biography*
660,3.0,2860145.0,Vanessa Schneider,22.0,0.983095109462738,Q3554549,Culture.Biography.Biography*,135.0,3453.0,134.0,8.0,0.0,15.625,-11.179019,19.483052999999998,26574.0,2.949285328388214,Culture,Biography*
661,3.0,2872836.0,Bleu pétrole,12.0,0.9344051480293274,Q2906521,Culture.Media.Music,13.0,8997.899467358515,95.0,9.0,175.0,15.625,3.8800163,-10.049421,1767.0,2.803215444087982,Culture,Music
662,2.0,2878338.0,Geneviève Galéa,21.0,0.993317186832428,Q3100637,Culture.Biography.Biography*,107.0,0.0,0.0,14.0,253.0,12.8125,23.0495,14.294507000000001,2415.0,1.986634373664856,Culture,Biography*
663,4.0,2883978.0,Gilles Cohen,12.0,0.9992545843124392,Q3106155,Culture.Biography.Biography*,13.0,26618.89741604623,95.0,9.0,175.0,18.4375,7.9688177,-13.500452,3120.0,3.9970183372497567,Culture,Biography*
664,2.0,2900548.0,Rachel Ward,13.0,1.0000100135803225,Q271948,Culture.Biography.Biography*,239.0,1153.0,97.0,5.0,185.0,12.8125,9.674006,-12.894285,1769.0,2.000020027160645,Culture,Biography*
665,4.0,2954870.0,Nicolas Vaude,25.0,0.9973783493041992,Q3340838,Culture.Biography.Biography*,47.0,5796.076190476189,42.0,13.0,255.0,18.4375,18.780607,7.817250299999999,2695.0,3.989513397216797,Culture,Biography*
666,1.0,2976243.0,Nabeul,18.0,0.9046605229377748,Q867615,Geography.Regions.Africa.Africa*,10.0,0.0,121.0,19.0,114.0,10.0,16.185287,-9.028602000000001,2604.0,0.9046605229377748,Geography,Africa*
667,1.0,3001809.0,Cheick Diabaté,19.0,1.0000100135803225,Q31744,Culture.Biography.Biography*,88.0,0.0,77.0,12.0,193.0,10.0,-21.267157,-16.894776999999998,2993.0,1.0000100135803225,Culture,Biography*
668,1.0,3004240.0,Adrian Mannarino,18.0,0.9995927214622498,Q373522,Culture.Biography.Biography*,10.0,0.0,121.0,19.0,114.0,10.0,7.5625215,-15.434417000000002,2258.0,0.9995927214622498,Culture,Biography*
669,3.0,3010324.0,Robin Campillo,11.0,0.9982553720474244,Q3437047,Culture.Biography.Biography*,172.0,11958.805409424664,126.0,11.0,0.0,15.625,14.720022,-15.160453,3009.0,2.9947661161422734,Culture,Biography*
670,1.0,3015961.0,Hard (série télévisée),4.0,0.9966334104537964,Q3127331,Culture.Media.Television,245.0,0.0,148.0,13.0,0.0,10.0,-9.171569,4.5290637,2329.0,0.9966334104537964,Culture,Television
671,4.0,3017370.0,Alain Casanova,19.0,0.998309314250946,Q128842,Culture.Biography.Biography*,88.0,13191.884797993547,77.0,12.0,193.0,18.4375,16.322714,4.0872564,1972.0,3.993237257003784,Culture,Biography*
672,2.0,3027923.0,Alain Figlarz,25.0,0.9986850023269652,Q2396606,Culture.Biography.Biography*,47.0,0.0,42.0,13.0,255.0,12.8125,1.0542008,15.264567999999999,2194.0,1.9973700046539304,Culture,Biography*
673,1.0,3050677.0,Caroline Proust,6.0,0.9978272914886476,Q522225,Culture.Biography.Biography*,192.0,0.0,192.0,6.0,192.0,10.0,-21.955605,22.037195,4233.0,0.9978272914886476,Culture,Biography*
674,1.0,3053716.0,Sébastien Ogier,10.0,0.9978272914886476,Q368793,Culture.Biography.Biography*,74.0,0.0,134.0,16.0,0.0,10.0,14.226809,-15.698109,2517.0,0.9978272914886476,Culture,Biography*
675,1.0,3084212.0,The Tour Championship,5.0,0.9972950220108032,Q1619413,Culture.Sports,0.0,0.0,129.0,10.0,152.0,10.0,-20.337670000000006,-4.6615853,2772.0,0.9972950220108032,Culture,Sports
