,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
3977,2.0,3163202.0,El Clásico,0.7431780099868774,Q484736,Culture.Sports,3163202.0,6068.0,9.0,7078.0,1.4863560199737549,Culture,Sports
3978,2.0,3166544.0,Schloss Kossenblatt,0.3073680400848389,Q2241914,Culture.Visual_arts.Visual_arts*,3166544.0,0.0,15.0,759.0,0.6147360801696778,Culture,Visual_arts*
3979,5.0,3167891.0,Khumbu-Gletscher,0.9825675487518308,Q1471716,Geography.Geographical,3167891.0,862.8380952380207,1.0,1222.0,0.0,Geography,Geographical
3980,41.0,3169427.0,Vierschanzentournee 2007/08,0.9908843636512756,Q553534,Culture.Sports,3169427.0,688.6587205416223,13.0,0.0,40.6262589097023,Culture,Sports
3981,4.0,3170653.0,Mohammed Nadschibullāh,0.348655104637146,Q207728,History_and_Society.Military_and_warfare,3170653.0,0.45,21.0,2539.0,1.394620418548584,History_and_Society,Military_and_warfare
3982,3.0,3173551.0,Vera-Ellen,0.3140605390071869,Q253934,Culture.Performing_arts,3173551.0,3127.707154186598,8.0,2168.0,0.9421816170215607,Culture,Performing_arts
3983,1.0,3174554.0,Dana Wynter,0.16027602553367615,Q63189,History_and_Society.History,3174554.0,0.0,8.0,741.0,0.16027602553367615,History_and_Society,History
3984,39.0,3175184.0,Vierschanzentournee 2005/06,0.991162657737732,Q324051,Culture.Sports,3175184.0,367.10228555020484,13.0,0.0,38.65534365177155,Culture,Sports
3985,1.0,3175732.0,Carmen Sevilla,0.2120788097381592,Q457322,Culture.Media.Media*,3175732.0,0.0,0.0,1373.0,0.2120788097381592,Culture,Media*
3986,3.0,3176367.0,Tony Cox,0.1968362182378769,Q589797,Culture.Media.Media*,3176367.0,24264.0,6.0,2498.0,0.5905086547136307,Culture,Media*
3987,50.0,3176839.0,Severin Freund,0.9924327731132508,Q62387,Culture.Sports,3176839.0,2737.374969829723,13.0,6755.0,49.621638655662544,Culture,Sports
3988,2.0,3177605.0,Linn Reusse,0.9983615279197692,Q114378,Culture.Biography.Biography*,3177605.0,8846.378315191741,0.0,1353.0,0.0,Culture,Biography*
3989,1.0,3178436.0,Jude Ciccolella,0.9990700483322144,Q733776,Culture.Biography.Biography*,3178436.0,0.0,6.0,1346.0,0.0,Culture,Biography*
3990,1.0,3178683.0,Alison Sudol,0.6076731681823729,Q240830,Culture.Media.Media*,3178683.0,0.0,27.0,9412.0,0.6076731681823729,Culture,Media*
3991,4.0,3179587.0,Karl-Heinz Balzer (Leichtathlet),0.7122421860694885,Q1729808,Culture.Sports,3179587.0,7161.485803289166,24.0,3075.0,2.848968744277954,Culture,Sports
3992,1.0,3179689.0,Micheline Presle,0.3140605390071869,Q446235,History_and_Society.History,3179689.0,0.0,16.0,3156.0,0.3140605390071869,History_and_Society,History
