,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
4597,Q47379760,Culture.Biography.Biography*,1.0,56308434,Dalton_Schultz,enwiki,2.0
4598,Q47379760,Culture.Sports,0.8,56308434,Dalton_Schultz,enwiki,2.0
4599,Q379225,Geography.Regions.Asia.Southeast_Asia,1.0,1757938,Nuon_Chea,enwiki,5.0
4600,Q379225,Culture.Biography.Biography*,1.0,1757938,Nuon_Chea,enwiki,5.0
4601,Q379225,Geography.Regions.Asia.Asia*,1.0,1757938,Nuon_Chea,enwiki,5.0
4602,Q6599332,Culture.Sports,0.86,34338092,List_of_Texas_Longhorns_football_seasons,enwiki,2.0
4603,Q6599332,Geography.Regions.Americas.North_America,0.55,34338092,List_of_Texas_Longhorns_football_seasons,enwiki,2.0
4604,Q18635193,History_and_Society.Politics_and_government,0.99,44359330,2016_United_States_House_of_Representatives_elections,enwiki,9.0
4605,Q18635193,Geography.Regions.Americas.North_America,0.95,44359330,2016_United_States_House_of_Representatives_elections,enwiki,9.0
4606,Q18635193,Culture.Biography.Biography*,0.89,44359330,2016_United_States_House_of_Representatives_elections,enwiki,9.0
4607,Q24915549,Geography.Regions.Asia.South_Asia,1.0,50516548,National_Secular_Conference,enwiki,7.0
4608,Q24915549,Geography.Regions.Asia.Asia*,0.99,50516548,National_Secular_Conference,enwiki,7.0
