,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
4383,Q5354906,History_and_Society.Politics_and_government,0.87,2170488,Elections_in_Taiwan,enwiki,9.0
4384,Q5354906,History_and_Society.Politics_and_government,0.87,47294195,Elections_in_Taiwan,enwiki,9.0
4385,Q5354906,History_and_Society.Politics_and_government,0.87,925495,Elections_in_Taiwan,enwiki,9.0
4386,Q15142699,Culture.Media.Television,1.0,2800689,Pizza_Delivery_(SpongeBob_SquarePants),enwiki,9.0
4387,Q15142699,Culture.Media.Media*,0.99,2800689,Pizza_Delivery_(SpongeBob_SquarePants),enwiki,9.0
4388,Q2373501,Culture.Biography.Biography*,1.0,20358603,Sybil_Jason,enwiki,3.0
4389,Q5224644,Culture.Biography.Biography*,1.0,30277271,Darrell_Hazell,enwiki,2.0
4390,Q5224644,Culture.Sports,0.99,30277271,Darrell_Hazell,enwiki,2.0
4391,Q303495,Culture.Media.Media*,0.98,1161955,Reach_for_the_Sky,enwiki,3.0
4392,Q303495,Culture.Media.Films,0.98,1161955,Reach_for_the_Sky,enwiki,3.0
4393,Q16192221,Culture.Biography.Biography*,1.0,39692887,Ben_Sasse,enwiki,5.0
4394,Q16192221,Geography.Regions.Americas.North_America,0.87,39692887,Ben_Sasse,enwiki,5.0
4395,Q16192221,History_and_Society.Politics_and_government,0.86,39692887,Ben_Sasse,enwiki,5.0
4396,Q6339252,Geography.Regions.Americas.North_America,1.0,2580516,KTVA,enwiki,9.0
4397,Q6339252,Culture.Media.Television,0.89,2580516,KTVA,enwiki,9.0
4398,Q6339252,Culture.Media.Media*,0.83,2580516,KTVA,enwiki,9.0
4399,Q6848426,Culture.Media.Music,1.0,32321390,Mike_Posner_discography,enwiki,3.0
4400,Q6848426,Culture.Media.Media*,1.0,32321390,Mike_Posner_discography,enwiki,3.0
4401,Q1341709,Culture.Sports,1.0,27150054,"Dudu_(footballer,_born_1992)",enwiki,11.0
4402,Q1341709,Culture.Biography.Biography*,0.99,27150054,"Dudu_(footballer,_born_1992)",enwiki,11.0
4403,Q1341709,Geography.Regions.Americas.South_America,0.99,27150054,"Dudu_(footballer,_born_1992)",enwiki,11.0
4404,Q12858923,Geography.Regions.Europe.Europe*,0.55,17130038,List_of_ports_in_England_and_Wales,enwiki,11.0
4405,Q56543984,Geography.Regions.Asia.Southeast_Asia,1.0,58434056,Zahra_Khanum,enwiki,6.0
4406,Q56543984,Culture.Biography.Biography*,0.99,58434056,Zahra_Khanum,enwiki,6.0
4407,Q56543984,Geography.Regions.Asia.Asia*,0.98,58434056,Zahra_Khanum,enwiki,6.0
4408,Q56543984,Culture.Visual_arts.Fashion,0.85,58434056,Zahra_Khanum,enwiki,6.0
4409,Q56543984,Culture.Biography.Women,0.8,58434056,Zahra_Khanum,enwiki,6.0
4410,Q56543984,Culture.Visual_arts.Visual_arts*,0.64,58434056,Zahra_Khanum,enwiki,6.0
4411,Q542848,Culture.Biography.Biography*,0.99,606142,Marti_Webb,enwiki,3.0
4412,Q542848,Culture.Biography.Women,0.59,606142,Marti_Webb,enwiki,3.0
4413,Q542848,Culture.Media.Media*,0.5,606142,Marti_Webb,enwiki,3.0
4414,Q1572700,Culture.Media.Media*,0.95,1364070,The_Fortune_Cookie,enwiki,2.0
4415,Q1572700,Culture.Media.Films,0.92,1364070,The_Fortune_Cookie,enwiki,2.0
4416,Q28445678,Culture.Sports,1.0,52854134,2019_Africa_Cup_of_Nations_qualification_Group_E,enwiki,11.0
4417,Q15149,Culture.Biography.Biography*,1.0,9158864,Óscar_Tabárez,enwiki,11.0
4418,Q15149,Culture.Sports,0.92,9158864,Óscar_Tabárez,enwiki,11.0
4419,Q15149,Geography.Regions.Americas.South_America,0.8,9158864,Óscar_Tabárez,enwiki,11.0
4420,Q4412001,Geography.Regions.Asia.Asia*,0.96,25426162,International_North–South_Transport_Corridor,enwiki,6.0
4421,Q7693798,Culture.Biography.Biography*,1.0,4514028,Ted_Thompson,enwiki,2.0
4422,Q7693798,Culture.Sports,0.97,4514028,Ted_Thompson,enwiki,2.0
4423,Q3869208,Culture.Biography.Biography*,1.0,28305486,Mário_Rui,enwiki,11.0
4424,Q3869208,Culture.Sports,0.93,28305486,Mário_Rui,enwiki,11.0
4425,Q3869208,Geography.Regions.Europe.Southern_Europe,0.62,28305486,Mário_Rui,enwiki,11.0
4426,Q3180995,Culture.Biography.Biography*,1.0,15532276,John_Barclay_(rugby_union),enwiki,0.0
4427,Q3180995,Culture.Sports,0.67,15532276,John_Barclay_(rugby_union),enwiki,0.0
4428,Q6108336,Culture.Biography.Biography*,0.99,6465332,JJ_Ramberg,enwiki,9.0
4429,Q6108336,Culture.Biography.Women,0.75,6465332,JJ_Ramberg,enwiki,9.0
4430,Q290646,Culture.Biography.Biography*,1.0,27294272,Damian_Collins,enwiki,10.0
4431,Q290646,History_and_Society.Politics_and_government,0.95,27294272,Damian_Collins,enwiki,10.0
4432,Q290646,Geography.Regions.Europe.Europe*,0.89,27294272,Damian_Collins,enwiki,10.0
4433,Q290646,Geography.Regions.Europe.Northern_Europe,0.88,27294272,Damian_Collins,enwiki,10.0
