,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db
6593,Q893308,Geography.Regions.Europe.Europe*,0.4883575310707092,1825495,AFC Eskilstuna,6,enwiki
6594,Q893308,Geography.Regions.Europe.Northern_Europe,0.47739468717575073,1825495,AFC Eskilstuna,6,enwiki
6595,Q267722,STEM.STEM*,0.9956784844398499,157069,image map,8,enwiki
6596,Q267722,Culture.Media.Software,0.9450047016143799,157069,image map,8,enwiki
6597,Q267722,STEM.Technology,0.9263137578964233,157069,image map,8,enwiki
6598,Q267722,Culture.Internet_culture,0.8840492963790894,157069,image map,8,enwiki
6599,Q267722,STEM.Computing,0.8706072568893433,157069,image map,8,enwiki
6600,Q3802597,Culture.Biography.Biography*,0.9942797422409058,36803775,Ismaily Gonçalves dos Santos,6,enwiki
6601,Q3802597,Culture.Sports,0.9911626577377319,36803775,Ismaily Gonçalves dos Santos,6,enwiki
6602,Q5928,Culture.Biography.Biography*,0.9988405108451843,16095,Jimi Hendrix,12,enwiki
6603,Q5928,Culture.Media.Media*,0.754925012588501,16095,Jimi Hendrix,12,enwiki
6604,Q5928,Culture.Media.Music,0.6370407938957214,16095,Jimi Hendrix,12,enwiki
6605,Q5928,Geography.Regions.Americas.North_America,0.0068218579292297354,16095,Jimi Hendrix,12,enwiki
6606,Q7437201,Culture.Biography.Biography*,1.0000100135803223,37932785,Scott Satterfield,2,enwiki
6607,Q7437201,Culture.Sports,1.0000100135803223,37932785,Scott Satterfield,2,enwiki
6608,Q185777,Culture.Biography.Biography*,0.9985549449920654,1051,Alexis Carrel,5,enwiki
6609,Q185777,STEM.STEM*,0.7981967926025391,1051,Alexis Carrel,5,enwiki
6610,Q185777,STEM.Medicine_&_Health,0.7431780099868774,1051,Alexis Carrel,5,enwiki
6611,Q185777,Geography.Regions.Europe.Europe*,0.16442059183120727,1051,Alexis Carrel,5,enwiki
6612,Q185777,Geography.Regions.Europe.Western_Europe,0.09919838809967041,1051,Alexis Carrel,5,enwiki
6613,Q29708,Culture.Sports,0.9973783493041992,22083267,Graham Zusi,11,enwiki
6614,Q29708,Culture.Biography.Biography*,0.994455099105835,22083267,Graham Zusi,11,enwiki
6615,Q57394136,Culture.Biography.Biography*,1.0000100135803223,58733065,"Taiwanese referendum, 2018",9,enwiki
6616,Q57394136,History_and_Society.Society,1.0000100135803223,58733065,"Taiwanese referendum, 2018",9,enwiki
6617,Q57394136,History_and_Society.Politics_and_government,0.9466066956520081,58733065,"Taiwanese referendum, 2018",9,enwiki
6618,Q57394136,Geography.Regions.Asia.East_Asia,0.49327974224090576,58733065,"Taiwanese referendum, 2018",9,enwiki
6619,Q57394136,Geography.Regions.Asia.Asia*,0.4904325475692749,58733065,"Taiwanese referendum, 2018",9,enwiki
6620,Q4613543,Culture.Sports,0.994455099105835,23857845,2009 Cincinnati Bearcats football team,2,enwiki
6621,Q4613543,Geography.Regions.Americas.North_America,0.48310362005233765,23857845,2009 Cincinnati Bearcats football team,2,enwiki
6622,Q55315014,Culture.Biography.Biography*,0.9911626577377319,57804443,Rashad Muhammed,6,enwiki
6623,Q55315014,Culture.Sports,0.9481645226478577,57804443,Rashad Muhammed,6,enwiki
6624,Q55315014,Geography.Regions.Europe.Europe*,0.25966064834594726,57804443,Rashad Muhammed,6,enwiki
6625,Q16997349,Culture.Sports,0.9149109721183777,28365607,Islanders–Rangers rivalry,2,enwiki
6626,Q16997349,Geography.Regions.Americas.North_America,0.3301530351638794,28365607,Islanders–Rangers rivalry,2,enwiki
6627,Q6590217,Compilation.List_Disambig,1.0,33465401,list of Michigan State Spartans football seasons,2,enwiki
