,Unnamed: 0,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db,cluster,degree
10199,10199,Q212614,Culture.Sports,0.991162657737732,35023585,Tonny Vilhena,11,enwiki,1,4.0
10200,10200,Q10845,Culture.Biography.Biography*,0.9937201142311096,2855071,Kelly Cates,11,enwiki,1,2.0
10201,10201,Q10845,Culture.Biography.Women,0.5312193632125854,2855071,Kelly Cates,11,enwiki,1,2.0
10202,10202,Q18712465,Culture.Sports,0.6513648629188538,44723483,Northern Ireland Football League,11,enwiki,1,5.0
10203,10203,Q18712465,Geography.Regions.Europe.Northern_Europe,0.4895974268913269,44723483,Northern Ireland Football League,11,enwiki,1,5.0
10204,10204,Q18712465,Geography.Regions.Europe.Europe*,0.4893015494346618,44723483,Northern Ireland Football League,11,enwiki,1,5.0
10205,10205,Q159907,Culture.Biography.Biography*,0.9967369437217712,238341,David Hockney,11,enwiki,1,12.0
10206,10206,Q159907,Culture.Visual_arts.Visual_arts*,0.7606606483459473,238341,David Hockney,11,enwiki,1,12.0
10207,10207,Q6596776,Compilation.List_Disambig,1.0,28637345,list of Serie A broadcasters,19,enwiki,0,4.0
10208,10208,Q6596776,Culture.Sports,0.8558611869812012,28637345,list of Serie A broadcasters,19,enwiki,0,4.0
