,Unnamed: 0,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db,cluster,degree
10426,10426,Q7342941,Geography.Regions.Oceania,0.4985221495628357,9954303,Robert Clark,29,enwiki,6,5.0
10427,10427,Q2692116,STEM.STEM*,0.9836069941520692,7900613,quake,17,enwiki,3,4.0
10428,10428,Q2692116,STEM.Space,0.6791887283325195,7900613,quake,17,enwiki,3,4.0
10429,10429,Q2692116,STEM.Earth_and_environment,0.6654205918312073,7900613,quake,17,enwiki,3,4.0
10430,10430,Q181512,Culture.Sports,1.0000100135803225,698391,Vivian Woodward,11,enwiki,1,4.0
10431,10431,Q181512,Culture.Biography.Biography*,0.9960646033287048,698391,Vivian Woodward,11,enwiki,1,4.0
10432,10432,Q5683107,Culture.Media.Films,0.998977780342102,16796753,Havana Widows,6,enwiki,5,7.0
10433,10433,Q5683107,Culture.Media.Media*,0.99745911359787,16796753,Havana Widows,6,enwiki,5,7.0
10434,10434,Q4380971,History_and_Society.Military_and_warfare,0.9963027834892272,10247977,Mark 14 torpedo,24,enwiki,3,3.0
10435,10435,Q6662391,Culture.Biography.Biography*,0.9986850023269652,23699941,Lloyd Dorfman,11,enwiki,1,1.0
10436,10436,Q6662391,History_and_Society.Business_and_economics,0.6926519870758057,23699941,Lloyd Dorfman,11,enwiki,1,1.0
10437,10437,Q3177768,History_and_Society.Society,0.9996055364608764,2029407,Jet,2,enwiki,4,2.0
10438,10438,Q3177768,Culture.Biography.Biography*,0.9836069941520692,2029407,Jet,2,enwiki,4,2.0
10439,10439,Q3177768,Culture.Media.Entertainment,0.9814634323120116,2029407,Jet,2,enwiki,4,2.0
10440,10440,Q3177768,Culture.Literature,0.9770326614379884,2029407,Jet,2,enwiki,4,2.0
10441,10441,Q3177768,Culture.Media.Media*,0.9688661694526672,2029407,Jet,2,enwiki,4,2.0
10442,10442,Q4865418,Culture.Biography.Biography*,0.9958112239837646,3252851,Bartlett Sher,6,enwiki,5,4.0
10443,10443,Q4865418,Culture.Performing_arts,0.6926519870758057,3252851,Bartlett Sher,6,enwiki,5,4.0
10444,10444,Q645971,History_and_Society.Military_and_warfare,0.9615437984466552,4098911,Sonderaktion 1005,15,enwiki,3,5.0
10445,10445,Q2779010,Culture.Media.Media*,0.9951046109199524,399435,The Slipper and the Rose,2,enwiki,4,5.0
10446,10446,Q2779010,Culture.Media.Films,0.9916942119598388,399435,The Slipper and the Rose,2,enwiki,4,5.0
10447,10447,Q965768,Culture.Biography.Biography*,1.0000100135803225,408803,Pete Stark,17,enwiki,15,1.0
10448,10448,Q965768,History_and_Society.Politics_and_government,0.9991269707679749,408803,Pete Stark,17,enwiki,15,1.0
10449,10449,Q965768,Geography.Regions.Americas.North_America,0.4669093360900879,408803,Pete Stark,17,enwiki,15,1.0
10450,10450,Q37582,STEM.STEM*,0.9124462008476256,611087,Bedlington Terrier,4,enwiki,4,5.0
10451,10451,Q37582,STEM.Biology,0.9073222279548644,611087,Bedlington Terrier,4,enwiki,4,5.0
10452,10452,Q1032502,History_and_Society.Politics_and_government,0.996185541152954,1827729,North East Cambridgeshire,1,enwiki,2,2.0
10453,10453,Q275383,Culture.Biography.Biography*,0.9990094900131226,1379249,Phyllis Calvert,2,enwiki,7,1.0
10454,10454,Q275383,Culture.Biography.Women,0.7371681928634644,1379249,Phyllis Calvert,2,enwiki,7,1.0
10455,10455,Q134044,Culture.Sports,0.9964163899421692,5148223,96th Grey Cup,19,enwiki,0,30.0
10456,10456,Q134044,Geography.Regions.Americas.North_America,0.4904325475692749,5148223,96th Grey Cup,19,enwiki,0,30.0
10457,10457,Q213041,Culture.Biography.Biography*,0.9990094900131226,1360727,Morten Gamst Pedersen,11,enwiki,1,1.0
10458,10458,Q213041,Culture.Sports,0.9886782765388488,1360727,Morten Gamst Pedersen,11,enwiki,1,1.0
10459,10459,Q213041,Geography.Regions.Europe.Northern_Europe,0.4973093142509461,1360727,Morten Gamst Pedersen,11,enwiki,1,1.0
10460,10460,Q213041,Geography.Regions.Europe.Europe*,0.493098961353302,1360727,Morten Gamst Pedersen,11,enwiki,1,1.0
10461,10461,Q18533,Culture.Sports,0.9362950325012208,379995,own goal,11,enwiki,1,21.0
10462,10462,Q12126317,Culture.Media.Films,0.998142421245575,19476185,Mr. Sardonicus,2,enwiki,7,5.0
10463,10463,Q12126317,Culture.Media.Media*,0.9963027834892272,19476185,Mr. Sardonicus,2,enwiki,7,5.0
10464,10464,Q6810779,Culture.Biography.Biography*,0.990301549434662,7531927,Mel Martin,4,enwiki,4,1.0
10465,10465,Q26703243,Culture.Biography.Biography*,1.0000100135803225,51241207,Jane Hume,29,enwiki,6,2.0
10466,10466,Q26703243,Geography.Regions.Oceania,0.4990100135803223,51241207,Jane Hume,29,enwiki,6,2.0
10467,10467,Q6408714,Culture.Sports,1.0000100135803225,13891317,Kim Helton,19,enwiki,0,2.0
10468,10468,Q6408714,Culture.Biography.Biography*,0.9990989565849304,13891317,Kim Helton,19,enwiki,0,2.0
10469,10469,Q6408714,Geography.Regions.Americas.North_America,0.3548611869812012,13891317,Kim Helton,19,enwiki,0,2.0
10470,10470,Q1475679,History_and_Society.Military_and_warfare,0.9706977605819702,543691,Battle of Tassafaronga,24,enwiki,3,13.0
10471,10471,Q1475679,Geography.Regions.Asia.East_Asia,0.6076731681823729,543691,Battle of Tassafaronga,24,enwiki,3,13.0
10472,10472,Q1475679,Geography.Regions.Asia.Asia*,0.538993239402771,543691,Battle of Tassafaronga,24,enwiki,3,13.0
10473,10473,Q15303418,Culture.Sports,0.9863731861114502,39006047,Gerso Fernandes,0,enwiki,1,5.0
10474,10474,Q15303418,Culture.Biography.Biography*,0.9566442370414734,39006047,Gerso Fernandes,0,enwiki,1,5.0
10475,10475,Q2743961,Culture.Media.Music,0.9615437984466552,4640643,The Jimi Hendrix Experience,23,enwiki,7,12.0
10476,10476,Q2743961,Culture.Media.Media*,0.94500470161438,4640643,The Jimi Hendrix Experience,23,enwiki,7,12.0
10477,10477,Q82360,Culture.Biography.Biography*,0.9986850023269652,2911627,Robert Armstrong,6,enwiki,5,3.0
10478,10478,Q82360,Geography.Regions.Americas.North_America,0.006821857929229736,2911627,Robert Armstrong,6,enwiki,5,3.0
10479,10479,Q3560127,Culture.Biography.Biography*,0.9770326614379884,43729983,Yevhenia Tymoshenko,15,enwiki,3,1.0
10480,10480,Q3560127,Culture.Biography.Women,0.59267657995224,43729983,Yevhenia Tymoshenko,15,enwiki,3,1.0
10481,10481,Q3560127,Geography.Regions.Europe.Europe*,0.09167657995224,43729983,Yevhenia Tymoshenko,15,enwiki,3,1.0
10482,10482,Q3560127,Geography.Regions.Europe.Eastern_Europe,0.06118653917312623,43729983,Yevhenia Tymoshenko,15,enwiki,3,1.0
10483,10483,Q7320557,Culture.Visual_arts.Visual_arts*,1.0000100135803225,14297903,Rhinebeck Village Historic District,10,enwiki,10,6.0
10484,10484,Q7320557,Culture.Visual_arts.Architecture,1.0000100135803225,14297903,Rhinebeck Village Historic District,10,enwiki,10,6.0
10485,10485,Q7320557,Geography.Regions.Americas.North_America,0.9937201142311096,14297903,Rhinebeck Village Historic District,10,enwiki,10,6.0
10486,10486,Q7909083,Culture.Biography.Biography*,1.0000100135803225,37072819,Val Demings,17,enwiki,15,3.0
10487,10487,Q7909083,History_and_Society.Politics_and_government,0.997894287109375,37072819,Val Demings,17,enwiki,15,3.0
10488,10488,Q7909083,Culture.Biography.Women,0.7122421860694885,37072819,Val Demings,17,enwiki,15,3.0
10489,10489,Q7909083,Geography.Regions.Americas.North_America,0.459371196269989,37072819,Val Demings,17,enwiki,15,3.0
10490,10490,Q221344,STEM.STEM*,0.9992306232452391,9093,Mosquito,2,enwiki,7,5.0
10491,10491,Q221344,STEM.Engineering,0.9992059469223022,9093,Mosquito,2,enwiki,7,5.0
10492,10492,Q221344,History_and_Society.Transportation,0.9982553720474244,9093,Mosquito,2,enwiki,7,5.0
10493,10493,Q221344,History_and_Society.Military_and_warfare,0.8596737384796143,9093,Mosquito,2,enwiki,7,5.0
10494,10494,Q1921065,Compilation.List_Disambig,1.0,79459,Mephitis,4,enwiki,4,1.0
10495,10495,Q1011,Geography.Geographical,0.9591643214225768,18962637,Cape Verde,26,enwiki,8,5.0
10496,10496,Q1341283,Culture.Media.Media*,0.9344051480293274,1904897,special edition,15,enwiki,3,1.0
10497,10497,Q1341283,STEM.STEM*,0.7826725244522095,1904897,special edition,15,enwiki,3,1.0
10498,10498,Q1341283,Culture.Visual_arts.Visual_arts*,0.6654205918312073,1904897,special edition,15,enwiki,3,1.0
10499,10499,Q1341283,STEM.Computing,0.5234303474426271,1904897,special edition,15,enwiki,3,1.0
10500,10500,Q360,Culture.Biography.Biography*,0.997894287109375,26033941,Julian Assange,3,enwiki,2,11.0
10501,10501,Q19681120,Culture.Sports,0.9591643214225768,49862455,2017 Six Nations Championship,12,enwiki,1,22.0
10502,10502,Q19681120,Geography.Regions.Europe.Northern_Europe,0.4714247455596924,49862455,2017 Six Nations Championship,12,enwiki,1,22.0
10503,10503,Q19681120,Geography.Regions.Europe.Europe*,0.4334051480293274,49862455,2017 Six Nations Championship,12,enwiki,1,22.0
10504,10504,Q6779013,Culture.Biography.Biography*,0.9951046109199524,36811753,Mary Barra,21,enwiki,2,10.0
10505,10505,Q6779013,History_and_Society.Business_and_economics,0.8774868249893188,36811753,Mary Barra,21,enwiki,2,10.0
10506,10506,Q6779013,Culture.Biography.Women,0.6992644667625427,36811753,Mary Barra,21,enwiki,2,10.0
10507,10507,Q6779013,Geography.Regions.Americas.North_America,0.14323513412475586,36811753,Mary Barra,21,enwiki,2,10.0
10508,10508,Q113814,Culture.Biography.Biography*,0.9993638396263124,2091605,Larry Semon,4,enwiki,4,4.0
10509,10509,Q7813019,Culture.Food_and_drink,0.8175845146179199,1790571,tofurkey,6,enwiki,5,11.0
10510,10510,Q19319791,Culture.Sports,0.9942797422409058,56108539,Alejandro Romero Gamarra,0,enwiki,1,4.0
10511,10511,Q19319791,Culture.Biography.Biography*,0.9783946871757508,56108539,Alejandro Romero Gamarra,0,enwiki,1,4.0
10512,10512,Q19319791,Geography.Regions.Americas.South_America,0.04574816131591797,56108539,Alejandro Romero Gamarra,0,enwiki,1,4.0
10513,10513,Q57242200,Culture.Biography.Biography*,0.99745911359787,58689085,Parris Campbell,19,enwiki,0,1.0
10514,10514,Q57242200,Culture.Sports,0.8596737384796143,58689085,Parris Campbell,19,enwiki,0,1.0
10515,10515,Q6350585,Culture.Biography.Biography*,0.9931061863899232,23964655,Kalani Sitake,19,enwiki,0,1.0
10516,10516,Q6350585,Culture.Sports,0.967909336090088,23964655,Kalani Sitake,19,enwiki,0,1.0
10517,10517,Q6350585,Geography.Regions.Oceania,0.12146936559677125,23964655,Kalani Sitake,19,enwiki,0,1.0
10518,10518,Q332833,Culture.Sports,0.946606695652008,20811169,Gold Eagles,11,enwiki,1,1.0
10519,10519,Q332833,Geography.Regions.Americas.South_America,0.49675815010070795,20811169,Gold Eagles,11,enwiki,1,1.0
10520,10520,Q3226438,Culture.Media.Media*,0.99745911359787,15394431,The Return of Doctor X,6,enwiki,5,3.0
10521,10521,Q3226438,Culture.Media.Films,0.9924327731132508,15394431,The Return of Doctor X,6,enwiki,5,3.0
10522,10522,Q2413435,Geography.Regions.Americas.North_America,0.9416641592979432,292425,Central Coast,3,enwiki,2,1.0
10523,10523,Q2413435,Geography.Geographical,0.5544804334640503,292425,Central Coast,3,enwiki,2,1.0
10524,10524,Q3724649,Culture.Biography.Biography*,0.9886782765388488,39309589,Emma Morano,15,enwiki,3,1.0
10525,10525,Q3724649,Culture.Biography.Women,0.6001983880996704,39309589,Emma Morano,15,enwiki,3,1.0
10526,10526,Q3724649,Geography.Regions.Europe.Europe*,0.06886266374588013,39309589,Emma Morano,15,enwiki,3,1.0
10527,10527,Q268953,Culture.Biography.Biography*,0.9926641583442688,4341641,Joe Lewis,11,enwiki,1,1.0
10528,10528,Q268953,History_and_Society.Business_and_economics,0.8031837940216064,4341641,Joe Lewis,11,enwiki,1,1.0
10529,10529,Q6847384,Culture.Sports,0.9983615279197692,35633699,Mike James,22,enwiki,21,2.0
10530,10530,Q6847384,Culture.Biography.Biography*,0.991162657737732,35633699,Mike James,22,enwiki,21,2.0
10531,10531,Q6847384,Geography.Regions.Americas.North_America,0.037993239402771,35633699,Mike James,22,enwiki,21,2.0
10532,10532,Q1059152,Culture.Sports,0.9984612464904784,4274271,Brian McCann,21,enwiki,2,4.0
10533,10533,Q1059152,Culture.Biography.Biography*,0.9984121918678284,4274271,Brian McCann,21,enwiki,2,4.0
10534,10534,Q1059152,Geography.Regions.Americas.North_America,0.053480433464050285,4274271,Brian McCann,21,enwiki,2,4.0
10535,10535,Q19840257,Culture.Sports,0.8221991658210754,46436727,Sunwolves,12,enwiki,1,5.0
10536,10536,Q19840257,Geography.Regions.Asia.East_Asia,0.4569222798347473,46436727,Sunwolves,12,enwiki,1,5.0
10537,10537,Q19840257,Geography.Regions.Asia.Asia*,0.4209318628311157,46436727,Sunwolves,12,enwiki,1,5.0
10538,10538,Q3493012,Culture.Biography.Biography*,0.9937201142311096,29685199,Spencer Bell,4,enwiki,4,2.0
10539,10539,Q3493012,Geography.Regions.Americas.North_America,0.21124218606948847,29685199,Spencer Bell,4,enwiki,4,2.0
10540,10540,Q55614905,Culture.Biography.Biography*,0.9859463572502136,57064787,James Wiseman,9,enwiki,12,2.0
10541,10541,Q55614905,Culture.Sports,0.9284188151359558,57064787,James Wiseman,9,enwiki,12,2.0
10542,10542,Q58009209,Culture.Biography.Biography*,0.9963027834892272,58897899,Kyle Shurmur,19,enwiki,0,5.0
10543,10543,Q58009209,Culture.Sports,0.996185541152954,58897899,Kyle Shurmur,19,enwiki,0,5.0
10544,10544,Q16213990,Culture.Biography.Biography*,0.9996640086174012,26258519,Jill Hennessy,29,enwiki,6,5.0
10545,10545,Q16213990,Geography.Regions.Oceania,0.4982059469223023,26258519,Jill Hennessy,29,enwiki,6,5.0
10546,10546,Q3007115,Culture.Biography.Biography*,0.9992778301239014,6084555,Cullen Moss,4,enwiki,4,1.0
10547,10547,Q312039,Culture.Biography.Biography*,0.9905974268913268,3353783,Curtis Davies,0,enwiki,1,7.0
10548,10548,Q312039,Culture.Sports,0.9886782765388488,3353783,Curtis Davies,0,enwiki,1,7.0
10549,10549,Q312039,Geography.Regions.Europe.Europe*,0.24217800998687744,3353783,Curtis Davies,0,enwiki,1,7.0
10550,10550,Q312039,Geography.Regions.Europe.Northern_Europe,0.21760438585281366,3353783,Curtis Davies,0,enwiki,1,7.0
10551,10551,Q6623391,Compilation.List_Disambig,1.0,14909325,list of holiday parades,6,enwiki,5,14.0
10552,10552,Q15238514,History_and_Society.Education,0.7057950496673584,2330443,King Edward VII and Queen Mary School,1,enwiki,2,1.0
10553,10553,Q15238514,Geography.Regions.Europe.Northern_Europe,0.6513648629188538,2330443,King Edward VII and Queen Mary School,1,enwiki,2,1.0
10554,10554,Q15238514,Geography.Regions.Europe.Europe*,0.5000100135803223,2330443,King Edward VII and Queen Mary School,1,enwiki,2,1.0
10555,10555,Q7744391,Culture.Media.Films,0.9939124584197998,15559251,The Killing of an Egg,28,enwiki,2,1.0
10556,10556,Q7744391,Culture.Media.Media*,0.9830951094627379,15559251,The Killing of an Egg,28,enwiki,2,1.0
10557,10557,Q21621831,Culture.Biography.Biography*,0.9965265989303588,48527133,Jourdan Lewis,19,enwiki,0,4.0
10558,10558,Q21621831,Culture.Sports,0.9859463572502136,48527133,Jourdan Lewis,19,enwiki,0,4.0
