,Main_Topics,Higher_Weighted_Article
0,Media* (0.15) / Music (0.09) / Television (0.04) ,Saison 2 de Danse avec les stars (277)
1,Media* (0.14) / Television (0.04) / Literature (0.03) ,Philippe Gildas (2070)
2,Sports (0.23) / Media* (0.01) / Society (0.01) ,Ligue Europa 2017-2018 (2095)
3,Media* (0.15) / Television (0.06) / Literature (0.06) ,Les Nouvelles Aventures de Sabrina (884)
4,Media* (0.09) / Films (0.04) / Philosophy_and_religion (0.02) ,Argo (film) (262)
5,Media* (0.1) / Films (0.04) / Visual_arts* (0.02) ,"Van Gogh (film, 1991) (1158)"
6,Sports (0.23) / Business_and_economics (0.02) / STEM* (0.01) ,Leicester City Football Club (678)
7,Media* (0.14) / Films (0.08) / Literature (0.07) ,Les Valeurs de la famille Addams (379)
8,Politics_and_government (0.08) / History (0.07) / Society (0.04) ,Franc-maçonnerie (160)
9,Sports (0.21) / Media* (0.02) / Business_and_economics (0.01) ,Rugby club toulonnais (262)
10,Sports (0.21) / Media* (0.05) / Television (0.03) ,Championnat du monde de Formule 1 2017 (665)
11,Politics_and_government (0.09) / Philosophy_and_religion (0.06) / History (0.04) ,Négation de la Shoah (102)
12,Politics_and_government (0.14) / Sports (0.01) / History (0.01) ,Gouvernement Édouard Philippe (2) (1525)
13,Media* (0.1) / Music (0.09) / Military_and_warfare (0.06) ,Liste des chansons écrites par Pierre Billon (52)
14,Media* (0.12) / History (0.05) / Films (0.04) ,Boulevard du crépuscule (157)
15,Politics_and_government (0.23) / Military_and_warfare (0.09) / History (0.03) ,Mouvement démocratique brésilien (560)
16,Politics_and_government (0.09) / STEM* (0.06) / Engineering (0.05) ,Vol Lion Air 610 (53)
17,Media* (0.15) / Films (0.12) / Literature (0.07) ,M (James Bond) (429)
18,Media* (0.13) / Films (0.04) / Television (0.03) ,Disco (film) (26)
19,Media* (0.2) / Music (0.17) / Films (0.03) ,Innuendo (album) (356)
20,Sports (0.23) / Society (0.02) / STEM* (0.01) ,Richard Gasquet (919)
21,Linguistics (0.02) / STEM* (0.06) / Media* (0.05) ,Irlandais (15)
22,Media* (0.07) / Politics_and_government (0.06) / Television (0.01) ,Le Média (21)
23,Media* (0.08) / Films (0.04) / Politics_and_government (0.03) ,Les Voleurs (75)
24,Politics_and_government (0.07) / Philosophy_and_religion (0.03) / Media* (0.04) ,Terrorisme en France (53)
25,Sports (0.23) / STEM* (0.03) / Media* (0.03) ,Sébastien Ogier (38)
