,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
3010,Alan Jay Lerner,3010,10,8,87924.25524925708,Q961893
4887,British Army,4887,26,27,1071247.477990389,Q222595
5285,STS-51-F,5285,1,26,0.0,Q827094
6984,Colin Powell,6984,11,25,914286.8786710359,Q150851
7279,"Chapter 11, Title 11, United States Code",7279,4,33,18575.0,Q1062835
11982,Gemini 10,11982,11,26,354.2045702861319,Q752799
13075,Gosford,13075,10,3,12027.223751512785,Q605113
13411,Transport in Hong Kong,13411,3,24,9291.0,Q1073811
13743,Harry Connick Jr.,13743,7,30,368482.4080056193,Q313755
14380,Helium-3,14380,3,22,0.0,Q533498
15531,Isaac Stern,15531,3,8,13934.0,Q311317
16207,Joseph Gurney Cannon,16207,2,1,0.0,Q984248
16227,Jerome Kern,16227,7,8,26159.38252966751,Q313270
16380,James Tobin,16380,6,25,8453.257126163651,Q211776
17878,Laser science,17878,7,16,4647.075,Q4252992
17970,Leon M. Lederman,17970,7,16,9291.0,Q192695
18964,Madagascar,18964,23,37,489223.4070322855,Q1019
19035,Mormon (word),19035,1,43,0.0,Q17007591
20108,Mick Doohan,20108,3,35,2318.0,Q436025
20861,Cavity magnetron,20861,2,22,0.0,Q194154
21344,Geography of New Caledonia,21344,1,37,0.0,Q3098269
21649,New Mexico,21649,15,26,613073.68454047,Q1522
23269,Physicist,23269,5,22,36122.68371703627,Q169470
25190,Politics of Qatar,25190,2,37,0.0,Q1155440
25195,Foreign relations of Qatar,25195,2,37,0.0,Q5468532
25236,Quadrupedalism,25236,3,37,9290.0,Q21907045
25740,Robert E. Lee,25740,7,21,111089.0,Q165557
25901,Roberto Clemente,25901,18,30,179073.01231644768,Q684020
26479,Richie Benaud,26479,1,18,0.0,Q2739019
27013,Swedish Academy,27013,6,16,13935.0,Q207360
28226,Show business,28226,1,40,0.0,Q625568
28977,Salute,28977,1,0,0.0,Q858893
30592,Partial Nuclear Test Ban Treaty,30592,3,25,9291.0,Q278960
31918,University of Rochester,31918,7,16,20233.113862187638,Q149990
37125,Australian Security Intelligence Organisation,37125,12,11,519965.3456553561,Q782740
37483,Womyn,37483,1,21,0.0,Q3569775
38326,United Nations Interim Administration Mission in Kosovo,38326,3,37,9291.0,Q504557
38948,Goldie,38948,6,15,340818.25,Q507845
39040,Ernest Lawrence,39040,8,22,12139.208315507962,Q169577
48257,Fredric Brown,48257,1,0,0.0,Q363227
48756,Battle of Lesnaya,48756,1,4,0.0,Q166015
48757,Great Northern War,48757,2,4,4646.0,Q151616
52502,Nobel Prize in Physiology or Medicine,52502,26,16,293949.4536591861,Q80061
53539,Soyuz programme,53539,34,26,17340.626873173234,Q207329
54181,Passed ball,54181,3,30,5207.2492862216895,Q859991
54596,Charles Macintosh,54596,2,27,13932.0,Q683522
60579,"Crystal River, Florida",60579,5,19,170.7282111462968,Q994967
62440,The Sting,62440,3,30,71082.57089285558,Q62665
65791,Shenzhou (spacecraft),65791,6,26,715.8109527960873,Q1138653
67765,David Ben-Gurion,67765,4,8,99836.05819611163,Q37610
70884,Arizona Fall League,70884,5,6,30173.093782988177,Q3240330
71082,"Washington County, Utah",71082,3,43,4646.0,Q27240
72004,"Bay County, Florida",72004,44,19,6856.251697026629,Q488865
72011,"Calhoun County, Florida",72011,39,19,1917.9514088578621,Q174913
72015,"Citrus County, Florida",72015,29,19,4329.187027347116,Q488821
72119,Salisbury,72119,4,11,5725.925517132905,Q160642
72357,"Escambia County, Florida",72357,42,19,3842.093832864438,Q156643
72362,"Franklin County, Florida",72362,49,19,10062.7050379736,Q488813
72364,"Gadsden County, Florida",72364,39,19,6840.271027227827,Q501848
72369,"Gulf County, Florida",72369,46,19,5964.413666374807,Q488461
72385,"Jackson County, Florida",72385,41,19,4094.7467138730594,Q488537
73276,University of Waterloo,73276,6,16,5.641305916305917,Q1049470
73612,"Leon County, Florida",73612,41,19,1528.1205930144122,Q488576
73632,"Okaloosa County, Florida",73632,41,19,6800.654638848472,Q494476
74338,Foster Hewitt,74338,1,33,0.0,Q5473707
74397,Massive Attack,74397,5,15,982.8708854061875,Q357418
74612,Chorzów,74612,5,13,24604.778585224194,Q104302
74651,"Santa Rosa County, Florida",74651,41,19,3321.0060669112327,Q494500
75111,"Taylor County, Florida",75111,30,19,7442.881714250946,Q503064
75116,"Wakulla County, Florida",75116,51,19,146083.32219749605,Q505417
75118,"Walton County, Florida",75118,44,19,6148.4979279067975,Q503455
75473,Ricinus,75473,2,44,0.0,Q155867
80678,Jeeves,80678,3,8,0.0,Q521812
81512,Bertie Wooster,81512,3,8,0.0,Q828530
82792,Susan Barrantes,82792,4,0,260.0057790714107,Q4165785
83212,Aude,83212,4,19,13932.5,Q3207
83312,Sting (musician),83312,6,7,130445.74452240857,Q483203
87021,Don Bradman,87021,16,18,68144.99832655594,Q313591
87329,Rocket launch,87329,1,26,0.0,Q797476
88383,Battle of Valcour Island,88383,4,0,218897.73716037208,Q934626
88499,Matt Stairs,88499,2,6,0.0,Q3109345
89272,Dodge City (film),89272,1,21,0.0,Q577872
91345,Charles Aznavour,91345,25,7,87951.63889417441,Q1785
92009,"Josephine County, Oregon",92009,1,17,0.0,Q484391
92313,Eastern Air Lines,92313,2,11,30005.045059069842,Q611742
92927,Johann Olav Koss,92927,2,30,32480.0,Q318403
93265,"Orange County, North Carolina",93265,6,22,34494.74846279627,Q507957
93791,Roseanne Barr,93791,4,30,41757.0,Q232301
94296,Wood Green,94296,3,10,13933.999999999998,Q1992780
95358,London Borough of Sutton,95358,2,10,4646.0,Q320378
96707,"Seminole County, Georgia",96707,5,19,3817.0632248794186,Q498372
98350,Soyuz 1,98350,22,26,561.4870736641634,Q211254
98649,High Speed 1,98649,1,11,0.0,Q277604
99156,Luna 9,99156,6,26,185.72408753708402,Q1159933
99613,Frederick the Great,99613,12,13,14243.442779755851,Q33550
99886,"Bay Minette, Alabama",99886,1,19,0.0,Q79775
100194,Subtropical cyclone,100194,26,19,738.6523853283057,Q2331851
101175,Robert Lucas Jr.,101175,5,25,69.17627921796905,Q107264
102471,Aude (river),102471,2,19,0.0,Q214240
105150,"Talladega, Alabama",105150,2,31,0.0,Q79975
105362,And When the Sky Was Opened,105362,2,22,4646.0,Q2696488
106183,Hospital de Sant Pau,106183,1,41,0.0,Q507282
106405,Emil Jannings,106405,3,8,41756.0,Q77181
107642,"La Cañada Flintridge, California",107642,1,16,0.0,Q1011181
108065,"Vista, California",108065,1,6,0.0,Q924241
108968,"Callaway, Florida",108968,23,19,64.5751593055668,Q994981
108973,"Lynn Haven, Florida",108973,22,19,64.31450542456402,Q994786
108974,"Mexico Beach, Florida",108974,10,19,106.1705935148052,Q999465
109090,"Blountstown, Florida",109090,6,19,341.6806386187741,Q301266
109108,"Homosassa, Florida",109108,4,19,1391.3638157766568,Q1626250
109171,"Carrabelle, Florida",109171,11,19,832.5758929302476,Q2157194
109172,"Eastpoint, Florida",109172,8,19,1849.8448925813188,Q524696
109174,"Greensboro, Florida",109174,3,19,1.075,Q2092728
109185,"Port St. Joe, Florida",109185,14,19,625.8827466012651,Q721475
109186,"Wewahitchka, Florida",109186,6,19,3.4928338001867414,Q1998323
109283,"Marianna, Florida",109283,8,19,4660.690646414292,Q1924806
109359,"Cedar Key, Florida",109359,8,19,10.115487588117512,Q2011116
109368,"Bristol, Florida",109368,4,19,296.8180604444065,Q568950
109507,"Crestview, Florida",109507,34,19,675.3969808331364,Q2153124
109513,"Niceville, Florida",109513,23,19,38.93201247572875,Q2100064
109738,"Gulf Breeze, Florida",109738,6,19,0.0,Q731333
109740,"Milton, Florida",109740,8,19,46.224014387228095,Q962936
109817,"Perry, Florida",109817,6,19,17.68753018655655,Q1065467
109844,"Sopchoppy, Florida",109844,5,19,0.0,Q1990391
109845,"St. Marks, Florida",109845,19,19,1907.7875077367612,Q2155287
109846,"DeFuniak Springs, Florida",109846,9,19,789.2990445447388,Q986543
109848,"Miramar Beach, Florida",109848,5,19,0.7381431934601942,Q2429075
109851,"Chipley, Florida",109851,3,19,0.5871242839383769,Q2156023
109994,"Douglas, Georgia",109994,1,9,0.0,Q1004791
110028,"Bainbridge, Georgia",110028,4,19,830.977160091815,Q788794
110335,"Donalsonville, Georgia",110335,2,19,0.0,Q2598606
110747,"Rexburg, Idaho",110747,1,16,0.0,Q818311
110995,"Hoffman Estates, Illinois",110995,3,33,44277.8005887396,Q1012388
113195,Lillehammer affair,113195,3,11,14728.90568106169,Q1538940
113445,Tender Mercies,113445,1,30,0.0,Q1113987
115329,"Richmond, Kentucky",115329,2,9,4646.0,Q757390
119383,"Cormorant Township, Becker County, Minnesota",119383,1,25,0.0,Q1899902
119916,"Sunfish Lake, Minnesota",119916,1,6,0.0,Q2227172
122286,"Pass Christian, Mississippi",122286,3,19,1386.4057663729923,Q867480
122321,"Moss Point, Mississippi",122321,2,19,1.4672619047619049,Q867104
125444,"Sayreville, New Jersey",125444,2,11,13932.0,Q1013228
126436,"Lake Placid, New York",126436,2,34,4646.0,Q192700
126756,"New Hyde Park, New York",126756,1,11,0.0,Q3451856
127699,"Calabash, North Carolina",127699,1,19,0.0,Q2026755
128114,"Hillsborough, North Carolina",128114,5,22,13935.5,Q1008927
128404,"Wilson, North Carolina",128404,1,22,0.0,Q595348
128452,Cavendish Laboratory,128452,6,22,5649.506041331888,Q181892
129090,Scoliosis,129090,4,6,1955472.6065340268,Q174857
