,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
2964369,Tournoi de Wimbledon 2008,17,14.615385,54,124,233,-17.338978,-24.93698,2964369,5,6,913.6166666666575,Q388312
2966765,Famille Forbes (Boston),6,13.461538,152,129,0,-4.5118365,1.0078025,2966765,4,16,0.0,Q3065143
2982113,La Troisième Fille,0,12.307693,193,77,88,-21.204065,-18.350163,2982113,3,5,2205.0,Q654170
2982462,Aaron Ramsey,15,10.0,185,97,239,-14.461161,-23.657753,2982462,1,8,0.0,Q213427
2985393,Floyd Westerman,6,11.153846,152,129,0,9.647867,-8.26008,2985393,2,16,2424.4879166272212,Q739660
2995115,Sophie Darel,4,10.0,235,94,0,17.10217,3.7128549,2995115,1,1,0.0,Q3490896
3015908,Luc Bourdon (hockey sur glace),19,10.0,235,44,170,-8.302135,22.943344,3015908,1,11,0.0,Q943495
3040885,Cendrillon (Disney),12,10.0,0,134,74,10.509457,0.6240165,3040885,1,3,0.0,Q2559332
3040923,Robin des Bois (Disney),0,10.0,193,77,88,-24.698496,1.7322072,3040923,1,5,0.0,Q3437147
3053013,Simple messieurs du tournoi de Wimbledon 2008,17,13.461538,54,124,233,22.143944,18.989292,3053013,4,6,0.5833333333333334,Q368797
3093356,Humpty Dumpty,12,11.153846,0,134,74,-4.2719526,-10.153215,3093356,2,3,720.9232094723811,Q783947
3097760,Yvonne Catterfeld,10,11.153846,114,121,10,-18.62267,11.537036,3097760,2,15,0.0,Q288588
3107661,Arsenio Hall,12,10.0,0,134,74,-5.3327827,-24.209934,3107661,1,5,0.0,Q606599
3109866,Macarena (chanson de Los del Río),12,11.153846,0,134,74,9.852613,-11.969391,3109866,2,3,1102.9999999999998,Q1149738
3115193,Grigor Dimitrov,17,14.615385,54,124,233,-15.6265,-2.3948624,3115193,5,6,12033.1,Q337681
3129754,Stéphanie,6,11.153846,152,129,0,10.477339,-5.895964,3129754,2,16,0.0,Q19819808
3150304,Joséphine de Meaux,14,11.153846,60,163,0,11.316613,3.2666986,3150304,2,6,0.0,Q511485
3186723,François Léotard,7,10.0,255,42,47,17.4099,4.414022,3186723,1,2,0.0,Q1394083
3191310,Olivier Casadesus,15,13.461538,185,97,239,-19.433233,-23.656225,3191310,4,8,55703.0,Q3350894
3197166,Valérie Maurice,7,10.0,255,42,47,-10.320254,10.935972,3197166,1,14,0.0,Q3554290
3311148,"Katia (film, 1959)",0,16.923077,193,77,88,-5.54499,-22.751379,3311148,7,4,10474.898426843689,Q517056
3333404,Michel Le Royer,0,15.769232,193,77,88,14.4712715,19.067625,3333404,6,5,5560.955220457852,Q3310132
3339660,Le Tone,17,11.153846,54,124,233,-21.78013,-18.204802,3339660,2,6,0.0,Q3228565
3346979,Jérôme Bertin,10,11.153846,114,121,10,-15.076961,4.395407,3346979,2,15,1103.0,Q3190813
3425614,Élisabeth-Christine de Brunswick-Wolfenbüttel,19,18.076923,235,44,170,4.2979436,-24.161541,3425614,8,11,38.55848428907871,Q57528
3431295,La Florida (film),4,10.0,235,94,0,17.594393,-19.53631,3431295,1,5,0.0,Q780702
3443522,Foot+,16,10.0,153,96,160,-3.9486063,-13.856693,3443522,1,12,0.0,Q3076463
3451500,Guinn Williams,0,10.0,193,77,88,0.61380404,14.862094,3451500,1,5,0.0,Q3120634
3460345,Brandon Walters,12,10.0,0,134,74,-24.89434,-23.585012,3460345,1,3,0.0,Q898204
3481707,Henri Lacroix,8,12.307693,0,126,172,0.59409606,2.815344,3481707,3,10,0.0,Q3131398
3483118,Cléopâtre Darleux,9,20.384617,0,157,116,-15.930514,17.858553,3483118,10,18,319.71547619047215,Q157527
