,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,4.0,1624.0,Andrew Johnson,0.9992545843124392,Q8612,Culture.Biography.Biography*,225.0,42319.0,71.0,3.0,228.0,13.653847,-11.0567875,11.84044,67868.0,3.9970183372497567,Culture,Biography*
1,3.0,1676.0,Alfonso XII of Spain,0.9916942119598388,Q32347,Culture.Biography.Biography*,65.0,15884.000000000005,15.0,0.0,255.0,12.435898,-12.763531,-8.452114,26638.0,2.975082635879516,Culture,Biography*
2,2.0,2238.0,Antipope John XXIII,0.9972090721130372,Q294599,Culture.Biography.Biography*,145.0,10590.0,163.0,37.0,0.0,11.217949,9.662183,-2.3220662999999995,3938.0,1.9944181442260744,Culture,Biography*
3,6.0,3080.0,Alexandria,0.7431780099868774,Q87,Geography.Geographical,145.0,135255.14044043294,163.0,37.0,0.0,16.089745,-11.561155,-24.92533,87665.0,4.459068059921265,Geography,Geographical
4,4.0,3112.0,Arianespace,0.8596737384796143,Q309867,History_and_Society.Business_and_economics,192.0,31755.0,192.0,26.0,192.0,13.653847,-5.0846767,-22.843501999999997,3336.0,3.438694953918457,History_and_Society,Business_and_economics
5,15.0,3392.0,British Columbia,0.8706072568893433,Q1974,Geography.Regions.Americas.North_America,192.0,150677.68384087642,192.0,24.0,192.0,27.051283,-14.174605999999999,-6.724975,56130.0,13.059108853340149,Geography,North_America
6,13.0,4054.0,Battleship,0.7931159734725952,Q182531,History_and_Society.Transportation,255.0,135437.62406415126,135.0,13.0,0.0,24.615385,-1.9980601000000002,-15.965760000000001,29480.0,10.310507655143738,History_and_Society,Transportation
7,26.0,4675.0,British Museum,0.7718535065650941,Q6373,Culture.Visual_arts.Visual_arts*,154.0,165773.04987104575,102.0,2.0,134.0,40.44872,-23.474747,0.5055208999999999,33706.0,20.068191170692447,Culture,Visual_arts*
8,35.0,5247.0,Country music,0.6513648629188538,Q83440,Culture.Media.Media*,240.0,1103816.176799283,174.0,17.0,0.0,51.410255,-6.6651697,-1.7799999,37843.0,22.79777020215988,Culture,Media*
9,11.0,5267.0,Constellation,0.8840492963790894,Q8928,STEM.Space,154.0,236810.79048226657,102.0,2.0,134.0,22.179489999999998,21.220779999999998,-10.195003999999999,36719.0,9.724542260169983,STEM,Space
10,2.0,6185.0,Chuck Yeager,0.997758150100708,Q271939,Culture.Biography.Biography*,255.0,5296.0,135.0,13.0,0.0,11.217949,2.016437,10.957728999999999,130600.0,1.995516300201416,Culture,Biography*
