,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class
48,2.0,4643.0,"Леонов, Алексей Архипович",0.9942797422409058,Q154269,Culture.Biography.Biography*,0.0,8.0
49,2.0,4643.0,"Леонов, Алексей Архипович",0.6654205918312073,Q154269,History_and_Society.Transportation,0.0,8.0
50,2.0,4643.0,"Леонов, Алексей Архипович",0.6584275364875793,Q154269,STEM.STEM*,0.0,8.0
51,2.0,4643.0,"Леонов, Алексей Архипович",0.6584275364875793,Q154269,History_and_Society.Society,0.0,8.0
52,2.0,4643.0,"Леонов, Алексей Архипович",0.5698626637458801,Q154269,History_and_Society.Military_and_warfare,0.0,8.0
53,2.0,4643.0,"Леонов, Алексей Архипович",0.4843900501728058,Q154269,STEM.Space,0.0,8.0
54,2.0,4643.0,"Леонов, Алексей Архипович",0.38492217659950256,Q154269,STEM.Technology,0.0,8.0
55,2.0,4643.0,"Леонов, Алексей Архипович",0.10088862478733063,Q154269,Culture.Biography.Women,0.0,8.0
56,2.0,4643.0,"Леонов, Алексей Архипович",0.06118653917312622,Q154269,Geography.Regions.Europe.Europe*,0.0,8.0
57,2.0,4643.0,"Леонов, Алексей Архипович",0.0,Q154269,Geography.Regions.Asia.Asia*,0.0,8.0
58,2.0,4643.0,"Леонов, Алексей Архипович",0.0,Q154269,Geography.Regions.Europe.Eastern_Europe,0.0,8.0
59,2.0,4643.0,"Леонов, Алексей Архипович",0.0,Q154269,Geography.Regions.Asia.North_Asia,0.0,8.0
60,6.0,5380.0,"Яковлев, Владимир Анатольевич",0.994455099105835,Q982620,Culture.Biography.Biography*,3582.0,3.0
61,6.0,5380.0,"Яковлев, Владимир Анатольевич",0.771853506565094,Q982620,History_and_Society.Society,3582.0,3.0
62,6.0,5380.0,"Яковлев, Владимир Анатольевич",0.1097157895565033,Q982620,History_and_Society.Politics_and_government,3582.0,3.0
63,6.0,5380.0,"Яковлев, Владимир Анатольевич",0.0,Q982620,Geography.Regions.Asia.Asia*,3582.0,3.0
64,6.0,5380.0,"Яковлев, Владимир Анатольевич",0.0,Q982620,Geography.Regions.Europe.Europe*,3582.0,3.0
65,8.0,6333.0,"Крикалёв, Сергей Константинович",1.0000100135803223,Q313815,STEM.Technology,13295.912602801793,8.0
66,8.0,6333.0,"Крикалёв, Сергей Константинович",1.0000100135803223,Q313815,STEM.Space,13295.912602801793,8.0
67,8.0,6333.0,"Крикалёв, Сергей Константинович",1.0000100135803223,Q313815,History_and_Society.Transportation,13295.912602801793,8.0
68,8.0,6333.0,"Крикалёв, Сергей Константинович",0.9994397163391113,Q313815,Culture.Biography.Biography*,13295.912602801793,8.0
69,8.0,6333.0,"Крикалёв, Сергей Константинович",0.9991804361343384,Q313815,STEM.STEM*,13295.912602801793,8.0
70,8.0,6333.0,"Крикалёв, Сергей Константинович",0.9362950325012207,Q313815,History_and_Society.Society,13295.912602801793,8.0
71,8.0,6333.0,"Крикалёв, Сергей Константинович",0.0,Q313815,Geography.Regions.Europe.Europe*,13295.912602801793,8.0
72,8.0,6333.0,"Крикалёв, Сергей Константинович",0.0,Q313815,Geography.Regions.Asia.Asia*,13295.912602801793,8.0
73,2.0,6393.0,"Беляев, Павел Иванович",0.9960646033287048,Q157931,Culture.Biography.Biography*,0.0,8.0
74,2.0,6393.0,"Беляев, Павел Иванович",0.91965252161026,Q157931,History_and_Society.Military_and_warfare,0.0,8.0
75,2.0,6393.0,"Беляев, Павел Иванович",0.9173126816749573,Q157931,History_and_Society.Transportation,0.0,8.0
76,2.0,6393.0,"Беляев, Павел Иванович",0.8267217874526978,Q157931,STEM.STEM*,0.0,8.0
77,2.0,6393.0,"Беляев, Павел Иванович",0.7310686111450195,Q157931,History_and_Society.Society,0.0,8.0
78,2.0,6393.0,"Беляев, Павел Иванович",0.6992644667625427,Q157931,STEM.Technology,0.0,8.0
79,2.0,6393.0,"Беляев, Павел Иванович",0.6859594583511353,Q157931,STEM.Space,0.0,8.0
80,2.0,6393.0,"Беляев, Павел Иванович",0.348655104637146,Q157931,STEM.Engineering,0.0,8.0
81,2.0,6393.0,"Беляев, Павел Иванович",0.3301530351638794,Q157931,Geography.Regions.Asia.Asia*,0.0,8.0
82,2.0,6393.0,"Беляев, Павел Иванович",0.311877357006073,Q157931,Geography.Regions.Asia.North_Asia,0.0,8.0
83,2.0,6393.0,"Беляев, Павел Иванович",0.30218379402160644,Q157931,Geography.Regions.Europe.Europe*,0.0,8.0
84,2.0,6393.0,"Беляев, Павел Иванович",0.2653036584854126,Q157931,Geography.Regions.Europe.Eastern_Europe,0.0,8.0
85,8.0,6499.0,"Джанибеков, Владимир Александрович",0.9972090721130371,Q466513,Culture.Biography.Biography*,300.6869615140683,8.0
86,8.0,6499.0,"Джанибеков, Владимир Александрович",0.9967369437217712,Q466513,STEM.Space,300.6869615140683,8.0
