,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,4.0,580.0,Astronomer,0.33459946513175964,Q11063,History_and_Society.Business_and_economics,13964.0,36.0,10.0,400.0,0.025,Business_and_economics,History_and_Society,13.383978605270386,13022.0892110765,0.0010277904250483914
1,2.0,953.0,Azincourt,0.9995221495628356,Q238339,Geography.Regions.Europe.Western_Europe,0.0,28.0,30.0,457.0,0.06564551422319474,Western_Europe,Geography,0.0,17334.32974307984,0.0
2,53.0,1078.0,Antisemitism,0.9763205647468568,Q22649,Culture.Philosophy_and_religion,1217551.10814226,25.0,71.0,1444.0,0.04916897506925208,Philosophy_and_religion,Culture,3673.894285142423,85220.4334499985,0.043110485788575716
3,11.0,1354.0,Andes,0.3702353835105896,Q5456,STEM.Earth_and_environment,67469.63745781347,48.0,26.0,335.0,0.07761194029850746,Earth_and_environment,STEM,105.88731968402864,3725.733459547162,0.028420530033540968
4,8.0,2345.0,Archbishop of Canterbury,0.91965252161026,Q29282,Culture.Philosophy_and_religion,10456.569047619048,24.0,15.0,114.0,0.13157894736842105,Philosophy_and_religion,Culture,110.3583025932312,1334.6212864220142,0.08268885242276537
5,7.0,3386.0,Black Sea,0.320831298828125,Q166,History_and_Society.Society,365372.03986528405,1.0,16.0,467.0,0.034261241970021415,Society,History_and_Society,35.93310546875,12277.396633088589,0.002926769130509911
6,3.0,3862.0,American League Division Series,0.9241518378257751,Q465503,Culture.Sports,27906.0,2.0,152.0,494.0,0.3076923076923077,Sports,Culture,421.41323804855347,187302.85692073408,0.00224990288443328
7,22.0,4054.0,Battleship,0.6859594583511353,Q182531,History_and_Society.Military_and_warfare,57541.17356760879,22.0,47.0,324.0,0.14506172839506173,Military_and_warfare,History_and_Society,709.2820799350739,22223.90800961852,0.03191527249069318
8,6.0,4615.0,Battle of Agincourt,0.9149109721183776,Q188495,History_and_Society.Military_and_warfare,23267.5,28.0,20.0,457.0,0.0437636761487965,Military_and_warfare,History_and_Society,109.78931665420531,17334.32974307984,0.0063336349476122685
9,10.0,4768.0,Brit milah,0.3998216390609741,Q848599,Culture.Philosophy_and_religion,1310.3527195993195,25.0,71.0,1444.0,0.04916897506925208,Philosophy_and_religion,Culture,283.8733637332916,85220.4334499985,0.0033310481094871343
10,2.0,4810.0,Balance of trade,0.4225146472454071,Q192796,History_and_Society.Politics_and_government,4656.0,44.0,35.0,272.0,0.12867647058823528,Politics_and_government,History_and_Society,29.576025307178497,6156.832372702657,0.0048037730308053755
11,8.0,4892.0,Bert Bell,1.0000100135803225,Q4894971,Culture.Sports,149967.79475817562,25.0,30.0,1444.0,0.02077562326869806,Sports,Culture,240.00240325927743,85220.4334499985,0.0028162541956571288
12,17.0,6623.0,Conservative Judaism,0.7931159734725952,Q205644,Culture.Philosophy_and_religion,18032.99646722561,25.0,71.0,1444.0,0.04916897506925208,Philosophy_and_religion,Culture,957.2909799814224,85220.4334499985,0.01123311559478391
13,2.0,6751.0,Cottingley Fairies,0.1259327530860901,Q1136743,History_and_Society.Military_and_warfare,32550.0,28.0,20.0,457.0,0.0437636761487965,Military_and_warfare,History_and_Society,5.037310123443604,17334.32974307984,0.00029059734054352943
