,Main_Topics,Higher_Weighted_Article
0,Sports (0.27) / Media* (0.04) / Television (0.01) ,Malcom Brown (10544)
1,Military_and_warfare (0.09) / STEM* (0.09) / Transportation (0.04) ,Yugoslav torpedo boat T5 (559)
2,Sports (0.31) / STEM* (0.02) / Society (0.02) ,World Series Most Valuable Player Award (5473)
3,History (0.08) / Sports (0.08) / Military_and_warfare (0.03) ,Empress Teimei (196)
4,Media* (0.18) / Music (0.11) / Performing_arts (0.09) ,Wicked (musical) (709)
5,Media* (0.18) / Films (0.07) / Society (0.02) ,The Bowery Boys Meet the Monsters (773)
6,Sports (0.28) / Society (0.01) / Military_and_warfare (0.01) ,2018–19 Sporting CP season (3170)
7,Politics_and_government (0.1) / Society (0.02) / Media* (0.02) ,2018 Toronto municipal election (780)
8,Earth_and_environment (0.12) / STEM* (0.12) / Politics_and_government (0.06) ,List of earthquakes in Romania (36)
9,Media* (0.33) / Music (0.32) / Films (0.01) ,Manowar (558)
10,Sports (0.21) / Society (0.02) / Media* (0.01) ,Nicolas Mahut (1327)
11,Sports (0.24) / Media* (0.03) / Literature (0.02) ,Coaches Poll (2438)
12,Media* (0.16) / Films (0.1) / History (0.05) ,1967 in film (2698)
13,Sports (0.17) / STEM* (0.04) / Business_and_economics (0.04) ,Portland Trail Blazers (3304)
14,Sports (0.29) / Society (0.05) / Media* (0.01) ,2012 Grand Prix motorcycle racing season (2045)
15,Sports (0.2) / Business_and_economics (0.02) / STEM* (0.02) ,Leicester City F.C. (12122)
16,Politics_and_government (0.12) / Media* (0.05) / Sports (0.04) ,Whitey Bulger (1399)
17,Society (0.04) / Politics_and_government (0.06) / Sports (0.05) ,Taiwan (590)
18,Sports (0.23) / Architecture (0.01) / Visual_arts* (0.01) ,Australian cricket team in the United Arab Emirates in 2018–19 (406)
19,STEM* (0.11) / Engineering (0.1) / Technology (0.1) ,Buchanan Dam (55)
20,History (0.06) / Politics_and_government (0.04) / Philosophy_and_religion (0.02) ,Gauls (21)
21,Media* (0.09) / Literature (0.07) / Politics_and_government (0.07) ,The Return of the Condor Heroes (188)
22,Military_and_warfare (0.15) / Transportation (0.08) / Society (0.06) ,Deutschland-class battleship (834)
23,Entertainment (0.13) / Television (0.13) / Media* (0.15) ,WWE (3486)
24,Philosophy_and_religion (0.13) / History (0.12) / Visual_arts* (0.05) ,Bishop of Worcester (121)
25,STEM* (0.06) / Philosophy_and_religion (0.05) / Politics_and_government (0.06) ,Pittsburgh synagogue shooting (3952)
26,Sports (0.19) / Society (0.06) / Media* (0.03) ,List of highest scores in figure skating (769)
27,Politics_and_government (0.09) / Media* (0.04) / Business_and_economics (0.03) ,John Bercow (813)
28,Politics_and_government (0.15) / Military_and_warfare (0.04) / STEM* (0.03) ,Christian Democratic Union of Germany (922)
29,Sports (0.26) / Business_and_economics (0.03) / Media* (0.03) ,2018 British Grand Prix (658)
30,Sports (0.25) / Military_and_warfare (0.01) / Society (0.01) ,Field hockey at the 1948 Summer Olympics (1036)
31,Media* (0.15) / Television (0.05) / Literature (0.04) ,Chilling Adventures of Sabrina (TV series) (1430)
32,Politics_and_government (0.1) / STEM* (0.05) / Society (0.03) ,October 2018 United States mail bombing attempts (1669)
33,STEM* (0.14) / Transportation (0.12) / Engineering (0.11) ,List of accidents and incidents involving commercial aircraft (5989)
34,Politics_and_government (0.13) / Society (0.06) / Military_and_warfare (0.06) ,Terrorism in Saudi Arabia (211)
35,Media* (0.15) / Television (0.13) / Radio (0.04) ,Valerie Singleton (366)
36,Politics_and_government (0.1) / STEM* (0.11) / Society (0.05) ,United States nationality law (944)
37,Media* (0.16) / Literature (0.09) / Books (0.06) ,Blubber (novel) (81)
38,Military_and_warfare (0.13) / STEM* (0.05) / Media* (0.03) ,Guadalcanal campaign (1149)
39,Media* (0.18) / Television (0.1) / Visual_arts* (0.09) ,Castlevania (1999 video game) (261)
40,Sports (0.3) / Western_Europe (0.1) / Europe* (0.15) ,2018 Perak TBG F.C. season (586)
41,Sports (0.29) / Society (0.01) / Media* (0.0) ,Tuimoala Lolohea (756)
42,Media* (0.2) / Films (0.19) / Performing_arts (0.0) ,List of highest-grossing films in the United Kingdom (1548)
43,Media* (0.18) / Music (0.09) / Films (0.05) ,The Temptations (406)
44,Politics_and_government (0.13) / Sports (0.03) / STEM* (0.04) ,United National Party (801)
45,Media* (0.12) / Politics_and_government (0.1) / Literature (0.06) ,Pamela Brown (journalist) (306)
46,Sports (0.2) / Media* (0.04) / Internet_culture (0.02) ,World Artistic Gymnastics Championships (960)
47,Media* (0.17) / Films (0.09) / Performing_arts (0.05) ,Separate Tables (film) (178)
48,STEM* (0.13) / Earth_and_environment (0.08) / Biology (0.04) ,Taapaca (515)
49,Sports (0.25) / Society (0.03) / Linguistics (0.01) ,Caretaker manager (1035)
