,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
477,Bengali,1,13.913044,175,95,13,8.631614,6.428004,477,4,14,0.0,Q9610
898,Douglas MacArthur,0,12.608696,235,44,170,-13.697391,11.552362,898,3,2,3141.0,Q127417
1328,Genre musical,14,46.52174,0,164,49,6.634841,-24.199846,1328,29,2,62108.40346554071,Q188451
2335,Prix Nobel de physiologie ou médecine,2,12.608696,193,77,88,5.003397,18.73119,2335,3,4,1049.0,Q80061
2346,Prix Nobel de chimie,2,12.608696,193,77,88,-4.1967006,6.331164,2346,3,4,3141.0,Q44585
2898,Musique soul,14,41.304348,0,164,49,15.193444,-14.1920395,2898,25,2,6517.3380952380985,Q131272
3369,Zoologie,2,10.0,193,77,88,22.274893,-4.204081,3369,1,4,0.0,Q431
3370,The Legend of Zelda,3,12.608696,152,129,0,21.130032,2.883801,3370,3,9,0.0,Q12393
3998,Éphéméride,0,12.608696,235,44,170,-1.2382606,-1.1215035,3998,3,9,0.0,Q19355137
5069,Charles Maurras,4,12.608696,60,163,0,-12.361594,-15.474189,5069,3,6,5231.0,Q3048
5919,Daniel Gélin,5,16.52174,54,124,233,21.514854,13.518471,5919,6,1,4772.217477420031,Q663553
6431,Territoires du Nord-Ouest,4,10.0,60,163,0,20.387178,3.4520986,6431,1,4,0.0,Q2007
6603,Raoul Salan,4,21.73913,60,163,0,6.0027876,20.395351,6603,10,6,77420.69503626286,Q241944
7018,Kilomètre carré,2,11.304348,193,77,88,-20.78906,-6.837829,7018,2,4,0.0,Q712226
7739,Minsk,2,17.826088,193,77,88,-24.496708,18.870516,7739,7,4,46203.09934552312,Q2280
7880,Liste des communes des Pyrénées-Atlantiques,19,11.304348,185,97,239,7.9490714,23.519403,7880,2,5,1049.0,Q467049
9366,Julien Dray,4,15.217392,60,163,0,-17.430532,-0.24135499,9366,5,6,46831.1666666664,Q3189473
9405,Asie centrale,1,12.608696,175,95,13,-7.254536,-21.919945,9405,3,14,4177.499195153041,Q27275
9448,Saint-Siège,1,12.608696,175,95,13,12.576078,-12.503745,9448,3,14,2097.0,Q159583
9462,États fédérés de Micronésie,1,17.826088,175,95,13,-20.039248,5.266994,9462,7,14,9387.0,Q702
9510,Henri Emmanuelli,4,17.826088,60,163,0,2.2987587,17.156845,9510,7,6,65069.00000000001,Q1347791
9995,Jean Lassalle,19,15.217392,185,97,239,-24.137556,-1.2429235,9995,5,5,10876.166666666546,Q3173022
11114,Roland Giraud,13,12.608696,0,134,74,-24.188107,24.902046,11114,3,17,47.699999999999996,Q3440076
12059,Étienne Chatiliez,11,11.304348,0,168,183,-14.816096,-23.299812,12059,2,1,2405.033333333314,Q289512
12128,Robert Zemeckis,5,13.913044,54,124,233,-8.495558,0.0683077,12128,4,1,4188.0,Q187364
12621,Sacramento,14,11.304348,0,164,49,-19.868937,18.00784,12621,2,2,2096.0000000000005,Q18013
13884,Hervé Guibert,2,10.0,193,77,88,19.48754,7.4988623,13884,1,4,0.0,Q84153
14364,Ankara,2,21.73913,193,77,88,-0.5953589,15.700452,14364,10,4,31553.72385966074,Q3640
14749,Lundi,0,12.608696,235,44,170,-7.262132,-10.944405,14749,3,10,0.0,Q105
14751,Mardi,0,12.608696,235,44,170,14.500133,-22.32806,14751,3,10,0.0,Q127
14752,Mercredi,0,13.913044,235,44,170,-4.6883726,-12.786719,14752,4,10,3141.0,Q128
14755,Samedi,0,12.608696,235,44,170,8.374088,-18.258347,14755,3,10,0.0,Q131
16915,Alain Delon,5,23.043478,54,124,233,5.468172,-7.515445,16915,11,1,91539.36232171551,Q106529
17107,Dominique Schnapper,4,10.0,60,163,0,-6.0788198,-18.257286,17107,1,6,0.0,Q445984
18564,Liste des présidents du Pérou,4,10.0,60,163,0,18.925291,8.629934,18564,1,6,0.0,Q270818
19071,Danois,0,15.217392,235,44,170,13.404183,14.208674,19071,5,10,20703.73809523809,Q9035
19385,Dominique Nicolas,20,20.434784,0,134,135,9.435193,-17.819736,19385,9,12,1049.0,Q3035362
19517,Raj britannique,1,15.217392,175,95,13,9.070458,0.6046037,19517,5,14,20857.202541790273,Q129286
20536,Fête nationale,2,11.304348,193,77,88,-16.261553,22.821177,20536,2,9,2701.811525087903,Q57598
30252,Édith Scob,3,10.0,152,129,0,18.32463,2.7900183,30252,1,9,0.0,Q273803
35531,Dioclétien,18,15.217392,41,139,0,8.287491,8.453919,35531,5,18,3143.5172413793107,Q43107
35953,Figeac,19,11.304348,185,97,239,-10.393017,8.773381,35953,2,5,1049.0,Q207614
37436,Louis Riel,4,12.608696,60,163,0,21.839237,-8.772569,37436,3,4,1635.85792162892,Q313691
38966,Karlsruhe,16,10.0,153,96,160,-14.927194,-12.141812,38966,1,0,0.0,Q1040
39401,Province romaine,18,10.0,41,139,0,-12.037429,-14.410813,39401,1,18,0.0,Q182547
40195,Rébellion des Patriotes,7,10.0,0,157,116,-22.168875,3.396978,40195,1,6,0.0,Q2466441
40545,Pierre Messmer,4,12.608696,60,163,0,19.74275,16.509583,40545,3,6,9387.0,Q271822
41470,William McKinley,0,12.608696,235,44,170,4.51035,18.518957,41470,3,2,2097.0,Q35041
41714,Député,4,15.217392,60,163,0,12.44232,18.46446,41714,5,4,11438.950394339172,Q1055894
42703,Maria Schneider (actrice),5,19.130436,54,124,233,1.4389182,5.603022,42703,8,1,33943.88621092968,Q224071
42827,Les Parapluies de Cherbourg,0,11.304348,235,44,170,-7.4369473,-8.88709,42827,2,2,1938.8452380952378,Q163868
43570,Dominique Sanda,5,16.52174,54,124,233,12.665473,-3.9507728,43570,6,1,47847.37918523633,Q179152
43577,Warner Music Group,14,43.913044,0,164,49,8.201918,9.240944,43577,27,2,25668.190816035174,Q21077
43897,Danièle Delorme,5,12.608696,54,124,233,-15.874068,-15.401296,43897,3,1,0.0,Q290517
44206,Musiques du monde,14,37.391304,0,164,49,-19.845036,-8.748581,44206,22,2,0.3,Q205049
44308,Maurice Ronet,5,11.304348,54,124,233,12.641994,-9.908395,44308,2,1,1049.0,Q965584
44529,Marina Vlady,5,12.608696,54,124,233,11.612878,16.284613,44529,3,1,49122.565372440935,Q240896
44558,Michel Creton,11,10.0,0,168,183,-18.848045,8.36112,44558,1,1,0.0,Q430322
45084,Théodose II,18,11.304348,41,139,0,-0.6426852,-18.598597,45084,2,18,0.0,Q160353
45217,Social-démocratie,4,24.347828,60,163,0,-19.85988,0.91849315,45217,12,6,68835.54957398596,Q121254
45409,Flashdance,0,10.0,235,44,170,-19.118536,0.6097155,45409,1,2,0.0,Q611043
45813,Marc Bloch,0,10.0,235,44,170,-1.762334,-3.40699,45813,1,10,0.0,Q156585
46450,Bulle Ogier,13,11.304348,0,134,74,-20.117544,-0.88842046,46450,2,17,2096.0,Q204336
46791,Arme chimique,17,19.130436,235,94,0,9.205779,-10.09783,46791,8,7,0.0,Q3639228
